# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	sucC//lpd//
AcrR	gpmA//fucO//
Ada	waaZ//tdcE//rffH//metC//
AdiY	pagP//folA//speB//metH//
AgaR	adhE//
AidB	cysG//
AlaS	gatY//
AllR	paaI//asnA//idnK//sgbE//dmsB//yeaG//
AllS	fau//aroG//tdcG//
AlsR	sgbH//ynfH//accA//
AppY	aceB//gapA//
AraC	ubiA//bglB//sufS//gor//galT//fabG//wecC//
ArgP	codA//pflB//paaZ//nadA//edd//glxR//araA//fadJ//atoD//
ArgR	cysK//iscS//dkgB//tktB//bglB//fbaB//caiB//citX//garD//araD//dinB//hycC//rffM//astA//purA//dgkA//relA//dgcC//gudD//purB//asnB//gltB//paaA//
ArsR	mhpD//tyrA//
AscG	glxK//dkgB//
AsnC	ribA//hemH//
AtoC	atoD//glpC//alkA//
BaeR	fumB//purE//
BasR	adhE//nagB//pflB//
BetI	citG//mhpA//araA//
BirA	glpK//ssuD//recF//asnB//fadH//
BluR	
BolA	tpiA//cynS//
CadC	tam//astB//
CaiF	fruK//dgcC//lyxK//dsdA//phnI//
Cbl	sodB//bioC//nrfC//rbsK//rnpB//
CdaR	ahpC//bioF//wzc//mnmG//murI//rffH//frdA//glxR//garL//
CecR	
ChbR	hypF//metC//araD//
ComR	
CpxR	fdhF//araD//gpmM//sucC//deoD//pncB//caiA//paaG//rnpB//xapA//murF//fadD//mhpF//fadB//ruvB//ttdA//phnG//sdhB//hycC//melA//gcvH//
Cra	mtlD//narH//cyoE//phnM//glyA//napC//cysH//sucA//gpmA//dgcC//lpxD//fabI//paaF//dhaL//glpK//citG//purE//gloA//metF//uvrA//phnM//ung//leuA//sdhD//dsdA//lsrF//fabG//polA//nirB//fabG//uvrB//rimK//folA//umuC//pncB//accA//ruvA//mtlD//waaY//idnD//pykF//pgaC//nanM//ssuD//allE//phoA//tdcG//ynfF//yeaE//hycD//accA//paaG//hemH//katE//murG//accB//astE//ahpC//garD//ynfH//
CreB	fadE//psd//
CsgD	rimK//metF//bioD//aspA//cueO//
CsiR	accA//ssuE//galK//yqjH//
CspA	yqjH//
CueR	astA//paaK//ribA//murI//
CusR	gabD//talA//ndh//
CynR	pyrD//folE//fes//
CysB	cyoE//murI//mngB//tam//aroG//leuB//frc//amn//tyrB//gltD//rutB//sufS//nrdF//pyrD//fabG//fabZ//add//sdhB//
CytR	phnM//glpB//cysG//araD//fadI//fucU//rfe//rffG//ulaE//ahpF//
Dan	nirB//purC//
DcuR	ruvB//mtlD//pgi//caiD//
DeoR	argC//allC//waaY//hyaA//nanK//uxuA//
DhaR	mhpF//
DicA	
DinJ-YafQ	phnL//
DnaA	rpiB//rhaB//metK//lsrF//allB//glgC//
DpiA	speA//astD//allD//pgaC//patA//
DsdC	alkA//fucO//
EbgR	
EnvR	murG//cysE//
EnvY	ddlB//guaB//
EvgA	rhaB//uvrC//wzb//paaE//bglB//hyaC//
ExuR	leuA//pdeH//oxc//purH//lysC//lsrG//
FabR	frdC//puuC//
FadR	prpE//gatY//ascB//fadE//hypB//guaA//argI//ycjG//gloA//mdh//yeaE//araB//cysN//moaE//ulaD//uxaC//wecB//speB//
FeaR	talA//ulaF//
FhlA	puuB//lpxC//ampC//puuC//gor//trpA//gcvH//
FlhDC	asnB//trpD//pflB//fabG//frc//pykF//mraY//fes//uxaB//poxB//tauD//
FliZ	fabD//deoB//cynS//torA//citE//
FucR	folA//pgi//nemA//gatD//add//waaY//
Fur	rhaB//cyoE//fruK//prpD//thrS//glcD//slt//astE//cdd//tdcG//prpB//deoB//cyoE//pheT//ubiA//glxR//dmsB//cadA//entC//gntK//narI//gadA//ynfG//tktB//gatD//yfdE//rpiB//rpiB//rutD//ybaS//xylB//lsrG//tam//lhgO//hemL//citD//trpD//lsrK//rhaA//fabH//polA//bacA//ulaD//mtlD//eno//tnaA//purC//glpK//citF//accB//nirB//nirB//ddlB//murE//nagB//dhaK//nirD//aroL//fadB//nrdA//glxK//hycB//gcl//
GadE	phnO//moaE//feaB//tdcD//glpK//nfsB//sgbE//truB//pncB//dmsC//
GadE-RcsB	tktB//uidA//glpC//ycjG//
GadW	uxaC//fabA//citC//allA//
GadX	citX//glcD//pgaB//caiA//dapB//citG//tdcB//hycC//paaA//uidA//astB//guaA//
GalR	dhaM//cysD//fadE//folA//sucA//narI//
GalS	zwf//arsC//dgcC//galK//ugpQ//ynfF//
GatR	fabG//glcF//frdA//
GcvA	cysG//uvrC//sdhD//
GlcC	citF//cynS//leuD//
GlpR	uxuB//rhaA//leuD//citC//xapA//atoB//puuE//
GlrR	
GntR	puuB//metE//paaY//gnd//ubiC//tauD//paaY//fumB//purA//
GutM	paaE//hyaC//bioA//
GutR	patA//puuC//putA//
HU	cueO//pykF//galE//sodA//pflB//glk//garR//
HcaR	ribA//fau//
HdfR	
HigA	paaE//
HigB-HigA	hypB//
HipAB	rutB//yqhD//
HipB	gadB//nadA//acnB//
HyfR	aroH//
HypT	fabH//ugpQ//paaK//moaD//waaZ//sucD//tpiA//
IclR	araD//ddlB//paaC//
IdnR	pdeR//purF//ndh//mhpB//sufS//aldA//
IlvY	pgi//
IscR	dapB//entC//ndh//pdeH//leuB//astA//
KdgR	pyrD//nadB//
KdpE	wecC//
LacI	tdcD//leuD//trpC//
LeuO	rutB//treC//paaI//glpK//nrdA//ndh//
LexA	rutB//gcvP//pdeR//phnJ//nrfC//waaH//rffC//rsmH//dinB//cueO//hypF//trpC//puuC//hcaC//katG//tnaA//pnp//gadB//cysM//ruvB//dhaM//
LldR	pheS//aceB//
LrhA	
LsrR	astE//putA//prpC//garK//ulaF//
LysR	cysJ//
MalI	uxaA//sucD//
MalT	trpE//mhpF//waaY//hmp//entB//fabB//
MarA	entB//edd//fucU//gcvH//entA//nanA//hemL//hyaB//rbsK//rffC//dgkA//cysN//mdh//accB//moaD//gpmM//prpB//glpB//paaY//glcB//fucK//astB//wzb//
MarR	
MatA	garD//
MazE	cysE//
MazE-MazF	guaA//
McbR	
MelR	dkgB//bioC//
MetJ	kbaY//gltD//feaB//rutD//paaA//acnB//cysG//cdd//mhpB//garL//
MetR	ribA//puuE//chbF//gutQ//
MhpR	glgP//napB//nirB//paaK//argC//fbaA//
Mlc	nrfC//xylB//citX//phoA//
MlrA	leuD//
MngR	puuD//betA//
MntR	mhpD//metL//
ModE	idnD//atoA//narH//appA//fucK//entC//galT//bioF//ampC//lhgO//lacA//deoB//aspA//uxaB//
MprA	cysC//ada//zwf//
MqsA	bioF//glcD//
MraZ	tpiA//uidA//lpxA//gltD//ssuD//ybjG//glgA//trpD//torC//nanK//gcvH//
MtlR	alkA//ribA//glxK//
MurR	entA//nrdB//mdh//
Nac	accA//allC//udp//gadB//deoC//tdcD//ybaS//srlD//lacA//frdA//
NadR	entH//leuB//phnJ//paaZ//
NagC	bioB//melA//fadH//prpB//fbaB//sdhD//purM//phnN//hyaC//tyrA//gor//ldtB//asnB//sgbU//fadD//caiD//metK//phnJ//allE//
NanR	torA//yeaG//hyaC//polA//xylA//ubiX//
