# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	narH//cdd//
AcrR	puuD//citX//
Ada	citG//cysH//frdC//folE//
AdiY	gadA//glmS//uidA//dhaL//
AgaR	rbsD//
AidB	psd//
AlaS	hypF//
AllR	gudD//purC//metC//ung//moaD//fadI//
AllS	glgC//mhpF//puuC//
AlsR	gabT//tpiA//fes//
AppY	uxaB//bioA//
AraC	rutA//sdhD//pyrC//tam//ndh//araD//psd//
ArgP	waaH//murC//ada//nagB//ppsA//gloA//glpX//fadA//slt//
ArgR	mhpA//galE//fabD//putA//patD//gudD//aceE//mhpE//melA//gcvT//fabG//puuE//sodA//mtlD//zwf//ampC//nagA//add//nrdD//citX//deoC//hemL//caiB//
ArsR	ruvA//fdhF//
AscG	uxaB//bioF//
AsnC	lacZ//rimK//
AtoC	lsrG//prpE//atoB//
BaeR	pfkA//sdhC//
BasR	thrS//galT//hypF//
BetI	glcB//glpD//glpA//
BirA	frdC//dacC//moeA//uxaC//cysH//
BluR	
BolA	alaC//entD//
CadC	nrfC//dmsA//
CaiF	xylA//purK//nrdD//codA//tdcE//
Cbl	trpA//galE//xylA//phnN//speA//
CdaR	sdhC//pepD//deoC//sucA//moaD//nrfC//glgX//treC//nagB//
CecR	
ChbR	purD//gltB//yqjH//
ComR	
CpxR	carB//pdeH//napG//garL//rbsD//uidA//paaZ//fau//gloA//waaZ//tdcE//malP//frdC//ynfF//malQ//trpC//ybaS//ybaS//purD//aceB//lsrG//
Cra	alkA//accB//entF//ilvC//cysE//pepD//malY//glpQ//prpE//murF//yqjH//gcl//pykF//ybjG//rffT//talA//ubiX//moaD//allB//chbG//dhaK//sodB//mhpF//gabT//moeA//rhaB//lsrF//speB//purF//glyA//rutE//cysC//frdC//aceF//carA//hcp//folE//napA//wrbA//sodB//fucA//purC//murC//yeaE//tyrA//mdh//rdoA//yqhD//dsdA//fadH//murQ//guaA//fes//phnI//waaY//ilvC//gabT//poxB//allC//paaB//
CreB	astD//ldtC//
CsgD	betA//fadD//aroL//cysG//alkB//
CsiR	phnI//ubiA//entC//cysM//
CspA	metK//
CueR	argC//leuC//uxaC//pheT//
CusR	alsE//paaZ//phnP//
CynR	chbG//speB//ychF//
CysB	fumC//frdB//phnI//chbG//gcl//fadE//metC//astC//trpD//xylB//entE//galM//srlD//napA//ulaE//entF//dgkA//aceE//
CytR	glyA//nrfB//cdd//ldtD//metK//patD//katE//serA//lysA//metH//
Dan	umpH//deoD//
DcuR	xapA//oxc//aldA//argE//
DeoR	dmsC//pgpC//mltF//galM//adiA//ppiA//
DhaR	galK//
DicA	
DinJ-YafQ	uxaC//
DnaA	argH//pgpC//umuC//phoA//zwf//caiC//
DpiA	katG//lpxD//paaG//lacA//deoA//
DsdC	atoD//lacZ//
EbgR	
EnvR	garL//entD//
EnvY	atoA//asnA//
EvgA	rutA//phnG//pheT//yibQ//ppc//nanE//
ExuR	tpiA//leuD//dhaL//nrdA//hcaD//truB//
FabR	atoA//nrfC//
FadR	citD//paaJ//paaB//glpB//sgbH//moeA//hycF//gntK//lyxK//galE//phnO//hyaA//galE//guaB//lpd//lpxD//tnaA//codA//
FeaR	dapB//dhaM//
FhlA	tauD//cynT//gnd//fadA//glpA//malY//fucK//
FlhDC	napG//glcE//rutE//aldA//moaA//rhaA//glpB//alaC//ulaG//phnG//gapA//
FliZ	nrdB//putA//sdhD//acnB//mhpA//
FucR	glcF//pyrC//carA//gudD//rbsK//allE//
Fur	nagB//adiA//murD//icd//gpmM//glxK//psd//sdhA//uvrA//aceB//guaA//ada//dgcZ//glpA//fabD//acnB//frdC//citE//rutE//argB//tdcD//hycD//icd//poxB//gadB//zwf//wzc//ttdB//udp//dhaM//gadB//ldtD//glpD//glcE//moeA//phnH//caiA//bglB//uxaA//uxaB//argI//purB//dmsB//hcaF//ftnA//slt//allE//murF//fabI//metC//hypB//hycC//fadD//purM//allC//pdeR//hycD//gor//gltD//argG//ascB//aceB//trpE//
GadE	moeB//paaY//waaZ//fumB//galK//ppsA//leuB//eno//metE//allA//
GadE-RcsB	glyA//yiaK//ruvA//fabG//
GadW	murE//dhaK//malQ//fadH//
GadX	cdd//puuE//citE//leuD//hyaA//ubiA//paaK//fabA//puuB//phnJ//idnK//fucI//
GalR	fucK//napH//pgk//ugpQ//nrdA//ybaS//
GalS	lacA//talA//nirD//purM//nanM//mhpA//
GatR	astA//cysH//fadI//
GcvA	purD//aroF//narH//
GlcC	pyrC//napA//uvrB//
GlpR	gadA//gcvH//fabA//fabB//nrdF//uxuA//tnaA//
GlrR	
GntR	argD//glpA//rpiB//ubiX//ybaS//mngB//betA//prpC//rnpB//
GutM	argI//allC//hemH//
GutR	paaH//tyrA//dhaM//
HU	pgk//metC//sgbE//srlD//tauD//phnN//phnL//
HcaR	allB//nrfA//
HdfR	
HigA	fucK//
HigB-HigA	mhpB//
HipAB	aceF//zwf//
HipB	slt//phnP//sdhC//
HyfR	glgP//
HypT	fadA//pykF//dhaM//ruvA//sufS//paaJ//allC//
IclR	citC//caiC//entC//
IdnR	kbaZ//citF//hycD//ttdA//garK//citG//
IlvY	fumB//
IscR	deoD//ybjG//fumB//prpD//phnM//argI//
KdgR	nadA//nirD//
KdpE	ogt//
LacI	arsC//gdhA//rdoA//
LeuO	dgkA//hemL//sufS//recF//purB//dacC//
LexA	hemL//entC//rdoA//sodB//paaY//tynA//phnG//rhaA//nanK//pgpC//hycC//icd//entB//atoB//ybjG//mhpD//galM//purC//frc//umpH//add//
LldR	ilvC//ampC//
LrhA	
LsrR	feaB//mltF//glcD//uvrA//argI//
LysR	epd//
MalI	carA//kbaY//
MalT	cynT//purB//phnO//argH//ppc//moeA//
MarA	entD//tdcB//nfsB//leuD//deoC//talA//glpD//mraY//pdeH//hycE//truB//sodB//idnD//tehB//nanA//cysM//cysH//rffH//trpE//garK//ribA//sgbE//gutQ//
MarR	
MatA	alaC//
MazE	hyaC//
MazE-MazF	fadJ//
McbR	
MelR	moaA//fucO//
