# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	deoB//tadA//
AcrR	luxS//gudD//
Ada	allC//eda//aroH//deoB//
AdiY	ldtD//fdhF//prpD//rnpB//
AgaR	garL//
AidB	ubiA//
AlaS	dmsC//
AllR	uxuB//lpxC//ugpQ//phnP//aspA//putA//
AllS	frc//frdD//glk//
AlsR	hyaA//hyaC//rutE//
AppY	cysH//malY//
AraC	mnmG//metH//paaK//chbF//ppiA//aspC//speA//
ArgP	bacA//wecC//dapB//paaJ//argG//aceA//purE//puuB//mpl//
ArgR	hypB//pykF//puuD//mhpB//ppc//nrdB//mtlD//glpD//ilvC//napB//ruvB//dhaM//prs//nrdE//asnB//pck//asnB//aceE//phr//pspE//phnL//caiA//pgaB//
ArsR	entE//pck//
AscG	nrfC//pdeL//
AsnC	lpxD//fadB//
AtoC	mtlD//sgbU//uvrB//
BaeR	sdhB//malP//
BasR	trpC//trpA//galK//
BetI	frc//dacC//hcaB//
BirA	nadB//pgi//udp//ftsI//tdcB//
BluR	
BolA	nfsA//pdeL//
CadC	uvrB//purH//
CaiF	paaK//prpD//metA//gltB//glyA//
Cbl	ldtB//ulaF//metH//nirB//accA//
CdaR	ruvB//ada//hycB//gatY//carA//entH//codA//lacA//entA//
CecR	
ChbR	metB//kbaY//phnL//
ComR	
CpxR	hmp//nirB//polB//uxuA//allB//murD//argC//lpxD//folE//nrdD//fucI//uxuB//metC//fabI//chbG//narH//hycB//tauD//phnH//lpxA//adhE//
Cra	hycC//glcB//deoA//metA//purM//tyrB//puuB//murE//glcB//gabD//aceB//tyrB//ybjG//prs//ynfE//entB//relA//add//narH//metK//puuC//fadE//ldtC//accA//nanM//frdA//murE//lpxC//speB//galM//uvrC//cysC//nanK//mhpD//rbsK//sucB//tadA//wrbA//talA//uvrB//allC//hcaB//lpd//purK//kbaZ//rhaA//mhpE//aspA//paaF//mtlD//galK//cysJ//fucO//purC//fabG//citD//narH//caiC//cysK//hyaB//
CreB	nrdD//tynA//
CsgD	lysA//gcl//phnG//prpD//ppc//
CsiR	edd//talA//accA//wzb//
CspA	gatD//
CueR	yfbR//pepD//nanE//phnI//
CusR	ulaE//hmp//ychF//
CynR	betB//tdcE//cysM//
CysB	glpB//folA//fabZ//phnM//metA//accA//udp//aroG//murF//lsrG//tdcE//dgkA//fbaB//nrdA//phnH//cdd//nrfA//oxc//
CytR	gutQ//pnp//leuC//ynfE//gapA//narG//rffH//glgX//pncB//pdeL//
Dan	caiB//galK//
DcuR	argB//aroH//malY//fabB//
DeoR	uxaA//atoB//frdB//uvrB//leuB//epd//
DhaR	kbaY//
DicA	
DinJ-YafQ	pykF//
DnaA	srlD//narG//lyxK//hcaF//putA//gcvT//
DpiA	mhpB//eda//puuE//adiA//trpD//
DsdC	ruvA//nanK//
EbgR	
EnvR	waaZ//dmsB//
EnvY	icd//udp//
EvgA	nfsA//fau//waaZ//dmsA//tdcD//cysI//
ExuR	garR//truB//pgaD//pheT//astC//entH//
FabR	metH//nfsB//
