# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	mnmG//aceA//
AcrR	ybjG//paaC//
Ada	wzb//kbaY//glpB//paaJ//
AdiY	nrdD//glgX//nadA//ybaS//
AgaR	lpxD//
AidB	wecB//
AlaS	hyaA//
AllR	thrS//aceE//rnpB//fucO//ycjG//pfkA//
AllS	fabG//dgkA//uxaC//
AlsR	sucC//torA//ybaS//
AppY	garD//sucB//
AraC	yeaG//codA//phnN//moaD//rhaB//argB//nrfD//
ArgP	lldD//uvrA//ahpF//fucI//add//mpaA//wzb//fabI//cynS//
ArgR	psd//sucA//glpD//argE//argE//dhaL//patD//accA//purK//yibQ//eno//aspC//pykF//ampC//caiB//putA//gntK//phnI//pyrD//hycC//mhpD//cysC//argA//
ArsR	accB//leuA//
AscG	cysE//tyrB//
AsnC	guaA//napG//
AtoC	ynfH//glpK//puuC//
BaeR	frdB//purF//
BasR	xylB//patD//ulaD//
BetI	ascB//lacZ//tpiA//
BirA	paaE//gltD//astA//tnaA//lsrG//
BluR	
BolA	pgi//serA//
CadC	aceB//murQ//
CaiF	caiA//gcvP//araA//epd//rimK//
Cbl	mngB//chbF//hcaF//rutB//nrdE//
CdaR	rnpB//argB//fucI//fbaB//glcF//cueO//add//cynS//cysJ//
CecR	
ChbR	acnA//truB//purA//
ComR	
CpxR	argH//xapA//eda//pyrD//moeB//bacA//trpE//amn//lsrG//tadA//fadE//frc//glgX//entC//purD//mnmG//mhpB//dgcC//pgaC//atoD//phnM//
Cra	fadA//rutA//ubiX//cadA//carB//tehB//wzb//dacC//trpE//nrdA//hcaF//pgpC//rutC//lacZ//ssuD//ulaF//glxK//frdC//relA//paaI//metK//amn//mnmG//ahpC//metB//garK//gatZ//hypF//glgA//rbsK//allA//ampC//patD//fbaB//puuB//nfsB//entA//cysC//argF//fabH//lpxC//rffT//gor//fucI//glcE//nrdE//yeaG//gntK//atoD//gcvP//alkA//bacA//araB//fadI//paaF//lysC//uidA//sgbE//uvrB//purM//
CreB	purF//hyaC//
CsgD	citC//galM//accA//araA//lhgO//
CsiR	leuC//rffM//glpA//lacZ//
CspA	pck//
CueR	dapB//ubiC//slt//waaZ//
CusR	metC//pfkA//patD//
CynR	luxS//ddlB//yeaG//
CysB	sodB//purB//lysC//argC//pheT//fabG//adhE//rhaD//cadA//malS//wecB//gcvH//fadA//sodB//dmsA//ulaE//malQ//sucA//
CytR	ugpQ//phnH//dkgA//pdeR//nrdE//gatY//sufS//wzc//gatZ//pflB//
Dan	allB//phoA//
DcuR	nfsA//rbsK//nanM//hcaD//
DeoR	paaA//ynfF//fucA//dapB//astE//metA//
DhaR	fucK//
DicA	
DinJ-YafQ	murI//
DnaA	murI//astD//aceB//frdB//paaJ//tktB//
DpiA	ilvC//idnO//citD//ulaD//ycjG//
DsdC	puuD//ychF//
EbgR	
EnvR	psd//gntK//
EnvY	gatZ//yibQ//
EvgA	glpD//hycD//glnA//glyA//cadA//mhpD//
ExuR	hyaC//lpd//sucD//yqhD//astA//narH//
FabR	phnP//lsrK//
FadR	pagP//hcaB//amn//codA//truB//argD//lysA//allE//ynfF//aspC//nrdF//xylA//aceA//ung//fabD//frc//ribA//ulaE//
FeaR	guaA//fau//
FhlA	cysH//prpC//fadH//nfsA//hmp//dapD//luxS//
FlhDC	sufS//glmS//phnM//purH//mhpC//astD//gatZ//mhpC//allB//sdhC//mhpD//
FliZ	leuA//fumC//nrdA//entC//eda//
FucR	dapB//fadM//napA//accD//puuE//fadJ//
Fur	tdcG//carA//carA//wecB//gatD//aroL//garR//betA//paaA//purB//aspC//glgX//entD//betA//uxaA//trpB//ppsA//bglB//ada//gpmM//purL//hycC//gloA//argB//rffM//dapD//katE//ulaF//recF//ubiC//dgkA//umuC//leuD//aroF//cdd//sgbH//ldtC//ynfG//leuB//mpl//ribA//garR//entA//cynS//cysI//argH//lsrF//idnD//fucU//argB//deoA//fes//murF//nfsA//ahpC//gutQ//sodA//hcaF//epd//psd//uvrC//fumC//dapD//
GadE	zwf//luxS//ttdA//garK//gabD//rffM//uxuB//tdcB//frdB//ubiX//
GadE-RcsB	epd//sdhD//fabH//ulaE//
GadW	napG//rffC//hyaC//fadM//
GadX	nanM//aspC//purK//ftsI//aroG//citG//glpB//katG//sdhB//betA//glgB//folE//
GalR	gnd//glpK//ybjG//ulaG//glxK//rffM//
GalS	kbaY//dsdA//dkgA//alkA//bioD//hcaD//
GatR	galE//pheT//fadI//
GcvA	cysJ//allA//phnM//
GlcC	dgcZ//add//asnB//
GlpR	edd//argC//allE//ulaF//hyi//fabZ//yfbR//
GlrR	
GntR	srlD//leuC//pgaB//hmp//metC//alaC//dmsB//caiD//dmsC//
GutM	frc//argH//uidA//
GutR	narI//rutD//speB//
HU	aceF//katE//ribA//tynA//ilvC//xylA//prpE//
HcaR	paaJ//glcB//
HdfR	
HigA	nrdF//
HigB-HigA	accA//
HipAB	ybaS//udp//
HipB	phnI//ynfH//accA//
HyfR	cysG//
HypT	glmS//purM//dkgB//phnN//gcl//polB//uxuA//
IclR	frdC//dkgB//ssuD//
IdnR	glcB//mhpB//astA//narH//paaB//aceA//
IlvY	garL//
IscR	napC//sdhC//leuC//nrdA//deoD//fumC//
KdgR	glcE//ynfF//
KdpE	amn//
LacI	caiD//gpmA//waaY//
LeuO	mhpC//tdcD//argB//mhpA//moaA//napB//
LexA	ubiA//citD//hemH//adhE//hypF//gor//deoD//moaD//waaZ//paaE//fabI//nrfB//cysK//dapD//frdD//phnL//bioA//phoA//trpB//truB//cueO//
LldR	astC//nrfA//
LrhA	
LsrR	rnpB//gltB//psd//fabG//caiC//
LysR	paaF//
MalI	mhpB//accD//
MalT	pflB//ynfF//kbaZ//dhaM//phnN//hypB//
MarA	fucI//patD//dgcZ//allB//nanK//purB//moaD//cynT//rpiB//leuC//atoD//idnK//ndh//accB//hyaA//purC//napG//ychF//ada//metC//cynS//murC//glmU//
MarR	
MatA	yiaK//
MazE	hycE//
MazE-MazF	mazG//
McbR	
MelR	gcvT//relA//
MetJ	aspA//ttdB//fadM//garL//galM//pgi//gudD//galK//citC//dinB//
MetR	tyrA//idnK//ulaF//umuD//
MhpR	glpA//glmS//udp//alkA//lsrK//ynfF//
Mlc	glxR//rffT//sdhA//eno//
MlrA	rhaD//
MngR	napH//torC//
MntR	puuD//pncB//
ModE	recF//ychF//lysC//fadD//pdeH//aceE//galT//hemL//hycG//pgi//mdh//tdcE//deoC//allB//
MprA	tdcG//ddlB//rffG//
MqsA	araA//mdh//
MraZ	sgbH//argC//allA//purA//nrfB//deoA//poxB//murF//paaE//patA//relA//
MtlR	talA//accA//glpQ//
MurR	yeaE//atoA//gor//
Nac	napG//katG//argC//deoA//chbF//waaZ//uvrB//tdcB//cysC//leuA//
NadR	gcvP//ndh//ssuD//argF//
NagC	pgaC//speB//hypF//aldA//paaZ//mdh//paaB//rffH//phoA//nrfC//fadJ//glyA//sgbU//idnO//napC//phnH//glgB//uxaB//pfkA//
NanR	napH//fadD//fumC//ung//phnL//lacZ//
NarL	acnB//allA//garK//treC//nfsA//entE//allD//paaY//tdcB//cysM//uvrA//ruvA//umuD//rutD//amn//sucB//ulaE//nfsB//ndh//ulaE//katG//glcB//gcvP//hcaB//gpmA//paaH//paaE//metC//fadI//gpmA//murC//dapB//gatD//hypB//nemA//nagA//
NarP	fadB//zwf//uxaB//ahpF//hypB//entF//udp//wzb//yiaK//nrdD//eda//
NemR	paaH//serA//
NhaR	gnd//rutD//fucA//hycB//eno//
NikR	mtlD//
NimR	torC//
NorR	hmp//
NrdR	argH//leuC//hcaF//ybaS//
NsrR	yqhD//alkA//carA//lyxK//paaJ//tdcG//wrbA//nrdF//rffT//murF//katG//betB//sodA//fabI//tauD//murF//gcvT//phnN//adhE//entE//hcaE//glpB//mhpB//lpxA//umuD//aceB//rutA//hycC//ogt//phnN//rbsD//waaY//sgbE//cysD//ldtC//sdhB//
NtrC	ynfE//rutD//alaC//glpX//fadH//fabZ//phnG//fucK//wzb//uxuB//ttdA//dhaK//gnd//hemL//garL//phnM//fdhF//glk//garK//ribA//ssuD//
OmpR	citE//rsmH//aroL//murG//tadA//galE//rhaD//glpC//
OxyR	dhaM//tpiA//uvrC//pykF//amn//nirB//murD//hyi//puuB//araB//cysE//fbaA//glxR//galK//
PaaX	cueO//rffC//rffC//allA//metB//allA//katE//prpE//caiB//
PdeL	fadJ//
PdhR	ssuE//citE//metL//hycG//gapA//ybjG//napH//argH//gltB//yibQ//gpmM//prs//gor//ilvC//pnp//ldtC//trpA//mltF//fucO//dgkA//mhpA//pdeL//dmsC//uxaA//fadM//ppsA//
PepA	gatD//uxaB//
PgrR	nanE//accC//
PhoB	folE//ycjG//fucO//gdhA//garD//glgX//mazG//aceB//dhaK//waaH//galM//citE//dhaK//mngB//purF//ascB//dapB//uxaA//
PhoP	torC//serA//gadA//gcvH//recF//accB//astE//dhaM//rffG//cynS//rsmH//rffH//narG//sdhB//eda//nrfA//aceE//katG//hcaB//serA//bioF//bioD//bacA//aroF//argC//torA//atoB//alaC//adiA//poxB//pyrD//puuC//dgkA//
PrpR	argE//paaY//pgaD//napG//
