# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	wzc//feaB//
AcrR	mngB//glxK//
Ada	paaA//paaE//ampC//tam//
AdiY	nfsA//fucU//ldtD//hcaE//
AgaR	entB//
AidB	glcE//
AlaS	moaA//
AllR	trpE//nirD//polB//caiB//uxuA//glnA//
AllS	tnaA//malS//murE//
AlsR	phoA//argD//guaB//
AppY	glxR//umuD//
AraC	citF//aspC//entE//lacA//purK//entB//araB//
ArgP	ruvA//leuC//accD//uxaB//umuC//glcD//hcaF//mhpB//ssuD//
ArgR	yfdE//pgk//tdcB//hycF//leuB//rsmH//puuA//citG//citE//paaB//astB//purA//astE//moaD//yfdE//gabD//tadA//murG//torC//glxR//ftsI//udp//astD//
ArsR	mhpA//luxS//
AscG	bioB//fruK//
AsnC	frdA//glcB//
AtoC	codA//ynfE//malP//
BaeR	narG//moeB//
BasR	idnO//lsrF//yfdE//
BetI	fadI//ftsI//adiA//
BirA	relA//tynA//fbaB//ppiA//fumC//
BluR	
BolA	wzb//dmsA//
CadC	carB//nrdB//
CaiF	napG//glgP//rutC//nrdB//relA//
Cbl	moaA//lacZ//acnA//pgk//malZ//
CdaR	speA//udp//pepD//sgbU//lsrK//ldtB//hcaE//tdcE//nanK//
CecR	
ChbR	phoA//paaY//lyxK//
ComR	
CpxR	rhaD//phnH//mhpC//nadB//trpA//pflB//pck//codA//lsrG//aceF//paaY//ssuE//gltB//gcl//ynfG//phnG//truB//betA//pgaC//gabT//napG//
Cra	accD//lpd//glnA//cynT//phnI//lldD//speA//puuB//aroG//fabA//ynfH//gatZ//rhaB//araD//fau//epd//folA//lpxA//fabI//fucU//mhpC//atoB//yqhD//lysA//bioC//kbaZ//murC//dgcZ//icd//pfkA//ugpQ//mhpD//cynS//hypF//nrfD//mhpB//argI//rhaB//cysC//bioD//hcp//lysC//bioA//nfsB//cdd//purB//hcaF//allB//entF//allA//hcaD//lldD//speA//puuC//fadI//dacC//aldA//waaZ//purL//hycG//
CreB	idnK//fadD//
CsgD	eno//arsC//aroG//ddlB//caiC//
CsiR	dapD//mtlD//dhaK//purC//
CspA	purB//
CueR	sdhD//gcvP//alaS//uxuB//
CusR	frdB//trpE//araB//
CynR	bacA//uxuB//sdhC//
CysB	rffM//iscS//uidA//entF//guaB//bioD//hcaD//glgX//dgkA//garK//hemH//truB//pflB//fabI//hcaE//allA//pagP//pgi//
CytR	dkgA//nanM//argB//carB//relA//prpD//phnM//allA//nfsA//phnO//
Dan	gapA//pyrD//
DcuR	paaZ//napA//yibQ//ychF//
DeoR	gdhA//cueO//glcF//metE//serA//fruK//
DhaR	glmU//
DicA	
DinJ-YafQ	xapA//
DnaA	citG//glmU//ppiA//nagA//ubiC//fabG//
DpiA	rutA//guaB//phoA//hycF//truB//
DsdC	icd//ssuD//
EbgR	
EnvR	gcvT//pgaD//
EnvY	yfdE//ulaD//
EvgA	puuE//acnA//rnpB//waaY//bioB//sdhB//
ExuR	atoA//sucA//glpQ//paaG//lpxD//nrdE//
FabR	nrdE//leuD//
FadR	glgA//uxaB//lacZ//purC//accB//glyA//yeaG//lpxA//ugpQ//ttdB//idnO//purF//purH//sodB//luxS//astA//lpd//rpiB//
FeaR	sucB//bglB//
FhlA	narG//gcvP//rimK//nfsA//guaA//paaB//ynfH//
FlhDC	gcvH//cdd//rffH//gadB//malP//tdcE//fes//bioA//xylA//nanM//leuD//
FliZ	nrdA//fucO//galK//metL//nrdF//
FucR	idnK//slt//ftsI//phnJ//metH//ynfE//
Fur	mhpF//nfsB//aceB//glpC//dapB//glgB//hcaD//ynfF//mpaA//napC//sucC//citC//ung//hycB//dapB//nadB//pgaD//napH//tdcG//dacC//sucA//mhpB//phnI//eda//deoD//narH//ddlB//fau//uxaB//betB//hcaF//murI//tdcB//phr//argB//xylA//glxR//leuA//malS//cadA//astA//mhpE//mhpF//frdD//ldtD//nrfA//puuB//paaK//rutE//dmsA//alaC//appA//atoD//astC//nrfD//wzb//torA//ldtB//malZ//metB//glcF//sgbH//tehB//
GadE	paaH//mtlD//fabG//leuA//hycB//ruvA//ynfG//idnO//mpl//fes//
GadE-RcsB	ruvA//dacC//putA//udp//
GadW	tdcB//paaK//galT//patA//
GadX	phnG//chbG//appA//leuC//rutC//astC//ybaS//ampC//entH//bioB//carA//puuD//
GalR	glmS//araD//carB//purD//nemA//citF//
GalS	garL//fbaA//yqjH//torA//bacA//ftnA//
GatR	uxuA//tdcE//dhaL//
GcvA	mhpE//tyrB//cynS//
GlcC	nanA//carB//dgcC//
GlpR	murE//accC//dsdA//fucO//ahpC//codA//ogt//
GlrR	
GntR	hcaD//gor//dapB//citG//fadA//gadA//citC//mtlD//ndh//
GutM	cysJ//fadE//citC//
GutR	hcaB//sdhA//umpH//
HU	uvrA//rhaB//katG//dapB//nrdD//nrfB//gcvT//
HcaR	metH//malQ//
HdfR	
HigA	ssuE//
HigB-HigA	hycB//
HipAB	glcF//caiB//
HipB	glgB//ynfH//alaS//
HyfR	puuC//
HypT	waaY//glk//aroL//citE//dhaM//yqhD//fadM//
IclR	fabG//nagA//paaY//
IdnR	hyaC//ldtD//yqjH//fabD//mpaA//nanA//
IlvY	wecB//
IscR	gcvT//frc//carB//chbF//astE//rutD//
KdgR	allD//uxaC//
KdpE	dinB//
LacI	phnH//deoC//gltB//
LeuO	nrdA//glcB//mhpB//rutD//uxaB//cdd//
LexA	dapB//mhpB//prpD//phnH//aceE//entD//ynfF//murC//fucU//katE//fucU//waaY//rfe//purC//fabB//mngB//umuD//metB//fabH//lysA//mazG//
LldR	aroG//rsmH//
LrhA	
LsrR	napG//fbaB//moeA//allA//hycC//
LysR	idnD//
MalI	ulaE//puuC//
MalT	paaC//tktB//chbG//frdA//glpD//codA//
MarA	deoB//purK//kbaZ//cysM//dkgA//metL//napG//mazG//purN//allC//lyxK//rutD//argD//ampC//umuD//dapB//dhaM//phnL//sdhC//pnp//dhaM//xapA//glcE//
MarR	
MatA	glpA//
MazE	napH//
MazE-MazF	nrdE//
McbR	
MelR	gcvP//fadM//
MetJ	sodA//sucA//rpiB//glcD//fbaB//murI//citD//deoD//mhpB//deoB//
MetR	paaJ//caiA//ung//hypF//
MhpR	galM//hemH//fadM//nadA//hcaD//poxB//
Mlc	accA//deoD//glgB//ynfH//
MlrA	fabI//
MngR	dsdA//cysG//
MntR	yiaK//purK//
ModE	purM//yeaG//hypB//metK//torA//ubiC//ynfG//fadJ//melA//fadB//rutC//bioF//tauD//pgpC//
MprA	yiaK//hycB//entC//
MqsA	cynS//ung//
MraZ	paaY//fadJ//gatD//paaC//dapB//fabA//moaE//wzc//hcaD//dkgB//sdhD//
MtlR	lpd//fabH//glpB//
MurR	frdA//prpD//katE//
Nac	ttdA//serA//ribA//fabH//deoD//edd//mngB//slt//metH//uidA//
NadR	paaH//rutD//cysI//mhpB//
NagC	gdhA//lhgO//tadA//gltB//eda//dhaK//murG//pdeR//ldtC//glcB//alkA//ttdB//ynfE//fabD//ada//nirD//gcvH//ubiA//gnd//
NanR	accD//hemL//luxS//fucA//idnK//yibQ//
NarL	lyxK//acnA//gutQ//paaZ//rnpB//malS//nirD//wecB//rutC//luxS//lyxK//hemH//ppc//rffG//malP//argI//narH//gor//yfdE//astC//dkgA//gcvT//ruvB//prpD//yqhD//napB//metB//metA//dapD//ogt//tadA//glgA//narI//glk//galK//ppsA//
NarP	glpX//argB//ldtB//malY//uvrA//umuC//glpA//nrfD//gcvH//paaZ//fadE//
NemR	guaB//lsrF//
NhaR	katG//torC//yeaE//napH//amn//
NikR	ftsI//
NimR	ldtD//
NorR	mpl//
NrdR	rbsK//pgaB//uxaC//dkgB//
NsrR	ogt//paaJ//tauD//metF//garK//hmp//pagP//nrdF//epd//nrdD//nagB//purD//adiA//phnI//leuD//fabD//ldtD//glpA//allD//caiC//bioB//mdh//nrfA//srlD//fadB//putA//deoD//gpmM//uvrB//malQ//melA//nirD//citC//cysG//fbaA//umuD//
NtrC	rffH//rbsD//araB//nirB//torA//argG//zwf//lsrF//waaY//lacA//pgaB//gdhA//rutB//metA//tynA//paaJ//narI//argF//rutC//paaB//dacC//
OmpR	galK//putA//puuE//galT//glcD//frdD//garR//dapD//
OxyR	phoA//paaG//glyA//bioA//phnP//argF//paaY//pfkA//tpiA//hypF//fdhF//fadJ//fabZ//paaC//
PaaX	allE//dgcZ//aroH//argA//phnJ//mraY//allA//ruvA//pncB//
PdeL	nrfD//
PdhR	nrdB//pyrD//cysJ//dgcC//murD//cynS//nrdA//iscS//ppiA//murQ//lsrG//chbF//puuB//dacC//uvrA//tyrA//dinB//hyaA//glpC//mdh//bioD//phr//citD//tpiA//fau//umpH//
PepA	acnB//paaK//
PgrR	garL//hmp//
PhoB	pck//cueO//deoB//fabH//gltD//thrS//metA//ilvC//fadH//pgaD//ybaS//fabZ//prs//citF//bioB//argI//fabD//hcaC//
PhoP	kbaZ//aceB//sodB//yibQ//glgB//malP//uvrC//metB//cueO//bioF//citX//cysD//purH//asnA//tpiA//ybaS//entC//nanE//rutD//phnJ//mltF//add//pgaD//zwf//pgk//gatZ//ybjG//chbG//glpX//sdhB//narH//puuE//gabD//
PrpR	mpaA//purL//pncB//zwf//
PspF	malZ//
PurR	nirD//hycF//nemA//cueO//fbaB//rdoA//nemA//phnN//atoA//putA//prpE//ada//hycD//ycjG//ulaG//sgbH//katE//lpxD//leuD//sgbH//tam//rfe//purE//rffH//lpd//aroL//
PutA	xylB//cysC//
PuuR	sgbH//fucA//gabD//ruvB//ulaD//tynA//
QseB	
RbsR	murD//purN//argA//lsrG//bioA//glpQ//
RcdA	uvrC//
RclR	
RcnR	adhE//
RcsAB	ynfH//trpD//deoC//
RcsB	rutA//ulaF//citC//pyrC//
RcsB-BglJ	fumB//hyaC//
RelB	sucC//
RelB-RelE	nfsA//
RhaR	
RhaS	phnL//fucI//ynfH//metE//
Rob	gcvT//nanE//glxK//rutC//bioC//pheS//caiA//lacZ//metC//paaJ//pfkA//fucO//add//moaD//uxaC//atoD//luxS//lsrG//gutQ//
RstA	phnM//pdeH//zwf//
RtcR	ung//glcB//
RutR	icd//tpiA//hypB//paaG//gltB//cysI//purN//gatZ//astE//aceB//trpE//
SdiA	
SgrR	ruvB//araD//argB//
SlyA	
SoxR	dsdA//
SoxS	cysE//murC//patA//fadM//fes//aceF//rutE//hycD//hcaB//icd//yfdE//pgaB//ulaG//uxaA//paaZ//waaH//sgbH//gnd//hemH//pflB//galT//rffC//mhpE//narG//mhpE//cysD//
StpA	wzc//ilvC//purB//
SutR	dgcZ//moeA//
TdcA	gpmM//paaK//moaA//fau//mazG//
TdcR	hcp//murF//nanM//mnmG//dmsB//
TorR	ung//tynA//ada//sdhB//
TreR	glgB//napC//
TrpR	fadH//hycE//bioF//prpD//asnA//torC//xylA//pdeH//bioD//
TyrR	tdcG//frdD//pdeL//citG//glcE//sucA//fucA//glpK//fbaA//
UhpA	allD//
UidR	entD//ycjG//
UlaR	hycC//entE//alsE//ppsA//glcB//
UvrY	paaI//cyoE//
UxuR	lyxK//pgpC//lyxK//dgcZ//prpC//
XapR	garK//glxK//
XylR	nanM//putA//caiB//
YdeO	tynA//aroF//mazG//
YedW	cynS//murI//astE//
YefM	mnmG//
YefM-YoeB	uvrB//
YehT	
YeiL	
YiaJ	nemA//tyrA//tpiA//yiaK//uvrC//paaB//
YjjQ	purE//
YpdB	
YqhC	ssuD//cadA//
YqjI	gnd//
ZntR	ribA//
ZraR	
Zur	fbaB//
