# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	dhaK//hcaE//
AcrR	cysM//gor//
Ada	leuB//tyrA//talA//trpD//
AdiY	dgcC//lpxA//cynT//purD//
AgaR	astD//
AidB	nfsB//
AlaS	oxc//
AllR	allE//cadA//hcaB//gltD//rbsD//fbaA//
AllS	recF//cysC//ssuE//
AlsR	ppiA//deoA//kbaZ//
AppY	rffG//fadB//
AraC	ybjG//nfsA//ldtB//frc//gatD//sgbE//nanE//
ArgP	ynfE//pck//glpX//rffM//aceE//hcp//recF//mhpB//argI//
ArgR	mltF//nrdB//gcvT//lacA//entA//glmS//pspE//chbG//folE//gloA//mhpE//dmsA//mdh//wecC//fabZ//yfdE//nemA//glmU//pyrC//allA//moaD//phnJ//phnH//
ArsR	hcp//glpX//
AscG	puuC//ulaE//
AsnC	glpA//tauD//
AtoC	galM//hyaA//moaE//
BaeR	bioA//napG//
BasR	tam//nrdD//edd//
BetI	ogt//treC//tadA//
BirA	mdh//hyaC//puuA//ynfF//yibQ//
BluR	
BolA	rffM//caiC//
CadC	pdeL//acnA//
CaiF	metB//lacA//kbaY//rffT//cysD//
Cbl	paaB//mhpF//purC//phnM//psd//
CdaR	rnpB//hemL//ruvA//nanE//allC//lldD//sufS//dgcZ//nirB//
CecR	
ChbR	polB//fadB//malZ//
ComR	
CpxR	xylA//nfsB//pheS//deoA//murI//glcB//frdC//ulaG//add//glyA//caiC//cysM//pgaD//carB//rbsD//betA//rbsK//citX//entD//hcaC//glcD//
Cra	ynfH//rffC//betA//malP//phnG//paaI//malZ//hcp//katG//gpmM//paaI//ssuE//nfsA//uxaB//purM//trpE//purA//pnp//hyaA//astD//frdB//malZ//hycE//napG//pck//treC//tehB//garK//fabB//fabD//fbaA//galE//idnO//hcp//lsrK//mnmG//aceE//rutC//ahpF//sodB//accA//yeaG//betA//glpD//narH//wzc//gpmA//dgcZ//lysC//alkB//ycjG//add//accB//lyxK//tdcD//glpX//allD//purL//fabB//alkB//
CreB	gcl//idnD//
CsgD	murG//lhgO//rutB//nrdE//hemH//
CsiR	nrdF//cysD//pepD//polA//
CspA	cysE//
CueR	recF//nemA//yeaG//metE//
CusR	serA//phnN//paaI//
CynR	gltD//lpd//ung//
CysB	glk//paaB//narG//napC//murE//fabA//accC//glpC//dhaL//wecB//allA//accA//ampC//glgP//rffH//trpD//fabZ//ulaG//
CytR	hycE//rdoA//codA//citG//hypF//araD//dgkA//malZ//dhaM//ssuD//
Dan	deoB//prs//
DcuR	lpxC//puuA//katE//hycG//
DeoR	uxuB//xylB//pgi//argH//slt//uvrB//
DhaR	ubiX//
DicA	
DinJ-YafQ	malY//
DnaA	lpxC//amn//uxuA//lpxC//uvrC//nadA//
DpiA	argB//astC//glxR//fabI//gloA//
DsdC	ubiC//fadM//
EbgR	
EnvR	sdhB//tadA//
EnvY	appA//puuC//
EvgA	ubiX//trpC//napC//citX//napG//lpd//
ExuR	eda//araA//argI//yiaK//tdcD//atoA//
FabR	gatY//cysI//
FadR	dapD//tyrB//narI//lpxD//fadJ//folA//allE//carB//katE//rhaD//ldtB//pck//mpaA//nanE//treC//bioB//dhaL//phnI//
FeaR	dapB//adiA//
FhlA	bglB//adhE//gcvP//glxR//nadA//iscS//nrfD//
FlhDC	thrS//bioA//rsmH//lsrK//srlD//gabD//gltB//gcvP//aceA//nrfC//murC//
FliZ	trpB//paaJ//nirD//ftsI//argH//
FucR	tehB//pflB//kbaZ//yqjH//nagA//fruK//
Fur	rutA//hyaC//hycE//gdhA//frdA//purB//lpxC//ttdA//trpB//ddlB//frdD//paaA//atoB//alaC//ynfF//aspA//lhgO//sgbE//pdeL//glpK//pgaD//dmsA//nadA//ychF//entF//yiaK//citF//ttdA//nrfB//ynfH//puuD//deoD//pgaD//narI//malS//entC//fadD//narH//fabI//gatD//metL//fucA//ada//allB//garR//ubiA//aspA//hycB//cynT//narI//umpH//tdcG//hemL//dmsA//phnJ//entE//lysC//glpQ//glpD//glgC//nrdA//tynA//citF//
GadE	ppc//phnP//entE//feaB//ruvA//fumB//wzc//gadA//fadI//tyrA//
GadE-RcsB	yiaK//fabB//leuB//fabI//
GadW	lysC//dacC//rutA//rutE//
GadX	gloA//malQ//astC//torC//accB//nrdB//cysM//rbsD//cysJ//nadA//srlD//napB//
GalR	paaG//astB//pepD//moaA//galM//nrfC//
GalS	dmsA//caiA//paaG//paaY//alsE//argI//
GatR	pepD//argE//nfsA//
GcvA	zwf//tynA//sodA//
GlcC	cysN//gor//hcaC//
GlpR	fbaA//atoD//phnJ//gatD//gntK//phnM//nagA//
GlrR	
GntR	betB//tdcD//fadA//aspA//rffT//carB//frdC//rnpB//glnA//
GutM	atoD//nrdB//prpB//
GutR	ugpQ//nirD//ubiC//
HU	mnmG//rutA//moaE//sdhB//deoB//pheS//trpD//
HcaR	rutA//lacZ//
HdfR	
HigA	fadA//
HigB-HigA	leuD//
HipAB	gadB//ulaF//
HipB	ppsA//allB//metC//
HyfR	hemL//
HypT	hypF//glpB//hcaE//moaE//metK//purM//hyaB//
IclR	tnaA//metK//atoA//
IdnR	slt//glpQ//recF//oxc//ftsI//entF//
IlvY	malP//
IscR	argD//purD//metC//aroG//hcaE//yiaK//
KdgR	pgaB//fabZ//
KdpE	katG//
LacI	deoC//eda//ldtC//
LeuO	fabI//frdB//adhE//uxaC//ampC//pdeL//
LexA	lysC//aroF//eda//ampC//murG//bioF//lpxA//cysC//pfkA//waaZ//alkB//bioC//carB//frdD//thrS//carB//aroH//galE//fadB//bioB//patD//
LldR	napA//hycG//
LrhA	
LsrR	guaB//uxaB//paaE//murC//rutE//
LysR	yeaE//
MalI	fadM//galT//
MalT	purD//fadM//fabI//epd//pspE//gltD//
MarA	yeaE//entH//ubiX//argG//lysC//leuD//uxuB//mhpF//citX//nanM//pflB//puuB//sgbU//sucC//hyaA//rffH//deoC//appA//tdcB//gatZ//cysM//dhaL//metE//
MarR	
MatA	ybjG//
MazE	ssuD//
MazE-MazF	aldA//
McbR	
MelR	garR//astC//
MetJ	gatD//tpiA//nrdF//ycjG//deoC//glpD//pgi//fruK//acnB//rbsK//
MetR	arsC//speA//aceF//dacC//
MhpR	wrbA//glcD//metA//leuC//rhaA//mhpE//
Mlc	deoA//pyrC//gdhA//tauD//
MlrA	astA//
MngR	tnaA//rimK//
MntR	argA//cysE//
ModE	mhpE//fucK//hycF//allE//sgbU//acnB//allC//gudD//glcD//rhaD//ddlB//fau//cysM//tyrA//
MprA	ampC//pfkA//pagP//
MqsA	astB//lsrG//
MraZ	galK//folA//dapD//ynfE//aceF//ybjG//ahpF//nirD//aspA//add//tnaA//
MtlR	allB//glpK//gudD//
MurR	yqjH//ulaE//tnaA//
Nac	dhaK//purL//hemH//tauD//cysN//murD//fabZ//glpC//rffG//ttdB//
NadR	ppsA//puuD//napH//purB//
NagC	ilvC//dhaK//eda//purA//accB//ppsA//glcE//puuB//paaB//ung//rfe//ppiA//frdB//murC//cysK//chbF//nirD//gdhA//rffH//
NanR	ampC//folA//melA//argG//gatZ//katG//
NarL	yibQ//fucO//malP//entE//speB//trpC//ldtC//entF//kbaZ//rbsK//gatZ//purK//cysD//astA//leuC//purE//cysE//ilvC//gdhA//tdcD//moeB//gpmA//arsC//speA//allB//hemL//metH//gadB//patD//psd//galK//chbF//pgk//lacA//fruK//argI//
NarP	lyxK//yeaG//sgbH//tdcG//puuD//mhpB//citC//yiaK//puuE//moaD//murF//
NemR	caiB//hcaD//
NhaR	purL//metL//gatY//dmsA//napB//
NikR	moeB//
NimR	uxaC//
NorR	cysI//
NrdR	gatY//ynfF//gabD//pgi//
NsrR	aspA//dgcZ//mngB//entD//rbsK//hycD//malZ//rbsD//udp//ubiX//sodA//dapB//gloA//ahpC//glcF//xylB//hcaC//argC//umpH//glcF//gapA//guaB//glmS//pspE//citX//malS//putA//fadI//yfdE//garK//arsC//cysE//codA//argG//eda//aceF//
NtrC	glmU//aspA//sucB//accB//fabB//idnO//sdhD//narH//malS//rdoA//glpX//iscS//narH//ynfF//astE//fabD//ribA//uxuA//napB//malS//fbaA//
OmpR	mnmG//sucC//gatD//hyi//glyA//gutQ//fumB//bioC//
OxyR	citD//allE//entC//napC//glgC//cysJ//glpA//bioD//nanE//ulaF//ddlB//fes//astE//yeaG//
PaaX	phnP//sdhD//gabT//rffC//ttdA//glpQ//fadE//rutB//truB//
PdeL	purD//
PdhR	fabI//dapD//trpC//betA//galM//trpD//sgbU//folE//hcaB//napH//rnpB//xylB//tdcG//yfdE//metC//aldA//rimK//murD//argC//umpH//argF//zwf//fucI//glk//gatZ//fes//
PepA	thrS//aroL//
PgrR	narH//purD//
PhoB	gatY//nagA//murG//caiD//mpl//moeA//guaB//fabD//astD//glcE//nagA//arsC//polA//garK//rffG//moaD//hycG//deoB//
PhoP	lsrK//ugpQ//pykF//ddlB//sgbU//rpiB//lyxK//lpxA//lpxA//sodA//ppiA//rffH//astE//add//glcE//narI//rffH//dapD//cynT//frdC//dhaL//carB//rsmH//hycC//gnd//sucD//asnA//uxuB//mhpB//cysJ//glcD//recF//atoB//
PrpR	idnK//paaY//lpxA//pgaB//
PspF	yeaE//
PurR	puuE//hcaF//araB//hycC//recF//feaB//ttdB//purH//murD//astE//nrdF//glpD//sdhC//phnG//alsE//paaZ//pgaD//lpxC//dacC//paaZ//frdB//mdh//purE//polB//chbG//lsrF//
PutA	amn//alaS//
PuuR	argG//rffM//alaC//dkgB//hypF//metC//
QseB	
RbsR	nadA//fadE//ruvB//malP//argD//mpl//
RcdA	metF//
RclR	
RcnR	argA//
RcsAB	galM//ybjG//gadB//
RcsB	argE//galT//rutD//glxR//
RcsB-BglJ	chbF//yiaK//
RelB	ldtD//
RelB-RelE	iscS//
RhaR	
RhaS	sodA//caiC//frdC//rutA//
Rob	dgcZ//gloA//cysN//araD//rimK//purE//ycjG//carB//pyrD//speB//fucU//lacZ//aldA//aldA//pgpC//murI//cysC//cysH//paaG//
RstA	rutB//alsE//glgB//
RtcR	ycjG//tdcG//
RutR	puuB//ulaG//purE//argC//bglB//paaK//nanM//ubiA//slt//garL//fau//
SdiA	
SgrR	entH//fucA//entH//
SlyA	
SoxR	atoA//
SoxS	pgk//ynfH//tdcG//sdhC//phnJ//katE//patD//argH//glpB//rdoA//wzc//narI//cysC//sodA//rutB//cysH//glcB//xylA//rutB//dgcC//glcF//nanA//ynfG//uidA//fabH//fadM//
StpA	metA//ybaS//gapA//
SutR	frdA//garD//
TdcA	pyrC//napC//gntK//phnH//asnA//
TdcR	arsC//glgC//araA//lacZ//ybjG//
TorR	treC//trpE//cysE//prpC//
TreR	mtlD//speB//
TrpR	pgaB//relA//garR//gcvH//talA//glxR//frdA//napH//accC//
TyrR	dhaK//uxaB//fadM//trpC//ampC//sodB//gapA//guaB//patA//
UhpA	pgpC//
UidR	leuB//ttdA//
UlaR	aroL//melA//cysC//acnA//glgX//
UvrY	carB//kbaZ//
UxuR	glgA//cysE//uvrB//thrS//appA//
XapR	narG//glxK//
XylR	phr//lpxC//accD//
YdeO	wecB//fadJ//hmp//
YedW	acnB//entF//metK//
YefM	iscS//
YefM-YoeB	accC//
YehT	
YeiL	
YiaJ	prs//gcl//ppc//galM//guaB//ldtB//
YjjQ	phnL//
YpdB	
YqhC	gcvH//melA//
YqjI	fucK//
ZntR	argH//
ZraR	
Zur	patD//
