# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	hyaB//epd//
AcrR	deoB//uxuA//
Ada	gltD//mraY//fumC//mhpF//
AdiY	phnM//glmU//adiA//bioC//
AgaR	gatZ//
AidB	lhgO//
AlaS	fucA//
AllR	argI//paaH//ynfF//mngB//mhpB//argF//
AllS	ttdA//sodA//metC//
AlsR	purE//purH//purL//
AppY	galT//napA//
AraC	cysI//oxc//purK//dkgB//yeaE//ruvB//cysN//
ArgP	lyxK//murE//rutE//tadA//ogt//nanA//tauD//tam//purH//
ArgR	gdhA//sufS//xylB//metF//rhaB//glcE//glmS//gpmM//alaS//hcaF//dmsB//purC//idnD//puuE//rffC//hcaF//poxB//citF//betB//truB//putA//mpl//bacA//
ArsR	gcvH//argE//
AscG	torC//prpC//
AsnC	malP//pdeR//
AtoC	dgcZ//argI//dapB//
BaeR	hypF//aroF//
BasR	waaH//fbaA//sucC//
BetI	uvrB//paaZ//rffG//
BirA	glgX//fumB//glgP//glgA//caiD//
BluR	
BolA	metH//cynT//
CadC	trpB//ribA//
CaiF	lacA//leuD//trpD//trpB//cysK//
Cbl	cysJ//allA//rffT//lacZ//ampC//
CdaR	glgC//hycD//lysC//phr//nirD//alaS//ttdB//dapB//cynT//
CecR	
ChbR	chbF//guaB//gabD//
ComR	
CpxR	sucD//glpC//ampC//nrfA//gcvH//puuC//glyA//pykF//ynfG//allC//glcB//nirB//cysH//leuA//entF//rhaD//nanK//nagA//zwf//glcF//uvrC//
Cra	fruK//truB//guaA//melA//guaB//nadB//cyoE//sdhA//amn//lysC//ahpC//glgC//yiaK//purC//sgbH//carA//mdh//tdcG//dapB//guaA//pfkA//moeA//rutA//garK//fdhF//sdhA//ddlB//entE//sdhA//hcaF//lpd//ynfH//yibQ//uvrB//caiC//rffM//metA//atoB//rffM//uvrC//deoD//pfkA//hcaC//cysG//entH//fabG//ynfH//gcvH//garD//fucO//narH//dacC//rhaA//astD//hmp//nadA//dmsC//argA//gatY//hycE//
CreB	tdcD//sodB//
CsgD	pdeR//gnd//tynA//metE//galK//
CsiR	entF//galK//slt//sgbE//
CspA	ybaS//
CueR	pepD//ppiA//tdcE//gatZ//
CusR	dgcC//gdhA//murG//
CynR	folE//luxS//fbaA//
CysB	ynfE//glpD//mhpF//srlD//hycB//argB//waaY//ogt//lpxD//gadB//mltF//ndh//gadB//argE//rutC//ttdA//pagP//cueO//
CytR	katG//napA//oxc//kbaZ//paaG//bioA//sdhD//pck//phnG//ulaD//
Dan	recF//ynfG//
DcuR	aceE//aspC//ychF//glxK//
DeoR	ppiA//galE//alaC//araB//hycB//atoB//
DhaR	gcvP//
DicA	
DinJ-YafQ	tam//
DnaA	atoB//ychF//paaH//prpD//nagA//torA//
DpiA	udp//aroL//citX//ubiC//xapA//
DsdC	rffH//atoA//
EbgR	
EnvR	rfe//torC//
EnvY	idnK//glpX//
EvgA	uidA//narH//hyaC//rffH//purD//paaF//
ExuR	fadI//patA//metF//araD//entH//rutD//
FabR	amn//aspC//
FadR	treC//pfkA//ahpC//metF//cynT//kbaY//murD//ogt//aceA//yfbR//rffG//gltB//purA//yeaE//citF//aspA//lsrK//gloA//
FeaR	metE//wzc//
FhlA	fucO//glcE//pheS//fabZ//citG//gabD//paaY//
FlhDC	astE//murQ//malY//ttdA//eno//prpE//truB//nanA//phnO//allD//pyrC//
FliZ	fbaA//tyrB//fruK//rffT//hyaA//
FucR	fbaA//chbG//tdcB//chbF//hycD//trpE//
Fur	mpaA//bioC//idnO//betA//ppsA//purC//ubiX//mnmG//folE//hcaF//ssuD//pepD//gcvH//ruvA//trpC//argC//hyaB//epd//tyrA//hycE//pheS//fruK//pdeR//codA//serA//bioC//garR//ubiA//hmp//mhpA//ynfF//gpmM//sucA//trpE//lacA//lysA//nagB//phnO//pgi//glcD//folE//malP//hcaC//ldtD//ycjG//paaY//eda//astA//ssuE//dgkA//yqjH//glcE//hemH//rutE//nemA//hycG//entB//gltD//ubiC//phnL//pflB//trpD//metA//
GadE	lsrG//ampC//sucD//citD//appA//accA//pheT//napH//nanK//glnA//
GadE-RcsB	pdeR//gabD//metE//nirB//
GadW	phnI//mdh//sucA//mhpE//
GadX	sucC//hycF//napC//katG//entF//gpmA//ampC//paaY//frc//sdhB//wzc//gloA//
GalR	aspA//glpB//pheT//glyA//alaC//slt//
GalS	ndh//fadH//yqhD//paaJ//nadA//uvrA//
GatR	narI//nagA//cysM//
GcvA	entC//hycE//narH//
GlcC	metC//bioA//lpxD//
GlpR	dkgA//bioF//nagA//bacA//hyaB//tpiA//deoB//
GlrR	
GntR	wecC//alkA//astA//yeaE//wzc//acnB//fucK//rhaB//gatD//
GutM	argB//trpD//truB//
GutR	glpX//cysK//polA//
HU	cueO//folA//cysG//araA//adhE//psd//gapA//
HcaR	glgC//lsrF//
HdfR	
HigA	deoC//
HigB-HigA	rffM//
HipAB	mnmG//lpxC//
HipB	ssuD//gudD//gabD//
HyfR	cysM//
HypT	paaB//ldtD//nanM//sdhB//cysG//wzb//phnG//
IclR	tdcB//fadA//glpQ//
IdnR	tpiA//fabB//epd//sgbH//fbaA//tdcE//
IlvY	gcvP//
IscR	purA//sucD//glpC//alaC//sgbU//glxR//
KdgR	pflB//araD//
KdpE	fadH//
LacI	pyrC//allE//alkB//
LeuO	metC//pheT//gdhA//pepD//tam//slt//
LexA	tktB//glgX//lpd//mraY//fadD//betB//sdhC//dacC//moeA//ppiA//tadA//dapD//fadE//xylA//rffG//sdhD//hycF//aspA//aspA//rimK//lsrK//
LldR	tehB//napH//
LrhA	
LsrR	murE//rffC//trpB//ldtB//cysM//
LysR	argA//
MalI	pspE//gatY//
MalT	puuC//glcE//hyaC//paaC//gloA//gor//
MarA	waaZ//aldA//carA//ybaS//rsmH//napA//bioC//fadH//glk//hypB//glcE//trpB//gpmA//acnB//metL//edd//metH//idnD//mnmG//epd//ynfF//cysI//chbG//
MarR	
MatA	lpxD//
MazE	garR//
MazE-MazF	gadB//
McbR	
MelR	glcF//citC//
MetJ	deoC//cynT//tadA//moaD//xylA//cysJ//frdB//icd//allD//glnA//
MetR	nadA//cyoE//ruvA//ahpF//
MhpR	ynfF//glmS//idnK//patA//rhaB//gadA//
Mlc	ldtC//citG//pgk//glpK//
MlrA	astA//
MngR	adhE//phnH//
MntR	ssuE//cdd//
ModE	cysN//poxB//lysA//wzc//wzc//hcaB//leuD//glpA//uidA//allE//idnK//feaB//ybaS//guaA//
MprA	hycF//ogt//tyrA//
MqsA	sucA//appA//
MraZ	ftsI//cysD//prpB//tehB//idnO//icd//dmsB//rutD//allD//purB//cysM//
MtlR	ssuD//lyxK//murQ//
MurR	tauD//fabD//sucD//
Nac	metF//pyrD//napH//mhpA//alkB//waaZ//pgaB//paaE//ahpC//fabD//
NadR	bioD//phnG//accA//iscS//
NagC	rffT//prpE//mhpB//hcaF//pflB//lhgO//ulaE//ldtD//glpB//glxR//ugpQ//accD//uxaA//ttdA//uvrB//fumC//lpxC//wrbA//cyoE//
NanR	yfbR//purL//eda//tdcE//mpl//uvrA//
NarL	ftsI//napB//metF//wzc//araB//hmp//metB//cyoE//mhpA//mdh//purC//murI//entH//acnA//metB//nadB//caiD//accC//nirD//hemL//alaC//waaH//nrdB//sodB//aldA//cysJ//lacA//atoD//dhaK//purD//citG//alaC//aldA//paaE//hcaB//allD//
NarP	glpX//prpE//yeaE//polB//phnI//sufS//torC//dmsC//sdhC//udp//metH//
NemR	tnaA//fucO//
NhaR	moeA//nanK//dgcC//folE//bioB//
NikR	rffM//
NimR	sodB//
NorR	tpiA//
NrdR	ynfF//entF//murE//pgi//
NsrR	mhpD//lhgO//gadB//aceF//citE//galT//araD//prs//aroG//sufS//cysI//narH//carA//uxaB//nanK//ubiC//allB//mhpA//dinB//napC//moeA//paaB//pykF//wzb//astD//edd//lacZ//yiaK//rutD//torA//ldtC//pykF//gloA//leuD//wzc//fadI//
NtrC	glyA//idnK//aceF//eda//cysI//ftsI//paaJ//wecC//acnA//umuD//paaJ//dacC//glmS//fumC//malS//gor//galK//trpC//ychF//ada//purM//
OmpR	truB//araD//fau//dmsB//deoB//glyA//trpD//metL//
OxyR	gatZ//adiA//ascB//gcvT//accC//sgbH//pdeH//araD//fadM//araA//wecC//epd//xylB//fadJ//
PaaX	ruvB//moeA//gutQ//idnK//aspA//carB//ttdA//lysA//fabD//
PdeL	phnN//
PdhR	pgi//pgaC//yiaK//guaB//nrfA//narH//ung//waaH//glpX//aspC//lacZ//cysE//glpB//sucA//pdeL//ttdA//ppc//gntK//sucA//dacC//patD//tyrA//slt//murI//garK//murG//
PepA	trpD//malS//
PgrR	polA//umpH//
PhoB	dinB//dhaL//idnK//deoA//glpK//tynA//sucB//cysJ//rffT//sdhA//glyA//accB//mpl//yfbR//purN//sucB//lpd//frdA//
PhoP	sufS//caiA//ppc//trpD//argH//aceA//glmU//dgkA//argE//paaB//ttdA//nrdE//pepD//fadA//cysK//mhpA//ybaS//rutA//moaD//ynfG//paaG//fau//serA//caiA//glgA//pdeL//glpK//ynfE//bglB//gabD//glcF//glcB//xapA//
PrpR	gutQ//purD//purF//fadI//
PspF	sgbU//
PurR	mazG//pheT//patA//lacZ//nanA//napB//accA//glpB//prpD//metF//polA//metF//glnA//acnA//pyrD//allE//ahpC//moeA//paaJ//sdhC//deoC//rffM//paaZ//hycE//rffM//lhgO//
PutA	ynfH//fadB//
PuuR	prpC//psd//paaJ//hmp//glcE//yiaK//
QseB	
RbsR	ychF//dgkA//bglB//glxK//asnB//rffG//
RcdA	glcB//
RclR	
RcnR	hycC//
RcsAB	pheS//thrS//nfsB//
RcsB	fadM//gabD//folA//lsrG//
RcsB-BglJ	dinB//glpQ//
RelB	astA//
RelB-RelE	gntK//
RhaR	
RhaS	hycB//fabD//cysJ//pagP//
Rob	glgC//rutD//argI//ybaS//atoA//sucC//tnaA//ftnA//alkA//accD//malQ//malY//mnmG//carA//nirB//rfe//fes//cysM//phr//
RstA	sucA//bioA//gpmA//
RtcR	ulaE//tdcD//
RutR	purA//gpmM//gdhA//phoA//pheS//carB//fabD//fumC//fabG//uvrC//phnG//
SdiA	
SgrR	glpB//moeB//deoC//
SlyA	
SoxR	relA//
SoxS	garL//pspE//sdhB//tadA//yibQ//fucO//mtlD//alkB//fbaB//glgP//narH//pflB//glmU//glpB//polA//aspA//dhaK//pncB//tdcG//caiB//rffT//phnH//hypB//ascB//icd//citE//
StpA	metA//glmU//galK//
SutR	glgC//purF//
TdcA	argG//paaJ//rutC//torA//paaH//
TdcR	aldA//gntK//eda//nrdF//purH//
TorR	narG//ttdB//sdhD//psd//
TreR	argH//murG//
TrpR	puuC//nrdE//rdoA//fumB//cysG//phnM//dapD//torA//allB//
TyrR	malY//napH//yibQ//mhpD//dhaK//dgcZ//lyxK//argC//ogt//
UhpA	ulaE//
UidR	polA//phnO//
UlaR	alsE//alkA//aceF//leuC//caiD//
UvrY	hycB//guaB//
UxuR	metC//rnpB//rutC//phnI//nrdD//
XapR	hyaA//caiC//
XylR	dkgA//lsrG//entD//
YdeO	ubiC//rffH//murI//
YedW	mpaA//cysK//paaB//
YefM	gnd//
YefM-YoeB	allB//
YehT	
YeiL	
YiaJ	argD//hemL//glpK//atoA//fadI//argG//
YjjQ	lysA//
YpdB	
YqhC	nirD//wrbA//
YqjI	sucC//
ZntR	acnB//
ZraR	
Zur	eno//
