# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	purD//rnpB//
AcrR	aceF//fadB//
Ada	purF//argI//kbaY//luxS//
AdiY	alaC//lsrG//aspA//nirD//
AgaR	nadA//
AidB	paaC//
AlaS	gcl//
AllR	tdcE//fruK//ribA//alaC//fbaA//purK//
AllS	tynA//katG//deoA//
AlsR	rutD//puuD//gapA//
AppY	nagB//prpD//
AraC	frdB//entB//argD//cysM//mhpD//phnP//pgk//
ArgP	fbaA//tynA//atoA//srlD//psd//rffT//phr//napG//mhpE//
ArgR	entB//entH//paaB//idnK//gabT//puuD//ahpC//fadM//napH//deoB//ruvB//uxaB//asnB//epd//entE//torA//rbsK//purL//citX//glpA//ynfE//puuB//allB//
ArsR	fdhF//rffT//
AscG	metE//purH//
AsnC	ynfH//glgA//
AtoC	oxc//glnA//lyxK//
BaeR	lacZ//ldtB//
BasR	hcaC//gapA//mhpC//
BetI	entE//bioF//relA//
BirA	rffM//wzc//gudD//malQ//bioB//
BluR	
BolA	pagP//sucD//
CadC	hcaC//aspC//
CaiF	sdhA//recF//paaG//dhaL//moeB//
Cbl	gltD//umuD//yqjH//frdB//epd//
CdaR	lsrF//pyrD//wzc//fadE//tyrA//ybaS//purM//hcaB//phnH//
CecR	
ChbR	kbaZ//pck//lpd//
ComR	
CpxR	glgB//fumC//gpmM//gadA//ynfE//rutC//paaJ//glgA//hycD//citX//glcF//pyrD//nrfA//glpK//rnpB//allB//puuA//nirD//ruvA//wecB//cadA//
Cra	psd//mhpD//sucD//chbG//murE//zwf//add//caiA//glgP//gutQ//pdeR//kbaY//murI//napB//ulaE//hypB//udp//pyrD//fucU//rffH//rbsK//trpC//ulaE//mazG//nrfC//ynfF//truB//slt//gapA//fbaB//ung//nirB//pncB//glcF//ssuE//phnG//hemL//fabA//bioF//ruvB//thrS//metE//metA//fucK//uxaA//narI//phoA//pncB//dacC//hmp//trpD//guaA//amn//prs//hcp//leuB//astA//ybaS//paaE//wecB//
CreB	paaI//add//
CsgD	gapA//gatD//treC//waaZ//feaB//
CsiR	prpE//hyaB//aroG//putA//
CspA	rffT//
CueR	caiA//allC//metB//hcaF//
CusR	eda//hmp//rutD//
CynR	napB//ubiX//putA//
CysB	hcaD//uvrC//rhaA//hemH//torC//cysC//sgbE//mraY//argA//carA//yiaK//fadH//ampC//fumC//rutB//caiD//purA//pagP//
CytR	phnJ//lsrF//astB//ascB//mhpD//purC//bioD//napH//ppsA//pheS//
Dan	tadA//patD//
DcuR	ruvA//fabH//rffG//dhaK//
DeoR	cadA//kbaZ//glgX//rbsK//idnO//allC//
DhaR	alsE//
DicA	
DinJ-YafQ	glxR//
DnaA	ppc//paaZ//xapA//araB//citX//nirD//
DpiA	paaZ//psd//garL//guaA//cysC//
DsdC	argG//gcvT//
EbgR	
EnvR	pgpC//pyrC//
EnvY	atoA//ubiX//
EvgA	tktB//pgaC//lyxK//pdeR//narI//gltB//
ExuR	pck//prpE//ldtC//tauD//hyaB//citE//
FabR	codA//ssuE//
FadR	sucA//cdd//eno//nirD//fadA//glyA//argG//araA//metH//mazG//yeaE//allC//folE//glxR//adhE//psd//ychF//argB//
FeaR	aceF//ddlB//
FhlA	moaA//malQ//umpH//phnJ//uvrC//trpE//fucI//
FlhDC	fadH//frc//gcvT//alsE//tdcG//nanM//accA//narI//ppsA//alsE//paaJ//
FliZ	galT//rfe//pgaD//mhpE//frdB//
FucR	allB//gudD//ugpQ//cysI//caiD//moaA//
Fur	pyrC//dgcZ//lysA//nrfB//prpB//sdhB//ynfG//metF//puuA//hemH//asnB//ubiX//hcaB//nrdE//tyrB//nfsA//rffH//eno//sgbU//tdcE//murQ//murG//glcE//puuB//cynS//araB//prs//puuE//entB//ilvC//fabZ//yfbR//pdeR//argH//argE//metC//lacZ//mraY//appA//hyaC//frc//yiaK//lysA//glpD//tehB//fadB//lysC//relA//murF//ahpC//folE//entE//ulaE//lpxD//rhaD//dapD//sodA//asnA//hycE//hycC//pspE//sgbU//hycG//
GadE	ppc//glgP//gcvH//yeaE//gatD//gatY//tadA//puuD//fruK//deoD//
GadE-RcsB	folA//glpA//entD//rutE//
GadW	metB//glpA//gltB//dmsB//
GadX	gadA//dgcC//lysC//leuC//tam//hemL//nadA//glmU//gatD//glcE//sdhC//uvrB//
GalR	gloA//leuD//deoD//glcD//pnp//glcF//
GalS	dmsC//waaY//sufS//caiC//cynT//citX//
GatR	speA//glxR//fucU//
GcvA	puuC//phnJ//argF//
GlcC	torC//carB//lpxD//
GlpR	speA//glpB//gatZ//tdcE//deoC//umpH//gpmM//
GlrR	
GntR	glcD//argG//glxR//alaC//entF//rimK//ybaS//appA//ybaS//
GutM	hypF//pflB//dgkA//
GutR	cyoE//speA//hypF//
HU	trpB//ldtD//nrdD//paaH//glgP//alsE//hcaF//
HcaR	glcF//narI//
HdfR	
HigA	argB//
HigB-HigA	cysD//
HipAB	ribA//waaZ//
HipB	sucA//astD//pgi//
HyfR	nrdA//
