# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	yfdE//oxc//
AcrR	luxS//citE//
Ada	acnB//ttdB//tam//polA//
AdiY	rbsD//bioF//rfe//dhaK//
AgaR	paaE//
AidB	epd//
AlaS	trpD//
AllR	hcaF//bioB//allC//ndh//xylA//argI//
AllS	pykF//caiC//phr//
AlsR	katG//murI//trpA//
AppY	thrS//puuD//
AraC	yfdE//fau//glgX//thrS//ttdA//betB//sucD//
ArgP	ampC//trpE//bioA//glcF//cysJ//mtlD//tauD//lacA//gadA//
ArgR	ynfH//amn//lldD//gadB//purK//ada//paaJ//garL//uvrA//fbaB//accD//puuB//cysE//rpiB//ttdA//hemH//glgP//talA//gatZ//purK//frc//frdB//araA//
ArsR	frdB//xylB//
AscG	pspE//fadI//
AsnC	alaS//garK//
AtoC	recF//ppiA//tdcB//
BaeR	moaE//gapA//
BasR	rbsD//allD//ssuD//
BetI	ahpC//hycF//atoD//
BirA	iscS//araB//appA//nrfD//ttdB//
BluR	
BolA	paaI//hyaB//
CadC	pck//cysK//
CaiF	hycC//lysC//tyrA//aceB//deoD//
Cbl	xylA//edd//astE//dinB//hypB//
CdaR	mazG//glcD//fadI//gapA//nrdD//srlD//citF//galE//paaB//
CecR	
ChbR	bglB//ttdA//feaB//
ComR	
CpxR	moeB//fadM//phnN//pck//cysE//accD//tdcE//nagA//dapD//lpxA//murQ//rnpB//fumB//trpE//ribA//glgA//phnI//glmU//nirB//purL//paaJ//
Cra	phnG//purM//glyA//argF//prpE//rhaD//gcvH//ssuE//fucA//gntK//gadB//prpC//sucC//oxc//xapA//napG//rimK//aroH//rhaD//mpl//hcaF//umpH//purE//narH//allA//lysC//paaH//ttdB//deoC//puuE//adiA//yqhD//atoA//ddlB//moaD//aroF//rbsK//yfdE//argB//fabD//tdcE//lpd//mazG//cueO//asnB//moeB//puuD//glcD//polB//ftsI//umpH//glxK//fadB//puuD//gltD//ulaF//gabT//ppiA//uxuA//glgX//
CreB	atoD//narG//
CsgD	nirD//ulaD//pfkA//phnN//rfe//
CsiR	uxaC//arsC//hycF//purF//
CspA	lldD//
CueR	fadB//hcaB//fadM//ybjG//
CusR	fes//argB//sgbU//
CynR	nirB//tnaA//napA//
CysB	cyoE//mtlD//treC//glcB//ppc//nrfA//deoC//glcF//cysN//yqhD//relA//galK//fadB//cysN//relA//rffC//fabA//purL//
CytR	rhaB//ahpF//sucC//iscS//hcaF//sucA//sdhB//argB//idnD//atoD//
Dan	allB//appA//
DcuR	frdB//nrdF//nirD//garL//
DeoR	purC//puuB//puuD//prpE//dhaL//citG//
DhaR	katE//
DicA	
DinJ-YafQ	argH//
DnaA	yfbR//nfsB//cysM//entA//umuC//araD//
DpiA	zwf//pdeH//garK//argG//caiD//
DsdC	katE//gabT//
EbgR	
EnvR	fucA//nagB//
EnvY	wzc//glpX//
EvgA	fumB//glpK//nanM//edd//tdcG//paaE//
ExuR	alaS//arsC//gudD//cysJ//hcaE//murD//
FabR	hycB//pnp//
FadR	rutD//argE//gutQ//mhpB//phnH//allD//lacA//waaH//patA//lyxK//glpX//waaH//narG//pheS//aspC//feaB//deoA//glyA//
FeaR	hcp//pspE//
FhlA	nanE//sgbE//metH//tdcE//melA//uidA//accD//
FlhDC	ubiC//aspA//sufS//ulaG//lacA//aspC//dmsA//sodA//gatZ//chbG//pgk//
FliZ	patA//rimK//kbaY//rhaB//galE//
FucR	fabA//trpC//gor//pdeR//accD//ubiA//
Fur	ldtD//nagA//fabG//dgcZ//hycC//pnp//moeB//glpA//sgbE//asnA//hypB//phnL//fau//entB//frc//dapD//argI//dmsB//idnO//sodA//fabI//bglB//prpC//hyaA//rhaD//lacZ//tadA//sgbU//dapD//purB//udp//tyrB//ttdB//lacA//fucA//torA//idnD//nirB//tpiA//mhpD//rsmH//mhpB//sucD//trpD//hycF//fumB//fabI//narH//nrfC//relA//nirB//lsrG//glcD//bioA//garL//tpiA//tauD//eda//hmp//hcp//rutD//dacC//hyaA//
GadE	srlD//nemA//gor//hyi//aldA//trpE//glxR//glpC//cysN//glcD//
GadE-RcsB	torC//aroH//gatD//hyaA//
GadW	caiB//alkB//hmp//yqhD//
GadX	rffG//paaF//dkgB//puuE//nrdD//melA//pck//leuA//rutA//idnO//poxB//gatD//
GalR	lyxK//frdB//sgbH//nrfB//mdh//murG//
GalS	luxS//rutC//gcl//ilvC//phnP//relA//
GatR	hemH//sgbE//hyaA//
GcvA	fadA//alsE//napC//
GlcC	nrdE//thrS//frc//
GlpR	araB//fadM//glpQ//aroF//ubiX//ulaF//puuD//
