# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	gapA//dapD//
AcrR	rimK//garL//
Ada	narG//prpD//hycB//nanE//
AdiY	gapA//hcaE//paaZ//mhpA//
AgaR	uxaB//
AidB	hycG//
AlaS	acnB//
AllR	idnK//napG//sdhB//paaY//garK//paaG//
AllS	guaB//umuD//ssuE//
AlsR	lyxK//aroL//fabH//
AppY	nrfC//sdhA//
AraC	fumC//gabD//trpD//rbsK//yfdE//dhaL//gor//
ArgP	phnL//sdhA//yeaE//alaC//paaK//moaA//ycjG//dmsA//sodB//
ArgR	pyrC//aroH//yeaE//bglB//lysA//epd//uvrC//nrfA//ppsA//bacA//ulaG//paaE//malY//wrbA//kbaZ//cysD//rffH//gltD//mhpD//cdd//accC//aceE//ychF//
ArsR	ampC//talA//
AscG	speB//napB//
AsnC	ugpQ//sucB//
AtoC	umuC//leuC//uxuB//
BaeR	pgaC//ruvA//
BasR	sucC//rffH//wrbA//
BetI	nrfA//murI//trpA//
BirA	araD//rbsD//sgbU//lyxK//astE//
BluR	
BolA	ttdA//gabT//
CadC	purE//gapA//
CaiF	sodB//gcvH//umuD//fucI//gudD//
Cbl	bioA//alkB//hcaD//purC//psd//
CdaR	iscS//aroL//aroG//gabT//ybaS//xylB//ppc//nagA//gatD//
CecR	
ChbR	dgkA//guaB//yeaE//
ComR	
CpxR	cysN//paaI//yqhD//garL//uxaC//gntK//murF//arsC//pgpC//ynfF//argA//ppiA//lldD//phnN//talA//pfkA//nrfB//nirB//napG//araB//betB//
Cra	hcaE//cynT//pyrD//dhaK//bglB//accD//cysN//bioC//glcF//phnP//glpA//pyrC//allE//nanK//ynfH//waaZ//rhaB//puuB//napC//glpC//pgi//hcaF//speA//paaY//citG//polA//fumB//ahpF//fabG//adiA//glcB//dhaM//glgC//cueO//glcF//chbF//pgaD//umuC//treC//pdeH//mhpE//eno//gltB//ynfF//purB//uxaB//dinB//ndh//mnmG//tynA//paaA//ssuD//garD//prpB//ugpQ//prpC//eda//trpB//folA//add//
CreB	rutA//yeaE//
CsgD	hycE//nrdD//malY//malZ//nrfA//
CsiR	gabT//add//nirB//leuD//
CspA	glcD//
CueR	fabA//tdcE//narI//leuC//
CusR	ulaD//paaZ//murQ//
CynR	nrdE//moaE//adhE//
CysB	pspE//cysN//tyrA//garR//phnJ//glxK//prpD//murQ//paaE//trpA//napC//fadJ//gcvP//fabZ//lacZ//hycE//mltF//hycB//
CytR	tyrB//paaA//sgbE//glxK//hcaD//hyaC//nrdF//hcaF//glyA//psd//
Dan	glcF//rutE//
DcuR	carB//nfsB//accB//putA//
DeoR	tnaA//patD//ascB//leuA//phr//lsrK//
DhaR	tadA//
DicA	
DinJ-YafQ	talA//
DnaA	dgkA//asnB//ldtB//ynfE//citE//ycjG//
DpiA	eno//ulaG//pheS//napG//rffC//
DsdC	gpmA//pspE//
EbgR	
EnvR	ybaS//carA//
EnvY	caiC//frdB//
EvgA	caiA//fucA//tam//allD//garD//rbsD//
ExuR	fucO//metH//trpA//purA//codA//bioA//
FabR	murE//gutQ//
FadR	dacC//lldD//ubiX//bioD//phnO//fadI//fadB//carA//hypB//tam//bglB//ssuE//malQ//metA//tehB//fadB//garR//gutQ//
FeaR	tktB//gltD//
FhlA	lpxA//phnG//glpA//ung//fadH//cysD//rhaA//
FlhDC	cysN//citG//ulaF//rbsK//dkgB//glk//rnpB//ilvC//lpd//astE//ulaF//
FliZ	sucA//waaZ//cynS//fbaB//rutC//
FucR	glmS//galE//torC//pgpC//prpD//mhpB//
Fur	folE//leuB//trpB//ada//uxaA//rhaA//aldA//tadA//narH//pagP//torA//gloA//lacZ//phnO//pdeH//patA//glpD//lpxA//fau//alsE//atoD//fabA//garR//fucI//rutE//hmp//fumB//betB//gntK//sucC//glgA//cysG//ssuE//lsrK//frdA//dacC//acnB//gcl//cynT//astD//psd//fadI//rffC//cysH//nrfC//tehB//araA//ulaF//murE//putA//cynS//malP//sdhC//fabB//relA//fadH//katE//tynA//allB//tktB//ycjG//uvrC//lsrF//
GadE	garK//fadD//dgkA//fadJ//tynA//citF//glgX//gdhA//tam//cysJ//
GadE-RcsB	glcB//sgbU//argI//caiD//
GadW	glcE//pagP//glpB//dhaL//
GadX	caiA//hycB//fabZ//cysD//patD//ascB//rnpB//lysA//glpK//yiaK//sodA//lpxD//
GalR	katE//fadH//pyrC//fumC//patD//sgbE//
GalS	lsrF//deoB//phnJ//murC//ampC//metF//
GatR	speB//glyA//prpC//
GcvA	entE//patA//argE//
GlcC	lpxC//carB//ybjG//
GlpR	phr//ubiX//rhaA//ugpQ//gcvT//dhaL//dhaL//
GlrR	
GntR	argG//mazG//phnL//trpB//aldA//xapA//poxB//phnO//cyoE//
GutM	cysK//lpxD//rffT//
GutR	glcE//fabZ//malQ//
HU	hycD//epd//rsmH//fucK//speA//aspC//sodB//
HcaR	aspC//pyrC//
HdfR	
HigA	prpD//
HigB-HigA	hyaB//
HipAB	caiC//waaY//
HipB	waaH//ynfE//gntK//
HyfR	alsE//
HypT	purN//cyoE//deoB//rdoA//katE//umpH//cynS//
IclR	hcaD//zwf//glnA//
IdnR	ftnA//rutB//paaH//uxuA//kbaY//glpK//
IlvY	hcp//
IscR	caiB//gadA//wrbA//nrdE//ynfF//adhE//
KdgR	ttdB//paaI//
KdpE	citD//
LacI	fruK//glyA//hyi//
LeuO	lpxA//glgX//galK//ugpQ//ubiX//paaI//
LexA	ubiX//cdd//garD//ybjG//murD//rimK//fabZ//wzc//pdeR//rimK//glgP//folE//gcvT//glpQ//malZ//fadJ//aspC//ssuE//glmU//fabI//malZ//
LldR	ruvA//argE//
LrhA	
LsrR	recF//garL//aroH//ung//aroG//
LysR	narI//
MalI	ubiC//ybjG//
MalT	pagP//luxS//puuE//rffC//leuA//fucK//
MarA	murC//rutB//hypB//paaC//guaB//puuE//rutB//pheS//purL//ybjG//gatD//argF//phnH//ruvB//hycF//puuB//iscS//mtlD//fadH//nfsB//hypF//fes//ahpC//
MarR	
MatA	gatY//
MazE	fruK//
MazE-MazF	caiA//
McbR	
MelR	trpC//acnA//
MetJ	betB//moeB//idnD//xapA//entA//entC//astA//rbsD//oxc//feaB//
MetR	ynfG//ppc//pheS//citX//
MhpR	wecB//murC//paaB//hmp//hcaE//caiC//
Mlc	gcvT//mpl//metK//sucA//
MlrA	nrfC//
MngR	malS//cadA//
MntR	cysI//rffM//
ModE	malP//fucU//aldA//puuB//phnM//fabB//gadB//gor//nagB//speA//slt//gor//rsmH//trpA//
MprA	sucB//cadA//rffH//
MqsA	murI//cynT//
MraZ	ftnA//paaB//feaB//ribA//lpxC//feaB//paaF//caiB//eno//pepD//ttdB//
MtlR	uvrC//speA//fucI//
MurR	polA//allD//moaE//
Nac	ruvA//hcaD//appA//moaA//uvrA//alaC//uxaB//glpB//entH//fabA//
NadR	atoB//moaE//pck//aspA//
NagC	hemH//puuC//nadA//rffH//rhaB//add//nanK//fabZ//leuA//rutE//dgcC//purN//paaF//yqhD//tdcE//dhaL//glk//nanK//prpD//
NanR	sucB//ttdA//ldtD//cynT//leuD//paaI//
