# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	cueO//prpE//
AcrR	trpA//mngB//
Ada	wecC//hyaB//deoD//moaE//
AdiY	ybaS//dhaK//dhaM//rpiB//
AgaR	entA//
AidB	argF//
AlaS	pheT//
AllR	bioF//lldD//ssuE//ascB//paaI//dgcZ//
AllS	pgpC//fbaA//rhaB//
AlsR	hyaC//sucB//fadE//
AppY	garK//gapA//
AraC	gpmM//ampC//gltD//ybaS//dsdA//puuE//citC//
ArgP	xapA//alaC//argB//murG//gatY//tktB//nanK//paaB//tauD//
ArgR	galE//hyaC//ppc//glpC//yqhD//hypF//gapA//rutA//cueO//gcl//alaS//cynS//ruvA//gabT//pgaC//fumB//phnO//uvrC//mpaA//ogt//fumB//hycD//phnI//
ArsR	tdcB//purF//
AscG	yibQ//speB//
AsnC	srlD//astE//
AtoC	melA//purD//aspA//
BaeR	srlD//nrfC//
BasR	ybaS//frdC//murD//
BetI	glcB//carB//argE//
BirA	nanE//sgbU//gcl//gnd//uvrA//
BluR	
BolA	caiB//fabI//
CadC	aspC//alsE//
CaiF	astA//sgbU//dacC//nrfD//rsmH//
Cbl	entD//aroG//napG//tyrB//rhaA//
CdaR	betB//pgi//citX//lysC//epd//gcvP//carB//hemH//mhpB//
CecR	
ChbR	glcB//pnp//gutQ//
ComR	
CpxR	serA//mdh//ddlB//entE//ilvC//nrdF//pgaB//fadD//galT//udp//nanK//murI//purL//ttdA//argF//luxS//rpiB//lpd//rhaD//lsrK//fbaA//
Cra	gdhA//dmsA//phnP//gadA//fabG//glcB//rhaD//nrfC//fabI//idnO//edd//gapA//cysH//gapA//ahpC//moaA//rutC//napA//xylA//sdhB//ftnA//murC//phnG//hcaF//rbsD//lyxK//malY//uvrB//glpQ//allB//phnL//dgcZ//gltB//nfsA//aroF//fucI//hcaC//lysA//gcvT//gatD//ftsI//gnd//aspC//hycC//luxS//cueO//xapA//folA//malQ//pagP//fabG//citC//prpB//caiC//cysN//cysD//fucK//entB//ttdB//deoD//
CreB	ynfF//ascB//
CsgD	rffH//purE//nanE//acnA//rhaA//
CsiR	gnd//ilvC//rpiB//glyA//
CspA	thrS//
CueR	glxK//rhaA//alaC//yfdE//
CusR	phr//lpxC//narH//
CynR	araA//hycB//carA//
CysB	glcB//katE//entH//fabB//astC//aspC//ychF//phr//lldD//pheS//tdcB//ahpC//slt//deoB//xylA//cysJ//glpX//ugpQ//
