# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	mhpA//glmU//
AcrR	atoD//paaC//
Ada	alaC//malS//hcaC//rutC//
AdiY	pyrC//tdcB//ada//tktB//
AgaR	hcp//
AidB	fadA//
AlaS	fucO//
AllR	allB//tadA//idnO//phnG//cysG//dhaM//
AllS	mhpC//paaG//glpX//
AlsR	phnJ//fadH//patD//
AppY	fadB//dgcZ//
AraC	cyoE//dgcC//pyrC//napG//pgaB//gpmM//moeA//
ArgP	sgbH//pncB//cysH//hycB//sufS//glgX//gatZ//rbsD//accA//
ArgR	moaD//murQ//yfdE//mngB//uidA//torC//phnN//patD//pck//citE//ynfH//murC//aspC//ycjG//alsE//slt//caiA//sodA//nirD//fruK//murC//hyaB//ynfF//
ArsR	ssuE//fdhF//
AscG	puuC//paaA//
AsnC	pgaB//gcvT//
AtoC	yibQ//nagA//metH//
BaeR	fucA//argH//
BasR	glpA//paaJ//lacZ//
BetI	yqjH//sodB//tauD//
BirA	pgaB//argA//argD//accD//gadA//
BluR	
BolA	purD//glxK//
CadC	uidA//metF//
CaiF	guaB//dhaM//tktB//murI//betA//
Cbl	bacA//galE//mhpD//eda//purD//
CdaR	murI//nrdE//hyi//moaD//trpB//aceA//sucD//putA//argH//
CecR	
ChbR	uxaA//wecB//tktB//
ComR	
CpxR	ada//cynS//cynT//ppc//glpD//purE//gudD//betB//murQ//mnmG//cueO//fabI//accA//aroL//argD//gloA//galK//rhaB//lacA//adiA//cynT//
Cra	adiA//frdB//hycF//ogt//paaE//dgkA//ldtC//psd//ldtD//feaB//moaE//citX//purC//gltD//folA//atoD//dkgA//ynfH//ahpC//rutB//yqjH//fruK//metE//purK//paaG//lpxC//aceA//hcaF//hyaB//ampC//aspC//phnL//phnG//phnM//xylB//ftnA//purC//glpA//puuC//pfkA//purN//glpB//lpd//sodA//rffH//bglB//aroL//argF//glgP//argA//purB//cdd//oxc//fadH//patD//aceE//narH//aroF//argB//gpmM//
CreB	lhgO//tdcE//
CsgD	ruvB//narH//dgcZ//rsmH//rdoA//
CsiR	atoA//phnN//nrfC//hycE//
CspA	mhpE//
CueR	napG//arsC//pncB//dinB//
CusR	ruvB//tdcG//hyaB//
CynR	aroG//rutA//metB//
CysB	rutB//aldA//nrdF//sdhB//araD//aspC//speA//caiA//fucI//nfsB//katG//fumB//hycE//ilvC//nadA//gcl//frdA//lpd//
CytR	nrdD//purB//gatD//deoC//gcvP//caiD//arsC//ribA//ung//glgP//
Dan	patA//ulaG//
DcuR	entE//umuC//glgA//sucD//
DeoR	nagA//yeaE//metE//glcB//acnB//rhaB//
DhaR	sodA//
DicA	
DinJ-YafQ	fabH//
DnaA	nirB//fucK//bioB//icd//umuC//dapD//
DpiA	gatY//rutE//malZ//tdcG//fadB//
DsdC	nrfD//aspA//
EbgR	
EnvR	dhaM//aceF//
EnvY	melA//patD//
EvgA	kbaZ//purB//idnD//glpD//paaI//paaY//
ExuR	hypB//torC//astD//phnG//treC//bioA//
FabR	hcaE//aceA//
FadR	nanM//serA//phnL//cynT//yqhD//entC//prpB//paaH//wzb//dgkA//sdhB//uxaA//citD//hyaA//ssuD//speA//citE//argI//
FeaR	araA//kbaZ//
FhlA	pck//ybaS//gltD//glmS//ulaD//pfkA//purD//
FlhDC	tyrA//phnJ//hyaC//garD//cueO//ynfF//moaE//yeaG//aroG//nrfA//dinB//
FliZ	pyrC//poxB//glgB//sdhB//purM//
FucR	argC//fadM//glpX//paaG//accB//alaS//
Fur	entB//hycE//purB//nrfC//galE//fdhF//glmS//puuA//hypB//fabI//mhpF//phnH//hcaE//mnmG//allE//malP//bglB//glpC//napA//mazG//codA//pdeH//pgaD//deoA//sufS//hycG//ynfH//entC//gabT//glmU//srlD//ulaG//talA//metA//murG//fadI//psd//moeA//glgB//glcB//torC//carB//metE//ugpQ//rutC//alaS//uxuB//alkB//gpmA//ssuD//sgbU//frc//pnp//wecB//ung//dapB//caiB//guaB//glk//rutA//hemL//gpmM//bioB//
GadE	cysG//purB//patA//fabG//wecC//mdh//umuD//alkB//entC//lsrK//
GadE-RcsB	tktB//ndh//moeA//fadD//
GadW	ung//aceA//ahpC//polA//
GadX	purC//dapB//aspC//hypF//napG//leuD//rffH//umuC//dapB//fbaA//hcaD//dhaM//
GalR	rffT//ung//fadA//entC//carB//sucB//
GalS	tdcE//ttdB//purA//lsrK//glk//acnB//
GatR	torA//paaE//araD//
GcvA	feaB//fucK//folE//
GlcC	guaA//relA//glnA//
GlpR	cueO//ubiC//fadD//fadM//fadM//acnA//mhpC//
GlrR	
GntR	paaI//mdh//nrdF//argD//napA//frdA//uvrC//nemA//citC//
GutM	hycC//ubiC//wrbA//
GutR	puuA//glyA//gadA//
HU	phnJ//yiaK//glmS//gutQ//waaZ//caiA//lsrF//
HcaR	narG//katE//
HdfR	
HigA	relA//
HigB-HigA	add//
HipAB	tnaA//fes//
HipB	deoA//glpX//lysC//
HyfR	moaD//
HypT	asnA//rffH//hcp//tauD//fadH//dinB//pyrD//
IclR	gltB//talA//dkgA//
IdnR	feaB//psd//fabB//wecB//ddlB//narH//
IlvY	hemH//
IscR	fbaA//dmsA//nagA//ssuD//dkgA//allB//
KdgR	rutC//lacA//
KdpE	cysK//
LacI	fabI//speA//dinB//
LeuO	torA//hcaF//yeaE//uxaC//gnd//glxK//
LexA	fdhF//trpD//wrbA//phoA//lpxC//icd//cysJ//dmsA//glcF//torC//aceA//rimK//ulaF//ubiX//murG//fabH//glpD//fabG//hycC//hemH//caiA//
LldR	deoB//moaA//
LrhA	
LsrR	ribA//bioC//fadD//gntK//trpE//
LysR	pflB//
MalI	hcaE//yfdE//
MalT	add//pck//nanM//mdh//hcaC//aldA//
MarA	puuC//aceF//nrdA//torC//pgpC//araA//iscS//murI//hcaE//argG//rutA//galM//uxaA//waaY//citC//ftnA//fabB//gloA//hycD//gabT//dhaM//rimK//fucA//
MarR	
MatA	ubiX//
MazE	fabI//
MazE-MazF	fucO//
McbR	
MelR	hycG//garK//
MetJ	sdhB//phnO//prpD//hmp//ahpF//purH//lpxD//phnH//dsdA//glcF//
MetR	pheT//lacA//bacA//glpD//
MhpR	napB//uxuB//malQ//bioC//pflB//hypB//
Mlc	ynfF//yibQ//alaC//purE//
MlrA	lysA//
MngR	betA//hyaC//
MntR	entD//fadD//
ModE	allD//bacA//glpB//tdcB//argH//amn//katG//ulaG//araD//metK//accB//galE//tdcE//chbF//
MprA	arsC//rsmH//paaH//
MqsA	puuD//hmp//
MraZ	fabD//argH//murD//pyrD//entC//patA//leuD//lpxD//nrfD//asnA//glxK//
MtlR	sgbE//citF//galE//
MurR	mazG//chbF//sucD//
Nac	ttdB//glpQ//yeaE//umuD//gatZ//bioC//dapB//trpE//gapA//lysA//
NadR	garL//lldD//nadB//rimK//
NagC	eno//zwf//narG//frdA//leuA//putA//adhE//pgk//hmp//icd//cynT//pflB//fau//dhaK//gatY//speA//sodB//leuA//betA//
NanR	murC//fabG//ilvC//cadA//recF//galT//
NarL	nfsB//paaK//ung//puuD//ttdB//dhaM//murF//yeaE//guaB//phnO//dmsA//aroH//dgcZ//adhE//paaA//zwf//metA//gnd//hyaB//araD//folE//ssuD//gapA//argB//chbF//fadH//yeaG//deoC//argG//uidA//ascB//citX//glpB//glcF//deoA//adhE//
NarP	prpB//carA//udp//dmsC//allE//gloA//feaB//fbaA//gntK//katG//luxS//
NemR	yeaG//xapA//
NhaR	metC//dacC//pagP//gadA//cynS//
NikR	lldD//
NimR	bioC//
NorR	ndh//
NrdR	pfkA//ulaE//gatY//fadA//
NsrR	aroF//cysC//ahpC//hcaB//wzc//narH//moaD//uxuB//argA//oxc//umuD//astD//uvrB//polB//citF//alaC//cdd//putA//fadM//rutB//hyaA//mhpB//frdD//bioC//gatY//bglB//napC//add//narG//fadE//entD//yqjH//aceE//dgkA//uvrB//ulaF//
