# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	asnB//purB//
AcrR	tdcD//pheS//
Ada	eda//hcaD//paaF//mpl//
AdiY	pncB//glk//murQ//glcD//
AgaR	leuD//
AidB	citX//
AlaS	fucI//
AllR	astC//deoB//cysM//tadA//metL//rutC//
AllS	metK//tdcB//fbaA//
AlsR	gatZ//narI//tnaA//
AppY	mhpD//lysC//
AraC	nrdE//udp//glgA//paaI//bioF//cysC//pck//
ArgP	feaB//aceE//nirD//hcaB//glgA//mpl//alkB//aroG//slt//
ArgR	nanE//lpxD//serA//leuC//puuB//fadE//fucA//sdhB//uvrB//glpQ//paaH//pgi//pyrC//kbaZ//idnO//fucO//lyxK//sdhD//argI//xapA//phnN//trpB//idnD//
ArsR	tdcG//hmp//
AscG	sgbE//astE//
AsnC	xylB//yqhD//
AtoC	speA//cysE//cysI//
BaeR	aroH//galT//
BasR	ubiX//glpX//aceA//
BetI	aceE//ulaG//napB//
BirA	hcaB//ynfH//pyrD//frdD//pnp//
BluR	
BolA	gatD//alkA//
CadC	hycB//napG//
CaiF	gatZ//trpC//tdcE//ppsA//nanM//
Cbl	phnL//yibQ//phnI//uvrA//add//
CdaR	moeA//puuC//mhpB//dacC//sucD//leuC//sufS//bioB//tehB//
CecR	
ChbR	purK//sodA//rbsD//
ComR	
CpxR	argE//murE//glpQ//paaG//pykF//rffC//dmsC//gabD//bacA//napG//aspC//acnB//tpiA//gcvP//mhpE//rpiB//purE//phnM//ahpF//lacZ//hcaD//
Cra	rutB//ada//sdhD//metC//tdcE//murG//dkgB//leuD//fucI//aceE//ada//rsmH//mnmG//nirD//ybjG//acnB//cysC//rhaD//pspE//yfdE//ybaS//gltD//dmsB//sdhD//dgcC//dmsA//citC//edd//torC//poxB//truB//rdoA//asnB//rutE//asnB//tauD//gapA//murQ//nirB//wzb//cueO//fadA//deoA//bioD//dhaM//narI//sgbU//uxaB//lsrK//rutD//paaG//patD//allE//argE//glpQ//nemA//citC//mnmG//purM//pheT//
CreB	hycB//yibQ//
CsgD	yfbR//allA//paaB//deoC//phnM//
CsiR	ascB//garD//phnP//serA//
CspA	kbaZ//
CueR	arsC//hmp//gatZ//fadH//
CusR	pgk//glpK//glpQ//
CynR	purD//cynT//gntK//
CysB	cynS//purE//cyoE//argE//phoA//phnN//oxc//lsrK//paaZ//chbF//prpD//luxS//nrdF//mltF//mhpF//rffH//fucU//carA//
CytR	phnI//thrS//fabG//sucC//tdcG//citF//sgbH//epd//pspE//citD//
Dan	sucC//paaE//
DcuR	nrfC//rutA//purF//nanA//
DeoR	nanE//cysK//mazG//malY//lpxD//gabT//
DhaR	glgX//
DicA	
DinJ-YafQ	mpaA//
DnaA	bglB//ppsA//rpiB//entE//entC//citX//
DpiA	bioB//ada//glpX//murF//ynfG//
DsdC	caiA//idnO//
EbgR	
EnvR	dhaM//metH//
EnvY	murD//gnd//
EvgA	citD//hemH//umpH//zwf//sufS//phnO//
ExuR	folE//idnO//pgi//cysM//allB//argC//
FabR	galK//atoD//
FadR	fabI//hcaD//lacA//sodA//paaE//metB//wecC//narG//hcp//paaZ//hyaB//adiA//gcvT//rhaD//malS//truB//ulaD//rfe//
FeaR	mraY//ubiX//
FhlA	hcaC//rpiB//lysC//hycG//aceE//murG//cysG//
FlhDC	katE//ulaD//purB//napB//rimK//phnG//ppsA//nrdD//aspC//waaH//gcl//
FliZ	rhaA//rhaA//hcaF//chbF//chbF//
FucR	lpxD//sdhB//glcF//katE//paaC//aceF//
Fur	fdhF//srlD//carB//caiC//deoC//frdA//argB//astE//glgC//dhaK//gdhA//rhaB//purL//prpD//pheS//ulaG//ada//guaB//phr//pspE//speA//phnJ//leuC//cysC//leuB//hyaC//moaE//sufS//ada//folA//lhgO//wzb//pykF//aceB//arsC//ubiX//glcF//phnN//malQ//kbaY//trpD//citC//sgbH//ssuE//folA//guaA//metE//napC//purH//purE//nrdA//phnO//pdeH//astA//lacZ//mnmG//idnD//rutB//allC//glcF//hcaF//napG//cueO//
GadE	prs//nrfB//deoB//purC//rhaA//polB//sgbH//pdeR//argF//melA//
GadE-RcsB	eno//dmsB//rffH//tdcE//
GadW	dmsC//argE//garD//moaD//
GadX	metH//polB//accB//tauD//gcl//phnL//glnA//frdB//bioA//purM//fadI//fabI//
GalR	deoD//ftnA//glcD//rhaD//rffC//puuE//
GalS	galE//umuC//pgpC//leuA//hcaD//mazG//
GatR	frc//hycE//phnO//
GcvA	fumC//paaZ//uvrA//
GlcC	rutA//truB//lysA//
GlpR	aceA//citD//ndh//rpiB//eno//cysH//fabB//
GlrR	
GntR	ubiC//mazG//fucI//lacZ//udp//ampC//fruK//purA//betB//
GutM	umpH//pck//hmp//
GutR	leuB//pck//purD//
HU	gapA//aspC//fabG//purM//pheS//gnd//mhpF//
HcaR	bglB//fabH//
HdfR	
HigA	cysI//
HigB-HigA	glgC//
HipAB	argC//glyA//
HipB	napG//sdhD//dhaL//
HyfR	fucK//
HypT	aldA//ahpC//mngB//pgk//nagB//lpxC//lpd//
IclR	gloA//pepD//paaI//
IdnR	gpmA//purM//frdD//dkgB//uvrC//mltF//
IlvY	citD//
IscR	fadM//epd//pspE//aceF//dsdA//prpC//
KdgR	fbaB//aroG//
KdpE	ubiX//
LacI	nrfB//paaZ//kbaY//
LeuO	galT//lyxK//entF//putA//lpxA//paaC//
LexA	purH//rhaA//mhpF//putA//katE//asnA//gatD//mdh//uvrA//rutD//argC//allA//ldtB//uidA//phnO//atoD//nanE//lldD//lsrG//fes//garK//
LldR	pgi//ycjG//
LrhA	
LsrR	fabG//paaJ//aspA//fumB//purM//
LysR	zwf//
MalI	hycF//napH//
MalT	hcaD//hcaC//ruvB//betB//tdcG//sgbH//
MarA	argH//purD//eno//mltF//rffG//ndh//fucK//entE//cysK//dhaK//glxK//paaF//fabZ//tdcD//ssuD//tktB//purK//metE//icd//galM//wzc//lacZ//ilvC//
MarR	
MatA	rimK//
MazE	lsrF//
MazE-MazF	xylA//
McbR	
MelR	ppsA//nrdA//
MetJ	pdeR//ycjG//paaF//gpmM//malZ//hcaE//pyrC//galM//tehB//pykF//
MetR	accB//gcvT//entC//lsrG//
MhpR	accB//napC//fruK//malQ//prpC//dmsA//
Mlc	malQ//purE//glcF//puuD//
MlrA	pgaD//
MngR	nfsB//melA//
MntR	wzc//nrfA//
ModE	melA//allA//rutD//bioC//sgbU//metF//katE//pspE//caiC//cysE//nagB//glpD//dinB//lldD//
MprA	napH//glpK//yqjH//
MqsA	murI//hypF//
MraZ	aroH//aceF//pykF//pck//metL//dgcZ//gcvH//fabH//araA//nadA//napA//
MtlR	argF//nanK//uxuB//
MurR	gadB//purE//patD//
Nac	gudD//gdhA//sucD//lpxD//murE//caiA//argI//wecC//ldtC//glpX//
NadR	rbsK//purN//phr//epd//
NagC	citC//trpA//dhaL//fau//purL//zwf//lpxA//pspE//lpxC//gatY//paaA//aroH//rbsK//tadA//glpK//gnd//gltD//polA//ddlB//
NanR	entE//galK//allC//gcl//uxuB//polB//
NarL	gatD//uvrB//caiC//astA//accC//galM//trpA//uxuB//glpK//ldtB//moeB//napH//rbsD//hycB//dgcZ//metB//pck//pepD//ampC//ppsA//pgpC//adiA//gcvH//puuC//allD//frc//allB//lsrK//narG//rpiB//feaB//gor//allB//yeaG//fruK//rffC//
NarP	metL//fadM//lacA//pgaC//lpd//bioC//hycC//hycG//ynfF//ppiA//putA//
NemR	leuB//gapA//
NhaR	gatZ//mhpA//cueO//puuD//paaB//
NikR	purD//
NimR	lysC//
NorR	mtlD//
NrdR	deoA//citC//rutA//pyrC//
NsrR	glxR//murE//hyaC//nanA//pyrC//wecB//entF//aroH//pdeH//folE//lpd//paaG//ybjG//argF//dinB//moaA//phnG//paaI//dacC//recF//glpQ//tnaA//pgaC//katE//rffM//gcvP//accA//garL//gloA//malZ//ssuD//mpaA//aroH//moeB//paaY//rutC//
NtrC	aroH//astE//paaJ//pck//hcp//polB//cysG//yibQ//dmsC//argH//rffT//malY//hyi//ynfH//rbsD//prpC//carA//pfkA//glgB//ubiC//phnO//
OmpR	citG//adiA//recF//yibQ//ogt//alkA//mdh//caiD//
OxyR	paaZ//polB//citG//ldtC//argD//trpB//fadM//dgcZ//murQ//mnmG//ndh//mltF//hycG//malS//
PaaX	ycjG//yqjH//glpC//lhgO//katG//paaI//truB//prpD//adiA//
PdeL	lpd//
PdhR	ppiA//ascB//leuB//deoC//prpD//rfe//glpK//allA//ung//glpX//aceF//ampC//slt//mdh//prpD//nrdF//rhaD//nemA//purM//nemA//citC//narI//fadI//relA//bioC//purK//
PepA	alaS//mhpD//
PgrR	pdeH//deoA//
PhoB	trpD//hemL//nanA//pgaD//puuD//argC//umuC//pgi//acnA//mhpA//cynT//phnO//cysH//nemA//paaF//eno//murC//purE//
PhoP	lyxK//pdeH//metA//lysA//psd//fucO//nfsB//argI//uvrB//narI//mhpE//fadB//dmsC//argB//uvrB//murF//malS//dgcC//caiC//mpaA//sodA//hycB//fucI//fucO//frdD//ppc//araD//argA//mpl//chbG//garL//hycE//alaS//
PrpR	purK//yeaE//asnB//fbaA//
PspF	pgaD//
PurR	glmU//gabD//codA//mtlD//entC//rpiB//talA//hemL//pgaB//add//phnO//narI//atoA//allA//polB//ychF//srlD//hyaA//gadA//gadA//fadA//paaY//trpA//phnJ//citX//glcB//
PutA	paaJ//lysA//
PuuR	cysI//ulaG//lpxD//gcvH//murE//allD//
QseB	
RbsR	ubiC//betB//luxS//glcF//cynT//xylA//
RcdA	codA//
RclR	
RcnR	dmsC//
RcsAB	ppiA//caiC//pgaC//
RcsB	ada//wzb//yeaE//yeaE//
RcsB-BglJ	ybaS//caiB//
RelB	astE//
RelB-RelE	dhaK//
RhaR	
RhaS	purH//glgX//yfbR//moeA//
Rob	mngB//glmU//argA//uvrB//gntK//patA//nanA//chbG//sgbH//patD//cynS//pagP//argI//hcaF//paaE//garD//ulaE//lpxD//glpB//
RstA	allC//mhpE//purE//
RtcR	pagP//phnI//
RutR	alaC//yfdE//thrS//frdC//gltD//codA//phnO//hycB//glxR//fau//guaB//
SdiA	
SgrR	aroL//atoB//garD//
SlyA	
SoxR	ahpF//
SoxS	rffG//gor//alkB//pdeL//dinB//hemH//pheT//dgcZ//glgC//glpA//fadE//fdhF//fadB//dinB//waaY//mtlD//nrfC//guaA//metE//tyrB//cysH//psd//glpB//glpK//glgP//wecB//
StpA	araA//lacA//rhaB//
SutR	serA//uxaB//
TdcA	nanE//glyA//speB//prpD//argE//
TdcR	ppiA//entF//uxaC//rfe//paaB//
TorR	trpC//uidA//waaY//wzc//
TreR	dsdA//kbaY//
TrpR	gltB//rffC//cysG//atoB//sdhD//mpl//entH//slt//nrdB//
TyrR	dmsA//yqhD//murI//glcD//rffH//ubiC//tyrB//fadE//mdh//
UhpA	amn//
UidR	ndh//accA//
UlaR	phnO//gltB//gcvT//fruK//pyrC//
UvrY	malP//cysI//
UxuR	fes//lacA//hcp//fadH//ybaS//
XapR	glgA//eda//
XylR	ynfG//paaG//bioF//
YdeO	uxaC//folE//cysH//
YedW	cynT//citG//fadE//
YefM	gntK//
YefM-YoeB	glpB//
YehT	
YeiL	
YiaJ	yfdE//chbG//atoD//metH//gatZ//acnB//
YjjQ	lpd//
YpdB	
YqhC	serA//allE//
YqjI	ulaG//
ZntR	glpK//
ZraR	
Zur	hycD//
