# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	mhpC//dgcC//
AcrR	rutB//ppiA//
Ada	allC//accA//yqhD//ogt//
AdiY	idnK//hcaE//hcaD//nrfA//
AgaR	entF//
AidB	ubiX//
AlaS	frdC//
AllR	mnmG//nrdB//leuC//ychF//talA//malY//
AllS	sucC//folE//mraY//
AlsR	moaE//serA//alsE//
AppY	ugpQ//phoA//
AraC	atoB//accA//xapA//thrS//napC//rbsK//fadJ//
ArgP	folA//oxc//nagA//ung//glcE//mhpB//glgX//ynfH//glcB//
ArgR	sdhB//argB//hypB//purK//oxc//deoB//araB//ruvB//rutA//gcvT//ulaE//murE//phnP//allE//dmsB//paaA//lpxD//aceE//hcaB//accA//umuC//adhE//pncB//
ArsR	phnJ//carA//
AscG	moeA//nfsB//
AsnC	murQ//fucU//
AtoC	gabT//lacA//nfsA//
BaeR	nanA//glyA//
BasR	narH//ulaE//ssuE//
BetI	pck//bioA//pdeL//
BirA	moeA//hypB//fumB//phoA//accC//
BluR	
BolA	lpxC//hemH//
CadC	pnp//ychF//
CaiF	ampC//add//lhgO//ynfE//xylA//
Cbl	gcvT//glpA//lpxD//ldtD//kbaZ//
CdaR	citF//uvrC//gor//moaD//hyi//glgP//umuD//phnP//bacA//
CecR	
ChbR	lpxA//phnN//galT//
ComR	
CpxR	gltB//wzb//ftsI//wecC//rutB//hypF//dmsB//galT//paaY//argG//feaB//sucC//allB//malZ//cysJ//leuB//glpC//phnL//kbaY//fabB//ulaF//
Cra	argF//fabH//luxS//tadA//chbG//ychF//ybjG//hemH//aroL//lpxC//hmp//trpE//nrdD//narI//gcl//uvrB//wecC//carB//fdhF//mhpB//puuC//ubiA//narI//leuC//tam//rutA//lsrG//glgP//ldtD//katG//hemL//atoD//trpA//pyrD//trpA//uidA//argI//bioB//mdh//gudD//eda//moaE//lacZ//dkgA//rbsD//trpD//pheT//deoC//ychF//gatY//paaK//gcvH//malZ//astC//cysM//yeaG//gutQ//araB//metF//hycC//
CreB	dapB//paaI//
CsgD	srlD//gatD//putA//sucC//mnmG//
CsiR	nrdA//caiA//dkgB//nanA//
CspA	truB//
CueR	fdhF//fucO//mltF//waaZ//
CusR	purH//lsrK//ruvA//
CynR	allB//glgA//accC//
CysB	ada//glgP//yeaE//betB//astE//accC//ahpC//argG//idnO//paaB//wecC//prs//entE//lysC//hcaF//allE//fabA//glnA//
CytR	mpaA//ahpF//aroL//sgbU//ubiX//fucI//gcvP//hycB//uvrB//ynfE//
Dan	xylB//uxaA//
DcuR	uxaA//nfsA//fabI//ruvB//
DeoR	allA//bacA//pgaD//ftsI//garD//fbaB//
DhaR	nrfA//
DicA	
DinJ-YafQ	puuC//
DnaA	tdcE//argI//waaZ//pgaC//sucC//patA//
DpiA	luxS//dmsA//carB//frdD//rnpB//
DsdC	pgi//cysJ//
EbgR	
EnvR	argA//dacC//
EnvY	acnA//ada//
EvgA	glcB//mpl//phnJ//relA//katG//phnG//
ExuR	ubiX//ybjG//ychF//paaF//fbaB//phnH//
FabR	hyaC//ahpC//
FadR	fes//murI//dgcC//psd//rbsK//atoB//metB//hypF//gpmM//rfe//fabH//purL//sodA//rhaA//murF//entA//metL//ampC//
FeaR	rhaD//lysC//
FhlA	trpE//hcaB//metB//puuC//dapB//purL//napG//
FlhDC	garL//ada//frc//xapA//citG//paaY//betA//uvrA//aroL//dmsC//citG//
FliZ	mpaA//hcaB//deoD//slt//arsC//
FucR	guaA//mhpA//chbG//ldtD//sgbE//astE//
Fur	nadA//frdD//caiA//allD//yeaE//fucI//paaJ//pyrC//entD//fabI//tdcE//lhgO//metC//galT//sdhB//fruK//ulaE//malZ//psd//sufS//tehB//atoD//gatY//fadM//trpC//glxR//yfbR//pgi//ybjG//polA//tyrA//napG//uxuA//torC//gabD//puuD//ilvC//murQ//deoA//deoA//alaS//frdC//astB//napA//mtlD//pagP//carA//pgaD//cynT//citE//metB//sucA//metB//poxB//gadB//mhpE//moaA//lhgO//gudD//atoA//nagB//hyaB//hypF//
GadE	murQ//gloA//fucU//melA//pykF//srlD//dgcC//rbsK//gcvH//gnd//
GadE-RcsB	yeaE//yeaG//paaB//eda//
GadW	allD//garK//aceB//nrdA//
GadX	dacC//mtlD//cysD//deoD//frdB//yiaK//accD//sgbU//glxK//yiaK//rfe//slt//
GalR	dmsB//frdD//gcvH//glmU//aroG//xylB//
GalS	adhE//thrS//entF//epd//frdD//lldD//
GatR	alaS//fucI//umuD//
GcvA	entA//mdh//tdcB//
GlcC	umuC//torC//glpC//
GlpR	ribA//hcaB//purA//frc//relA//frdC//hcaB//
GlrR	
GntR	purE//napG//leuD//dhaL//paaB//purH//sucC//gcvP//lsrF//
GutM	fabI//waaH//edd//
GutR	gltB//malY//ulaD//
HU	fadE//ynfG//hycF//prpD//rbsD//astC//hyi//
HcaR	allD//atoD//
HdfR	
HigA	hemL//
HigB-HigA	mhpB//
HipAB	gltB//lacZ//
HipB	nrdF//ynfH//acnB//
HyfR	astC//
HypT	fumC//bacA//glcE//hcaE//fadI//murF//yiaK//
IclR	entB//aspA//fabG//
IdnR	ynfE//pgi//idnD//nfsA//mhpB//pfkA//
IlvY	purN//
IscR	tdcE//tdcG//lpxC//wzc//metH//purD//
KdgR	murI//sucB//
KdpE	ndh//
LacI	katG//umpH//ampC//
LeuO	yfbR//tadA//rutA//pyrD//sufS//astD//
LexA	trpA//rutB//metC//carA//lacZ//garK//xapA//ftnA//nanE//ubiA//prpD//allB//ubiX//frc//tnaA//rffH//mnmG//aceE//alsE//umpH//ribA//
LldR	pheS//rsmH//
LrhA	
LsrR	dmsA//ynfH//aceB//dkgB//pgaC//
LysR	mpaA//
MalI	treC//ugpQ//
MalT	tehB//hemL//purN//gltD//sucA//uxaC//
MarA	hcaF//nrdA//ppiA//puuA//glxR//mnmG//xylB//umuC//dmsC//wecB//ascB//fadI//tyrB//entC//ynfH//ruvB//purF//rffH//pflB//pgpC//iscS//nadA//yeaE//
MarR	
MatA	napB//
MazE	atoA//
MazE-MazF	mazG//
McbR	
MelR	mhpB//phnL//
MetJ	murC//purN//napA//feaB//dgkA//entD//argF//udp//xylA//acnB//
MetR	speB//purA//puuC//patD//
MhpR	mnmG//atoB//gcvP//nrdB//nagB//murC//
Mlc	tpiA//glxR//atoA//moaA//
MlrA	hcaD//
MngR	mhpE//dgcZ//
MntR	citX//ybaS//
ModE	nagA//rffT//garK//lpxA//frdD//moeB//mraY//trpB//tnaA//glcE//narG//trpA//citC//thrS//
MprA	dsdA//rhaA//iscS//
MqsA	lsrF//moeB//
MraZ	phoA//mdh//hycC//garK//fau//ynfF//mhpA//bacA//garD//gcvP//phnH//
MtlR	sufS//hcaE//nadB//
MurR	mdh//dhaK//mtlD//
Nac	purH//betA//pck//tyrA//dhaL//astD//lpxC//argH//ubiA//gutQ//
NadR	pyrC//nadA//rpiB//tyrB//
NagC	gatZ//atoB//trpA//gapA//atoA//uxaC//entH//torA//gpmA//serA//sodB//rffG//wzc//idnD//amn//pyrD//entF//murE//umpH//
NanR	adiA//gpmA//accC//ribA//entB//prpC//
NarL	aspA//dgcZ//thrS//yqjH//nrdB//phnP//yeaE//rffH//mhpB//rhaA//uvrA//pykF//xapA//adhE//pnp//leuC//chbG//rutA//ldtD//atoB//gor//cysE//paaB//tdcE//galT//ahpC//moeA//phnI//malS//mhpE//umpH//umuD//torA//purC//allE//paaC//
NarP	rutC//hyaA//cysE//phnM//idnO//moaA//hemL//cysH//paaB//rutE//tdcE//
NemR	lhgO//paaB//
NhaR	ynfH//puuD//tauD//ribA//adhE//
NikR	tadA//
NimR	ahpC//
NorR	ynfF//
NrdR	wzc//lysC//fucA//glmS//
NsrR	cysN//gnd//rbsD//nrfD//mhpB//hmp//cysM//frdD//sgbU//purF//malP//asnB//gnd//nagB//nemA//folA//fruK//fadB//gudD//hycE//frdB//prs//fucU//lpxD//trpE//sufS//uidA//frc//fadB//paaZ//napA//mtlD//phnN//dkgB//mnmG//lacA//
NtrC	fadE//hcp//alaS//putA//sgbE//accA//cysI//paaI//mhpF//lsrG//tauD//alaC//caiD//dkgA//hypB//bglB//paaZ//aroH//eno//garL//xylA//
OmpR	accC//narH//fruK//accB//yqjH//hyaB//tehB//glmU//
OxyR	nrfC//rutE//purF//citD//glmU//sucC//frdD//garR//amn//gatY//aceF//fucA//frc//mltF//
PaaX	feaB//pdeR//prpB//hypB//murF//sucC//hmp//phnH//nrdB//
PdeL	gutQ//
PdhR	mraY//tauD//entA//metE//bioC//puuB//tehB//tadA//aspC//ogt//purF//purH//ppc//glgB//hycG//ynfF//fabI//glgP//puuC//gdhA//fucO//ppiA//cysE//argG//glnA//bioD//
PepA	aceE//lpd//
PgrR	glpA//gadA//
PhoB	mhpC//alsE//tadA//fucA//tyrA//fucI//citX//phnL//dhaM//cysE//hyaB//ulaG//lacA//gapA//sucA//puuE//argC//garD//
PhoP	purE//rhaB//paaY//argD//aroH//lpxC//nrfB//rffH//metB//hcaC//phr//nanK//epd//betA//phnO//trpE//nrdB//phnH//metL//rffH//dinB//fes//dhaL//napB//tdcG//ssuE//allA//alaS//ahpC//ruvB//hyaA//psd//polA//
PrpR	eda//yiaK//aceF//torA//
PspF	rffH//
PurR	gpmA//nrfD//nrfD//nagB//fdhF//phnP//hyaA//lysA//dinB//bioD//tdcE//amn//bacA//purK//purB//entD//alsE//hcp//tam//gadB//wecB//napC//garR//gadA//fadB//polB//
PutA	lysA//slt//
PuuR	caiB//ycjG//umuD//malY//caiD//pykF//
QseB	
RbsR	xylA//paaB//alkA//ada//fadB//iscS//
RcdA	glgC//
RclR	
RcnR	leuA//
RcsAB	alkA//garD//chbF//
RcsB	astE//gutQ//carA//lhgO//
RcsB-BglJ	araB//prs//
RelB	kbaZ//
RelB-RelE	asnB//
RhaR	
RhaS	nanK//moaE//psd//argB//
Rob	kbaY//glxR//pncB//ugpQ//pheT//sdhC//ssuD//alaC//rffG//allC//entC//alsE//talA//glgA//entD//puuE//accD//lpxD//hycC//
RstA	nrdF//hycE//deoD//
RtcR	ftnA//nrdE//
RutR	relA//puuE//ung//glmS//carA//amn//aceA//nanK//xapA//wrbA//phoA//
SdiA	
SgrR	ahpC//luxS//aroL//
SlyA	
SoxR	aroH//
SoxS	moeB//ychF//sodB//cysN//add//tdcE//fadM//pspE//aroH//glmU//galE//hcaC//aspA//ynfG//pheT//pyrD//fbaB//fumB//dhaM//chbF//aceA//sdhB//purE//fabA//fdhF//mngB//
StpA	argD//phnO//sgbH//
SutR	paaI//lsrK//
TdcA	astA//napA//galE//hemH//nirB//
TdcR	citG//poxB//phnM//ynfE//kbaY//
TorR	bacA//lysC//cueO//bioA//
TreR	ssuE//tam//
TrpR	adhE//lhgO//slt//tdcB//gdhA//glgB//ybaS//rnpB//kbaY//
TyrR	atoB//nirB//sodB//atoA//xylA//yfdE//fucI//purM//speA//
UhpA	uvrC//
UidR	entB//tadA//
UlaR	waaZ//pspE//dhaM//folE//ada//
UvrY	fadA//trpA//
UxuR	folE//paaF//glgB//paaK//ftnA//
XapR	glcF//argF//
XylR	paaY//lldD//prpE//
YdeO	waaH//metE//arsC//
YedW	nirB//purM//rbsD//
YefM	gudD//
YefM-YoeB	aroH//
YehT	
YeiL	
YiaJ	wecC//glpK//malQ//trpD//metC//bioB//
YjjQ	ldtC//
YpdB	
YqhC	entA//phnM//
YqjI	gabT//
ZntR	tauD//
ZraR	
Zur	uvrB//
