# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	torC//oxc//
AcrR	murD//waaZ//
Ada	argD//yiaK//nanA//moeB//
AdiY	citF//entF//hcp//lldD//
AgaR	rpiB//
AidB	add//
AlaS	ascB//
AllR	mraY//leuA//rffH//fabB//cysE//yqhD//
AllS	tdcE//uvrA//argC//
AlsR	dsdA//hcaD//guaA//
AppY	glxR//mhpD//
AraC	hcp//malY//paaE//pdeR//deoD//pdeR//hemL//
ArgP	fadB//sucD//paaC//ynfG//tehB//tdcD//metB//lsrG//uvrC//
ArgR	ogt//astA//iscS//metC//nirB//phoA//tnaA//astB//aceF//ulaF//rutC//sdhA//glpQ//rutA//pspE//gabD//hycC//tynA//glpC//lysC//entC//rhaB//rutD//
ArsR	glcE//garL//
AscG	patA//nrdF//
AsnC	pheS//lsrK//
AtoC	phnO//sodB//cysI//
BaeR	glpQ//astB//
BasR	ycjG//rfe//trpE//
BetI	acnB//puuA//nadA//
BirA	citX//alkB//allA//alaS//glpX//
BluR	
BolA	yfdE//paaC//
CadC	murI//uidA//
CaiF	gadB//sgbH//nagB//nrdB//entC//
Cbl	gor//entA//hemL//napH//nanA//
CdaR	galT//lysC//sufS//wzc//malS//prpD//lyxK//yfdE//pgpC//
CecR	
ChbR	paaB//purK//uxuB//
ComR	
CpxR	sgbU//mtlD//rffM//rhaD//trpB//ulaD//yeaE//rutA//glcF//mhpB//citG//glpQ//nrdF//eno//glcF//idnK//betA//atoD//epd//paaC//gpmA//
Cra	hyaB//hcaD//glcB//dhaL//glpA//guaB//phnP//luxS//trpD//pgk//dinB//mltF//napG//phr//frc//tadA//trpC//dmsC//ulaF//glgA//prpB//fadE//tdcD//ldtC//guaA//caiC//ulaD//paaJ//xylB//citG//trpA//alkA//phnG//gapA//ulaD//napC//patA//nemA//sdhC//purK//amn//mhpA//tauD//ampC//nanA//deoC//fabI//asnB//fabH//moaE//paaB//gabT//dkgA//alkB//nanM//trpE//citF//speB//mhpA//ulaD//
CreB	trpD//glxR//
CsgD	ubiA//tyrB//zwf//gadB//mhpB//
CsiR	purC//add//icd//sodA//
CspA	purM//
CueR	nrfC//mhpA//dapD//aceE//
CusR	yeaG//waaZ//dhaL//
CynR	fadB//pgaC//purB//
CysB	purB//purD//ynfF//hcaB//prpE//truB//puuE//wzc//glgP//fruK//napG//fucK//alaC//alaC//nanA//aceB//argA//pyrC//
CytR	puuE//betA//pdeH//waaH//fadH//metA//fbaA//gudD//metC//ubiX//
Dan	napB//murC//
DcuR	hemL//murI//gntK//hycE//
DeoR	mhpA//moeA//gabT//glyA//malS//pdeR//
DhaR	paaI//
DicA	
DinJ-YafQ	glpC//
DnaA	katG//dapB//caiD//bioF//purN//aroF//
DpiA	glgA//argC//entH//mhpF//murC//
DsdC	moaD//lacZ//
EbgR	
EnvR	truB//uvrC//
EnvY	uvrC//ahpF//
EvgA	lpxD//leuC//pgaD//mtlD//paaJ//murI//
ExuR	gcvP//asnA//paaK//ung//dgcC//purM//
FabR	sucB//dapB//
FadR	phnI//pdeR//cysE//prpB//paaI//phnP//deoA//yeaE//hycD//caiC//lpxC//paaB//cdd//trpB//sdhB//nirB//allD//asnB//
FeaR	hycE//sgbU//
FhlA	pfkA//asnA//rnpB//purK//prpB//ogt//pgpC//
FlhDC	hycG//citG//argE//guaA//narI//glk//paaI//citD//frdD//purK//trpE//
FliZ	fabD//ttdB//glxR//cyoE//hcaC//
FucR	lpxA//phoA//paaC//purN//argA//folE//
Fur	cysC//nanM//fadM//wzb//alkA//eda//prpD//kbaZ//nirD//glmU//lsrF//rutC//prpE//mnmG//adhE//sdhB//ynfF//putA//polA//uvrA//ynfE//bioA//entH//paaB//oxc//gapA//argA//ulaD//citE//ddlB//ttdB//waaY//argC//metF//allD//dacC//fbaA//carB//nagB//umuC//edd//glk//tyrB//dsdA//yiaK//fucO//caiB//rffC//sufS//iscS//astE//hypB//lldD//glpA//umpH//ppsA//sucA//prpD//trpD//mtlD//ada//accC//pheT//
GadE	iscS//ruvA//fbaA//glxK//tyrA//chbF//betA//uxaC//moaE//paaB//
GadE-RcsB	rutA//gudD//srlD//pnp//
GadW	mazG//citF//accB//nrfD//
GadX	puuE//glgB//uxaB//gutQ//tdcD//napG//idnK//fucO//tdcB//gdhA//pspE//galK//
GalR	pgaC//cynT//tehB//garL//trpD//sufS//
GalS	uxaA//garR//hcaC//pagP//yfbR//argG//
GatR	entD//puuC//polB//
GcvA	mhpC//fabG//fucA//
GlcC	fadD//trpC//torA//
GlpR	aroF//allE//pepD//araD//purA//paaI//fucA//
GlrR	
GntR	puuA//chbG//poxB//puuA//fucA//gabT//fucI//hcaC//rpiB//
GutM	sucB//slt//lldD//
GutR	puuE//fabB//aroL//
HU	sdhA//torC//nanA//argG//uvrC//sodB//pyrD//
HcaR	caiD//fabI//
HdfR	
HigA	fabH//
HigB-HigA	ampC//
HipAB	hemL//ycjG//
HipB	murI//ynfG//oxc//
HyfR	lpxC//
HypT	glcE//rsmH//ftnA//dkgA//phnJ//glxK//alkA//
IclR	deoA//nrfD//uxuB//
IdnR	lsrK//wzc//lsrF//katE//argA//purB//
IlvY	prs//
