# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	fucU//glpA//
AcrR	gadA//frdD//
Ada	nanK//sodA//tehB//tyrA//
AdiY	phnL//folE//ppc//hycF//
AgaR	appA//
AidB	bioD//
AlaS	metL//
AllR	hycG//alaS//wecB//glpA//amn//sdhB//
AllS	alaC//araB//murE//
AlsR	bglB//asnA//pdeR//
AppY	entH//fucU//
AraC	tdcD//nanE//napA//sdhD//rffH//argI//metA//
ArgP	sodA//trpA//rhaD//lhgO//glmU//dgcZ//bacA//paaJ//iscS//
ArgR	bioF//fadM//fruK//fabD//bacA//astC//alsE//adiA//argD//mhpC//entE//wecB//murG//putA//carB//tadA//pgaB//puuA//gadA//gpmM//fumB//fucO//dhaM//
ArsR	phnH//rffC//
AscG	gltB//guaB//
AsnC	mhpC//aroL//
AtoC	epd//zwf//waaH//
BaeR	hemL//entD//
BasR	mdh//idnO//kbaZ//
BetI	narG//argF//accD//
BirA	add//nagA//gabT//gutQ//gdhA//
BluR	
BolA	wzc//ubiX//
CadC	puuC//caiC//
CaiF	hcaD//nemA//puuC//moaD//rsmH//
Cbl	hycG//hypB//guaB//aceA//hycG//
CdaR	fabG//dmsA//murC//talA//pdeL//gor//purD//pepD//rutE//
CecR	
ChbR	torC//glcF//adhE//
ComR	
CpxR	purF//aroL//mhpB//nfsA//adhE//hypF//umpH//murQ//ubiX//ynfF//fumC//rffG//purB//citC//metA//phnJ//phnH//araB//chbF//rffH//prpE//
Cra	ugpQ//tdcE//pdeL//hypF//nrfD//speA//prpB//rsmH//cysD//caiA//sgbE//paaC//ycjG//psd//pfkA//carB//sucC//gpmA//paaA//nrdE//torC//leuD//bioC//leuC//rnpB//astD//bioB//sodB//dhaL//argF//eno//phnG//gapA//fabA//bglB//ilvC//tnaA//ubiC//psd//lsrG//tehB//caiA//gcvT//tnaA//sdhC//garD//napC//lhgO//fabD//hycD//kbaY//appA//wecB//caiC//glpA//cysC//eda//lsrF//fadA//napH//
CreB	cyoE//gpmM//
CsgD	entH//ynfH//guaB//purC//caiB//
CsiR	dmsA//aroL//trpD//gltB//
CspA	accC//
CueR	ddlB//fabI//argG//bioB//
CusR	puuB//ttdA//ddlB//
CynR	mdh//citF//aspC//
CysB	phnJ//entC//gloA//ynfE//citC//phnH//hyaA//xylB//yfdE//puuB//adhE//ynfF//nfsB//tyrB//nirB//accA//cysD//ppc//
CytR	idnD//fbaB//wzc//rsmH//xapA//ulaE//dgcZ//thrS//yfbR//deoC//
Dan	fumC//nanE//
DcuR	tauD//allC//guaB//yfbR//
DeoR	chbF//citG//bioC//phr//napG//napA//
DhaR	bioD//
DicA	
DinJ-YafQ	bioB//
DnaA	patA//aceF//gnd//hypB//polB//argF//
DpiA	citX//fabG//paaH//yfbR//adhE//
DsdC	paaG//ubiA//
EbgR	
EnvR	guaA//purF//
EnvY	galK//hycF//
EvgA	caiD//nemA//fucK//gcl//rhaD//frdC//
ExuR	glgP//hcp//metK//aspA//xylA//glyA//
FabR	metF//deoD//
FadR	garR//deoA//tdcD//entB//tnaA//nfsB//pgpC//nrdA//ruvA//hycF//wecC//speB//dhaK//fau//alaC//uxaB//glcF//udp//
FeaR	hmp//rutA//
FhlA	hcaE//acnB//lsrK//prpE//asnB//accC//metH//
FlhDC	fucU//rffG//nanK//sdhB//sdhB//fes//trpA//recF//ftnA//murG//slt//
FliZ	lsrK//fadH//guaA//bioB//fucA//
FucR	asnB//nagA//nanE//ssuE//mnmG//atoD//
Fur	hcp//metA//nrdD//allD//fadA//slt//mpaA//srlD//malY//paaJ//garR//tyrB//argG//dkgA//srlD//fes//hycG//argD//murQ//fabI//dmsA//umpH//katG//metB//ulaG//poxB//hyaC//galT//ung//narH//waaY//napA//gor//gatY//bglB//gcvP//entC//phoA//pgaD//ybjG//ribA//bioB//metK//alaS//lpxD//ftsI//fabZ//fabG//cysJ//mltF//allA//ampC//acnB//ribA//fbaA//mngB//entA//sodB//moaA//ascB//arsC//argI//paaC//
GadE	puuC//acnB//malS//nanM//fucA//argD//prs//cysC//uxaB//alkA//
GadE-RcsB	prpC//narG//wrbA//nrdB//
GadW	astA//entH//gabT//tyrB//
GadX	paaJ//allC//gatZ//rutB//lysC//napA//metH//uxaA//nirD//aceE//fadJ//cysM//
GalR	rnpB//mhpA//ubiC//malQ//hyaB//appA//
GalS	moaE//luxS//purH//entE//prpE//trpD//
GatR	dhaL//puuE//cysM//
GcvA	gor//fabH//trpA//
GlcC	zwf//pyrC//xylA//
GlpR	ybaS//argD//acnB//purK//sgbU//citD//dkgA//
GlrR	
GntR	phnP//ampC//glcF//cynT//glgX//deoA//leuC//bacA//glgB//
GutM	eda//citX//yeaG//
GutR	sgbE//citX//ascB//
HU	lldD//atoD//hyaC//ddlB//astC//hmp//glxR//
HcaR	tdcD//cysH//
HdfR	
HigA	serA//
HigB-HigA	dmsC//
HipAB	galK//moaA//
HipB	pyrD//pyrD//dgcC//
HyfR	paaK//
HypT	aroH//lpd//ribA//rsmH//rutE//garD//tauD//
IclR	gutQ//entD//lacA//
IdnR	bacA//yqhD//nrfA//lacZ//pnp//fadJ//
IlvY	cysH//
IscR	ruvA//iscS//fucU//rffC//thrS//fadJ//
KdgR	alaS//lacZ//
KdpE	uvrB//
LacI	gapA//xylB//murI//
LeuO	lpxC//atoA//yeaG//murD//hypF//phnL//
LexA	pgpC//dgcC//gapA//rimK//lysA//galK//prpC//gatY//fabZ//amn//frdC//poxB//malS//allE//accD//glk//caiC//poxB//glnA//amn//accA//
LldR	sucC//rffG//
LrhA	
LsrR	tam//yibQ//nanM//mdh//glpK//
LysR	adhE//
MalI	astD//fabZ//
MalT	paaK//fbaA//purE//citD//citG//sgbE//
MarA	cysM//lpxA//mhpD//nagA//glpD//hycG//pgpC//cysJ//polA//deoB//fabI//carA//prs//xylB//yeaG//napC//uxaC//truB//fadJ//hyaC//phnN//gadB//gor//
MarR	
MatA	entA//
MazE	speA//
MazE-MazF	ubiC//
McbR	
MelR	uidA//glgC//
MetJ	yqhD//ribA//ppc//malZ//glpA//uxuA//yqjH//amn//ubiX//ruvB//
MetR	gcl//phnI//uxuB//phnP//
