# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	araB//ynfF//
AcrR	acnA//phoA//
Ada	lacA//araD//tdcG//purH//
AdiY	rsmH//talA//glxR//eda//
AgaR	araB//
AidB	trpA//
AlaS	cysK//
AllR	tam//tauD//phnG//psd//ubiX//wrbA//
AllS	argC//umuC//nadB//
AlsR	add//asnA//aspC//
AppY	pgaD//bioF//
AraC	citG//dapD//tauD//murI//hcaF//dsdA//rffM//
ArgP	glyA//serA//glpB//mhpB//narG//glpC//rffM//sgbU//purE//
ArgR	hemL//cysC//sucA//hcaD//nrfC//udp//feaB//pyrC//purF//frc//trpD//putA//mazG//paaY//rffM//sdhB//purB//sucD//hycG//katG//glpC//glmU//chbG//
ArsR	lpxD//fucI//
AscG	fucK//fabZ//
AsnC	ftnA//gpmM//
AtoC	metC//melA//tyrB//
BaeR	yqjH//cynS//
BasR	ppsA//fumB//frdA//
BetI	chbG//aceE//glpA//
BirA	gatD//uvrA//deoB//atoA//asnA//
BluR	
BolA	ybaS//uvrA//
CadC	garR//fumB//
CaiF	dhaL//rsmH//purB//uidA//fabH//
Cbl	dacC//trpA//betA//fabB//prpD//
CdaR	nagA//uidA//purH//umuD//hyaC//citG//puuE//oxc//fadA//
CecR	
ChbR	cysN//citX//metC//
ComR	
CpxR	paaH//wzc//edd//dinB//nirD//sucA//malY//rutD//entF//ttdB//fabZ//pheS//speA//acnB//uvrC//dgcC//dapB//glgX//pflB//nrdB//hypF//
Cra	yqhD//fabH//putA//paaZ//rsmH//nfsA//allD//patD//gltD//glmU//araB//sucB//srlD//lacA//pdeL//hycG//puuB//paaY//bioF//pyrD//mhpD//accC//entE//glcD//sdhB//argC//puuA//gapA//araD//purF//prpC//fadI//lpxC//moeB//prpB//rfe//galK//mngB//mraY//purH//ung//citC//allC//nfsB//ldtB//fadM//polB//pflB//rbsK//caiC//garD//luxS//feaB//yqhD//allE//uvrB//rhaD//arsC//hcaE//alkB//
CreB	ahpF//rffG//
CsgD	dapB//dkgA//purK//pdeL//nrdB//
CsiR	rhaD//napH//sgbH//srlD//
CspA	phnP//
CueR	ruvB//argG//entE//gnd//
CusR	purK//eda//atoB//
CynR	aroL//alaC//gapA//
CysB	frdD//lsrG//uxaC//gudD//sucC//paaG//argA//arsC//moeB//cynT//bglB//hyaB//paaB//fabG//accC//ulaF//ssuE//puuA//
CytR	paaB//sucB//allA//rhaB//trpD//truB//sdhA//ugpQ//accB//gpmM//
Dan	talA//murE//
DcuR	phnO//araA//zwf//idnK//
DeoR	astA//sgbU//patA//napG//cysC//gatZ//
DhaR	citE//
DicA	
DinJ-YafQ	entD//
DnaA	sdhD//fabA//fau//moaA//murI//glk//
DpiA	yfbR//dhaL//aroF//lpxC//ynfF//
DsdC	hcaC//cynS//
EbgR	
EnvR	paaG//mhpD//
EnvY	wrbA//eno//
EvgA	dapD//glk//gutQ//lpxC//glpA//paaI//
ExuR	hycD//tehB//ugpQ//aceB//fadB//aspC//
FabR	yiaK//araB//
FadR	sodA//lacZ//purM//glcB//slt//fau//dhaM//rffG//tktB//bioA//argA//entF//entH//sdhD//dapD//narG//gdhA//metH//
FeaR	pgi//accD//
FhlA	hyi//poxB//hcaF//paaA//glpD//ybjG//leuB//
FlhDC	ftnA//araA//bioF//glgB//hcaF//hypF//gcl//malP//phnM//glgP//pyrD//
FliZ	ahpF//astD//fadE//carA//leuD//
FucR	rbsD//napG//mltF//ynfF//fabG//murG//
Fur	nfsB//gcvT//fumB//tdcD//moaD//hmp//lldD//poxB//dapB//pheS//malY//amn//tyrB//nrdF//tdcE//astD//yeaG//paaB//sdhD//ynfF//pdeH//speB//glpA//garD//cynT//nrfA//alaC//trpB//citX//frdC//ppiA//tadA//uvrC//pdeH//glpQ//accA//metK//metK//sdhC//gatD//pncB//gntK//kbaZ//purF//bioA//hypF//rpiB//garL//pgaD//mpl//icd//sdhD//argF//mazG//patA//gatY//murD//puuD//ilvC//fucK//nrfB//acnB//cueO//
GadE	galM//wecB//paaZ//phnI//mazG//pnp//malP//purM//asnA//idnO//
GadE-RcsB	paaK//cyoE//truB//glmS//
GadW	lpxD//yeaG//ynfH//ulaE//
GadX	rnpB//sgbU//galM//phr//yqjH//hcaD//allD//ppc//tdcE//nrdB//glgC//hyi//
GalR	uxaC//tam//nrfA//bacA//cysG//rutD//
GalS	lpd//nrdF//puuD//fbaA//hycF//psd//
GatR	dapD//wrbA//fadA//
GcvA	lpxA//lyxK//astC//
GlcC	araB//trpA//ruvA//
GlpR	patA//cueO//lpd//hemH//ilvC//rutD//yqhD//
GlrR	
GntR	rpiB//glgA//napC//phr//galT//leuB//aroH//pncB//melA//
GutM	glcD//galE//citG//
GutR	fabD//narI//hcaE//
HU	lsrK//rffM//dinB//cyoE//purB//fumB//gltB//
HcaR	ttdA//tdcG//
HdfR	
HigA	murI//
HigB-HigA	mpaA//
HipAB	glk//phnH//
HipB	nagA//gloA//ilvC//
HyfR	trpC//
HypT	cysG//nanM//alkB//fumB//glnA//hmp//xapA//
IclR	nadB//alaC//citX//
IdnR	nagB//dhaK//ftnA//rffC//umuD//puuC//
IlvY	gatD//
IscR	waaY//umuD//gatZ//pdeR//dhaK//lhgO//
KdgR	treC//gcvH//
KdpE	arsC//
LacI	tauD//tam//ruvA//
LeuO	tyrA//glpX//phnP//polA//waaY//ldtB//
LexA	dmsC//trpC//argE//metL//narG//mngB//waaY//pgi//entD//tadA//ada//citC//fadE//idnD//narI//allE//ybjG//sucB//cysN//glcE//araD//
LldR	atoB//rffT//
LrhA	
LsrR	lpxC//purD//yfdE//gnd//murI//
LysR	fabI//
MalI	paaE//sdhA//
MalT	deoC//ruvA//hcp//pck//acnA//ahpC//
MarA	pdeR//cueO//ung//cysC//aroF//napC//mltF//ahpC//trpE//nrdB//treC//galE//paaF//cyoE//gudD//dacC//puuA//nadA//pepD//rbsK//allD//moaA//sucC//
MarR	
MatA	entF//
MazE	rpiB//
MazE-MazF	lacA//
McbR	
MelR	pyrC//ulaG//
MetJ	lpxD//tehB//cdd//nrdF//gatZ//uidA//yqhD//ybjG//yeaE//sgbE//
MetR	moeA//ddlB//paaZ//glpB//
MhpR	metL//ldtB//puuE//ubiA//gadA//uidA//
Mlc	metB//ppc//leuA//citF//
MlrA	folA//
MngR	pepD//dgcC//
MntR	fumC//fdhF//
ModE	rffM//nrdE//rutE//nadA//mhpD//fucI//glk//gutQ//wecC//ruvB//hyaC//hycG//guaB//aspC//
MprA	phoA//galM//katE//
MqsA	rffT//purB//
MraZ	atoB//ascB//yibQ//dkgA//ycjG//sdhD//ulaE//pgk//nrdF//cynS//gpmA//
MtlR	galE//waaH//pspE//
MurR	rutC//feaB//aceB//
Nac	malQ//citF//dgcC//gutQ//purL//gcl//pgaC//fbaB//wzb//guaA//
NadR	alaC//argF//phr//gcvH//
NagC	arsC//cyoE//pspE//aceF//cysI//ugpQ//ubiA//gltB//napB//narH//murF//fdhF//nagA//nanE//carA//entC//ynfF//truB//rffC//
NanR	wzb//hycD//pgaD//aceE//rutC//aceA//
NarL	lysC//hcaF//pyrD//srlD//glpD//dgcZ//pgpC//oxc//argH//putA//paaK//bioF//argI//chbG//speA//pheS//deoD//lyxK//speB//argC//metF//narI//yfdE//ldtB//prpD//ulaD//argA//yibQ//uxuB//asnA//cynS//purL//astC//yfbR//ldtD//astA//
NarP	pflB//paaC//allC//glgP//uvrA//mhpA//lsrG//rhaD//dhaL//mhpC//gapA//
NemR	ybaS//metC//
NhaR	dhaM//nrdA//nrdF//phnM//glpD//
NikR	fadD//
NimR	cdd//
NorR	tyrB//
NrdR	cueO//pncB//astA//murQ//
NsrR	allD//ynfE//purF//eda//glpA//bioB//rnpB//rutE//lyxK//rffM//glcE//prpE//nrfB//torA//rbsD//gutQ//aceB//glpQ//paaK//fabA//narG//argA//accA//yeaG//nfsA//dmsB//paaB//tdcB//katG//gltB//rffC//cysE//entB//ruvB//phnO//xylA//
NtrC	cysN//nanE//metH//gcl//cadA//citG//gadA//lldD//srlD//caiA//murQ//astB//melA//xylA//argG//argG//puuD//pncB//argI//speB//guaB//
OmpR	atoB//katE//acnA//fabZ//metC//gcvH//glpA//paaI//
OxyR	sufS//ribA//metK//argG//garK//rffM//frdA//gloA//tdcE//argH//talA//ssuD//pflB//garR//
PaaX	pgi//hyaC//metC//purC//prs//glcF//leuD//prs//ulaF//
PdeL	ubiC//
PdhR	accB//phnJ//citX//glk//aceE//gadA//purN//treC//betA//argB//ppc//phnO//rffG//ung//fabZ//sodB//nagB//galK//speB//moaE//entE//torA//ycjG//cyoE//hcaB//aroG//
PepA	fadH//sdhC//
PgrR	moaD//ugpQ//
PhoB	yiaK//epd//puuC//purE//nrdE//citF//umpH//galT//citE//galM//ynfE//uxaA//ssuD//glxR//ilvC//zwf//purB//ahpF//
PhoP	atoD//paaI//mpl//slt//allA//fucK//moeB//luxS//nrfC//ldtC//glgP//argG//gpmM//galM//lpxA//dmsC//pepD//paaF//hcp//cysJ//wzb//gloA//rutE//glgX//atoA//sucB//ahpC//xylB//glpQ//rffG//paaG//gcvH//allA//
PrpR	leuA//ascB//hemH//rhaA//
PspF	napB//
PurR	dhaK//folA//treC//citX//slt//sdhD//malP//pgk//ychF//nfsA//pykF//ldtB//glxK//entB//murF//fucI//mpaA//leuA//dmsA//pgk//entF//galM//prpD//ttdB//glpX//nrdD//
PutA	gcvP//slt//
