# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	appA//metB//
AcrR	paaA//phnH//
Ada	wrbA//accA//cdd//prpB//
AdiY	garL//cysC//galT//pgk//
AgaR	murQ//
AidB	glcE//
AlaS	carB//
AllR	argE//guaA//metF//frdD//glxK//mdh//
AllS	hycC//cysD//hycD//
AlsR	frdA//frdA//lsrK//
AppY	gntK//yibQ//
AraC	gcvH//nagB//phr//rffC//astC//allA//idnK//
ArgP	accD//ssuE//murG//ybaS//folA//phr//torA//patA//uxaA//
ArgR	nanK//ribA//fau//metA//appA//uxaA//purC//ribA//rdoA//epd//purC//cdd//nrdB//gnd//ruvB//mngB//icd//rdoA//uvrC//sdhD//ilvC//gltB//ppc//
ArsR	acnB//feaB//
AscG	talA//prs//
AsnC	tpiA//bioC//
AtoC	mdh//gnd//rhaB//
BaeR	gatZ//frdC//
BasR	mhpC//fabZ//fes//
BetI	rsmH//malP//glgP//
BirA	malS//cysJ//ndh//wrbA//ttdA//
BluR	
BolA	uxaC//galM//
CadC	sdhC//atoB//
CaiF	citC//entA//arsC//polA//gcvT//
Cbl	tnaA//wzc//alaS//metL//idnK//
CdaR	yqhD//citF//cysE//fadD//purC//prpC//mltF//rnpB//napA//
CecR	
ChbR	rdoA//cyoE//entE//
ComR	
CpxR	serA//ahpC//mtlD//cysJ//araB//uvrC//aroF//gpmA//frc//tnaA//aceE//hcaC//rffH//rnpB//purF//glpX//ugpQ//astB//rutB//entC//fadA//
Cra	sucB//ahpF//metB//moeB//rhaB//patD//accC//tdcB//lysA//sodA//fadA//accC//trpE//leuB//bacA//ahpC//rffG//hyi//epd//aspC//fabA//aroH//ahpC//cyoE//ppsA//pflB//katG//ilvC//sdhB//feaB//rffM//argD//rffC//trpC//codA//ubiX//ruvB//pgk//sucA//paaB//ppsA//lpxD//dmsA//folE//malZ//phnP//poxB//ilvC//nadA//lpxC//cyoE//nanE//paaK//hycB//aroL//mazG//mnmG//ugpQ//mngB//mhpB//
CreB	mtlD//entD//
CsgD	prpB//betB//cysJ//rffG//moaD//
CsiR	dacC//bioA//fadD//paaH//
CspA	betA//
CueR	pheS//frc//gcvT//cdd//
CusR	gutQ//idnK//galK//
CynR	cyoE//tauD//hycD//
CysB	rnpB//glgA//mhpF//aldA//oxc//sodB//trpE//gor//ulaF//tdcD//astC//bacA//edd//cysC//eno//allC//ampC//xylB//
CytR	trpE//mhpF//metB//cysD//fadJ//rutD//ppsA//uidA//fadA//mhpB//
Dan	arsC//mhpB//
DcuR	rffC//phnM//gabT//metA//
DeoR	lldD//purM//carA//dkgB//prpB//phnL//
DhaR	entD//
DicA	
DinJ-YafQ	fadB//
DnaA	ogt//allB//trpD//hemH//gpmA//tdcG//
DpiA	aceB//gapA//rhaB//mltF//lacZ//
DsdC	mpl//pck//
EbgR	
EnvR	trpB//pyrD//
EnvY	nrdB//paaK//
EvgA	kbaZ//cueO//paaF//cysE//cdd//aceE//
ExuR	tyrA//sucA//purE//lsrF//acnB//fadB//
FabR	cysJ//dgcZ//
FadR	gcvP//araB//idnO//mpl//metA//alkA//chbF//cysI//ugpQ//fes//cysJ//alkB//gpmM//speB//gadB//metH//pgpC//gadA//
FeaR	lpd//tdcD//
FhlA	astA//dmsB//aroG//rutE//mraY//allE//phnG//
