# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	lpxA//phnM//
AcrR	gpmM//entD//
Ada	atoD//asnA//bioA//purE//
AdiY	yfbR//wzb//rfe//dhaK//
AgaR	nrdF//
AidB	eno//
AlaS	citG//
AllR	citD//allC//purL//luxS//fadJ//aceB//
AllS	hypB//nemA//umuC//
AlsR	allE//lacA//rimK//
AppY	deoD//lyxK//
AraC	poxB//tauD//trpD//rhaB//paaH//bioD//folA//
ArgP	frdB//dkgB//ycjG//moaA//folE//gltD//glxR//hycD//sodB//
ArgR	tpiA//fucO//mazG//thrS//deoB//yfbR//astB//chbF//narI//glpC//argH//garK//paaA//fadI//poxB//oxc//trpB//glxK//bioA//paaK//uxaC//codA//ubiX//
ArsR	patA//accA//
AscG	udp//lacA//
AsnC	rutB//leuB//
AtoC	poxB//rhaD//glyA//
BaeR	nrdA//argG//
BasR	paaK//cueO//patD//
BetI	hycC//feaB//ulaG//
BirA	poxB//pnp//rbsD//lldD//dmsA//
BluR	
BolA	rffT//frdD//
CadC	paaK//torC//
CaiF	mngB//lhgO//uxaB//ribA//malS//
Cbl	entB//prpC//cysD//lsrG//galE//
CdaR	atoD//tdcE//purM//frc//hcaC//gpmA//rbsK//uvrB//fes//
CecR	
ChbR	malZ//rffC//aceF//
ComR	
CpxR	pdeR//prpC//araB//ugpQ//bglB//sucB//argE//sgbH//nrdA//oxc//fucI//patA//alsE//arsC//rutD//pdeL//mraY//pheS//purM//argC//alsE//
Cra	moaE//torC//tnaA//rutB//glmS//mpl//lacA//pnp//ynfF//dgcZ//rutE//uxaB//hcaD//purB//fumB//ynfG//paaE//cysC//phnP//glxK//sucB//fucI//phoA//trpC//frdC//rfe//galK//mpaA//fruK//rffC//wecC//rffC//ahpF//glgB//hcaE//paaB//hyaC//purE//phoA//thrS//metB//wzc//nagB//ada//dapB//lacA//prpE//lldD//metE//ttdB//cysH//uvrA//serA//rhaB//galK//wrbA//murC//tauD//sodA//gapA//
CreB	rsmH//tehB//
CsgD	mpl//asnB//nirB//frdA//dmsB//
CsiR	rnpB//pagP//citX//paaI//
CspA	feaB//
CueR	torA//pyrC//fucO//pgk//
CusR	alaC//entC//oxc//
CynR	rutE//cysE//dhaK//
CysB	ynfG//lsrF//tnaA//tktB//aspC//bioB//murI//citE//lsrK//hemH//gcvP//nemA//murE//tam//purF//leuB//phnP//moaD//
CytR	waaZ//pdeR//caiD//deoB//icd//lysC//allD//allD//atoD//deoD//
Dan	allC//prpE//
DcuR	ynfG//ribA//paaB//galT//
DeoR	fucO//aroG//pncB//hmp//nadB//cysM//
DhaR	astD//
DicA	
DinJ-YafQ	purN//
DnaA	arsC//hypB//idnK//pdeH//entF//mdh//
DpiA	tdcB//allD//patD//dhaL//metE//
DsdC	ruvB//metE//
EbgR	
EnvR	puuD//metB//
EnvY	glgB//sucC//
EvgA	gntK//ilvC//purM//deoD//metA//sdhD//
ExuR	accA//pgaC//rpiB//citD//purF//gcvT//
FabR	gabD//wecB//
FadR	dhaK//fadD//pnp//malY//adiA//accA//yiaK//aceB//rhaD//bioA//hcaF//fabD//bacA//glxK//adhE//cysG//fabZ//glgA//
FeaR	frdD//chbF//
FhlA	speA//betB//adiA//kbaY//polA//hypF//ung//
FlhDC	cysI//pck//lpxC//sdhA//carA//fadM//alkB//nanA//tyrB//pfkA//betA//
FliZ	metC//yfbR//ahpF//phnO//umuC//
FucR	rffH//rffG//wecC//pheS//astE//fadJ//
