# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	caiC//pykF//
AcrR	rutD//hcaD//
Ada	aceF//phnL//ogt//sodA//
AdiY	araB//mhpE//dacC//argD//
AgaR	tdcG//
AidB	malS//
AlaS	glnA//
AllR	malP//feaB//entD//leuD//mpl//cysM//
AllS	mltF//galM//melA//
AlsR	mpl//narG//rutE//
AppY	tehB//glpD//
AraC	gpmA//pgaC//metH//gadB//ndh//nrdE//hcp//
ArgP	puuB//argG//tdcG//codA//uvrA//rhaD//trpB//allE//fadE//
ArgR	hemH//udp//sgbU//speA//acnB//gatD//leuD//paaA//phnG//rutA//fucK//glgA//ldtD//puuA//hcaC//sodA//rbsK//epd//gdhA//trpC//ychF//tdcG//narH//
ArsR	phnP//purN//
AscG	umuC//rffG//
AsnC	glxR//lsrK//
AtoC	tauD//hcaE//frdB//
BaeR	entB//tdcD//
BasR	tdcD//bioA//phr//
BetI	narG//yibQ//nrdE//
BirA	gcvH//oxc//wrbA//dgcC//moaE//
BluR	
BolA	tam//purK//
CadC	pheS//entA//
CaiF	ttdA//argI//fadI//uxaA//glpB//
Cbl	epd//phnI//lsrG//paaC//napH//
CdaR	metF//atoD//polA//rutD//allB//murF//fabG//argB//murE//
CecR	
ChbR	fadB//idnK//ldtB//
ComR	
CpxR	purC//purE//bacA//pck//dgcZ//mhpE//phnO//citF//paaH//uidA//dgkA//entE//ddlB//purK//caiA//hyaC//wzb//pgi//narG//deoA//pheT//
Cra	purN//polA//nadA//argG//alsE//nirB//allA//fabZ//bioA//pykF//idnK//xapA//glgP//aceE//dgcZ//murE//phnO//malQ//glyA//speB//galT//malZ//mhpE//pyrC//tehB//nfsB//ung//phnP//nrfA//caiA//fadM//carA//ppc//gntK//lhgO//uvrC//patA//nirD//leuB//cysK//rimK//cueO//ldtC//paaZ//pdeL//glmU//fabI//poxB//gadA//fes//hycE//acnA//phnN//fadH//purH//fabG//alkB//prpD//moaA//mhpE//
CreB	hcaB//rffG//
CsgD	uxaB//yfbR//nagB//wrbA//fabG//
CsiR	tdcD//fbaA//yqhD//allD//
CspA	sdhC//
CueR	gadB//frdC//dapD//rbsD//
CusR	glyA//aroH//guaA//
CynR	relA//nrdA//leuD//
CysB	rutA//edd//glcD//pgaB//dgkA//iscS//gpmM//torA//yiaK//uxaB//ychF//aroF//alaC//glpK//idnO//asnB//moeA//narI//
CytR	mngB//tynA//araB//aceE//garD//murD//argH//lpxA//phnM//phnI//
Dan	phnH//purB//
DcuR	nrdF//nanK//patA//gabD//
DeoR	paaF//rimK//yeaG//dhaM//lhgO//pflB//
DhaR	nemA//
DicA	
DinJ-YafQ	tdcG//
DnaA	puuD//nanE//citE//glcE//dhaL//argC//
DpiA	nanA//paaZ//glnA//argE//lsrK//
DsdC	purN//ahpC//
EbgR	
EnvR	pspE//gpmA//
EnvY	gatZ//aspC//
EvgA	betA//gcvH//fabI//glnA//nanA//allA//
ExuR	purE//torA//astD//fucK//arsC//gudD//
FabR	sdhB//glpX//
FadR	cdd//cadA//ssuD//gudD//fabH//pgaB//fadB//pck//lysA//glpX//argB//tam//patA//allB//purL//glgP//glpQ//rbsD//
FeaR	katG//cysH//
FhlA	nrfD//carB//nrfB//fadB//ascB//gadB//carA//
FlhDC	deoB//gcvT//gdhA//gadB//deoA//dapB//gatZ//gcvT//guaA//mltF//ahpF//
FliZ	nemA//lsrG//nrfD//ubiC//ruvA//
FucR	pgi//argD//allE//uxaA//hyaA//hypF//
Fur	gcvP//ftsI//paaF//lsrK//idnO//fabZ//frdA//galM//ahpC//narG//rbsK//araB//uxaA//gdhA//ampC//ahpF//uidA//icd//entE//napG//ldtB//rdoA//luxS//murG//deoC//gor//tdcG//hypF//ulaF//phnN//pdeL//allB//sucD//aspA//sodA//edd//uvrA//alkA//aceB//purB//uxuB//malQ//cueO//mnmG//aspC//ttdB//allB//ldtC//alaC//gltB//gcl//leuA//paaF//paaH//puuC//glpB//pnp//aceA//paaJ//pgaD//leuC//nfsB//leuA//
GadE	deoA//lacA//lyxK//tam//deoD//trpA//moaE//astB//gapA//murQ//
GadE-RcsB	purA//deoB//hmp//puuA//
GadW	glgB//murF//gpmM//mngB//
GadX	ada//pheS//chbF//cysN//moaA//ppiA//nrfC//cyoE//aceE//add//astE//umuD//
GalR	mpaA//prpE//entE//aroF//purC//pnp//
