# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	aroF//tauD//
AcrR	fbaA//cueO//
Ada	dacC//dkgB//ada//codA//
AdiY	bioA//edd//nrdA//pgaD//
AgaR	purF//
AidB	dmsA//
AlaS	nrfC//
AllR	yibQ//pheS//gatD//cdd//carB//paaG//
AllS	glxK//atoB//glpQ//
AlsR	aspC//rbsK//poxB//
AppY	galK//ulaD//
AraC	phnP//garD//citD//nrdF//serA//phnM//cynS//
ArgP	ybaS//pepD//tnaA//murQ//frdB//adhE//carA//rutD//glcB//
ArgR	fumC//dhaM//lpxA//wrbA//pgaB//lldD//bioB//hypB//rimK//accC//purE//arsC//hyaC//nagB//glcF//fadA//fruK//rbsD//rffC//mpaA//lacA//ycjG//glpQ//
ArsR	fabG//poxB//
AscG	ssuD//serA//
AsnC	allD//malQ//
AtoC	aldA//dkgA//pck//
BaeR	tyrA//metE//
BasR	cysM//paaZ//cysH//
BetI	tdcB//rhaD//sgbE//
BirA	cdd//malQ//amn//galE//putA//
BluR	
BolA	gpmA//metB//
CadC	slt//aceA//
CaiF	ynfF//rhaA//dgkA//paaG//leuA//
Cbl	citG//fes//yfbR//tynA//araD//
CdaR	thrS//lysC//argB//araA//phoA//entD//rhaB//lsrK//ppc//
CecR	
ChbR	paaF//rnpB//ssuD//
ComR	
CpxR	icd//psd//frdB//citG//fucO//ldtD//gcl//ynfH//cysM//pdeH//purA//tdcE//gor//ldtB//moaA//mhpA//rfe//ldtD//frdA//ampC//umpH//
Cra	malS//mraY//ampC//fadE//umuC//cyoE//hycG//dacC//fau//bioF//lhgO//argB//sgbH//ttdA//fes//mltF//ruvB//ttdB//citF//garD//alaS//pncB//cdd//xylB//metH//accC//argB//rdoA//psd//phnJ//umpH//frdD//fabA//uidA//purH//phnL//relA//galE//garR//prpD//ulaD//pgi//nemA//glgX//fucU//ribA//betA//hmp//argH//argB//lldD//cysE//deoA//galK//rsmH//araB//ascB//metK//udp//mdh//
CreB	gpmA//araD//
CsgD	napB//glpK//mhpD//pfkA//murE//
CsiR	fabA//garD//caiC//purM//
CspA	kbaZ//
CueR	uxaB//aroG//carA//nrdB//
CusR	entF//malY//uxaC//
CynR	alkA//nemA//mhpD//
CysB	glgA//deoB//fumB//cysM//acnB//folA//rhaD//aspC//accB//patD//acnA//alsE//paaA//galT//entF//betA//nagB//hycG//
CytR	glpA//hypF//glpX//udp//nfsA//phoA//ycjG//aceF//lhgO//ulaD//
Dan	gatD//accD//
DcuR	carA//fumB//serA//garK//
DeoR	uxaB//purH//rffG//metE//carA//ssuE//
DhaR	murQ//
DicA	
DinJ-YafQ	gadB//
DnaA	fes//glpB//folE//lpxC//mhpF//hcaE//
DpiA	folE//glgA//purK//astC//galE//
DsdC	pspE//entF//
EbgR	
EnvR	betA//araB//
EnvY	argI//gltB//
EvgA	fabA//paaZ//araB//rffH//cysC//nagA//
ExuR	fucA//glcB//fbaB//paaI//sucC//bglB//
FabR	nrfC//ilvC//
FadR	dkgA//rffH//hycB//purD//rnpB//ulaD//xapA//sgbE//speB//leuC//glgX//aroG//ulaE//talA//fbaA//ynfG//nrdE//ulaD//
FeaR	sdhC//argH//
FhlA	lsrF//trpA//glpD//glxR//deoA//phnI//moaE//
FlhDC	deoA//dinB//ybjG//prpE//bglB//atoD//yfbR//cysK//phnM//tktB//bioB//
FliZ	kbaY//metH//adiA//tdcD//phoA//
FucR	purB//aceF//umpH//dapD//add//frdC//
Fur	moeA//serA//fabI//ftnA//puuB//citC//xapA//waaZ//tktB//prpB//accC//mdh//purK//malZ//bioC//chbG//ftnA//ddlB//rffM//glpB//entC//psd//mhpB//rbsK//ulaF//metH//sucA//atoD//purH//hycG//argG//glk//entC//xylA//ulaD//sucB//cysH//ogt//dhaL//gor//murI//nrdA//mpl//citC//bglB//leuC//argA//bioB//metC//napA//fadE//pnp//tynA//wecB//ppiA//hyaC//gudD//ascB//galM//gcvT//argC//nrfD//sdhC//
GadE	dhaK//ychF//malQ//asnB//pck//hcp//fabH//oxc//lpxA//tdcG//
GadE-RcsB	metF//hcaB//malY//gapA//
GadW	carA//aldA//aroF//glcB//
GadX	fbaB//napA//ung//prpE//umpH//astE//hcaD//pgaD//ahpC//pgpC//paaZ//ldtD//
GalR	bioD//cyoE//citG//fabI//aroG//deoA//
GalS	waaH//kbaZ//chbG//glpC//xapA//glmU//
GatR	ilvC//metE//rutC//
GcvA	idnD//ilvC//leuA//
GlcC	nadB//wzb//purB//
GlpR	lysA//hycF//sdhC//glpA//malZ//ttdA//purA//
GlrR	
GntR	trpC//gadB//ulaG//putA//fbaA//pyrD//cysI//recF//murF//
GutM	cdd//frdA//deoC//
GutR	lacA//frc//glcE//
HU	nagB//sdhD//tdcE//moaA//tktB//fabB//add//
HcaR	rnpB//bioF//
HdfR	
HigA	nagB//
HigB-HigA	rnpB//
HipAB	ahpC//rffT//
HipB	dsdA//cdd//paaI//
HyfR	hyi//
HypT	glxK//patD//dkgB//cynT//gdhA//icd//fes//
IclR	fucA//murE//nanM//
IdnR	ychF//argF//argI//nanK//metF//argE//
IlvY	trpA//
IscR	alkB//astA//mltF//cdd//hycF//glxR//
KdgR	lsrK//murD//
KdpE	fadJ//
LacI	napC//pgaD//glpC//
LeuO	rutD//uidA//aldA//paaE//moaE//rffM//
LexA	ascB//allC//rdoA//rhaD//moeA//chbF//fau//ampC//bioC//oxc//aspC//uxaA//fabG//gdhA//entC//allD//trpA//mhpC//codA//citG//paaF//
LldR	ruvB//napB//
LrhA	
LsrR	hemL//aceA//moeB//dkgB//rfe//
LysR	dgcC//
MalI	gatZ//ulaG//
MalT	glpC//sodA//fucU//pgaC//rutC//rffH//
MarA	idnO//sdhA//fabH//malY//deoD//pck//cueO//glpA//dkgB//bacA//glpC//ampC//glcB//srlD//pgaC//fabZ//murG//cadA//tynA//pdeR//sufS//ycjG//glcB//
MarR	
MatA	sodA//
MazE	polA//
MazE-MazF	nrdF//
McbR	
MelR	hycF//rffG//
MetJ	allC//fes//murD//tdcB//gatY//paaG//murD//ssuE//folE//paaG//
MetR	chbF//hycB//betB//sodB//
MhpR	rsmH//purN//dkgB//psd//bioD//hyaB//
Mlc	rffC//fabG//prpC//fes//
MlrA	asnA//
MngR	nrdE//deoD//
MntR	bioA//nrfD//
ModE	rutC//puuC//bioA//ttdB//tktB//frdC//tam//atoA//deoA//glk//purA//metC//araB//argG//
MprA	udp//chbG//sucC//
MqsA	edd//lldD//
MraZ	paaB//ldtD//speA//argB//ynfG//betB//waaH//rsmH//citG//purB//appA//
MtlR	paaB//hycC//glgC//
MurR	hyaC//fadD//glcB//
Nac	gntK//argH//lpd//cysK//phnN//ppc//ycjG//nrfB//nrdA//mngB//
NadR	argD//tdcG//waaH//pyrD//
NagC	accB//uvrC//glpB//nrdA//prpC//rffG//glpA//glgC//paaF//malP//fabG//phnJ//moeB//murF//aroG//ascB//uxuB//pck//galE//
NanR	glyA//prs//aspA//ynfG//mhpF//treC//
NarL	glpK//tpiA//aceE//caiA//cdd//wecB//hyaA//puuC//phnL//hcaF//rhaB//frdD//entD//purA//cysE//fabB//sgbH//sodA//atoB//luxS//pflB//uxaB//argA//paaI//glmS//ppc//pdeL//metF//codA//glxK//murG//glpK//hycF//entD//nanE//edd//
NarP	yfbR//fabD//metH//hcaB//fadE//nirD//nrfB//sdhA//edd//pyrC//fes//
NemR	citG//murI//
NhaR	citF//fabH//dapB//argG//purB//
NikR	codA//
NimR	phoA//
NorR	iscS//
NrdR	speB//phnL//glk//hcaF//
NsrR	psd//uxaB//sgbE//alaS//paaA//gpmA//mltF//lsrF//bioD//serA//prpD//ynfH//glgB//prs//ubiC//trpD//epd//nirD//luxS//ulaG//tdcD//edd//metK//malP//narI//rnpB//ampC//truB//purN//nadB//uxaB//gpmA//phr//cysE//nrfB//srlD//
NtrC	galE//napB//purA//hcaD//gadB//pgk//yqhD//iscS//glmU//gatZ//alaS//katE//fabG//hyaC//wecC//murF//ogt//rutA//puuB//fadH//waaH//
OmpR	paaH//aldA//hemL//pdeR//glgP//citC//paaK//ldtD//
OxyR	ldtD//tktB//caiC//purK//ubiA//cdd//lsrK//aroH//gadB//chbG//murD//ybaS//garK//metB//
PaaX	ampC//uxaA//nrfC//alsE//pfkA//napB//bioD//glk//hypF//
PdeL	ung//
PdhR	icd//frdD//frc//rffG//metB//ruvA//yibQ//fbaA//rutB//paaC//aroF//hyaC//gor//rffT//gloA//gcvT//glpA//idnD//gatD//trpD//glpD//metL//ychF//deoA//cysE//truB//
PepA	lhgO//hcaB//
PgrR	aceA//cysG//
PhoB	pyrD//dmsC//ahpF//aroF//uvrA//dmsA//mltF//ttdA//fdhF//sufS//asnB//fbaA//ulaF//glgB//alkA//fadB//sufS//wrbA//
PhoP	argE//gnd//dapB//gltD//nrdB//guaB//lacZ//fadD//uvrC//glgC//ybaS//rffH//glyA//trpB//lysA//ttdB//murE//fumC//glgX//lpxD//patA//leuA//patD//yiaK//aroH//purH//yibQ//dkgB//metA//napH//pheS//tyrB//sucD//
PrpR	melA//dacC//hemL//ynfG//
PspF	phnI//
PurR	ogt//ppiA//adiA//lpxD//cysG//pyrD//lsrG//ppc//murD//rutE//malS//gcl//puuE//torA//sdhD//patD//rffC//rutB//fadJ//gatD//astE//tynA//leuB//uxaA//caiA//ybjG//
PutA	gor//nanK//
PuuR	deoC//rhaD//frdD//srlD//fucK//dgkA//
QseB	
RbsR	glgB//acnB//edd//hypF//gltD//uxaA//
RcdA	yfbR//
RclR	
RcnR	gcvH//
RcsAB	cysI//putA//hypB//
RcsB	zwf//patD//ttdB//glcE//
RcsB-BglJ	mngB//accB//
RelB	umuD//
RelB-RelE	nrdB//
RhaR	
RhaS	tdcE//gor//rimK//purA//
Rob	mpl//ung//yqjH//slt//cadA//torA//paaJ//gapA//icd//astB//hemL//gutQ//xylB//gutQ//dacC//talA//paaE//ttdB//nanK//
RstA	metL//caiD//sdhC//
RtcR	lysA//gor//
RutR	aceF//fabH//torA//cysN//appA//fucO//cdd//deoD//hycB//accB//rhaB//
SdiA	
SgrR	pdeH//frc//gdhA//
SlyA	
SoxR	cysG//
SoxS	gabT//argG//lyxK//malZ//frdB//metH//sucC//waaZ//argA//ahpF//fadI//accA//murD//hypB//acnA//cdd//mpl//purE//cysJ//purH//fes//rffM//rutD//fbaA//fau//mhpA//
StpA	purM//pnp//slt//
SutR	tdcD//gdhA//
TdcA	ybaS//speB//metB//kbaY//hcaE//
TdcR	rutA//dmsC//xylB//argF//cysN//
TorR	pheS//pncB//napG//hcaC//
TreR	tam//sodA//
TrpR	patD//rbsK//hycD//patA//ynfE//pgi//nanE//pgpC//glpQ//
TyrR	pfkA//phnJ//gloA//acnA//hcaF//sodA//uidA//pdeH//prpC//
UhpA	narG//
UidR	uvrC//arsC//
UlaR	hcaC//murE//nirB//aceF//argD//
UvrY	mhpB//gor//
UxuR	galE//torC//lsrF//uxaC//pdeL//
XapR	tadA//glpD//
XylR	astC//argH//chbG//
YdeO	truB//glnA//purM//
YedW	lhgO//hycD//rimK//
YefM	metB//
YefM-YoeB	mazG//
YehT	
YeiL	
YiaJ	hyi//ttdA//fumC//phnJ//napG//alsE//
YjjQ	fadD//
YpdB	
YqhC	puuE//ubiC//
YqjI	xylB//
ZntR	hcaC//
ZraR	
Zur	serA//
