# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	murG//napG//
AcrR	sucB//dapB//
Ada	cysE//pdeL//relA//sdhB//
AdiY	tauD//sodA//patA//astD//
AgaR	lsrF//
AidB	nanM//
AlaS	gadB//
AllR	glmU//fbaA//dacC//napB//pagP//pck//
AllS	aroL//aldA//ascB//
AlsR	napB//sucB//fabA//
AppY	uxaC//narG//
AraC	speB//sodB//alkB//napA//zwf//entB//kbaY//
ArgP	carA//ahpF//atoB//trpE//mpl//acnA//argI//katG//wecC//
ArgR	paaE//prpD//cysI//argI//feaB//citX//rutC//allB//murF//rhaD//murF//sdhD//carA//nagB//thrS//adhE//mhpF//dhaL//gnd//fadD//tyrA//leuC//adhE//
ArsR	accC//fau//
AscG	yqhD//guaB//
AsnC	araA//frdB//
AtoC	paaK//sgbE//murE//
BaeR	yeaE//araD//
BasR	metF//rffG//pepD//
BetI	lpxA//cynT//malP//
BirA	citG//caiA//xylB//bglB//yeaG//
BluR	
BolA	ubiA//nfsA//
CadC	aceE//asnA//
CaiF	mpl//glpC//umuD//rutE//phnO//
Cbl	paaA//alsE//argG//entD//puuC//
CdaR	zwf//astE//fumC//cynS//glpA//amn//sdhD//ddlB//argF//
CecR	
ChbR	ftsI//allB//phnO//
ComR	
CpxR	hcaC//paaE//chbG//fabI//uxaB//hyaB//alkB//dapB//ychF//katG//sdhA//rpiB//glpA//icd//rffM//pykF//nirB//sucC//napG//citD//rutD//
Cra	tpiA//alaS//hcaF//fbaA//glpX//entC//gdhA//trpC//cysJ//murE//ubiX//astE//hemL//talA//hycB//pdeH//rutA//galE//yfdE//leuB//paaH//purC//hcaC//metK//pncB//cysC//sdhB//pspE//hypB//ynfG//citX//murG//accD//prpD//uxuA//rpiB//cysM//sgbH//purN//rpiB//napA//waaZ//poxB//fadE//mhpA//phr//uxuB//dmsA//relA//paaK//allD//lpxA//ychF//glgB//folE//dacC//phnI//hmp//gcvP//tdcE//
CreB	sucD//atoD//
CsgD	paaI//kbaY//hypB//ruvB//glpQ//
CsiR	murF//nrfC//accB//mhpD//
CspA	citF//
CueR	patD//fadJ//ahpF//phoA//
CusR	argA//rpiB//sgbH//
CynR	fadA//argD//gpmA//
CysB	cysE//tktB//hcaB//purH//tehB//nagA//ftnA//dmsA//ahpF//lpxA//cadA//lacA//yiaK//gcvT//dhaL//gltD//deoC//speA//
CytR	cysM//tpiA//hcaE//gntK//frdB//fabZ//edd//glgB//umuD//argC//
Dan	glnA//ftsI//
DcuR	gapA//gltB//glgA//murE//
DeoR	pdeL//ftnA//caiB//psd//uxuB//galK//
DhaR	sgbH//
DicA	
DinJ-YafQ	hcp//
DnaA	pflB//napB//puuC//add//tam//chbG//
DpiA	mpaA//moaD//gatZ//entH//dmsC//
DsdC	galE//hemL//
EbgR	
EnvR	ftsI//ampC//
EnvY	cynT//metH//
EvgA	melA//tdcG//glpB//dkgA//gadB//ahpC//
ExuR	pepD//leuD//citC//hycF//wzc//bioC//
FabR	tauD//sucA//
FadR	ubiC//torC//chbF//paaC//gor//entF//hyaA//araA//rutA//alaC//cdd//garL//phnN//sucD//pheT//katG//ynfF//nrdD//
FeaR	cysH//hcaE//
FhlA	gcvT//torC//caiA//hcaF//metK//gatY//fadE//
FlhDC	trpA//yqjH//frdB//phnM//fumB//nrfC//xylA//ung//hemL//sdhB//hycC//
FliZ	gcvP//rffM//glcF//ampC//tpiA//
FucR	gor//frdD//hcaF//bioB//dmsC//ahpF//
Fur	puuE//srlD//dmsB//astD//fabZ//dapD//glyA//alkB//hycD//hycF//ttdB//torC//hcp//fabG//dhaM//gutQ//puuE//gatD//cysH//metH//glmU//argC//wzb//uxuB//ulaF//ulaE//fucU//aroH//nanA//rutB//hcaE//phnI//aroG//lldD//acnB//talA//gnd//pgi//phnJ//tpiA//phnH//eda//allD//nirD//pflB//trpC//alaC//gcvT//gudD//luxS//malQ//paaH//pyrC//katG//waaY//entC//leuD//frdD//prpC//ybjG//nanA//yfbR//rffC//
GadE	mhpF//cdd//sodA//cysJ//puuB//dgcZ//rffC//ribA//garD//phnM//
GadE-RcsB	argF//add//dsdA//fruK//
GadW	acnB//hcaC//waaZ//murG//
GadX	cysJ//dhaL//dmsC//paaC//fumC//torC//cysJ//rutC//cysG//mazG//narI//thrS//
GalR	ssuE//sufS//acnA//uxaC//dapB//allB//
GalS	gltB//purM//uxuB//srlD//cyoE//paaZ//
GatR	mltF//bioD//fadB//
GcvA	cueO//idnK//argF//
GlcC	frdD//yeaG//hycG//
GlpR	mltF//malZ//lysA//tauD//garK//pfkA//xylA//
GlrR	
GntR	guaB//gnd//yeaE//fadI//pheS//relA//phr//nadB//galT//
GutM	entA//fucA//glgA//
GutR	frdA//ahpC//nrfC//
HU	gpmM//trpE//glgX//dgcC//lsrF//atoD//hcaE//
HcaR	argG//xylA//
HdfR	
HigA	nanA//
HigB-HigA	luxS//
HipAB	glpB//mraY//
HipB	talA//purC//paaZ//
HyfR	alaS//
HypT	bioA//fabD//uvrA//murG//rffG//puuA//hyaA//
IclR	dapB//hcaB//sgbE//
IdnR	trpD//fadD//add//pfkA//glpA//folE//
IlvY	glcB//
IscR	galK//nfsA//dhaK//mdh//acnA//ulaF//
KdgR	hemL//lacA//
KdpE	argA//
LacI	cysN//puuC//dgcZ//
LeuO	glgA//tpiA//ycjG//cysC//hyaA//bioC//
LexA	dgcZ//dhaM//phnP//poxB//atoB//patD//mhpD//fucA//glgP//pncB//paaF//glnA//purA//mhpB//uxaB//pgpC//fdhF//accD//torA//hemL//ldtD//
LldR	asnA//bglB//
LrhA	
LsrR	prpB//mngB//ttdA//murC//allB//
LysR	mltF//
MalI	accD//paaG//
MalT	paaF//narG//sucC//hycB//slt//gadA//
MarA	bacA//ldtC//rhaB//rnpB//yqjH//feaB//entH//ppsA//lacA//leuD//lysC//lsrG//ftnA//nfsA//argG//ppc//fadE//alsE//cysJ//sufS//napG//bglB//tdcE//
MarR	
MatA	prpE//
MazE	argH//
MazE-MazF	malY//
McbR	
MelR	paaF//gapA//
MetJ	paaB//poxB//arsC//wecC//yeaE//yiaK//yeaG//melA//gcvT//aroG//
MetR	nagA//glpX//treC//pgaC//
MhpR	ilvC//glgX//gabD//hycC//lacZ//udp//
Mlc	phoA//glpX//rhaD//caiB//
MlrA	metK//
MngR	ynfH//lysC//
MntR	idnK//polA//
ModE	tadA//astE//araA//dgkA//nagA//moeA//rutB//phnG//tynA//napA//pfkA//phnO//kbaZ//sdhD//
MprA	napA//purH//alkB//
MqsA	mpl//lacA//
MraZ	katG//alaS//fadJ//accC//napC//sucC//dapD//argG//ynfH//bioA//cysM//
MtlR	allD//ldtD//gltD//
MurR	phnN//carB//nrfC//
Nac	allA//gcvP//bioF//ung//rfe//glgX//trpE//malS//sdhD//napB//
NadR	cysD//ftnA//metA//hcaC//
NagC	argI//alaC//puuE//purC//leuB//gor//rutE//lacZ//allB//puuB//ynfF//malY//sdhB//gdhA//pgaB//sucC//glk//fadH//ampC//
NanR	gdhA//xylB//rhaA//umuC//nrfA//deoD//
NarL	glxK//nirD//entE//guaB//cysJ//tktB//astA//nrdF//sgbH//pck//puuE//gadA//leuB//rutC//xylA//uxuB//folE//tktB//alaS//yqhD//deoB//malQ//puuD//carB//rbsD//aroF//ldtD//astC//fucA//waaY//hycC//gadB//pyrD//gor//gntK//aceF//
NarP	fucO//ascB//metF//sucC//galE//torA//sdhD//sdhA//entA//cynT//metB//
NemR	hycB//ribA//
NhaR	malZ//frdD//pfkA//dgkA//feaB//
NikR	tnaA//
NimR	sodA//
NorR	cadA//
NrdR	nagB//glpC//chbG//metL//
NsrR	glcF//aroG//gatD//cyoE//moaE//adhE//phnO//adiA//moaE//hemL//yeaG//gatD//fbaA//ugpQ//rpiB//idnO//uxaC//trpB//glmS//argH//sodA//murI//ruvB//tyrA//cysM//bioF//entD//mhpF//betB//moaD//garR//nrfD//purC//betA//tdcD//ddlB//
NtrC	trpA//hycG//phoA//tdcG//glpX//gabD//fabA//murG//rhaA//malS//uxaA//aspC//rutC//uvrA//pck//argH//adiA//ftnA//mhpF//gabT//fadE//
OmpR	lacA//relA//nrfA//fucU//prs//hycD//napB//yiaK//
OxyR	psd//polA//glxK//sucB//purA//citF//poxB//trpA//rnpB//dapB//lpxA//ubiC//fumB//ynfH//
PaaX	phr//aspA//paaY//dmsB//araB//recF//edd//nrfC//garK//
PdeL	entC//
PdhR	cysN//fabB//fadB//katE//cadA//chbG//phnP//nirD//hypF//deoA//phnM//yeaE//pykF//pgk//lacZ//frdA//frdD//putA//fbaA//mpl//fabI//gor//uvrC//atoA//glpC//wzb//
PepA	argG//cysG//
PgrR	thrS//mraY//
PhoB	sucA//dhaL//gabT//glpA//cysJ//metB//pgk//gltB//rffM//murE//mpl//aroL//lpxD//glpC//betA//ampC//uxaC//chbF//
PhoP	citG//argE//malQ//galM//fadH//nanA//glcE//mdh//lsrF//idnO//cysD//rutA//eda//alaS//wzc//cysJ//oxc//malP//hcaE//tyrB//mhpB//moeB//nanE//hcaE//hycF//allA//fumB//cysD//astC//accC//citX//folE//betA//
PrpR	guaB//fabZ//entB//leuD//
PspF	uxaA//
PurR	acnA//fabG//ubiC//cdd//katE//trpC//moeA//bioA//aspC//leuA//murG//lpd//aceB//ubiC//bioB//rbsK//araA//ung//allD//sgbH//ldtC//murQ//ung//rffM//paaK//ttdA//
PutA	hcaC//frdC//
PuuR	rimK//uvrA//rbsD//gltB//phnH//deoC//
QseB	
RbsR	lpxC//uvrC//paaA//ribA//metL//moaD//
RcdA	paaK//
RclR	
