# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	metA//aroF//
AcrR	astE//uvrC//
Ada	murF//hycD//tnaA//nrdD//
AdiY	pdeH//dhaK//fadB//cynT//
AgaR	fabA//
AidB	paaB//
AlaS	phr//
AllR	garL//alkA//aroL//trpE//ahpF//allA//
AllS	paaK//citD//mhpD//
AlsR	moaE//allE//hcaD//
AppY	fadE//ldtD//
AraC	luxS//fadJ//metF//mltF//pgaB//sucC//uxuB//
ArgP	entF//xylA//napA//murD//mhpA//prpE//pspE//mhpF//nrdA//
ArgR	betA//ybjG//yfbR//nrdD//gpmA//paaE//sucD//paaA//hycE//napB//ynfH//tktB//tdcB//putA//ndh//sucA//glpQ//entE//ada//paaA//gudD//gadA//eno//
ArsR	kbaY//moeB//
AscG	fucA//gcvH//
AsnC	gntK//dgkA//
AtoC	puuD//fucK//ldtC//
BaeR	lhgO//atoA//
BasR	wzc//fadB//frdD//
BetI	patA//ulaD//purK//
BirA	ybjG//glgX//glcE//argD//entE//
BluR	
BolA	frc//leuC//
CadC	garD//hcaB//
CaiF	phoA//nrdF//wecC//fabD//glpK//
Cbl	entE//allB//katG//entE//entD//
CdaR	murE//paaG//cysM//oxc//iscS//umpH//folE//nrfD//glpA//
CecR	
ChbR	napC//glgP//nrfD//
ComR	
CpxR	glgX//gltB//mltF//pdeH//dmsA//araD//glpX//wecB//fadD//galK//carB//pheS//entF//sdhD//hcaE//rfe//glgB//trpC//ynfE//aceE//chbG//
Cra	gapA//uxaC//uxuB//glgB//tynA//aroL//pdeH//waaY//pgi//rfe//umuD//astE//tpiA//entE//aceB//nrdE//rutA//deoD//uxaA//nrfD//paaZ//slt//purL//nemA//nfsA//mtlD//deoC//purH//cysK//hcaB//frdB//uxuB//sucC//ubiC//cysC//tam//umpH//fadA//citD//rimK//hcaF//fdhF//tktB//ogt//allE//rutA//phnH//truB//purD//murG//narH//aroH//argG//oxc//murF//ruvA//dgkA//uxaA//dsdA//lsrF//
CreB	pdeH//malP//
CsgD	cysK//moaA//dhaL//metB//gnd//
CsiR	frc//torA//glyA//phoA//
CspA	argG//
CueR	accD//dgcZ//yqjH//lpxC//
CusR	frdC//fdhF//ubiA//
CynR	pgaD//mhpD//ugpQ//
CysB	astD//phoA//hemH//aroG//prpC//mazG//pgpC//trpA//fadM//psd//astA//glcE//ynfF//purE//yiaK//tyrA//entH//wzb//
CytR	mngB//accB//rffT//eda//trpA//fabD//trpE//prpD//galE//prpB//
