# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	mngB//phnM//
AcrR	cysC//deoD//
Ada	rimK//napH//bioC//paaE//
AdiY	purL//citG//metL//ascB//
AgaR	ulaF//
AidB	allD//
AlaS	lacA//
AllR	nanA//aspC//ribA//entH//cadA//frdD//
AllS	tynA//dgcC//rutD//
AlsR	cysM//argE//pspE//
AppY	appA//hycG//
AraC	chbF//phnG//glcF//astA//yeaE//entE//gntK//
ArgP	bacA//ftnA//accD//argG//mdh//glcD//wzc//fucI//garK//
ArgR	kbaY//mngB//ahpF//sucC//phnO//idnD//epd//pgaC//cynT//tktB//slt//asnB//astA//entF//bacA//rsmH//wecC//katG//leuA//purC//sdhD//prpC//pgi//
ArsR	patA//cdd//
AscG	dgcC//asnA//
AsnC	glgB//allD//
AtoC	argE//caiA//glk//
BaeR	paaZ//entB//
BasR	cysI//ung//hcaD//
BetI	glpA//fucO//nrdF//
BirA	mpaA//udp//treC//xylA//malY//
BluR	
BolA	glcE//gnd//
CadC	truB//waaY//
CaiF	cdd//dmsC//kbaZ//metK//moaA//
Cbl	mhpC//malZ//argF//nfsB//gor//
CdaR	lysC//tehB//gor//cysK//alaS//ftnA//pepD//metB//glgP//
CecR	
ChbR	allD//dmsB//hypF//
ComR	
CpxR	lldD//tam//guaB//cysK//ulaG//pepD//aceA//pgi//mpaA//astD//treC//glgC//add//mpl//sodB//sgbH//ldtC//ubiC//atoA//glmS//phnG//
Cra	uxaB//hemH//puuB//rffG//paaI//leuB//argG//prpD//glcD//ampC//glgX//phnM//fadA//moeA//phnO//dsdA//talA//hycF//hyaA//ldtB//nfsB//araB//lacZ//lsrG//garK//cdd//ulaF//acnB//lsrG//murE//argD//ppiA//glgB//gntK//lsrF//argI//ybaS//sgbH//glpD//bioD//purA//rutC//fabD//purE//nagB//gntK//cynT//mpaA//fadI//purL//murD//malZ//leuA//pykF//astC//xylB//cysJ//fabH//gpmA//narH//
CreB	dsdA//fbaA//
CsgD	xylA//pfkA//malS//paaC//narH//
CsiR	purB//nanK//uxaA//gor//
CspA	caiA//
CueR	hycB//accA//citE//fadD//
CusR	glmU//mpaA//rhaA//
CynR	ubiA//leuD//ycjG//
CysB	phnM//dhaM//allC//xylB//edd//metC//nrdF//sgbU//rffM//lpxA//rffH//fes//fadB//cysK//lyxK//rnpB//eda//dmsC//
CytR	prpD//aceA//chbF//dhaK//accA//argH//ldtC//nrfB//tehB//cueO//
Dan	moaA//glpB//
DcuR	cyoE//argF//nadB//uidA//
DeoR	ppsA//murD//mpaA//purD//glpC//ribA//
DhaR	amn//
DicA	
DinJ-YafQ	adiA//
DnaA	glgP//recF//malZ//yeaG//ndh//tktB//
DpiA	nfsB//glcB//paaJ//cysM//alaC//
DsdC	accA//metK//
EbgR	
EnvR	fruK//fadI//
EnvY	galK//moaE//
EvgA	argA//ycjG//mhpA//purN//rsmH//accC//
ExuR	alaS//entD//sucD//tyrA//moaE//napG//
FabR	nanE//lpxD//
FadR	prpD//waaY//prpD//yiaK//rimK//gatD//garK//gntK//entE//ugpQ//gudD//folA//glpB//pepD//yiaK//rnpB//tktB//nrfC//
FeaR	napA//uxuB//
FhlA	nadA//cysD//yfbR//uxaB//cadA//mtlD//malP//
