# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	malP//hycE//
AcrR	paaK//tnaA//
Ada	glgA//fadH//dhaK//umuC//
AdiY	rimK//talA//dmsC//mhpC//
AgaR	mazG//
AidB	glpA//
AlaS	murD//
AllR	murE//eno//uxaC//hypF//metE//fau//
AllS	fes//murF//torC//
AlsR	betB//garD//gltD//
AppY	citC//yeaE//
AraC	pgk//xylA//dhaK//atoD//ybjG//trpC//fumC//
ArgP	leuB//fabA//nfsA//gloA//mhpE//tauD//phnJ//kbaY//udp//
ArgR	pck//speB//dmsB//gdhA//pheT//murF//hycB//fucK//fabZ//purM//nanK//cyoE//astC//astA//mdh//narI//prpE//entB//lldD//rimK//mtlD//polA//fau//
ArsR	citF//sodA//
AscG	paaC//phnO//
AsnC	aldA//citD//
AtoC	rbsK//yqhD//purC//
BaeR	sucA//bioD//
BasR	putA//cysC//katG//
BetI	rsmH//uvrA//cueO//
BirA	caiD//garD//rutE//torC//fadA//
BluR	
BolA	betA//paaF//
CadC	rffC//glcB//
CaiF	phnH//cysK//moeA//glgA//hycE//
Cbl	ppiA//fumB//guaA//putA//citG//
CdaR	pdeR//astA//appA//paaZ//metC//aspA//citG//ugpQ//aspC//
CecR	
ChbR	hcaE//purH//dmsB//
ComR	
CpxR	paaC//trpC//metH//sucD//dhaM//codA//glgX//aspC//wzb//phnL//fadM//fes//lsrK//atoB//metB//argF//pagP//purL//xylA//ycjG//malS//
Cra	fabZ//gabT//garL//hypB//fabG//dmsB//glcE//nadA//paaY//udp//glgC//dmsB//nrfD//fabZ//serA//yeaG//uxaB//wzc//gloA//trpE//gloA//puuE//yeaE//argF//mazG//wrbA//ddlB//melA//sgbH//pgpC//bglB//tam//serA//fucI//pdeH//glgB//sucC//glgA//ahpC//phnO//argF//pyrD//sucC//fucO//mhpE//fucK//rsmH//pdeR//uxuA//dinB//hyaA//cysN//asnA//folA//fadH//arsC//bioD//alsE//tdcE//cynT//
CreB	accD//gudD//
CsgD	acnB//gntK//glgA//ogt//paaA//
CsiR	ldtC//glgB//frc//nrdA//
CspA	phnJ//
CueR	pspE//betA//purL//galT//
CusR	glcD//dkgB//mhpA//
CynR	metA//aldA//fucO//
CysB	ftsI//poxB//malP//ynfG//napG//dinB//uidA//patD//argG//pyrD//pflB//hycD//pflB//entC//feaB//aldA//nemA//aroF//
CytR	accB//nanE//cueO//pdeL//nanK//ttdB//sucB//garL//rffH//gpmM//
Dan	murI//nanE//
DcuR	fadE//mhpB//speA//nfsA//
DeoR	deoC//mhpD//ynfE//sgbU//asnB//kbaZ//
DhaR	alaC//
DicA	
DinJ-YafQ	nrfA//
DnaA	hemL//glpX//poxB//trpC//moaD//trpC//
DpiA	putA//yibQ//glcE//rffM//lyxK//
DsdC	chbF//nfsB//
EbgR	
EnvR	nemA//oxc//
EnvY	lpxC//dapB//
EvgA	tktB//purN//entH//moaE//paaZ//ddlB//
ExuR	ycjG//torA//slt//rnpB//ynfF//galE//
FabR	cysN//thrS//
FadR	astC//frdC//nrdE//puuE//alaS//cynT//napB//cynT//aspA//speB//xylB//umuD//rutC//amn//sgbE//lhgO//ahpF//tdcE//
FeaR	sufS//mnmG//
FhlA	sdhD//nirB//folA//purK//entE//ubiA//katE//
FlhDC	argC//frdB//glyA//waaH//metH//rhaA//dkgA//glpC//allD//glk//uxaA//
FliZ	glxR//uidA//paaI//fabH//edd//
FucR	ldtD//fadM//cynT//hcaC//rutB//trpC//
Fur	puuB//tehB//pncB//citD//dgcC//guaB//moaA//phnL//glyA//rutA//caiA//astC//ulaD//purM//fabD//gatZ//garL//leuD//metL//epd//aroG//mngB//rbsK//sgbH//glk//ilvC//recF//wzc//recF//wecB//ahpC//gatZ//citX//frdA//fabZ//ftsI//pgk//purH//glmS//atoA//mhpA//dmsB//pgi//alaC//gabD//gcvH//argB//hcaF//dmsB//phnN//hycD//appA//nirB//deoB//epd//rffH//puuE//gadB//galM//wecC//pyrC//patD//polA//
GadE	cysN//xapA//prpD//guaA//entA//pykF//ilvC//glpQ//uvrB//oxc//
GadE-RcsB	rdoA//glyA//pheT//fadJ//
GadW	hycD//allA//gabD//puuC//
GadX	uvrB//zwf//bioF//srlD//ychF//lsrK//fdhF//argC//narH//dmsB//araD//eda//
GalR	glmS//entA//glmU//tnaA//fadA//cysD//
GalS	sucA//pdeL//metK//araA//cysJ//fruK//
GatR	glgP//pgaC//tauD//
GcvA	nanA//alkA//mhpF//
GlcC	mhpF//pheT//idnD//
GlpR	bioD//atoA//paaJ//hcaF//tehB//lpd//kbaZ//
GlrR	
GntR	purM//astD//iscS//cysH//ulaE//carB//mraY//gapA//gcvP//
GutM	glgX//mltF//glcE//
GutR	yibQ//cysN//thrS//
HU	napB//hcaC//phnM//trpB//lsrK//dhaK//polA//
HcaR	malP//phnP//
HdfR	
HigA	treC//
HigB-HigA	ldtC//
HipAB	yiaK//ychF//
HipB	malY//kbaZ//fau//
HyfR	mtlD//
HypT	mnmG//lsrK//ttdA//katG//ruvB//sucD//galK//
IclR	aspA//gltD//waaH//
IdnR	fumC//ulaE//ubiX//dhaM//glcD//gpmM//
IlvY	wecB//
IscR	moaD//cysI//nrdF//metF//paaJ//hyaA//
KdgR	dapD//nirD//
KdpE	murI//
LacI	metE//fadM//ahpC//
LeuO	purL//gcl//phnN//accD//mngB//argC//
LexA	sdhA//asnA//narG//hycD//ubiA//yeaE//citX//paaZ//waaY//cysC//xapA//paaY//glpA//frdC//appA//trpD//fbaA//atoB//leuD//glyA//gcvT//
LldR	uvrC//cyoE//
LrhA	
LsrR	murF//fucO//sdhB//fadA//moeA//
LysR	argC//
MalI	nemA//adhE//
MalT	gatY//glcD//feaB//fucA//tdcG//purE//
MarA	trpC//hycB//glcE//mhpA//ssuD//fumB//astD//edd//astE//glk//bioF//fucO//trpD//paaH//lysA//oxc//ahpF//rbsK//dgcZ//napG//glcF//cysJ//ldtC//
MarR	
MatA	purA//
MazE	glpD//
MazE-MazF	paaY//
McbR	
MelR	nirD//hycE//
MetJ	hyi//ddlB//ppc//glmU//entA//recF//waaY//narH//allA//uxaC//
MetR	alkB//gapA//ascB//ampC//
MhpR	ldtB//tktB//wecC//paaG//nrdA//deoC//
Mlc	bioD//bglB//eda//rhaA//
MlrA	alsE//
MngR	argD//lysC//
MntR	lyxK//araB//
ModE	phnL//adiA//zwf//glnA//argB//uxuA//sodA//galE//wecC//murI//pck//prs//phnN//caiC//
MprA	pck//dmsA//trpE//
MqsA	ung//wecB//
MraZ	sucA//hcaB//idnK//fes//yfbR//uidA//phr//pgpC//ilvC//allB//aroF//
MtlR	uxaA//rutB//waaZ//
MurR	gadB//caiC//gor//
Nac	nirD//glnA//relA//metF//yeaE//rutB//paaJ//guaA//fes//cysE//
NadR	edd//fau//yqjH//leuB//
NagC	gpmM//glmS//entA//nrfC//entB//purK//xylA//acnB//ttdA//malP//pspE//leuD//ahpC//entF//dhaK//gabD//ldtD//accD//dgkA//
NanR	pykF//glk//ynfH//murD//mhpF//poxB//
NarL	ssuD//wecB//fruK//fau//wecB//tauD//atoD//hmp//luxS//uxuB//glpK//accC//accD//metF//napH//citG//mhpA//sgbU//yqhD//cadA//xylA//pgaC//fbaA//gutQ//cysJ//amn//paaK//treC//nadB//pykF//paaE//thrS//astA//serA//wrbA//accB//
NarP	waaH//argC//asnB//trpA//murD//napH//sucB//lpxC//hycC//murE//gor//
NemR	citF//ldtD//
NhaR	ssuD//eda//murQ//hyaC//dkgA//
NikR	nrfD//
NimR	tdcB//
NorR	umuC//
NrdR	nrdA//gabT//metA//ldtC//
NsrR	pgk//atoD//arsC//trpE//napB//tadA//yqjH//mpl//bglB//cysD//glgB//katG//rffM//sdhA//treC//pyrC//garK//ada//cysG//chbG//deoD//nrdB//nadB//nrdF//carA//yqhD//malY//trpE//paaC//nrdD//fucO//bglB//tdcG//glcF//talA//trpB//
NtrC	paaG//cyoE//phr//lsrK//purF//hypB//murG//glpX//yeaG//murG//gadB//narI//glgP//garL//cysK//pfkA//sucB//lpxD//mraY//dmsB//hemL//
OmpR	lsrK//atoA//astC//argI//hemL//ascB//napG//malY//
OxyR	cysI//cysC//paaG//dkgA//dmsC//ribA//caiB//folE//bacA//mngB//dgcC//oxc//ynfE//bacA//
PaaX	leuC//hycG//frdB//hycF//dsdA//kbaZ//purN//moeB//xapA//
PdeL	hcaF//
PdhR	mltF//allC//ssuE//trpB//phr//argE//aroL//fabI//sodA//prpD//dgcZ//gloA//aceE//yeaE//puuE//fumC//frdA//rffC//garD//ycjG//mhpC//rhaA//argD//glnA//glpQ//argH//
PepA	fabG//guaB//
PgrR	pheS//bioC//
PhoB	hyaB//leuC//tpiA//mnmG//nrfD//leuD//glpA//sufS//fadD//allE//ttdB//araA//paaY//malS//feaB//sgbU//pgaD//metL//
PhoP	hycE//cyoE//fucA//murC//dgcC//murI//entH//paaY//rffT//hemH//ruvB//mhpA//fucA//purH//cysC//lpxD//malP//entB//speB//phnN//cueO//aldA//glxR//trpD//dinB//puuB//malZ//patA//citG//cdd//araB//hyi//ldtB//
PrpR	rffT//murI//icd//zwf//
PspF	hycC//
PurR	hcaF//polB//hyaC//accA//ppsA//rffT//hemL//ybjG//patD//cdd//gabT//argA//gor//gnd//aceE//dacC//ftnA//prs//frdD//fadJ//entF//garR//nirD//dgkA//epd//ruvA//
PutA	gatY//phoA//
PuuR	rimK//sodB//tdcG//wrbA//gabD//idnO//
QseB	
RbsR	galM//sdhB//tyrA//sdhD//glcB//speA//
RcdA	rffC//
RclR	
RcnR	bglB//
RcsAB	astE//garR//purL//
RcsB	fbaA//phoA//rnpB//mazG//
RcsB-BglJ	napC//glnA//
RelB	nirB//
RelB-RelE	aceB//
RhaR	
RhaS	dmsB//hyaA//fumC//aroH//
Rob	gcvT//dinB//xapA//yqhD//ampC//srlD//glgB//nanM//nfsB//murG//phnI//hycF//puuD//rutA//napH//phnP//pncB//rffC//deoB//
RstA	argC//paaK//speB//
RtcR	speB//guaB//
RutR	purF//entC//putA//gadA//nfsB//uxuB//malS//murF//nrdD//gltD//cadA//
SdiA	
SgrR	glxR//rutD//paaF//
SlyA	
SoxR	aroL//
SoxS	glpK//metL//gabT//phnI//moaA//astD//yqhD//nrdB//hycD//katG//uxaB//puuB//caiD//cysK//glgC//fucI//narI//ynfG//nrfB//prpD//carA//argH//nanE//wzc//slt//hemH//
StpA	narI//dgcC//hcaD//
SutR	lldD//glmS//
TdcA	metH//astA//pfkA//glxK//moeA//
TdcR	gpmM//glpK//aroL//murQ//argC//
TorR	gadA//wzb//bioA//paaH//
TreR	mhpE//fucI//
