# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	aspA//mhpE//
AcrR	dmsA//dkgA//
Ada	talA//poxB//kbaY//sgbH//
AdiY	pgaD//moaD//feaB//lacA//
AgaR	hycE//
AidB	bioA//
AlaS	alaC//
AllR	lldD//fucU//alaS//hyaA//hemH//prpE//
AllS	bioD//fes//purC//
AlsR	tnaA//malQ//wecB//
AppY	tehB//poxB//
AraC	prpE//gadA//entA//fucI//zwf//srlD//cysK//
ArgP	aroF//mhpA//xylB//cynT//tktB//ttdB//mhpD//nirD//paaH//
ArgR	truB//sdhD//garR//ubiA//fadB//moaA//purM//alkA//eda//phnI//ulaD//glgP//atoB//cynT//cysH//kbaZ//fadI//puuB//purD//hycB//malZ//nanM//mpl//
ArsR	purK//fadH//
AscG	nrdB//napG//
AsnC	ybaS//tam//
AtoC	guaB//murD//tyrB//
BaeR	uvrC//pnp//
BasR	citE//citD//waaY//
BetI	katG//mhpA//dkgA//
BirA	argH//moaE//trpB//entB//sgbU//
BluR	
BolA	moeB//metK//
CadC	gcvP//wzc//
CaiF	allE//phnM//phnM//ynfF//lhgO//
Cbl	napB//purD//galT//fadA//galT//
CdaR	fadE//glxR//tdcB//dgcC//citX//argG//rpiB//nrfA//gcl//
CecR	
ChbR	mraY//tnaA//prpB//
ComR	
CpxR	ftsI//dapB//gapA//gapA//umpH//frdC//fucK//pyrC//fucU//mhpD//tdcG//gadA//accA//argA//dapD//polA//zwf//luxS//lyxK//uvrA//atoA//
Cra	entF//hcaC//rdoA//putA//yeaG//hyaB//mtlD//paaI//pspE//dgkA//allC//pgaB//purM//lacZ//glgA//entE//paaI//fadM//glpK//phnP//rhaB//ddlB//nrfC//gntK//pepD//purL//gcvH//phnM//rffH//moaE//gutQ//rffG//atoB//paaZ//wrbA//glxK//prpC//sucB//uvrC//phnN//hcaF//dgkA//ldtB//lpxC//trpC//mhpA//glcD//glcE//hcaB//lyxK//nfsB//tam//entE//lysA//katG//glgP//napA//speA//bioD//uxaB//
CreB	lacA//pgaD//
CsgD	galT//uvrB//aceF//treC//citF//
CsiR	metC//serA//wzc//glpQ//
CspA	rdoA//
CueR	asnB//paaJ//metB//yibQ//
CusR	cysC//ybjG//ulaF//
CynR	metE//glxR//mraY//
CysB	wzb//tpiA//pfkA//malP//codA//glgA//add//uvrB//waaY//dgkA//accD//fadH//deoB//yqhD//umuC//rutA//metB//carA//
CytR	araA//yfdE//glpX//narI//fabI//nagB//carB//glgC//puuA//gadB//
Dan	mhpA//entD//
DcuR	codA//ttdA//ung//purA//
DeoR	lpxD//metH//dmsC//cysN//garR//tdcD//
DhaR	murD//
DicA	
DinJ-YafQ	yqjH//
DnaA	rhaD//uxuA//rbsD//codA//bioF//nrdA//
DpiA	codA//ubiX//cueO//paaY//lpxD//
DsdC	nadA//torA//
EbgR	
EnvR	nanK//lhgO//
EnvY	sdhC//caiA//
EvgA	dmsB//prpB//astD//uvrA//uxaC//araB//
ExuR	leuA//bglB//paaA//ynfG//astD//fabG//
FabR	gltB//napC//
FadR	puuC//nanE//murE//glgC//rdoA//lpxC//pck//glpA//allB//fabD//pfkA//hypB//purC//dmsC//fabD//iscS//rnpB//glmS//
FeaR	entE//eno//
FhlA	purH//cynS//cysJ//speA//sucD//lldD//gatY//
FlhDC	hemH//serA//ycjG//rbsK//lpd//treC//frdD//appA//ftnA//mltF//argA//
FliZ	fes//fadH//garK//rhaA//lldD//
FucR	puuC//phnP//glgX//fadJ//phnP//dgkA//
Fur	glxR//gutQ//carA//yiaK//tyrA//argE//serA//edd//hypF//glyA//acnB//glgA//caiD//carA//gcvP//leuB//gadB//ascB//cyoE//nrfD//glnA//lsrF//pfkA//tdcE//nrdD//ulaE//melA//rutE//xapA//add//trpD//ssuD//gpmA//kbaZ//malQ//kbaY//sodB//adhE//adhE//mraY//chbG//mltF//tyrB//mraY//gdhA//gatY//rutA//pdeH//guaB//uxuA//metK//cysK//ada//lysC//hyaB//pgaD//leuC//ruvB//speA//astA//garK//hycE//fbaB//
