# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	hemH//nrfD//
AcrR	malY//cysJ//
Ada	garL//pagP//glpK//rutB//
AdiY	melA//mraY//fadI//ruvB//
AgaR	gdhA//
AidB	gnd//
AlaS	sodA//
AllR	deoB//ilvC//feaB//betA//nrdE//nrfD//
AllS	garL//puuD//serA//
AlsR	patA//citF//argI//
AppY	gabD//acnB//
AraC	tadA//hycF//waaY//recF//phnP//fumB//glcB//
ArgP	sodA//hypF//carB//umuC//recF//glxR//araB//gor//rutE//
ArgR	hycC//ampC//ampC//thrS//frdB//uxuB//entB//bglB//patD//xylB//relA//puuE//lsrK//sdhB//wzc//cysK//cysI//ndh//prpC//glxK//tdcE//metA//speB//
ArsR	bacA//gatZ//
AscG	acnA//glpB//
AsnC	astA//mnmG//
AtoC	add//trpE//phoA//
BaeR	moeB//prpB//
BasR	acnB//gloA//sucD//
BetI	rhaB//yeaG//idnD//
BirA	guaA//guaA//nrdD//nrfC//mhpD//
BluR	
BolA	fadA//leuD//
CadC	entF//gudD//
CaiF	metA//fadI//lpxA//bioF//lsrF//
Cbl	amn//betA//ynfE//lpd//prpB//
CdaR	pgpC//citG//betB//puuD//epd//atoD//aceF//cysE//wzc//
CecR	
ChbR	nrdF//dapD//paaA//
ComR	
CpxR	gadB//citE//hcaE//moaE//allD//nrfC//gcl//purH//paaY//hcaD//pfkA//gabD//astA//argI//gadB//ttdA//entH//gcvP//fabD//prpD//nemA//
Cra	slt//leuA//ubiA//nemA//aldA//dgcC//phnH//prpE//folA//pyrD//purM//hyaC//gpmM//gabT//nadA//pnp//sdhA//narI//talA//codA//glnA//purK//tktB//aroH//ddlB//pheT//glgA//ynfE//hcaF//ynfH//umuC//mhpC//fruK//ruvB//ldtB//pdeL//purB//paaY//uxaA//icd//mdh//citX//ulaE//rutE//dhaM//phr//ybjG//iscS//mpl//nanA//citX//talA//gnd//bioC//cysD//mhpA//fadE//pyrC//fbaA//hyaC//
CreB	fes//ubiX//
CsgD	garL//fabD//entA//ubiA//ttdA//
CsiR	dapB//zwf//chbG//trpD//
CspA	putA//
CueR	galM//chbF//hcaC//trpE//
CusR	umpH//purF//gor//
CynR	rbsD//glgB//pheT//
CysB	katE//rffT//lpxD//cysN//dacC//mngB//purH//phnL//gapA//fadE//entF//atoA//garD//ruvB//ldtC//gcl//araD//glnA//
CytR	fau//ascB//srlD//ftsI//murC//yeaG//deoA//mazG//dkgB//mhpE//
Dan	malZ//yeaG//
DcuR	dmsB//yiaK//glk//nfsA//
DeoR	ftnA//xylA//argI//hyaB//metK//moeA//
DhaR	hycD//
DicA	
DinJ-YafQ	murC//
DnaA	fucO//aceF//lpxD//kbaZ//poxB//murE//
DpiA	sdhA//bioF//gor//paaZ//pfkA//
DsdC	umpH//cysG//
EbgR	
EnvR	purM//glpA//
EnvY	hycF//hycD//
EvgA	lysC//rpiB//fabH//adiA//psd//entE//
ExuR	dacC//paaZ//yeaE//ubiC//pepD//ogt//
FabR	paaZ//ychF//
FadR	cysM//idnK//gpmM//rbsK//ynfG//metB//citX//napB//ynfH//glgC//ruvB//paaE//astE//caiA//allA//astA//ynfG//mdh//
FeaR	pdeH//eno//
FhlA	gcl//paaB//nagA//bioA//narG//glpQ//lysA//
FlhDC	glcB//dkgB//yibQ//moaE//purM//idnK//tynA//dgkA//rffC//add//rffH//
FliZ	dkgB//puuA//trpE//paaZ//tadA//
FucR	rffM//narI//fadA//ahpC//psd//glpC//
Fur	ttdA//hycG//ddlB//frdC//rffH//garR//nirB//murQ//fadA//cysE//hycC//purF//chbG//fbaA//astA//paaA//astA//aspA//pgk//poxB//phr//pnp//ftsI//malP//yfdE//gltD//glcF//fucU//rffC//cysK//rfe//sufS//pgaC//metH//ubiA//lsrK//pfkA//fucU//gntK//ilvC//argD//rbsK//fadH//astC//mltF//iscS//asnB//hmp//hyi//arsC//fabZ//gcvH//entB//caiD//fucK//fau//pncB//rhaA//betB//wzb//napC//trpB//ttdA//
GadE	ruvB//recF//metA//dkgA//dmsB//metH//phnJ//rdoA//cysC//phnP//
GadE-RcsB	puuB//sucB//murE//paaE//
GadW	acnA//metA//paaH//uxaA//
GadX	ychF//gatD//ftnA//cueO//glcF//napA//cysE//rpiB//lldD//trpB//ulaE//umuC//
GalR	carB//fucO//tdcD//glpC//gcvH//pgpC//
GalS	uvrC//puuC//umuD//tpiA//gcl//waaZ//
GatR	chbF//rutE//nrdA//
GcvA	eda//hyi//amn//
GlcC	gabD//ascB//dmsB//
GlpR	rfe//metL//ftnA//fadB//glpK//guaB//galM//
GlrR	
GntR	slt//frdD//glyA//deoB//pgaD//puuB//sodB//nanE//luxS//
GutM	rimK//nrdE//adhE//
GutR	citX//glcD//icd//
HU	dhaK//mdh//icd//guaB//nrfD//nanA//dmsC//
HcaR	murG//rdoA//
HdfR	
HigA	astC//
HigB-HigA	glpB//
HipAB	gutQ//glpC//
HipB	nrdD//napG//rhaD//
HyfR	gltB//
HypT	amn//atoB//ascB//polA//torC//lsrK//bioC//
IclR	araD//purL//umpH//
IdnR	caiB//caiB//xylB//rffC//gpmM//purH//
IlvY	moeA//
IscR	dhaM//carA//treC//trpD//rimK//fadI//
KdgR	araA//chbF//
KdpE	pgaC//
LacI	argC//hcaD//hemL//
LeuO	nrdF//lacA//murE//lldD//dkgA//alkB//
LexA	amn//tyrA//yqjH//mpaA//katE//hemH//phnN//gatY//dapD//folE//galK//cysK//mngB//ssuD//ada//acnB//araD//cueO//rffC//entE//pdeL//
LldR	hypB//mpl//
LrhA	
LsrR	ahpF//gadB//sucA//ulaD//purB//
LysR	chbG//
MalI	wzb//acnB//
MalT	paaC//ttdB//rutD//cysG//fabG//alkA//
MarA	fdhF//phoA//moaE//dmsA//metA//sufS//yfdE//hemL//pflB//feaB//hyi//uvrC//entH//aceA//purH//aceA//nanK//nadA//purL//napA//rfe//fadB//trpC//
MarR	
MatA	ftsI//
MazE	gltD//
MazE-MazF	sgbE//
McbR	
MelR	nrfA//ubiC//
MetJ	mltF//entD//gcvH//gadB//phnH//leuA//prpB//phnH//nrdA//ddlB//
MetR	gadA//aspA//lsrG//aceF//
MhpR	dhaM//chbF//napA//fabD//trpB//recF//
Mlc	betB//citE//cadA//mpl//
MlrA	fadD//
MngR	dmsC//torC//
MntR	dhaL//paaY//
ModE	gatY//phr//talA//epd//astE//sucD//citX//carA//sucB//xylB//uidA//yfdE//citF//yeaE//
MprA	rutC//aldA//ulaE//
MqsA	acnA//entB//
MraZ	ada//moeA//rbsD//purK//pgk//rffM//glcB//pck//ycjG//purM//nirD//
MtlR	fucO//accB//uvrB//
MurR	accC//xylB//ppsA//
Nac	moaD//glyA//phnI//metC//yfdE//lsrF//trpC//glcF//wzb//napA//
NadR	cysH//gpmA//cyoE//kbaZ//
NagC	mngB//astB//mpl//iscS//yfdE//cysM//pgaB//icd//allD//nfsB//ahpC//betB//garL//ascB//alsE//prpB//gcl//nemA//dhaM//
NanR	wecC//gcl//dinB//gntK//dgkA//pfkA//
