# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	gntK//dacC//
AcrR	hyaB//ribA//
Ada	galT//relA//allE//astB//
AdiY	hemH//fadE//dkgA//garD//
AgaR	fabD//
AidB	cysD//
AlaS	atoA//
AllR	ddlB//lpxA//uvrB//rpiB//ahpF//allD//
AllS	hcaC//lysC//garD//
AlsR	ldtD//nrfD//deoA//
AppY	dhaK//nirB//
AraC	umuC//carA//hyaB//gcvT//argH//alkA//phnO//
ArgP	entC//nanA//deoA//prpE//ychF//pgaD//nagB//murI//cadA//
ArgR	poxB//aroF//aroL//tdcG//ndh//prpC//metH//yeaG//amn//yeaG//paaA//nrdF//dhaK//rutA//hypF//glpQ//pykF//ribA//hcaB//sdhC//glpK//fadA//caiA//
ArsR	adhE//hcaD//
AscG	alaS//guaA//
AsnC	waaZ//frdC//
AtoC	napB//glgX//mngB//
BaeR	allB//rffG//
BasR	arsC//garL//gcvT//
BetI	caiC//speA//ldtB//
BirA	glgP//cynS//leuD//purN//nadA//
BluR	
BolA	fes//allD//
CadC	paaH//sucA//
CaiF	entF//ynfF//carB//tyrB//cynS//
Cbl	epd//sufS//rutB//tehB//ubiX//
CdaR	udp//torA//hycE//glgB//metK//dhaK//sodB//aceB//lsrK//
CecR	
ChbR	hcaB//pncB//glgB//
ComR	
CpxR	hcaF//caiB//yiaK//metA//cyoE//sucC//gudD//argB//tdcG//acnA//caiA//gatZ//argC//astD//glk//uxaC//chbF//ttdB//thrS//uxuB//ulaF//
Cra	caiD//fabH//gatD//waaZ//umuD//gpmA//fabB//fabA//purB//moeA//atoA//yeaG//phnJ//guaB//atoD//glgP//napA//fabB//sgbH//murE//slt//treC//mhpE//ybjG//cueO//ubiC//rutA//betA//murD//moaA//purA//ftsI//sodA//phnN//rutE//hycE//katG//idnK//mngB//gloA//narG//allA//napA//carB//glgC//pfkA//paaY//napG//mhpC//lyxK//hemH//aceB//purN//fes//gltD//treC//pdeR//nrdD//ppsA//wecB//
CreB	lysC//rffG//
CsgD	aspA//deoB//purH//metL//uxuA//
CsiR	adhE//glcB//argG//allE//
CspA	galT//
CueR	garD//caiD//purK//rutB//
CusR	caiA//gapA//gcvP//
CynR	xapA//moaD//pykF//
CysB	argG//cysH//murI//ldtB//glcB//ulaE//ahpF//fabB//gor//edd//paaA//truB//prpB//sgbH//nrdB//nrdD//trpE//yqjH//
CytR	truB//deoA//sgbU//hycF//galK//alkB//rffC//bglB//fadE//citC//
Dan	nrdA//uidA//
DcuR	dmsC//purN//atoB//gabD//
DeoR	puuE//add//fadE//mhpE//hcaC//nrdD//
DhaR	citC//
DicA	
DinJ-YafQ	tpiA//
DnaA	recF//entA//argI//cadA//nirD//nanE//
DpiA	carB//mhpD//ubiX//ulaG//eno//
DsdC	patA//speB//
EbgR	
EnvR	fumC//yqjH//
EnvY	phnL//gltD//
EvgA	rutE//oxc//fruK//nanA//mngB//gntK//
ExuR	cysH//glcE//argA//pagP//fabH//paaC//
FabR	wzb//fucI//
FadR	yqjH//argB//entA//ilvC//gloA//trpC//phr//ulaE//gatY//luxS//dkgA//ynfF//tdcB//glgA//accC//cyoE//aspC//ahpF//
FeaR	nrdF//ruvB//
FhlA	narI//bglB//paaH//murD//ynfF//entE//allD//
FlhDC	fes//kbaZ//argF//lldD//hemL//astD//aspC//phnJ//phnI//rffC//lhgO//
FliZ	melA//purK//umpH//tam//pnp//
FucR	sodB//deoC//wzb//gloA//hypB//hypB//
