# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	aroL//yiaK//
AcrR	mhpC//mltF//
Ada	appA//garL//leuA//fabI//
AdiY	murG//rhaB//tauD//bglB//
AgaR	mraY//
AidB	paaY//
AlaS	citE//
AllR	fabZ//argA//metE//sdhC//cysH//pgaD//
AllS	pnp//dhaL//argI//
AlsR	fumC//rsmH//nadA//
AppY	glgA//fucK//
AraC	lldD//deoA//gutQ//purH//allB//dmsA//cysM//
ArgP	entC//hypF//lysC//moaA//udp//idnD//trpA//poxB//mhpA//
ArgR	accA//atoD//ruvA//glpX//uvrA//accC//tauD//fucO//alkB//trpE//purB//hcaF//galK//metA//gudD//frdA//rhaB//ulaE//rpiB//pgk//gutQ//fabD//astB//
ArsR	argH//murF//
AscG	lsrF//umuD//
AsnC	citG//mhpB//
AtoC	leuB//gabD//murD//
BaeR	speA//gor//
BasR	tynA//trpB//kbaY//
BetI	pyrD//ulaF//speA//
BirA	nrfC//alkB//hypF//gcvP//gloA//
BluR	
BolA	fucI//leuA//
CadC	torC//astB//
CaiF	deoC//epd//alsE//uxuA//fabI//
Cbl	cysG//moeA//argF//dgcZ//ugpQ//
CdaR	glpA//ldtB//iscS//rhaD//feaB//alsE//uxaB//patD//fabD//
CecR	
ChbR	rnpB//xapA//gabD//
ComR	
CpxR	purK//dapD//pdeH//cysE//glgA//glgX//malY//allD//nagB//patA//umpH//nanE//nrdA//fadM//rdoA//puuC//ubiX//mtlD//paaZ//fucI//citE//
Cra	nanM//garD//murF//chbG//glmU//lhgO//prpE//phnP//sdhA//malQ//pgpC//trpC//fumC//asnB//purM//paaE//lysA//araB//hcaB//glnA//hcp//ada//gdhA//purM//astA//patD//malY//sgbU//polA//uxaA//deoC//chbF//galE//polA//rutD//paaE//serA//udp//paaZ//mngB//dapB//lldD//fadI//fucK//murG//sodA//metA//lacZ//aldA//ulaF//citD//murD//glcD//tauD//puuD//atoD//purN//kbaZ//srlD//nrfB//
CreB	rutB//fabD//
CsgD	pgaD//fabA//ulaD//gcvP//fadE//
CsiR	alkB//glpA//uvrA//asnA//
CspA	lpxC//
CueR	luxS//nanA//nrfC//glk//
CusR	oxc//bioC//metA//
CynR	trpC//edd//fruK//
CysB	mtlD//phnI//malP//purE//deoA//cysK//mtlD//pnp//lsrK//mhpD//chbF//gadB//gcvT//alkB//dapD//wrbA//wzb//cysC//
CytR	dkgA//phr//umuD//fadI//moaA//fabB//citF//dapD//iscS//betB//
Dan	ilvC//pspE//
DcuR	citD//glgP//glyA//argB//
DeoR	alsE//purN//atoB//fes//hcaC//ilvC//
DhaR	sgbE//
DicA	
DinJ-YafQ	napH//
DnaA	accD//lacA//bioF//lysA//ssuD//ruvA//
DpiA	uxaC//prpC//gltB//hycF//sucA//
DsdC	prpD//waaY//
EbgR	
EnvR	gadA//rutB//
EnvY	dgcC//uvrC//
EvgA	aroG//allB//katE//phnI//mhpA//ycjG//
ExuR	hyi//pgk//phoA//cysH//glpX//dmsC//
FabR	hycE//nirB//
