# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	gor//fadA//
AcrR	caiA//putA//
Ada	folE//phnH//ttdA//dmsB//
AdiY	narG//gdhA//phnM//allC//
AgaR	aspA//
AidB	tauD//
AlaS	rpiB//
AllR	chbF//pdeH//gcvT//pck//torA//pdeL//
AllS	frdC//dgkA//fruK//
AlsR	narH//sufS//paaJ//
AppY	hyaA//pgk//
AraC	lsrG//rutB//waaY//fabB//cysH//lldD//amn//
ArgP	eda//pepD//gltD//amn//nirD//umuD//astE//folA//pheS//
ArgR	napG//dkgB//lpxA//frdB//sdhB//atoB//paaF//aceB//metE//waaY//garD//cysD//slt//zwf//nirD//speA//atoA//umuC//ruvA//dgcC//moaE//malY//deoD//
ArsR	uvrC//hypF//
AscG	pgaC//sodA//
AsnC	hyaB//yqjH//
AtoC	eda//hycB//ulaE//
BaeR	frdB//garR//
BasR	betA//gapA//pyrC//
BetI	nadA//hyi//trpC//
BirA	idnO//gpmM//pflB//citF//hcaF//
BluR	
BolA	cdd//deoC//
CadC	garD//ldtC//
CaiF	serA//hycC//lldD//yeaG//gatZ//
Cbl	galK//talA//iscS//napG//ynfF//
CdaR	acnB//putA//codA//narI//glpQ//fruK//hcaE//dhaM//dhaK//
CecR	
ChbR	mpl//araD//tam//
ComR	
CpxR	polA//tam//yibQ//nrfA//folA//lldD//ruvB//tynA//sdhC//prpB//citF//glcF//yeaG//argI//citE//polB//prpB//ftsI//paaY//lysA//deoB//
Cra	cynS//mtlD//argA//cynS//gcvH//lpxA//mhpE//cysG//sgbE//paaC//purH//rimK//hemL//metB//fadI//zwf//putA//ada//uvrC//argD//nfsB//ruvB//napB//nanM//mpl//murD//hycB//asnB//purB//lpxA//purF//fabH//uidA//lysC//pspE//frdD//tktB//sgbH//nrfD//puuA//pdeR//tdcD//hcaB//rimK//cynT//phnG//glnA//glpK//glpX//yiaK//phnH//metK//gdhA//lpd//metH//murF//mngB//fucA//hyaC//malY//
CreB	moeA//bacA//
CsgD	citC//alkB//icd//cadA//ugpQ//
CsiR	citD//ruvA//entC//frdD//
CspA	mngB//
CueR	pepD//murD//prpB//araD//
CusR	metK//fdhF//umuD//
CynR	ynfH//tyrA//rutA//
CysB	dhaK//rhaA//tam//ampC//tyrA//bioA//gor//purM//paaF//phnL//phr//ubiC//fadM//nfsB//cysH//fucU//wecC//cadA//
CytR	fadI//hcaC//iscS//glmS//nanM//uxaB//paaF//phnL//paaJ//nrdF//
Dan	yfbR//ulaD//
DcuR	astD//leuC//umuC//rutE//
DeoR	moeB//nrdE//bioC//uxaB//gatD//phr//
DhaR	argA//
DicA	
DinJ-YafQ	bioC//
DnaA	atoB//caiA//gcvP//caiB//murE//tdcE//
DpiA	dhaK//carA//adhE//phnM//treC//
DsdC	treC//ruvB//
EbgR	
EnvR	allC//citC//
EnvY	mhpA//metH//
EvgA	hyaC//puuB//lysA//fbaA//eno//betA//
ExuR	aspA//rffT//caiD//gltB//glmU//hypB//
FabR	tdcG//trpD//
FadR	argD//xylB//katG//citD//glyA//astD//ada//nirD//dgcC//malZ//pykF//ybaS//uxaB//puuE//accC//napA//truB//nirD//
FeaR	entE//lacZ//
FhlA	nanM//gatZ//dmsA//asnB//citD//bioA//phnG//
FlhDC	rnpB//gatD//malY//lysA//yiaK//phnM//lsrG//allB//lacZ//phnI//entH//
FliZ	pck//fes//rhaA//yqjH//pyrC//
FucR	hyaA//uxuA//fadH//yqjH//acnB//mhpF//
Fur	sodB//serA//nrdB//aldA//ppiA//hycC//ldtB//sgbU//paaZ//tdcB//putA//alaS//fbaA//glmS//pyrD//ssuE//murE//cynS//fadJ//allC//hycC//frc//rhaB//paaI//araD//fruK//cueO//sufS//purA//yfdE//napB//torC//fabB//cueO//prpE//melA//umuD//cysM//gntK//melA//ftnA//allD//eda//waaH//idnD//mhpD//frc//lysA//glpK//gadA//metF//gcvH//tynA//uxuB//tyrA//rbsK//ynfG//fadM//garD//entE//ubiA//deoA//deoC//
GadE	gatY//zwf//cysK//frdA//gabT//tynA//rffC//phr//caiA//kbaY//
GadE-RcsB	gpmA//trpE//phnL//ppiA//
GadW	tdcB//purH//tyrB//deoD//
GadX	wzb//dmsB//fucI//udp//pgaB//rpiB//paaC//glgB//metB//truB//hyi//cysH//
GalR	wrbA//rbsK//leuD//tadA//carB//purK//
GalS	ribA//hycG//guaB//alsE//pflB//fucU//
GatR	speB//hemH//guaB//
GcvA	bioA//rffG//adhE//
GlcC	idnK//thrS//phnH//
GlpR	caiA//phnN//phnP//glnA//idnO//ndh//chbG//
GlrR	
GntR	purN//argG//slt//rbsK//waaH//eda//cyoE//gltD//paaE//
GutM	fumC//pgaC//purK//
GutR	uvrB//astD//aroG//
HU	sgbU//ubiX//sodB//add//napB//udp//hyaA//
HcaR	hycD//uxaB//
HdfR	
HigA	pgi//
HigB-HigA	gltD//
HipAB	pdeH//mhpF//
HipB	allD//hycE//folA//
HyfR	entA//
