# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	lsrG//poxB//
AcrR	allB//mngB//
Ada	zwf//pdeR//gltD//entE//
AdiY	hcaF//fau//rffM//fadH//
AgaR	cysJ//
AidB	sodB//
AlaS	puuC//
AllR	pck//glpB//tauD//frdA//rffM//nfsB//
AllS	fadE//uxaB//purF//
AlsR	lsrF//ubiC//trpE//
AppY	paaB//sgbU//
AraC	alsE//guaB//entA//ada//betB//gpmA//patD//
ArgP	wecC//puuB//nrfD//uvrB//moaD//nfsA//pdeL//sdhD//uxaC//
ArgR	slt//cysH//glpQ//moaD//aceE//prpC//gltB//ddlB//citF//uvrB//kbaZ//patA//glgB//rbsK//narH//gpmA//paaC//paaG//murD//aceE//ddlB//caiD//paaJ//
ArsR	gabD//phnG//
AscG	tnaA//fadM//
AsnC	ascB//ulaG//
AtoC	prpD//citX//glcF//
BaeR	ubiC//pepD//
BasR	gabT//lpxA//pgpC//
BetI	galE//glpX//mazG//
BirA	frc//ubiC//glpK//yibQ//lpxD//
BluR	
BolA	nrdE//aceE//
CadC	hcaC//fucU//
CaiF	tyrB//rhaB//nagA//tehB//arsC//
Cbl	purB//rnpB//tdcE//nanM//frdA//
CdaR	deoC//entE//fabG//pgk//fucI//gutQ//astC//glcD//poxB//
CecR	
ChbR	dgkA//ugpQ//rsmH//
ComR	
CpxR	araA//tpiA//glcF//ruvA//glgC//xylB//ada//ssuE//sucD//amn//hycD//yfbR//ftsI//gltD//glpD//astE//cynT//adhE//fabG//nfsB//argD//
Cra	rhaA//astC//edd//pyrC//glpA//citG//hemH//appA//arsC//paaY//mtlD//fabH//prpC//paaA//ynfF//fbaB//cysH//malQ//waaY//carA//lsrG//xapA//fes//leuA//glnA//pheT//garK//nirB//idnK//rutC//sucA//trpD//lpxD//argD//uxaC//mazG//bioB//asnB//dgcZ//mpl//add//pspE//ulaD//tyrB//dsdA//phnP//ynfE//frdC//cynT//frdB//fumB//ribA//tadA//glpB//cynT//pyrC//lldD//acnB//recF//wrbA//
CreB	accB//eno//
CsgD	rnpB//argE//murQ//ybjG//entB//
CsiR	gnd//hycE//zwf//tktB//
CspA	pyrD//
CueR	trpC//cdd//ascB//metF//
CusR	moaE//metF//napB//
CynR	glpQ//yfdE//leuC//
CysB	chbF//accA//asnA//idnK//metF//rutC//hcaE//ldtC//carB//sdhC//gpmM//kbaZ//nfsA//entE//folE//polB//glgB//mhpD//
CytR	hyaB//leuA//tdcB//tktB//fes//oxc//yeaE//glcF//hycE//gor//
Dan	xylA//aceB//
DcuR	nrfB//allC//hyi//malZ//
DeoR	tehB//citF//poxB//ybjG//hypB//aroG//
DhaR	tam//
DicA	
DinJ-YafQ	paaZ//
DnaA	phnL//yfdE//tehB//uxaB//dapB//malQ//
DpiA	deoD//argB//fadE//galK//uvrC//
DsdC	pgk//nemA//
EbgR	
EnvR	asnB//allA//
EnvY	hyaA//araD//
EvgA	metL//garL//citX//hycB//argA//rutB//
ExuR	galK//nfsB//ruvA//luxS//melA//allE//
FabR	aroG//phnI//
FadR	pykF//pepD//relA//fucO//rhaD//slt//purH//idnK//hyaA//allC//gnd//ychF//napH//lsrG//appA//lhgO//glxR//hypF//
FeaR	napB//glpD//
FhlA	puuE//ppc//nfsA//adiA//caiC//murI//allD//
FlhDC	xylB//paaG//bacA//fbaB//sucD//dgcC//rffT//argC//sucA//amn//wrbA//
FliZ	allC//gor//nanE//guaA//hcaD//
FucR	hcaC//glxR//cysI//xylB//frdC//idnK//
Fur	argD//gltB//ogt//murI//nagB//astA//argA//metK//puuA//ribA//lpxD//sodA//nrfB//trpC//metB//bglB//oxc//fabD//fadB//sucA//murD//glyA//murF//wrbA//rffG//malY//sucB//yeaE//metA//ynfE//kbaY//ulaD//hyaB//truB//nadA//ndh//gatZ//gpmM//puuA//bacA//udp//sgbU//phnH//frdD//pgaD//glpX//pncB//fabG//purL//relA//tdcG//rhaD//mazG//glk//nrdF//asnB//narG//phnL//gpmA//glgP//rutB//pdeR//glgB//
GadE	umuD//nfsA//garK//glcF//citC//cyoE//patA//umpH//mdh//ndh//
GadE-RcsB	trpB//glyA//poxB//waaY//
GadW	pgi//glpK//glgC//tdcE//
GadX	trpB//guaB//cysC//hyaB//ubiX//hycD//mhpC//acnB//mhpA//pflB//ppc//ulaF//
GalR	bioD//ahpF//rdoA//purF//argH//entD//
GalS	tehB//idnD//yiaK//gloA//ssuD//tpiA//
GatR	ldtB//paaI//tdcB//
GcvA	lysA//lsrK//pykF//
GlcC	hcaF//metH//tynA//
GlpR	moaA//phnG//xylA//glnA//cynT//ulaF//yeaG//
GlrR	
GntR	glgP//polA//ftnA//pyrC//frc//argG//gatY//garD//acnA//
GutM	mngB//garK//rfe//
GutR	torC//glnA//dmsC//
HU	tdcB//carA//tdcD//argD//araD//aroF//dgcC//
HcaR	trpD//aspA//
HdfR	
HigA	pfkA//
HigB-HigA	ppsA//
HipAB	bioC//slt//
HipB	accB//ssuD//lysA//
HyfR	entD//
HypT	ycjG//nadB//fabB//astC//tynA//lysA//amn//
IclR	phr//guaB//metB//
IdnR	fucK//betB//gabD//narI//hycB//deoC//
IlvY	caiB//
IscR	deoB//citE//paaG//fadD//fabI//pheT//
KdgR	lacZ//mtlD//
KdpE	accB//
LacI	rpiB//phoA//acnA//
LeuO	sucA//ppiA//astA//xapA//hcaD//prs//
LexA	hypB//napC//allD//gnd//puuE//cysG//cysI//rbsK//frdA//citD//sucC//allB//sufS//glmS//hycB//paaF//mhpA//rhaA//thrS//ycjG//araD//
LldR	katG//araD//
LrhA	
LsrR	dapD//fabB//polB//napC//ldtB//
LysR	ahpC//
MalI	pdeR//metL//
MalT	paaC//napB//astE//pspE//mhpE//pgaB//
MarA	waaH//ndh//glpA//yqjH//metB//glk//putA//hcaF//aceF//patA//ttdB//ppc//nanK//phnO//gadA//xylA//mpl//gnd//murG//fabZ//hyaB//cysD//metA//
MarR	
MatA	nanA//
MazE	ddlB//
MazE-MazF	pgaC//
McbR	
MelR	paaZ//metH//
MetJ	katG//oxc//wecB//recF//pflB//yqjH//glpC//paaH//paaZ//fau//
MetR	fadB//caiA//rhaA//tnaA//
MhpR	nrdB//entA//amn//araD//rffH//fabZ//
Mlc	metA//gnd//leuD//iscS//
MlrA	uidA//
MngR	ssuE//fes//
MntR	speB//bioB//
ModE	nadA//dkgB//gabD//metA//gapA//malP//nrfA//ssuD//luxS//hycB//metB//cysI//adhE//araA//
MprA	glcF//mraY//yqjH//
MqsA	yqjH//acnA//
MraZ	murD//glmU//fdhF//adhE//cysM//galM//glmU//prpE//puuD//moaA//galK//
MtlR	rhaD//sdhA//fucK//
MurR	nrfC//mpl//xapA//
Nac	poxB//srlD//garK//pnp//hcp//uxaA//entH//ahpC//paaA//ynfG//
NadR	caiC//leuB//rsmH//mpaA//
NagC	citD//purL//waaZ//tauD//relA//carB//deoA//xapA//glpA//puuB//entA//nrfB//fes//patA//glcF//uxuB//pncB//purE//pagP//
NanR	lyxK//rffH//mtlD//lysA//dhaK//cueO//
NarL	murI//pyrD//napH//sdhC//allD//phnN//ubiC//purL//caiA//speB//metK//adiA//gdhA//paaZ//nadB//gadB//nrfC//adiA//slt//entF//malZ//uxuA//arsC//metA//acnB//prpD//metA//ugpQ//dhaK//sdhD//ugpQ//dapD//nfsB//prpB//purE//rhaD//
NarP	alaS//cadA//hycE//uvrC//pgaC//purK//fabZ//allE//purM//sdhB//feaB//
NemR	deoD//fumB//
NhaR	purF//hcaC//puuD//lhgO//hyaC//
NikR	araD//
NimR	treC//
NorR	zwf//
NrdR	entE//pfkA//dapB//talA//
