# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	murI//xylB//
AcrR	nagB//citG//
Ada	purE//caiA//hycB//pflB//
AdiY	caiD//hyaC//paaA//araA//
AgaR	alsE//
AidB	sucC//
AlaS	glgC//
AllR	gcl//hcaB//galE//gpmM//feaB//entD//
AllS	ttdA//uxuB//appA//
AlsR	araB//napB//murE//
AppY	nrfD//astB//
AraC	ssuE//nagA//accA//waaZ//citE//umuC//alkB//
ArgP	purA//paaF//yfbR//wrbA//ppsA//ynfH//purF//rimK//uxuA//
ArgR	rffC//aroG//yqjH//phnM//mltF//pdeL//leuC//rbsD//fucO//hyi//purE//melA//ssuE//tyrA//cysH//pflB//sucA//trpC//purC//entC//rffC//hypB//tyrB//
ArsR	hycE//xapA//
AscG	ftnA//pheS//
AsnC	gcvP//entD//
AtoC	aldA//icd//sucA//
BaeR	eda//puuA//
BasR	edd//fau//adiA//
BetI	sucC//chbG//moeA//
BirA	serA//astD//gcvH//asnB//paaA//
BluR	
BolA	malP//argH//
CadC	hcaC//cysI//
CaiF	glpC//rpiB//fadB//pyrD//uidA//
Cbl	gadB//ulaG//oxc//lacZ//rffG//
CdaR	codA//putA//aroH//pdeL//nanM//lyxK//malP//pgaD//iscS//
CecR	
ChbR	eno//oxc//ung//
ComR	
CpxR	prs//garL//nrdD//phnP//dgcC//rutC//lacZ//prs//glyA//accC//nrfD//srlD//puuE//luxS//narH//atoA//nirD//chbG//recF//prpE//malS//
Cra	phnL//murQ//frdB//fbaA//betB//nanE//patD//accD//napH//rutC//uvrA//citX//rdoA//paaK//cdd//pgaD//idnD//mhpD//atoA//pheS//uxaA//pck//hypB//rutC//murQ//prpD//lhgO//polB//glxK//glnA//pepD//hycF//nadB//nrfB//fabG//nanK//gltD//putA//sucB//folE//rhaA//fruK//nadB//thrS//fruK//ttdB//kbaZ//acnB//astB//napH//moaE//dkgA//cueO//tadA//dapB//araB//gudD//wecC//puuC//atoB//
CreB	polA//fadD//
CsgD	lpxC//speB//argF//moeA//wecB//
CsiR	purC//tdcB//glcE//metA//
CspA	malP//
CueR	tynA//citD//mtlD//nrfA//
CusR	araB//argI//lysA//
CynR	speB//mpaA//garD//
CysB	aspC//entE//uxaB//ugpQ//tauD//luxS//glxK//rhaB//phnL//fdhF//ung//mpaA//fucA//dgcC//sucA//pykF//mltF//glpC//
