# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	ndh//cadA//
AcrR	cadA//hycG//
Ada	arsC//trpE//lacA//mdh//
AdiY	murE//ulaF//malY//udp//
AgaR	lpxA//
AidB	ubiA//
AlaS	hypB//
AllR	cdd//rdoA//yqjH//rffH//fadB//nfsB//
AllS	ynfF//adhE//nrfA//
AlsR	nanK//purN//moeB//
AppY	wzc//lsrF//
AraC	waaZ//aroH//puuA//dmsB//nanM//xapA//tdcD//
ArgP	hypF//gpmA//purE//purE//murC//mpaA//purC//tauD//fumC//
ArgR	accC//pfkA//ndh//pyrC//dapB//eda//phoA//ldtD//ybjG//caiC//murQ//phnG//metL//aspC//ldtD//acnB//gdhA//purK//rhaB//ulaD//entA//prpE//nanM//
ArsR	sufS//lhgO//
AscG	ubiC//gpmA//
AsnC	lpxD//allE//
AtoC	rffG//xylA//fes//
BaeR	rffG//mhpF//
BasR	astA//add//murI//
BetI	rbsD//malZ//astB//
BirA	caiB//murD//ttdB//metA//sdhC//
BluR	
BolA	glmS//glxR//
CadC	leuD//pgk//
CaiF	ftnA//mhpE//hmp//hcaC//phnJ//
Cbl	nanM//glnA//paaG//cynT//hyaC//
CdaR	garK//tktB//nirB//pheS//cdd//phnP//cueO//umuC//phnL//
CecR	
ChbR	cysE//paaA//hycB//
ComR	
CpxR	ogt//purF//pgaB//alkB//prs//ahpC//xylA//yqjH//ahpF//pnp//prs//tadA//trpB//tam//accA//araB//nanM//nrfA//tdcB//cysE//lsrK//
Cra	aroL//rimK//pheT//lldD//carA//argF//fabI//xylA//purK//araB//ssuE//metK//rffC//pck//uxuA//rutE//waaH//chbF//cynS//umpH//caiD//uxaC//gatZ//lldD//alkA//ttdA//napC//dapD//narH//tehB//nrdF//ssuD//fadA//narG//lpd//sdhC//wzc//tyrA//fucA//entA//bglB//fadE//citG//cysN//edd//entF//phnG//rbsK//tynA//dkgB//paaE//ubiX//glmS//murE//sdhD//fadM//malQ//ruvA//murQ//mazG//
CreB	uxuB//cysK//
CsgD	arsC//lacA//accA//dmsB//paaA//
CsiR	frc//xylA//fruK//accB//
CspA	gor//
CueR	cdd//cysE//fadH//dkgB//
CusR	dinB//sodA//guaB//
CynR	cdd//hcaD//moeB//
CysB	hycE//astC//umpH//hyaB//eda//caiC//tdcE//cynT//gatY//fucK//ahpC//fadB//rbsK//truB//sgbH//aceB//bioA//fes//
CytR	fadD//ppiA//srlD//hypB//puuA//gapA//metF//metB//prpE//atoA//
Dan	fes//fucO//
DcuR	putA//phoA//nfsB//lsrG//
DeoR	thrS//uxaB//phnP//pspE//napH//rffM//
DhaR	cysE//
DicA	
DinJ-YafQ	uvrC//
DnaA	rffM//aceA//yqhD//dmsC//allB//purF//
DpiA	entA//chbG//kbaY//pgaD//phnH//
DsdC	mngB//polA//
EbgR	
EnvR	ulaG//sgbH//
EnvY	uxuB//moaE//
EvgA	phnH//fabZ//metC//accD//ubiC//paaH//
ExuR	trpA//bioA//ddlB//patA//dsdA//ubiA//
FabR	xapA//idnD//
FadR	tdcB//lpd//alkA//rutB//ttdB//purB//yeaE//ampC//gltB//rfe//hyaA//ung//glnA//murG//wzb//nrfB//lysA//rffH//
FeaR	gltD//mpl//
FhlA	yiaK//puuA//trpD//idnD//fabD//fabZ//paaG//
FlhDC	fadJ//nrdB//prpD//ftnA//mhpB//citG//purN//mdh//fumC//tnaA//fabA//
FliZ	prpD//galK//deoB//caiD//rutB//
FucR	cysG//nanM//nanE//purB//pnp//entB//
Fur	prpE//appA//tynA//metB//eno//purD//garL//allE//astC//leuA//katG//metC//malZ//uxuA//gudD//treC//lacA//nrfC//fucK//xylA//caiC//caiB//malZ//ulaE//yiaK//wrbA//ahpF//fau//lysC//betB//lpd//wzb//araB//ycjG//ynfE//allE//argH//ulaE//hyaB//phr//aroG//pgaC//uxaB//pyrD//metC//bioA//pheS//paaB//gadA//ddlB//rimK//fadH//hemL//fabG//aroG//glk//cysE//uvrB//katG//ynfH//purD//purD//lhgO//
GadE	cysI//cysG//ung//ynfG//dgcZ//mhpD//aceB//aroL//citD//nrdB//
GadE-RcsB	patA//hypB//yibQ//pspE//
GadW	leuB//hcp//aceF//pgaB//
GadX	nfsB//glgP//narI//fabZ//gcvP//astA//pdeL//gcvP//puuA//uvrA//gadA//ybaS//
GalR	hycF//pheT//betB//phnL//recF//sucC//
GalS	nrdA//betB//bioC//nrdB//phnJ//tynA//
GatR	asnA//sdhA//prpE//
GcvA	pflB//tadA//mnmG//
GlcC	nrfC//glcD//uxaB//
GlpR	rffM//katG//argE//pgaD//tyrB//purM//adiA//
GlrR	
GntR	atoB//mnmG//puuB//polA//citD//umuC//edd//frc//rffM//
GutM	speA//glnA//aceE//
GutR	tehB//fau//alkB//
HU	uxaB//tktB//ycjG//phnM//astB//yibQ//uvrA//
HcaR	mhpD//truB//
HdfR	
HigA	deoD//
HigB-HigA	purH//
HipAB	araB//pncB//
HipB	gatZ//sucA//mpaA//
HyfR	purA//
HypT	lysA//ogt//entD//nrdA//hcaC//argE//argC//
IclR	glk//fucI//purE//
IdnR	nrdA//rutD//dkgB//sdhD//uvrA//pyrD//
IlvY	paaH//
IscR	glxK//pheT//polB//entB//glcF//alkA//
KdgR	ulaF//pheS//
KdpE	prpC//
LacI	gcl//kbaY//aceE//
LeuO	add//psd//ynfG//pgk//glcB//umuC//
LexA	phnO//malY//ftsI//yibQ//leuD//sdhB//trpB//putA//fbaA//astC//folA//ulaE//patD//sdhB//galT//pncB//nrdA//zwf//speB//ddlB//atoD//
LldR	hcaC//uxaA//
LrhA	
LsrR	metF//appA//ppsA//aspC//argD//
LysR	ugpQ//
MalI	idnO//pdeR//
MalT	mhpC//deoA//fadH//pdeL//galM//astB//
MarA	prpB//argI//cadA//phnN//glpC//trpD//ampC//gudD//yeaE//mazG//leuA//argG//argD//phnH//nanE//dmsB//yqjH//lsrG//alaC//rbsK//fucA//ilvC//ssuE//
MarR	
MatA	fumB//
MazE	luxS//
MazE-MazF	adhE//
McbR	
MelR	acnB//phnO//
MetJ	leuB//chbF//argA//hcaB//nemA//trpD//phnM//eda//pgi//gcl//
MetR	garD//sodA//metB//tauD//
MhpR	ascB//phnP//psd//gltD//glgX//ppsA//
Mlc	argC//ampC//mhpA//ppc//
MlrA	cysE//
MngR	yqjH//deoB//
MntR	fabD//ubiA//
