#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_bnum.txt
Ada-Methylated	yegZ//b0040//b4398//b2414//
AlaS-L-alanine	b1385//
AllS-allantoin	b4035//b1597//b1655//
AraC-L-arabinose	b2751//b4241//b2414//b1299//b4099//b1226//b4197//b4098//b2372//b2804//b4169//b3312//b2760//b1615//
ArcA-Phosphorylated	b3608//b0522//b2285//b3752//b1621//b2975//b4175//b3959//b1521//b3321//b2469//b0812//b0724//b2106//b3934//b2731//b1714//b0431//b2211//b3278//b1212//b3451//b0827//b2407//b0889//b3868//b3430//b2980//b4009//b3214//b0619//b4172//b1922//b4115//b4124//b1189//b3667//b4451//b0110//b4139//b3117//b1901//b1826//b4009//b0622//b2663//b3461//b0782//b4005//b2961//b4013//b1225//b1846//b4093//b2491//b3113//b3870//b2198//b4291//b0602//b4098//b2085//b2903//b3477//b1593//b2029//b1260//b3566//b0366//b0880//b2732//b2702//b1921//b2203//b0040//b3721//b2312//b0782//b0116//b0080//b4010//b3521//b1684//b2927//b4015//b4439//b4037//b3331//b0566//b0177//b2152//b4094//b0755//b3580//b3461//b4289//b4399//b2675//b0044//b1988//b4175//b0615//b2676//b1024//b4106//b2482//b1540//b0973//b0062//b0615//b0873//b4003//b2905//b4599//b0904//b3579//b0440//b2904//b1922//b3410//b3700//b3317//b1743//b0336//b0765//b0812//b1511//b1531//b3424//b2912//b0032//b0350//b3925//b2752//b1430//b2284//b3394//b3278//b1129//b2241//b4426//b0617//b4511//b4024//b1590//b2029//b0571//b3324//efeU_2//b3859//b4132//b4058//b3124//b1883//b3455//b3723//b4460//b3908//b3510//b2373//b3273//b1516//b4202//b3860//b2371//b1321//b2284//b3852//b1887//b2997//b2484//b2804//b1671//b1131//b4010//b4367//b3533//
ArgP-L-arginine	b0192//b0515//b2937//b4450//b3236//b0428//b4016//b0683//b4400//b3237//b4168//b1209//b0461//b3564//b2202//b3164//
ArgR-L-arginine	b3317//b3968//b1516//b3604//b4129//b3409//b0197//b0827//b2720//b4254//b0339//b2171//b4118//b4122//b0827//b4115//b0063//b3457//b2702//b4293//b3609//b3583//b0677//b3469//b0110//b2727//b1211//b3408//b4073//b1546//b0522//b3508//b1781//b1988//b1736//b4288//b3528//b3666//b1733//
AtoC-phosphorylated	b2530//b4174//b1881//b2926//
BaeR-Phosphorylated	b2148//b3942//b2630//b1227//b1654//b2507//b3852//b3038//
BirA-bio-5-AMP	b0114//b4240//b1012//b0398//b1429//
CRP-cAMP	b3508//b2987//b2707//b2283//b0723//b2283//b0341//b3476//b4005//b0124//b3454//b4401//b3540//b3265//b4450//b3702//b0976//b2666//b3168//b3569//b4383//b1900//b2590//b4397//b2671//b3207//b2093//b2838//b1421//b2344//b3057//b4268//b0726//b2152//b4287//b0894//b0352//b3318//b4202//b2570//b4068//b0889//b4315//b1655//b1429//b4317//b0621//b4401//b3750//b0887//b2630//b2278//b1547//b4326//b1512//b2095//b3476//b0396//b0565//b1921//b1902//b0841//b1500//b0203//b2913//b1904//efeU_2//b3241//ilvG_1//b3223//b2707//b2608//b3510//b3243//b3583//b4268//b4013//b0397//b2364//b2373//b3212//b0953//b2151//b3320//b0720//ilvG_2//b2730//b1189//b0367//b3331//b3117//b0020//b4355//b4069//b3509//b0976//b4476//b1301//b2492//b1717//b3091//b3770//b0351//b3170//b3968//b1429//b2491//b1276//b2306//b3424//b4289//b2369//b2987//b0757//b4039//b1973//b0812//b2993//b1208//b1260//b1398//b0827//b4173//b4106//b0109//b4471//b4096//b0400//b2484//b3057//b3773//b3403//b0338//b0154//b4010//b4194//b1805//b2375//b4123//b4160//b0334//b2077//b4099//b4266//b1673//b2407//b1922//b2732//b1007//b1735//b2367//b2194//b2579//b3438//b3318//b3049//b0396//b1211//b1008//b4063//b1797//b2987//b2730//b0451//b1475//b3829//b3911//b0108//b0862//b1336//b0181//b3393//b3077//b0431//b3035//b1101//b4450//b3318//b1511//b3925//b1222//b4160//b0862//b0929//b2666//b2962//b1109//b3311//b1617//b2370//b2866//b0586//b2725//b2961//b4698//b4293//b1517//b3708//b0679//b3366//b3332//b2207//b1008//b0311//b3132//b4438//b3571//b3166//b2155//b1717//b0040//b2198//b4406//b1517//b3870//b1890//b4293//b0620//b1528//b2196//b0936//b0241//b2741//b0785//b0827//b4175//b0907//b0593//b4168//b1515//b2085//b1021//b2719//b0785//b0757//b1265//ilvG_2//b1655//b1321//b2754//b0724//b4202//b1389//b2429//b2992//b4014//b1205//b0113//b1322//b2483//b2912//b3566//b2937//b2417//b0314//b0440//b1287//phnE_2//b1884//b0150//b1062//b1111//b0583//b2531//b4309//b0153//b2369//b1302//b3748//b1521//b0896//b4292//b3359//b3005//b1891//b2393//b2143//b0340//b3222//b3432//b2713//b3583//b4599//b4016//b0110//b4266//b4393//b2417//b0368//b0335//b1885//b0397//b2107//b0044//b2991//b4129//b3479//b2286//b2239//b2727//b1298//b1528//b3851//b4154//b0995//b3164//b1275//b2392//b4670//b1617//b0201//b1821//b1023//b0595//b2713//b2313//b2903//b3571//b1987//b0776//b0107//b1922//b0203//b0728//b3450//b4000//b2963//b1888//b2606//b2078//b4100//b2490//b0929//b4397//b0181//b0384//b2276//b0062//b1680//b4398//b3325//b3273//b1591//b3581//b3008//b2364//b0150//b4074//b3726//b1511//b3243//phnE_2//b1384//b1136//b0111//b1516//b1970//b0441//b1732//b0733//b4237//b3766//b2675//b2206//b1886//b4004//b1805//b3451//b2312//b2417//b4033//b4033//b1275//b2296//b0574//b2903//b4239//b0428//b3317//b4592//b2554//b3971//b1209//b2484//b0041//b0759//b1296//b4172//b1530//b1826//b4036//b4098//b0180//b3123//b3580//b1301//b1810//b1669//b1256//b3781//b0585//b1671//b1008//b2078//b4323//b2709//b2204//b4431//b0388//b0343//b1905//b2750//b3666//b2484//b2241//b1511//b4195//b1338//b0995//b2750//b2491//b0784//b0429//b3616//b1136//b1062//b0775//b4233//b3424//b3072//b0782//b0462//b1613//b4450//b2074//b1036//b3395//b3363//b3213//b2009//b3335//b1015//b2750//b1407//b3096//b0874//b2759//b4097//b4293//b2491//b0895//b3403//b0183//b1208//b1022//b0199//b3113//b3077//b1973//b2589//b2925//b1272//b3854//b0124//b3171//b4030//b3759//b1745//b4009//b2750//b3357//b0979//b0889//b3367//b3071//b2557//b3212//b2720//b0777//b4431//b1397//b4002//b0617//b2718//b4171//b0584//b1907//b4174//b1112//b0675//b3237//b4705//b0313//b2423//b3038//b1241//b3911//b2224//b1890//b0894//b1670//b1704//b1429//b4669//b0366//b0398//b1475//b1684//b0338//b2241//b3324//b0785//b2309//b0205//b3038//b1209//b2868//b2063//b4321//b2617//b4040//b0432//b3168//b3707//b3581//
