#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:44 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/gos_bnum.txt
go_0000018_7	b2104//bioP//b4319//b0232//
go_0000025_7	b4074//
go_0000027_7	b4052//b1274//b2163//b4428//b0770//b3574//b1184//b4084//b0808//b3928//b2553//b1264//b3903//
go_0000028_7	b2965//b0054//b4705//b0779//b3625//b0451//b3385//b0123//b2582//
go_0000032_8	b3642//
go_0000041_8	b2005//
go_0000050_5	b1034//b3236//b0674//b3185//b1724//b3130//b1873//
go_0000053_5	b3956//
go_0000096_5	b0080//
go_0000101_6	b0491//
go_0000103_5	b2474//b2556//
go_0000105_6	b0729//b3341//b0975//b1914//b2379//b1539//b0353//b0836//
go_0000160_5	b3387//b2405//b3659//b0598//b0071//b2500//b2347//b2451//b1139//b0524//b2997//b2609//b4117//b3842//b2078//b4050//b1772//b3522//b0836//b4130//b2894//b3612//b1062//b2994//b0394//b0861//b3583//b2724//b3834//b3503//b2537//b0945//b3432//b1817//b2053//glsB//b3320//b1042//b3882//b3438//b1683//b1385//
go_0000162_7	b0294//b4375//b2206//b1644//b0127//b2763//b3743//b2212//b3010//
go_0000270_7	b3414//b0367//b3060//b4036//b2383//b4478//b3117//b1245//b0347//b0106//b0035//b1603//
go_0000271_6	b1800//b0990//b2157//b4366//b0607//
go_0000302_5	b3949//b1530//
go_0000303_6	b0693//b2581//
go_0000305_5	b1497//
go_0000372_11	b1973//
go_0000413_9	arcC//b2393//b0653//b1211//b3958//b4349//b3290//b1514//
go_0000453_8	b0194//b3659//b4347//b0699//b0047//
go_0000455_9	b1215//b0900//b2048//b0867//b1861//b3909//b2904//
go_0000462_11	b0819//b3229//
go_0000470_10	b0367//
go_0000478_9	b2745//
go_0000716_7	b1808//
go_0000724_8	b2168//
go_0000725_7	b0188//b1035//b0475//b2486//b2424//
go_0000726_7	b0591//
go_0000731_7	b1646//b3300//b0459//b1913//
go_0000737_7	b3931//
go_0000738_7	b2100//b2987//b1088//
go_0000746_4	b2344//
go_0000820_7	b3213//
go_0000902_5	b0829//
go_0000910_4	b2074//b3331//b3857//
go_0000917_6	b0487//b3456//b3712//b0624//b0803//
go_0000918_6	b2869//b4339//b0838//b0009//
go_0000920_3	b2995//b1538//b0607//b3130//b2518//
go_0000921_6	b0469//
go_0000967_10	b1617//b2442//b4144//
go_0001101_4	b3794//b3633//b3645//b2675//b3717//
go_0001121_7	b3364//msrP//
go_0001123_8	b1475//
go_0001124_8	b0158//
go_0001407_7	b2759//b0123//b1197//b0853//
go_0001510_5	b3583//b1104//b2674//b4362//
go_0001514_8	b2474//
go_0001522_7	b2912//b0478//b0093//b3605//
go_0001558_5	b3405//b0811//
go_0001561_6	b4375//
go_0001676_6	b1282//
go_0001680_11	b2508//
go_0001682_11	b0419//
