#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:44 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/gos_bnum.txt
go_0000018_7	b3230//yjgX//b2697//b2750//
go_0000025_7	b0074//
go_0000027_7	b3563//b4219//b3578//b2551//b1199//b4053//b3676//b4161//b1619//b2762//b0962//b2004//b1258//
go_0000028_7	b1412//b4479//b1389//b0023//b2754//b1891//b1050//b3231//b2196//
go_0000032_8	b4173//
go_0000041_8	b1034//
go_0000050_5	b2594//b0847//b4053//b3405//b2207//b3342//b3401//
go_0000053_5	b0874//
go_0000096_5	b1014//
go_0000101_6	b4510//
go_0000103_5	b3720//b0369//
go_0000105_6	b0820//b1885//b0854//b4260//b1411//b1199//b1992//b0723//
go_0000160_5	b4050//b3648//b4113//b0771//b0904//b1384//b1023//b0355//b2427//b3206//b2897//b0741//b0767//b0178//b2600//b1756//b1120//b3281//b4357//b3732//b4260//b1731//b2606//b0221//b3657//b3068//b1270//b3849//b0528//b1223//b4015//b4511//b4180//b2197//b2091//b0304//b3833//b3264//b2162//b0111//b2883//b0353//
go_0000162_7	b3199//b2493//b3047//b2767//b2150//b3899//b2233//b1479//b1081//
go_0000270_7	b2302//b2865//b0394//b3386//b2146//b0473//b2503//b0893//b1741//yeeL//b1991//b0728//
go_0000271_6	b2610//b3345//b4361//b0914//b4376//
go_0000302_5	b0129//b4141//
go_0000303_6	b4090//b2078//
go_0000305_5	b3943//
go_0000372_11	b3136//
go_0000413_9	b3021//b3809//b0963//b3515//b1042//b0110//b2373//b0637//
go_0000453_8	b0268//b0152//b4528//b0421//b1370//
go_0000455_9	b3074//b1218//b3544//b4391//b0410//b1961//b3353//
go_0000462_11	b0367//b4312//
go_0000470_10	b2745//
go_0000478_9	arcC//
go_0000716_7	b4004//
go_0000724_8	b3279//
go_0000725_7	b3683//b1932//b4088//b4171//b3311//
go_0000726_7	b3567//
go_0000731_7	b0641//b0331//b2435//b1992//
go_0000737_7	b0394//
go_0000738_7	b0231//b0068//b0226//
go_0000746_4	b3006//
go_0000820_7	b3871//
go_0000902_5	b0836//
go_0000910_4	b0953//b0676//b0052//
go_0000917_6	b2240//b2717//b1776//b3289//b4470//
go_0000918_6	b2011//b3633//b1787//b3727//
go_0000920_3	b3809//b3624//b1259//b1782//b2028//
go_0000921_6	b3707//
go_0000967_10	b1887//b0487//b3606//
go_0001101_4	b3849//b2349//b3541//b1282//b0427//
go_0001121_7	b1185//b1590//
go_0001123_8	b3952//
go_0001124_8	b1595//
go_0001407_7	b0318//b4130//b4586//b1783//
go_0001510_5	b2958//b3009//b4099//b2154//
go_0001514_8	b0462//
go_0001522_7	b1603//b0061//b0721//b2193//
go_0001558_5	b3170//b0023//
go_0001561_6	b2285//
go_0001676_6	b0431//
go_0001680_11	b3892//
go_0001682_11	b0491//
go_0001731_7	b2511//
go_0001762_6	b3459//
go_0001887_4	b2151//b2532//
go_0001896_5	b4149//b3521//b3989//b3152//
go_0002047_6	b0438//b1807//
go_0002097_8	b0141//
go_0002098_9	b0440//b2100//b4474//b3965//b0879//b3949//b0459//
go_0002099_9	b3196//b3973//
go_0002100_9	b2313//
go_0002101_9	b0061//
go_0002128_7	b1663//b1686//
go_0002131_9	b1132//
go_0002132_9	b2284//
go_0002136_10	b1978//
go_0002143_9	b1216//b1599//b0824//b4003//b1489//b0172//
go_0002181_7	b3666//b1041//
go_0002184_8	b3321//
go_0002188_6	b3144//
go_0002192_8	b2277//
go_0002937_9	b3623//
go_0002938_8	b1686//
go_0002939_7	b0383//
go_0002943_8	b1237//
go_0002949_8	b1678//b0170//b1595//b2608//
go_0003333_7	b1809//b0741//b2128//b1133//b2698//b3290//b4029//b0630//b2780//b3229//b1072//b2800//b3928//b0054//b4082//b3721//b1201//
go_0005975_4	b1429//b3725//b4000//b0972//b1304//b1158//b2517//b0462//b0120//b0996//b2435//b0304//b1410//b4062//b2799//b4347//b2664//b3336//b3876//b0734//b3903//
go_0005976_5	b2806//
go_0005977_6	b2389//
go_0005978_7	b1662//b1718//b3458//b4363//
go_0005980_7	b3752//b0007//b2738//
go_0005986_7	b3357//
go_0005990_7	b1805//b1289//
go_0005992_7	b3134//b4083//
go_0005993_7	b3355//b1104//b0925//
go_0005995_7	b1360//
go_0005998_7	b2753//
go_0006000_6	b0445//
go_0006001_7	b0932//b4337//
go_0006002_5	b0813//b1536//b2523//
go_0006006_6	b0112//b3549//b1871//b1769//b3633//b2662//b3736//insI3//
go_0006007_7	b0462//b1602//
go_0006011_5	b0447//
go_0006012_6	b3119//b1499//
go_0006013_6	b0174//
go_0006014_6	b2914//
go_0006015_7	b2057//b1105//
go_0006020_5	b1174//
go_0006044_7	b3805//
go_0006046_8	b4067//b1119//b0874//b0481//
go_0006047_5	b2342//b3686//
go_0006048_6	b3141//b0446//b2500//b4242//b4077//b4191//
go_0006053_8	b0089//
go_0006062_8	b0602//
go_0006071_6	b2577//b4018//b0762//
go_0006072_6	b2469//
go_0006082_4	b3749//b2241//
go_0006083_6	b1767//b0578//b1600//
go_0006086_8	b3902//
go_0006090_8	b0763//b4095//b4022//b3579//
go_0006094_7	b1783//b0045//b2961//b0405//b0949//b2015//b4238//b0797//b2544//b1047//
go_0006096_6	b2235//b1298//b2529//b3189//b3416//b3571//b0019//b2354//b3782//b1258//b3392//b3952//b1427//b4305//b3585//b2198//b0602//b1313//
go_0006097_5	b0069//b2803//b3601//b2093//b3972//
go_0006098_6	b0035//b4375//b0063//b2539//b4079//
go_0006099_4	b4138//b1241//b2703//b0225//b3748//b3156//b2934//b3152//b0687//b4147//b2241//b4317//rhmR//b3782//b3260//b0325//b3463//
go_0006103_5	b3836//
go_0006104_6	b2952//b3549//b4460//
go_0006105_5	b1393//b0564//b0905//b2912//b1594//
go_0006106_8	b1617//
go_0006107_8	b3846//
go_0006108_8	b4382//b2582//b0792//b3583//b0314//
go_0006113_5	b0903//b0554//b0876//b0929//b3189//b3941//b2871//b0460//
go_0006115_6	b2979//
go_0006124_6	b0357//
go_0006144_6	b2276//b0233//
go_0006145_7	b3455//
go_0006146_8	b2765//b3597//
go_0006148_9	b0041//
go_0006149_9	b4484//
go_0006150_9	b2827//
go_0006152_7	b4222//b1579//b1998//b3933//b2416//
go_0006154_6	b1162//
go_0006161_9	b2546//
go_0006163_6	b3566//
go_0006164_7	b0168//b1349//b1518//b2903//
go_0006166_6	b4352//
go_0006168_7	b3357//b3872//
go_0006171_9	b2734//
go_0006172_9	b2284//
go_0006177_9	b3725//
go_0006178_7	b0232//
go_0006183_9	b0418//
go_0006189_10	b0066//b3833//
go_0006203_8	b4195//b0316//
go_0006206_6	b1319//b1786//b2705//b0480//
go_0006207_8	b0003//b1639//b2730//b1434//b2510//
go_0006208_7	b0149//b2532//b3241//b2525//b2987//b1913//b2069//b2828//
