# From /Users/Daniela/Documents/CCG/GU_art_2/GO_levels/scripts/regulons_in_gos_v3.pl on Mon Oct  8 13:28:29 2018
# Input = /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
# /Users/Daniela/Documents/CCG/datasets/GOs/extended_GOs/go_uniq_levels_extended_no12.txt
Group name	GO ID	GO level	Genes in group	Genes in GO	Percentage	GO name
AccB	GO:0032787	7	2	2	1.00	monocarboxylic acid metabolic process
AccB	GO:0072330	7	2	2	1.00	monocarboxylic acid biosynthetic process
AcrR	GO:1903506	8	9	4	0.44	regulation of nucleic acid-templated transcription
Ada	GO:0006974	5	4	4	1.00	cellular response to DNA damage stimulus
AdiY	GO:0019752	6	7	6	0.86	carboxylic acid metabolic process
AgaR	GO:0008643	6	11	7	0.64	carbohydrate transport
AgaR	GO:0034219	6	11	7	0.64	carbohydrate transmembrane transport
AllR	GO:0044237	3	8	5	0.62	cellular metabolic process
AllR	GO:0044281	3	8	5	0.62	small molecule metabolic process
AllR	GO:0071704	3	8	5	0.62	organic substance metabolic process
AllS	GO:0009442	7	2	2	1.00	allantoin assimilation pathway
AlsR	GO:0015754	9	6	3	0.50	allose transmembrane transport
AppY	GO:0044237	3	7	7	1.00	cellular metabolic process
AraC	GO:0071704	3	12	8	0.67	organic substance metabolic process
ArgP	GO:0006807	3	14	11	0.79	nitrogen compound metabolic process
ArgP	GO:0044237	3	14	11	0.79	cellular metabolic process
ArgP	GO:0044238	3	14	11	0.79	primary metabolic process
ArgP	GO:0071704	3	14	11	0.79	organic substance metabolic process
ArgR	GO:0044237	3	32	22	0.69	cellular metabolic process
ArsR	GO:0046685	4	3	3	1.00	response to arsenic-containing substance
AscG	GO:0009628	3	5	3	0.60	response to abiotic stimulus
AsnC	GO:0034641	4	4	3	0.75	cellular nitrogen compound metabolic process
BaeR	GO:0055085	5	8	5	0.62	transmembrane transport
BasR	GO:0044237	3	12	5	0.42	cellular metabolic process
BasR	GO:0044238	3	12	5	0.42	primary metabolic process
BasR	GO:0071704	3	12	5	0.42	organic substance metabolic process
BetI	GO:0006950	3	4	4	1.00	response to stress
BirA	GO:0032787	7	5	5	1.00	monocarboxylic acid metabolic process
BirA	GO:0072330	7	5	5	1.00	monocarboxylic acid biosynthetic process
BluR	GO:0042710	4	3	2	0.67	biofilm formation
CadC	GO:1903508	9	3	1	0.33	positive regulation of nucleic acid-templated transcription
CaiF	GO:0006577	5	7	6	0.86	amino-acid betaine metabolic process
CaiF	GO:0009437	5	7	6	0.86	carnitine metabolic process
Cbl	GO:0006790	4	9	7	0.78	sulfur compound metabolic process
CdaR	GO:0044248	4	9	6	0.67	cellular catabolic process
CecR	GO:0006855	6	5	3	0.60	drug transmembrane transport
ChbR	GO:0009401	7	6	3	0.50	phosphoenolpyruvate-dependent sugar phosphotransferase system
ChbR	GO:1902815	7	6	3	0.50	N,N'-diacetylchitobiose import
CpxR	GO:0050789	3	58	20	0.34	regulation of biological process
CpxR	GO:0071704	3	58	20	0.34	organic substance metabolic process
Cra	GO:0044237	3	71	46	0.65	cellular metabolic process
CreB	GO:0015768	9	3	3	1.00	maltose transport
CsgD	GO:0050794	4	17	6	0.35	regulation of cellular process
CsiR	GO:0032787	7	4	2	0.50	monocarboxylic acid metabolic process
CsiR	GO:0072329	7	4	2	0.50	monocarboxylic acid catabolic process
CspA	GO:0006417	7	2	1	0.50	regulation of translation
CspA	GO:0010608	7	2	1	0.50	posttranscriptional regulation of gene expression
CspA	GO:0010629	7	2	1	0.50	negative regulation of gene expression
CspA	GO:0097659	7	2	1	0.50	nucleic acid-templated transcription
CspA	GO:2000112	7	2	1	0.50	regulation of cellular macromolecule biosynthetic process
CueR	GO:0006732	5	7	5	0.71	coenzyme metabolic process
CueR	GO:0006796	5	7	5	0.71	phosphate-containing compound metabolic process
CueR	GO:0018130	5	7	5	0.71	heterocycle biosynthetic process
CueR	GO:0043545	5	7	5	0.71	molybdopterin cofactor metabolic process
CueR	GO:0051188	5	7	5	0.71	cofactor biosynthetic process
CueR	GO:0051189	5	7	5	0.71	prosthetic group metabolic process
CueR	GO:0090407	5	7	5	0.71	organophosphate biosynthetic process
CueR	GO:1901362	5	7	5	0.71	organic cyclic compound biosynthetic process
CueR	GO:1901566	5	7	5	0.71	organonitrogen compound biosynthetic process
CusR	GO:0044237	3	12	8	0.67	cellular metabolic process
CynR	GO:0009440	6	3	3	1.00	cyanate catabolic process
CysB	GO:0044237	3	28	17	0.61	cellular metabolic process
CytR	GO:0006139	4	12	6	0.50	nucleobase-containing compound metabolic process
CytR	GO:0006725	4	12	6	0.50	cellular aromatic compound metabolic process
CytR	GO:0034641	4	12	6	0.50	cellular nitrogen compound metabolic process
CytR	GO:0046483	4	12	6	0.50	heterocycle metabolic process
CytR	GO:1901360	4	12	6	0.50	organic cyclic compound metabolic process
Dan	GO:1903508	9	4	1	0.25	positive regulation of nucleic acid-templated transcription
DcuR	GO:0044237	3	9	7	0.78	cellular metabolic process
DeoR	GO:0006974	5	6	4	0.67	cellular response to DNA damage stimulus
DhaR	GO:0044237	3	4	4	1.00	cellular metabolic process
DhaR	GO:0044238	3	4	4	1.00	primary metabolic process
DhaR	GO:0071704	3	4	4	1.00	organic substance metabolic process
DicA	GO:0016032	5	4	2	0.50	viral process
DicA	GO:0090304	5	4	2	0.50	nucleic acid metabolic process
DinJ-YafQ	GO:0010629	7	3	3	1.00	negative regulation of gene expression
DnaA	GO:0044238	3	11	11	1.00	primary metabolic process
DnaA	GO:0071704	3	11	11	1.00	organic substance metabolic process
DpiA	GO:0044237	3	9	7	0.78	cellular metabolic process
DsdC	GO:0006974	5	3	2	0.67	cellular response to DNA damage stimulus
EnvR	GO:0006855	6	2	2	1.00	drug transmembrane transport
EnvY	GO:0006811	5	2	2	1.00	ion transport
