# From /Users/Daniela/Documents/CCG/GU_art_2/GO_levels/scripts/regulons_in_gos_v3.pl on Tue Oct  2 19:40:26 2018
# Input = /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
# /Users/Daniela/Documents/CCG/datasets/GOs/extended_GOs/go_uniq_levels_extended_no12.txt
Group name	GO ID	GO level	Genes in group	Genes in GO	Percentage	GO name
Ada	GO:0006307	8	3	3	1.00	DNA dealkylation involved in DNA repair
AgaR	GO:0008643	6	7	4	0.57	carbohydrate transport
AgaR	GO:0034219	6	7	4	0.57	carbohydrate transmembrane transport
AllR	GO:0044237	3	8	5	0.62	cellular metabolic process
AllR	GO:0044281	3	8	5	0.62	small molecule metabolic process
AllR	GO:0071704	3	8	5	0.62	organic substance metabolic process
AllS	GO:0009442	7	2	2	1.00	allantoin assimilation pathway
AlsR	GO:0015754	9	6	3	0.50	allose transmembrane transport
ArgP	GO:0043648	7	3	3	1.00	dicarboxylic acid metabolic process
ArgR	GO:0006807	3	14	8	0.57	nitrogen compound metabolic process
ArgR	GO:0044237	3	14	8	0.57	cellular metabolic process
ArgR	GO:0044238	3	14	8	0.57	primary metabolic process
ArgR	GO:0071704	3	14	8	0.57	organic substance metabolic process
ArsR	GO:0046685	4	3	3	1.00	response to arsenic-containing substance
BirA	GO:0032787	7	5	5	1.00	monocarboxylic acid metabolic process
BirA	GO:0072330	7	5	5	1.00	monocarboxylic acid biosynthetic process
BluR	GO:0042710	4	3	2	0.67	biofilm formation
CRP	GO:0071704	3	53	29	0.55	organic substance metabolic process
CdaR	GO:0044248	4	5	3	0.60	cellular catabolic process
CecR	GO:0006855	6	5	3	0.60	drug transmembrane transport
CpxR	GO:0050789	3	26	10	0.38	regulation of biological process
CpxR	GO:0071704	3	26	10	0.38	organic substance metabolic process
Cra	GO:0044237	3	13	9	0.69	cellular metabolic process
CsgD	GO:1901564	4	5	2	0.40	organonitrogen compound metabolic process
CueR	GO:0046688	6	2	2	1.00	response to copper ion
CynR	GO:0009440	6	3	3	1.00	cyanate catabolic process
CysB	GO:0044237	3	7	5	0.71	cellular metabolic process
Dan	GO:1903508	9	4	1	0.25	positive regulation of nucleic acid-templated transcription
DhaR	GO:0044237	3	4	4	1.00	cellular metabolic process
DhaR	GO:0044238	3	4	4	1.00	primary metabolic process
DhaR	GO:0071704	3	4	4	1.00	organic substance metabolic process
DicA	GO:0016032	5	4	2	0.50	viral process
DicA	GO:0090304	5	4	2	0.50	nucleic acid metabolic process
EvgA	GO:0071468	6	2	2	1.00	cellular response to acidic pH
FNR	GO:0006807	3	19	10	0.53	nitrogen compound metabolic process
FNR	GO:0044237	3	19	10	0.53	cellular metabolic process
FNR	GO:0071704	3	19	10	0.53	organic substance metabolic process
FadR	GO:0032787	7	8	8	1.00	monocarboxylic acid metabolic process
Fis	GO:0044237	3	11	10	0.91	cellular metabolic process
Fis	GO:0071704	3	11	10	0.91	organic substance metabolic process
FlhDC	GO:0071973	6	24	14	0.58	bacterial-type flagellum-dependent cell motility
Fur	GO:0015688	6	13	9	0.69	iron chelate transport
Fur	GO:0015891	6	13	9	0.69	siderophore transport
GadX	GO:1901564	4	6	3	0.50	organonitrogen compound metabolic process
H-NS	GO:0044237	3	8	6	0.75	cellular metabolic process
H-NS	GO:0071704	3	8	6	0.75	organic substance metabolic process
HU	GO:0032297	10	2	1	0.50	negative regulation of DNA-dependent DNA replication initiation
HcaR	GO:0032787	7	6	5	0.83	monocarboxylic acid metabolic process
HcaR	GO:0072329	7	6	5	0.83	monocarboxylic acid catabolic process
IHF	GO:0042221	3	7	3	0.43	response to chemical
IscR	GO:0043170	4	7	5	0.71	macromolecule metabolic process
KdpE	GO:0006813	8	4	4	1.00	potassium ion transport
KdpE	GO:0098662	8	4	4	1.00	inorganic cation transmembrane transport
LeuO	GO:0009098	7	4	4	1.00	leucine biosynthetic process
LexA	GO:0006950	3	34	28	0.82	response to stress
Lrp	GO:0071702	5	13	8	0.62	organic substance transport
Lrp	GO:0071705	5	13	8	0.62	nitrogen compound transport
MetJ	GO:1901564	4	3	3	1.00	organonitrogen compound metabolic process
MlrA	GO:0006412	6	3	1	0.33	translation
MlrA	GO:0022618	6	3	1	0.33	ribonucleoprotein complex assembly
MlrA	GO:0034622	6	3	1	0.33	cellular protein-containing complex assembly
MlrA	GO:0042255	6	3	1	0.33	ribosome assembly
MlrA	GO:0043043	6	3	1	0.33	peptide biosynthetic process
MlrA	GO:0043604	6	3	1	0.33	amide biosynthetic process
MlrA	GO:0090071	6	3	1	0.33	negative regulation of ribosome biogenesis
MngR	GO:0015755	9	3	1	0.33	fructose transmembrane transport
MngR	GO:1903507	9	3	1	0.33	negative regulation of nucleic acid-templated transcription
MprA	GO:0042221	3	2	2	1.00	response to chemical
MqsA	GO:1903506	8	2	2	1.00	regulation of nucleic acid-templated transcription
Nac	GO:0006810	4	3	2	0.67	transport
NadR	GO:0034627	10	3	2	0.67	'de novo' NAD biosynthetic process
NagC	GO:0006793	4	4	3	0.75	phosphorus metabolic process
NanR	GO:0046942	7	2	1	0.50	carboxylic acid transport
NanR	GO:0098656	7	2	1	0.50	anion transmembrane transport
NanR	GO:1905039	7	2	1	0.50	carboxylic acid transmembrane transport
NimR	GO:1903507	9	2	1	0.50	negative regulation of nucleic acid-templated transcription
NsrR	GO:0071704	3	27	19	0.70	organic substance metabolic process
NtrC	GO:0071702	5	11	9	0.82	organic substance transport
NtrC	GO:0071705	5	11	9	0.82	nitrogen compound transport
OxyR	GO:0006979	4	5	3	0.60	response to oxidative stress
PgrR	GO:0009253	8	2	1	0.50	peptidoglycan catabolic process
PhoB	GO:0044237	3	23	19	0.83	cellular metabolic process
PhoP	GO:0050794	4	12	5	0.42	regulation of cellular process
PurR	GO:0009058	3	11	8	0.73	biosynthetic process
PurR	GO:0044237	3	11	8	0.73	cellular metabolic process
RcdA	GO:0051716	3	2	2	1.00	cellular response to stimulus
RclR	GO:0000302	5	3	3	1.00	response to reactive oxygen species
RclR	GO:1901530	5	3	3	1.00	response to hypochlorite
RcsAB	GO:0044249	4	4	3	0.75	cellular biosynthetic process
RcsAB	GO:1901564	4	4	3	0.75	organonitrogen compound metabolic process
RcsAB	GO:1901576	4	4	3	0.75	organic substance biosynthetic process
RcsB	GO:0006261	7	3	1	0.33	DNA-dependent DNA replication
RcsB	GO:0010638	7	3	1	0.33	positive regulation of organelle organization
RcsB	GO:0031346	7	3	1	0.33	positive regulation of cell projection organization
