#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	hupA//ybdN//malQ//ccmB//
AlaS-L-alanine	casA//
AllS-allantoin	dsbA//tfaQ//ubiA//
AraC-L-arabinose	fucO//alaU//metR//hisQ//ygeH//tdh//nac//speB//copA//aceA//tnaB//yedX//kbl//yccA//
ArcA-Phosphorylated	mgrB//pheT//baeS//baeS//manY//gdhA//aceE//speA//glpX//fnrS//nrfB//cheZ//artP//acrB//tyrP//nuoA//fecD//xapA//oppA//fixX//rpoS//rpsS//sdhA//rpsO//efeU_2//rrfD//frdC//artQ//dcuS//phnK//cheA//rplV//tonB//cyaR//grxC//pgk//gntU//glpD//bdcA//hofC//puuR//tar//fucI//nac//nrfC//hofN//lysO//mdh//paaK//melB//napD//acnA//emrK//ptsH//flhC//atoD//yhfA//cheY//ompR//cueO//napC//fucR//exbB//fadJ//uxaB//alaA//kbaZ//tyrA//glgX//galE//ptsH//yhiD//slyB//tdcE//rstB//upp//ydfN//sohB//treR//astB//acnA//abgA//phoE//glcF//araF//manX//tam//araB//exbB//hycD//moaD//tomB//thrV//ulaC//fumB//pgaD//nikA//napD//moaA//hyfC//ftnB//gpsA//napA//tonB//aldB//aceA//degP//araC//exuT//malK//ynfF//rrsA//ilvI//polA//aroP//ynfE//ppiA//mhpB//fhuD//appA//tauA//hycC//uxaC//gspG//yqjI//hyfC//guaA//uraA//acrA//ccmE//ilvX//glcD//paaF//leuE//ulaF//gspJ//fucA//cynS//xapA//rybB//astB//hybO//evgA//hypD//xylH//ccmF//tehA//nikB//gapA//rrfG//dcuS//malS//glpK//ptsI//crr//gspE//ubiA//exbD//hofB//appY//ybjG//rrlG//rrlE//casB//polA//ycjF//ydhV//livK//mtlD//creC//nrdE//zraS//fdnG//arfB//phnP//csgG//yaeP//
ArgP-L-arginine	azuC//hycF//cusC//appA//rrfA//yoaC//yedX//purE//cusS//deoD//infB//nanA//sucB//aaeA//ydiU//fucA//
ArgR-L-arginine	araC//napF//stpA//fucP//ulaA//hdeD//ilvL//yeiP//argI//phnP//sohB//pheS//yeaD//araC//fdnG//fecC//pgaD//idnO//ptsI//srlB//glcA//arcZ//feaB//cysN//copA//rrfD//glcD//cynT//rplV//garL//exbD//nuoG//rseB//oppC//nanT//argT//astD//rof//cas1//
AtoC-phosphorylated	tktB//livH//atoA//betA//
BaeR-Phosphorylated	ldtB//aspA//citC//csiD//galT//psd//fepB//yeaE//
BirA-bio-5'-AMP	prpB//narG//rplT//frdB//cyaR//
CRP-cAMP	chbG//ilvB//ykgO//casE//sohB//dps//copA//tolC//nirC//yojI//rpmI//nrfG//manX//dgcZ//marR//nrfB//galM//napB//gatB//cydD//yccA//gspJ//ynfE//frdC//pta//yjeV//creB//hycB//idnO//prs//yegR//speA//nikC//purK//mipA//aaeB//phoR//hybO//cra//prfA//rpoS//mhpE//phnG//nohA//ileV//argO//hmp//aer//gabD//azuC//nrdH//metR//cydD//cydD//mgrB//mhpF//betA//nanM//icd//rplM//comR//hycB//ydeM//cysB//srlR//proP//tauC//kbaZ//aaeX//dppD//ptsH//hyfG//livK//polA//galK//ssuA//phnP//grxC//frdD//ynfK//nuoA//sufB//uraA//fau//frdA//caiD//uxuA//hupA//sodA//dppF//fucO//alaT//sdhB//pyrC//ung//nuoB//ptsI//appY//rnhB//psiF//rhaS//dppA//sucD//hybO//hycC//prpB//napB//abgT//cadA//leuE//fucO//ygiC//manX//rplV//infC//sdhA//nuoM//tauA//tnaC//sgbH//gltA//ada//serA//mhpB//hyfB//tauB//rseA//dkgB//gntK//rbsB//uxuA//eda//hypF//lysA//sufC//aer//gatC//mcaS//tyrA//hmp//ileT//xylR//metK//fecR//zraS//tfaQ//sroD//acrE//ccmF//aroG//aaeR//sucD//nikA//fhuE//actP//rpmI//cyaA//lsrR//oxyR//dkgB//dcuR//ccmF//actP//exbB//yegZ//mcaS//cysG//sohB//cpxA//nuoL//phnI//prpD//caiE//argC//cyoB//cpxA//qseB//lacI//purF//ilvA//rplW//katE//lpxA//ubiX//hybF//hyaC//rmf//cyaR//gltW//map//rrsG//soxS//znuC//argE//pheS//oxc//ada//dgcZ//pnp//eda//ilvG_2//araJ//acnB//motB//gltD//dcuS//argR//cas2//tnaA//rutF//baeS//yoaG//yojI//hemL//torR//allE//bcsA//yjcH//ulaC//rrsE//paaK//uraA//uof//tdcC//ugpA//ompT//casD//rpsJ//nrfE//lrp//dcuA//uof//mdtA//napA//fixA//hyfE//fur//osmC//cynX//uhpB//prpD//lsrG//uidC//ycjF//entD//frdC//puuP//lsrD//prpD//gyrA//exbB//mlc//uxuA//fadL//appX//yjeF//nrdI//mglC//ssuE//lpxA//ssuD//dmsD//yhjA//lysP//rpsP//nrfD//motB//uraA//livJ//bglG//cstA//mgrB//ulaF//rybB//yhjA//nuoL//rstA//frc//hlyE//rrsD//cysJ//puuR//cas2//hypA//galK//ychH//gspM//caiT//argT//cytR//tdh//hyfJ//malP//cheB//tyrR//yqjH//fadD//cyoC//gntU//tdcA//nrfF//zraP//yneM//malS//agaV//astB//caiA//mdtD//glcD//prmC//rutB//nrfC//pstS//malI//hypE//narK//rplT//cspE//yfdE//rimM//fecR//iscA//fecA//prpD//abgA//sdhA//deoC//sufB//evgA//aaeA//idnD//gspH//cas2//glgS//sbcD//appB//truB//galE//ptsH//lysP//ychH//mhpF//yaiW//nusA//ygiA//purL//cas1//thrS//glpF//treR//acnB//comR//mgtL//iscA//xdhC//moaE//idnO//yjiY//deoA//yjcH//glcB//cusB//glpD//argD//dadX//tauA//ascB//icd//bioB//ybdN//metQ//sucC//cyoE//kbl//idnT//nohA//deoD//metI//bdcA//aceA//gntP//hyfD//yfeW//rpmC//bcsA//rcnA//emrK//oppB//purA//evgA//manZ//grxC//aldB//nanM//ygiC//ndh//rstA//gapA//chbF//dadA//alaV//yeaR//dadX//caiA//hofB//caiC//yhhY//nupG//tar//moaD//qseC//rhaA//aaeA//bhsA//tar//zntA//chbF//rpsI//hpt//argI//gatC//paaC//dapD//cheA//yedX//manZ//psiF//astA//phoH//glrR//lsrB//ccmH//csgE//guaA//rbfA//caiF//ilvC//astB//mdtB//tdcA//mglC//ung//gntK//rnlB//dgcZ//yidQ//cirA//preT//gltD//metH//cysW//mdtC//nuoF//hmp//ygiC//lldR//aaeB//xdhB//gspK//csgE//sbcD//aspA//tdcA//fepE//cyoC//guaA//malP//alkA//creC//fecC//glmY//ydfH//nrdE//phnO//ydhW//glpR//araG//rdoA//araD//ilvG_2//caiA//alaS//rplB//csgF//znuA//treC//srlR//tsx//napG//uxuR//dmsC//gspF//pitB//bcsB//nikB//hofM//napA//gatC//dmsA//cyoE//rrsE//hybF//hcr//tyrA//mntP//alkB//bcsA//gntU//ahpC//norW//aroL//atoD//znuC//pgk//chbB//lldP//aceE//hyfI//rbsK//torC//pitA//gltT//uidB//hha//pnp//
ChbR-Monoacetylchitobiose-6P	glcC//deoD//napG//idnR//rpmI//miaA//
CpxR-Phosphorylated	xylA//ccmE//trg//glpF//betT//metJ//grcA//glcE//nrfE//phnN//fepD//yojI//rpsC//fimG//glgA//yaiW//phnE_1//nrdD//adiC//motA//lsrD//zwf//nrdF//cusF//lysC//rplP//glcF//araA//rbsB//glnA//rdoA//cyaR//frc//tfaQ//livF//trg//rbsC//fhuC//rprA//hfq//betI//malI//tauA//mutY//gspK//patZ//metY//betI//rrlH//ulaC//yfiP//ansB//fumA//hydN//nrdH//rplV//trpD//rutB//dpiB//sucA//metF//fecE//norW//hypC//cysI//ompW//sodA//mhpB//hcr//
CreB-Phosphorylated	gspF//araH//chbF//argD//cynR//acrD//gatA//rrfD//manZ//
CueR-Ag	paaF//araJ//ldtC//ompW//secB//gspL//oppC//
CueR-Cu+	ptsI//xylG//csiD//rrfE//ugpA//ilvE//mntS//
CuerR-Au	uhpA//galP//dppF//cusB//chiP//lldD//folA//
CusR-Pasp	dcuS//hyfR//uxaC//sdhB//ldtC//mdtC//rrsH//feoA//guaB//appY//rpmI//yfeW//
CynR-Cyanate	map//ydfN//trpE//sroD//
CysB-N-acetyl-L-serine	tar//fecI//nanK//dcuA//deoB//ydhT//mgtA//dnaA//glgC//ampE//pheS//ycjX//csgC//nikE//xapB//ptsH//paaC//hupB//lyxK//nirC//dapB//nagE//erpA//pta//sufS//gnd//frdD//prfA//frdC//mntH//
CysB-O-acetyl-L-serine	dmsC//paaF//mlc//degP//lsrD//lldP//nanM//abgA//puuD//casC//rutG//entD//qseC//nuoH//gatD//cheW//xylR//cynR//frc//qseC//envY//chbA//rrlE//gadC//rpsC//xdhB//argO//pheM//abgA//fldA//ftnB//
DcuR-Phosphorylated	ychH//tdcF//puuP//lrp//hmp//ynfG//mcaS//adiC//mepH//
DnaA-ATP	sbmA//nikR//manZ//fhuF//frdC//hypD//nanA//fadB//nrfC//gcvT//micF//ssb//
DpiA-Pasp	gspD//gpmA//glnD//alaS//ssrS//garK//paaA//rimM//treB//hofP//nmpC//
DsdC-D-serine	icd//phoA//sufA//
EvgA-Phosphorylated	oppF//nuoA//pheM//yhcH//fecD//ilvX//argT//yedX//pgaA//mzrA//sbcD//puuC//rrfG//sucA//cadB//
