#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	entF//ccmD//lpxD//pitB//
AlaS-L-alanine	feoC//
AllS-allantoin	acrE//ccmC//mtlA//
AraC-L-arabinose	yiaL//fdnG//rnhB//deoC//metA//arcZ//nlpD//polA//soxS//eda//nusA//gltW//ulaB//pyrD//
ArcA-Phosphorylated	crp//glpE//grpE//gcvP//phoQ//paaH//rprA//ompC//lhgO//kbaZ//ssrS//mhpC//asr//bioA//cynX//yaiA//nuoB//fau//frdC//hyfR//narQ//polA//frdD//erpA//thrV//nagE//rseC//casD//sufD//gabT//cheR//rplM//csiE//ssuC//gutQ//rpsI//uhpT//slyB//xylH//sucC//pagP//sdhC//ydbD//ydeO//tnaC//torC//fecR//uidC//hflD//appA//bioB//marA//ivbL//nanC//tnaA//ubiA//fumA//gutM//evgS//dppC//guaA//bcsA//ygiB//qseC//rbsA//dnaA//emrK//tyrP//nagE//acrB//gspE//dusB//hyfC//dkgB//sufD//yiaN//ydhU//ybdZ//ccmC//glpR//nrfF//tdcF//xylB//skp//tyrB//yqjA//metN//glgP//galE//cydD//entS//putP//ulaD//miaA//rhaT//yciW//glcG//rseA//ycjF//malT//malI//fumB//gatB//ilvB//ykgO//tyrP//rrlE//casD//ahpF//pdhR//narK//atoB//nrdA//moaA//acnA//codB//hyaA//nupC//alkA//exbD//tsgA//bioF//oppA//gltF//iscU//oppB//aaeB//glpQ//creB//cusR//rrfD//cspD//nrfD//glrR//secB//dcuD//ydhU//gpsA//ydeN//sufS//mscM//pagP//flhC//safA//ydhV//recF//ivbL//cysH//ugpC//hyfH//hofP//lsrG//rplT//malX//nrfB//fabZ//aroF//tdcG//yhjC//fumB//sbmC//moaA//lldR//deoD//sdaA//speC//yqjA//trpR//cynX//ilvL//ccmB//fecA//caiC//pncB//tomB//chbC//rrfA//
ArgP-L-arginine	trpC//phnG//fecR//dcuR//pagP//cas1//livF//fes//ilvG_1//uxuA//gltD//argH//focB//yeaE//cheA//malS//
ArgR-L-arginine	truB//yfeW//gatB//phoR//phoR//yjeV//rmf//araE//trpC//paaB//hycG//ycjX//tam//ykgM//casE//nadC//ulaB//yaeQ//cysH//hyfC//gpsA//cas2//yggX//alaA//uxaA//xylH//metC//fau//idnD//ppiD//paaZ//rhaD//raiA//malI//uidC//tam//emrY//fhuC//rrlA//
AtoC-phosphorylated	mltC//ilvG_2//phnN//nadC//
BaeR-Phosphorylated	purB//tyrB//nanM//ybdZ//pitA//hflD//rplP//ccmB//
BirA-bio-5'-AMP	paaH//glcG//nuoN//caiA//aaeX//
CRP-cAMP	mltC//ygiC//cytR//argI//xylF//nuoF//folA//sufA//argR//pheT//fdnI//hybA//yfeW//mgrR//rrfA//ysgA//hycI//gatD//bdcA//infB//feoB//bglF//guaA//pstC//flhD//dmsC//gatA//nagB//ycjF//tap//cyoA//napH//fhuC//pyrD//glcA//lysO//hisM//xdhA//fepB//infC//rpsI//nadC//flhC//mgrB//napH//rplC//fdnG//speB//gcd//glcA//nanT//araD//ilvY//rhaT//gltD//rseC//nanE//yqaE//hha//puuA//glgX//skp//aroA//artI//nuoL//nuoM//ulaB//sucC//puuP//melB//pstB//fepA//ybjG//malM//rpmC//feaB//xseA//aldA//cheY//prfA//nuoJ//xapB//aceA//uxaA//idnT//yoaC//casC//sbmA//nrdG//mtlD//sodA//bacA//gcvT//glnG//narH//spf//nuoA//rutA//yeiL//cadA//ugpB//yjjZ//yrbL//garR//malQ//cas2//fhuF//hybA//cysA//paaI//lldP//mhpC//dcuB//atoA//phnL//yegH//polA//azuC//cra//slt//infB//lamB//glgX//ulaE//iscS//creA//yccA//spy//fhuF//cbl//phnE_2//lldD//yccA//lysU//mltC//ppiA//csgA//hflK//cheR//glgA//napF//yfbR//psiE//nrdE//psiF//proP//glnG//appA//envZ//metI//rrfE//argF//bglB//yfdX//ygiA//mcaS//bdcA//fhlA//focB//narI//preT//ccmH//rutD//ilvN//nrdA//raiA//nuoE//uhpT//glpE//cydD//fucO//ykgO//creA//nrfC//tcyJ//mntH//aspA//entD//gltD//ynfE//rrlH//phoB//pgpC//yaeQ//gspL//ugpC//trmD//lldD//pyrD//cbl//malP//fhuA//frdD//codA//nhaR//slt//gyrA//soxS//gltB//metY//ompC//tdh//motA//actP//lpxD//pdhR//cysG//uidB//gntK//yaiW//argP//rrsH//mipA//puuB//metE//leuE//acrB//ppiA//idnK//hycH//dctA//secB//purB//ykgM//fhuC//deoA//cynS//glpB//ycdZ//acrA//fbaA//argB//mglA//yecR//nrfF//fimE//phoB//yhiD//yciW//prpR//tktB//phoP//mdtD//nuoE//lacZ//pitA//cpxR//cysH//lacA//lysC//metL//mutL//emrY//ahpF//copA//nirC//marA//umpH//glpA//ccmG//waaH//sbmA//soxR//srlR//alaS//hybB//envY//ccmC//gutM//rplC//hybO//prfA//tdcG//nanS//metC//mdh//hyaE//aldA//aldB//nikE//csgC//bdcA//glpC//uidB//narH//hypD//rbsD//hybA//astD//speC//entB//gatC//guaB//rplT//fecE//ilvG_2//glnG//nuoH//yedX//gadB//lysP//marR//bioA//xylA//flhC//grxD//rseB//yhhY//tktB//prfA//sufS//mpl//metC//exbD//codB//napF//fadI//lpd//dcuD//speA//alaS//hisQ//betB//idnK//purL//hfq//pnp//oppD//ynfF//tauD//rplD//moaE//frdC//rrfE//codB//fnr//gntX//lysC//dmsB//yhjC//hypF//ptsG//psd//yegZ//mdtD//fliA//rplD//aceE//idnK//tomB//hupB//truB//sbcD//paaG//nanK//garL//truB//dcuB//fepB//ada//hycB//argA//lhgO//glmY//hcr//rpsQ//nagA//torR//ilvI//paaK//hfq//ispE//phnG//yoaC//nuoK//cysC//kbaZ//hofP//gspE//hisQ//rplC//hycE//sodB//csgE//casB//garR//serA//fumB//polA//ulaC//mhpF//infB//yfbR//znuB//hybB//ubiC//hybA//prmC//torA//codA//cysA//tolC//rrlG//ydhV//thrS//yeaD//ispE//paaK//nupG//gspI//gltW//cheB//cyoC//tsgA//rrfG//betI//metE//argP//pgk//tyrP//hyfH//ydhV//uxuB//ssb//bcsZ//ftnB//kbl//hofC//cydB//preA//phnF//hyfH//xdhB//fucK//cydD//allC//dps//hlyE//uhpT//fadA//mhpD//fadE//bcsZ//frc//lsrR//phoR//oppB//cbl//nmpC//rrfG//acrF//cusS//rplW//abgB//hcr//rbsB//cas2//tam//yqjI//fiu//rrsB//lsrD//cyoB//rpsO//caiD//metQ//frdC//cusR//frc//yaeQ//purR//glpK//mcaS//yeaR//cyaA//envY//gspE//argT//marA//nac//trg//arcZ//malM//edd//ileV//moaD//fepA//pgaC//ptsI//thrV//recF//fepG//zwf//hdeB//ulaC//aroH//fis//nanA//caiF//fes//hisJ//metI//entE//dadA//fis//cysW//nagA//pdhR//amiB//ompX//trpD//lsrR//rpmC//modA//ompR//efeU_2//phoQ//pdhR//nusA//frdD//agaA//deoD//moaB//rdoA//rseC//
