#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	flhC//dmsC//napG//malZ//
AlaS-L-alanine	fucK//
AllS-allantoin	gadB//prpR//rrlA//
AraC-L-arabinose	ydhT//fecC//paaJ//dppB//ompF//hyfB//phoU//srlA//katG//waaH//chbC//yhfA//xdhA//glgC//
ArcA-Phosphorylated	idnD//pstA//nikB//paaJ//nrdD//cydA//rpsP//manZ//icd//glpB//arcA//malP//hisQ//ilvL//gspC//aceK//fucP//rpsR//narH//glcC//araD//rpmI//malX//cysI//alaV//gspD//phoU//malQ//hupA//yegR//ccmB//sucD//cusC//sbcC//uhpC//dgcZ//feoA//ydiU//serA//gltT//bcsB//caiE//narK//paaC//comR//ldtB//dadA//xylA//gatC//cynR//fimG//mpl//rutB//fimA//rpoH//fecR//metJ//gspE//thrS//stpA//kbaZ//rutD//flhC//grpE//fabZ//hyfB//manA//hyfF//sohB//argP//hemA//tadA//rnlA//ogt//aroP//rpoE//ivbL//phoP//prpD//gspD//nrdA//exuT//lsrG//rprA//manX//cstA//glcD//purD//hmp//evgS//nanM//argA//araD//ilvI//entE//borD//abgB//modB//cynS//psiE//yeaE//gutM//trpC//fecC//emrY//priB//caiT//preA//gspC//rpsF//hyfC//fis//mhpA//galM//rutG//rimM//hha//crl//hybB//alaV//rrlD//ascB//tehA//rrsE//metC//fdhF//mlc//fecE//gspE//fucR//nhaR//ugpC//cheW//ycjF//infB//ilvH//yeiB//atoD//dadX//hofP//csgB//glcF//nrdA//cysN//sufC//moaB//melR//ilvA//citG//caiF//arcZ//lldP//aer//gntX//tdcB//hupB//mgrB//glcA//purE//nuoN//yiaO//fecD//tyrR//sufB//rpmC//gapA//gltW//dnaE//grxC//fumB//lsrR//ptsG//trpL//fixX//dmsA//ulaE//hypA//
ArgP-L-arginine	hyfI//cysB//fixX//yaiA//rdoA//fepC//nuoB//ebgA//chbG//rpmC//aspA//purN//aroG//trpL//ssrS//bglG//
ArgR-L-arginine	adhE//dmsD//rutD//argA//gltA//ppiA//epd//spy//uxaA//argE//nuoA//dapB//paaI//fepC//focB//hha//sdaA//secB//skp//mntS//cysN//cydA//baeR//envZ//crp//rstB//prs//glgP//nanT//gcvH//tyrP//moaC//yccA//actP//dnaA//acrB//ilvM//ilvM//hycA//
AtoC-phosphorylated	glyA//gspK//dppD//ysgA//
BaeR-Phosphorylated	argT//amtB//osmC//napH//chbC//pgaB//nhaR//narJ//
BirA-bio-5'-AMP	cbl//gntP//lysA//secB//pgaC//
CRP-cAMP	sufA//ilvA//fixB//caiD//artM//rplP//mcaS//narJ//hyfJ//caiC//codA//cyoC//thrS//rrlA//tdcE//acs//ahpC//ccmH//lrp//znuC//prfA//yhjA//fadD//gcvT//lacA//fbaA//ada//safA//cusB//yeaR//phoH//atoA//gltD//marB//uidB//yqjH//csgG//gltD//asr//ryhB//soxR//prs//trpB//bioB//mntS//mglA//gnd//idnK//cyoC//cpdB//mntS//mhpR//frdA//oppC//gatB//soxR//nuoC//sdhB//rof//manX//bhsA//araD//lldP//cusC//envY//ssuE//lacZ//slyB//glpC//malT//priB//gspF//infC//ydeA//ulaF//napD//araH//uvrA//nrfG//ydeN//purM//hycA//hflX//iscR//rrlC//citF//hyfA//sdhD//oppA//ygiB//rbsD//rbsR//ileV//ulaC//ilvX//dpiA//gspL//trxA//yjeF//rcnB//yebE//bamA//idnO//sufD//ccmF//argT//mntS//yaiA//puuC//narH//ygbA//idnO//citF//hybE//rpsR//cysD//tdcB//rrsC//napA//gltB//sucB//arcA//focB//tam//rpsJ//tap//hofN//malP//ydfH//ygbA//rplM//nuoE//cysM//purN//gapA//yiaO//hupA//fepB//aaeX//nuoL//astB//frdC//dcuA//phnN//gcd//rhaD//glpF//fadA//raiA//galS//hofP//tehA//sufB//hybF//betB//eda//soxS//mdtD//fucP//baeR//tam//glpC//nanA//bdcA//tpx//alkB//purC//ccmH//fliA//malX//cusC//rutE//yccA//ung//cpxR//amn//sufS//purD//chiP//purE//livG//bioC//ydhW//tsr//purH//ftnB//oppF//lhgO//mepH//dmsA//srlE//araJ//dmsA//ssuE//aroF//lldD//allC//yqjI//yedX//prs//creB//dctA//lpd//soxR//gspD//idnD//ugpA//fimI//guaA//micF//rrsG//mntP//fiu//napF//fhuF//speC//srlR//araD//dps//cpxR//argE//mglC//purC//paaE//nanM//artJ//tdcA//rseA//dapB//nrdE//dadA//uhpT//ptsI//lysC//argA//aidB//purF//nfuA//prpR//malT//cstA//yjiY//pitA//lsrK//ompA//ugpA//hyfC//narQ//tdcA//sufD//rbsD//tehA//aaeB//nac//phoB//pheS//nuoE//narK//tauC//pstS//cytR//evgA//rof//mpl//entE//flhD//glpA//dsbA//cydD//slt//ccmG//dpiA//ydhY//rpoH//fes//mdtB//fnr//appA//metB//avtA//araD//argB//ndh//infC//ispE//yiaM//uxuB//hisP//narH//ilvN//deoA//metH//ygiA//glpF//cysN//phnG//baeR//melR//nhaA//mdtB//uraA//galK//phnE_1//nhaA//hypD//yoaG//rrlC//gspC//mhpF//tdcA//ulaC//edd//fucI//hofO//hpt//yfiP//hflK//qseB//dcuA//rbsB//bioD//hypF//ulaF//abgB//aroL//napD//tdcG//deoC//argP//puuD//motB//nrdB//cstA//pheM//agaV//slt//ispE//gatA//rplT//rrlE//cpdB//caiE//hyaF//hslJ//lrp//csgF//yegZ//garR//ygiB//crp//rutB//gatY//modC//puuE//glpX//feoC//hyaB//lyxK//gspO//ilvL//argR//fimG//paaG//thrS//phnF//cysW//appA//hflX//xapB//ssb//trg//aceE//sodA//astA//tar//cusB//rimP//argR//thrV//fadJ//ascF//caiT//dsdX//nrfA//rutD//glcE//lldR//nrdB//nuoG//hybC//sdhB//acrA//yqaE//ygeA//yhfA//cytR//gntU//exbB//ycjX//rbsB//znuB//glnG//phnP//putP//rpmC//sodA//adhE//fdhF//rhaD//torA//aceK//aroH//ybiT//glpR//yhiD//zraS//cydD//citE//aspC//tsr//glcD//yjcH//guaB//xapB//uidA//ybiT//paaA//hypC//sucC//ompC//mtr//narI//mdh//entB//cusA//mntH//chiP//cirA//glcE//hupA//cueO//hypA//ychO//aaeA//phnM//frdB//fecE//oppA//fucI//rrfB//tauC//katG//fadB//yaeQ//ybiT//narJ//xylG//glpK//gspO//rpoS//rpsC//dnaA//ada//rpsJ//uvrA//phnO//ydbD//fldA//ygbA//cytR//moeA//fadL//fecE//ileU//rbfA//tsr//csgG//gadC//mhpT//phnL//phoH//entA//ccmD//napC//rnlB//mhpT//narJ//ryhB//entC//dmsB//galM//sdhA//gcvH//ybdN//tfaQ//abgB//sdhD//rpsJ//fadL//citC//fimA//nanA//tadA//sxy//entC//galM//pncB//feoC//dgcZ//modC//nuoK//cysK//yhcH//ybjG//micF//trpR//oppB//pdeF//alaS//ilvY//aceE//cynX//uhpB//fimE//malQ//
