#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	rpoE//ompX//katG//creD//
AlaS-L-alanine	sgbU//
AllS-allantoin	acrF//dcuR//ssuA//
AraC-L-arabinose	hyfG//tauD//fadB//phnL//phnH//glpD//norR//ubiA//preA//yhcH//paaD//mdtC//lldR//fucP//
ArcA-Phosphorylated	glpQ//fimC//appC//lsrF//crp//aidB//mntS//malY//cheR//ulaF//bamA//gpmA//phnC//cyoB//hisQ//arfB//yojI//csgE//rrlH//ivbL//entB//acrB//entC//codA//hyaB//betA//ugpC//tdcB//mtlA//dpiA//acnB//ahpF//ubiX//tsaE//chiP//pdhR//dmsA//chiP//hdeA//mdh//rpsJ//hybC//rplW//ygbA//fdnG//gspL//rpoH//hyaB//tcyJ//rnlB//nrdE//rrsB//lldP//nrdA//oppB//trpL//cynT//malX//ygeA//rrsC//rhaA//ppiD//ogt//metN//rdoA//gatC//treC//nanM//phnH//fadH//gadB//ulaF//hybB//rseC//betB//fecI//gntT//cusR//aaeA//marA//trpC//fecC//glnA//dppD//hdeD//fepD//yqjA//gabD//katG//zntA//malY//cysP//mhpC//fumB//carA//cynT//actP//rdoA//uxaA//dppD//fecA//tauC//ulaF//csgE//csgG//uhpA//malT//psd//malK//atoD//cysH//cyoE//srlB//ygeA//trpB//tnaB//hyaD//cbl//malQ//nrdA//gatD//fldA//gntR//nuoI//nagA//ycjF//rbfA//cysN//actP//cyoC//gatZ//pstA//yaiA//cyaA//zraS//motA//fadI//ompX//ulaF//artQ//phoP//nlpE//infC//ugpE//ompX//sxy//yqaE//phnP//hflK//deoA//bacA//dapB//paaC//ilvL//phnJ//rpsR//fdhF//purL//creA//tfaQ//hofM//rstA//dppF//cusS//citD//malZ//efeU_2//dppD//mtlR//phnE_2//cynR//rbsB//mdtD//prfA//hyfH//hyfF//zraR//
ArgP-L-arginine	napC//ugpE//gntP//glgP//osmY//gspH//bioA//araJ//entC//mcaS//rutB//evgA//pyrC//nuoI//nuoM//gutQ//
ArgR-L-arginine	gltU//ydhY//sodB//lamB//ssb//hycE//arcA//metC//nrfC//upp//prfA//dnaA//glcA//envY//rrfB//map//ptsG//aroL//nuoI//dmsD//rbsR//rplV//cysN//hfq//napC//dnaN//paaB//tdh//deoA//yjcH//amtB//atoA//glgC//nupG//mgtL//tdcB//ispE//dps//bioC//
AtoC-phosphorylated	dctA//tdcE//acnA//dnaE//
BaeR-Phosphorylated	hybA//hyaF//casE//iscS//glgP//ugpE//mtlA//yedX//
BirA-bio-5'-AMP	rplC//pflB//treB//cynR//slyB//
CRP-cAMP	galP//fdhF//cyoA//yecR//sucC//agaA//rrfF//cheZ//rpsJ//flhC//motB//paaA//chbR//aer//gntX//ydeO//emrK//oxyR//preA//atoE//acrE//motB//glcD//cadA//metR//focB//cysI//tyrR//rplI//hyaD//nrdH//rplD//metJ//cysJ//ybdN//purC//caiT//hybO//tdcA//uxaB//prmC//pgpC//rbfA//bacA//ilvA//ryhB//bamA//pgaC//yhfA//cysJ//codB//kbl//epd//fepD//aceF//ycdZ//rutG//hyfH//argH//hcp//trpB//cas1//lysU//hybO//manA//csgD//dsbA//fdnG//rpsS//phnP//zinT//mdtC//uxaC//metJ//uidB//moaA//chbA//cheW//uxaB//uidA//ssuA//ynfH//fau//rseA//srlD//iclR//ubiA//betB//cspD//gspL//dapB//dmsD//hpt//exuT//tap//uof//phnP//gutM//araF//bglB//fucO//prpC//ugpA//hha//mtlR//ulaD//purL//yfdV//sufE//mntP//cstA//crl//dppB//lysC//pck//phnL//mtr//fimC//pstS//uraA//malT//adiC//nirC//phnN//uxaC//emrK//pgaC//napC//slt//idnR//ackA//gltF//ubiC//cra//nirB//spy//fimC//ccmC//araB//ydeM//prpE//uhpT//oxc//trpR//chbR//yedX//purA//aroM//rcnB//zwf//mgrB//fhuF//tolC//codB//phnD//ykgM//fumC//prpR//tehB//hdeB//rpsR//speC//sufD//ompW//feaR//rrsC//sbcD//dppB//entA//frdB//ftnB//edd//amtB//aroF//lolB//abgT//hyaA//purL//katE//hycH//prpR//tam//rrfA//cynS//gspK//sufS//ung//hdeA//nikD//glcF//serA//lsrA//ygbA//yciW//tyrP//fucO//garR//malE//dppB//puuB//ynfK//uhpC//purR//ompA//pflB//nikR//znuC//waaH//xylF//bcsB//cyaR//fepC//nuoL//znuB//ilvE//gcvT//cysK//trpE//malM//aspC//nikC//paaC//dapB//prpR//yhcH//phoP//tar//bdcA//purM//miaA//lsrB//ompX//yecR//nupG//dppD//uraA//ccmG//purL//hslJ//abgT//entD//ccmG//paaC//bioD//borD//polA//idnD//artI//infB//ydhW//guaA//csgE//lldR//hdeD//malE//rutD//rbsK//gntR//katE//malK//deoD//srlA//ahpF//mglB//yecR//ygbA//mipA//dadX//melA//ugpC//sdhD//ssuE//narH//yccA//ugpQ//hisQ//fecE//rbsB//sdhA//phoA//srlD//fhuD//cysM//oxyR//puuE//gltF//rrfF//appY//cdd//rpsC//cusS//cydC//aroF//bglG//baeR//modC//torC//lacY//yggX//nagA//aroG//gntP//rpoE//phnP//yeiB//rplM//nrdH//dps//phnI//ubiA//dadX//rrsE//udp//csiD//yaiW//xylB//nanT//rbsD//narJ//abgA//sohB//nanM//allE//cspD//paaJ//zraS//gpsA//mpl//ychO//dcuA//fecD//fdnI//ileV//rhaA//yojI//raiA//rutD//fnr//gntK//hyaC//rstA//yjcH//sbmC//gspG//tdh//fucP//hycD//cusA//nikB//yfdE//gntK//sxy//cysJ//cyaA//pyrD//betA//moaC//galK//ubiC//moaE//mipA//lacZ//dnaN//carB//baeR//arfB//lysC//nrdA//priB//gspH//ygbA//paaC//lldR//fadB//prpB//hycG//deoD//purL//znuA//cyoB//ynfF//tnaC//acrA//tdcG//pstC//tsr//ulaB//mgtL//fhuB//gatY//betB//argA//malY//norR//hemA//fhlA//fumB//rybA//mntP//purR//srlA//cueO//fucU//psiE//yoaG//cpxR//gspE//araF//rpmC//galT//glnL//rpmI//nrdA//sufE//galP//ileU//ubiC//hyfI//cusB//yfbR//aroF//phoP//nirB//argP//uvrA//rmf//csgC//talA//feaR//xylG//fadI//glcF//galP//glpE//araA//hycG//ydeP//bamE//moaD//glcD//rnlB//acnA//chbF//feoC//csgG//fecD//rpsO//uhpC//bioC//tauA//acrE//tadA//galS//purR//phoU//fnr//carB//ytfE//tomB//hpt//rplT//ydeM//ahpF//alaU//iscU//tdh//gadB//yeiL//flhC//ogt//ydiU//rpsQ//ccmC//rybB//entD//infC//ulaB//nanM//phnH//hyfJ//iraM//rbsD//bioC//moaB//nrdA//moaB//phnM//yeiW//ygaC//lsrF//cadB//gabD//sgbH//hpt//rbsA//norW//araA//fixX//nuoB//pagP//astB//gatY//narK//tsgA//sbmA//cynX//fliA//asr//mgrR//arfB//tdcG//iraD//nrdF//trpD//yhhY//rplS//carB//rcnA//fliA//gutM//betA//ydeO//nagA//hflK//rhaS//
