#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	pncB//yeiP//metH//gspI//
AlaS-L-alanine	prpR//
AllS-allantoin	uidB//yeaE//zwf//
AraC-L-arabinose	lysO//lysC//glcF//rybA//pstA//aroP//cyoB//cueO//rutE//ccmC//stpA//hyfJ//ccmF//entA//
ArcA-Phosphorylated	cyaR//preA//cydD//cheA//lsrG//iraD//zraS//tsgA//ptsI//oppB//frdB//ahpF//truB//nuoI//betB//ada//phoP//yhiD//hybA//glpE//sbcD//nagB//ybdZ//xylH//nrdE//fecR//metC//sbmC//yaiW//ydeA//hisQ//ilvG_1//kbl//ilvX//ccmG//astE//glpC//melB//gntR//araF//citD//rplC//nikR//nikR//entE//pheT//avtA//ychH//paaK//paaE//rplW//bglG//lldD//napD//nupC//cas1//dsbA//cydA//glcD//nanT//tomB//hofB//mgtA//fabZ//yidQ//infC//garK//gabP//trpA//lamB//rutF//fadE//crp//yiaM//sroD//exbD//ydiU//oxyR//fimG//glcA//hha//rseB//mtlR//metH//mhpT//iclR//safA//rplW//mlc//rimM//acrF//sodB//acrA//recF//ugpB//lysC//garR//exbB//ldtB//secB//agaW//glgC//puuP//creB//nuoK//rprA//rutD//metI//hflC//gltW//fhuE//uraA//paaH//ygaC//fecC//nanM//gatC//argC//fadB//ppiA//ackA//idnD//nuoM//katE//trpC//cueO//ilvD//thrV//ilvD//pstB//patZ//rplW//hyaE//agp//atoE//hycI//glnG//nanK//abgA//glnL//caiD//trpA//tyrB//dps//slt//sdaA//glgX//ccmA//alaT//speC//exuT//ppiA//aaeR//hycA//talA//cheY//malY//fecD//betA//xylB//gutM//ispE//glrR//dapD//puuC//fucA//rutA//cheB//pgpC//gspC//sufA//frc//aidB//yhfA//mltC//flhC//fhuC//
ArgP-L-arginine	agaA//argE//rseC//ompW//malY//ispE//nikE//appX//nuoL//yjiY//hflK//gpsA//srlR//zraS//ilvX//rdoA//
ArgR-L-arginine	bioD//qseB//iclR//ubiA//melB//hyfB//acrB//lacI//yeaR//cysB//grxD//cusC//ftnA//ansB//carB//hyaD//dpiA//aspA//lacA//uidB//prpD//nuoG//phoB//pgpC//pgaB//torD//purC//emrK//araG//pepT//puuA//sdaA//malT//ilvY//rpoS//phoQ//infC//actP//atoB//
AtoC-phosphorylated	acrF//yojI//yebE//mutL//
BaeR-Phosphorylated	crp//sufA//fiu//gspD//metQ//glnG//znuA//purN//
BirA-bio-5'-AMP	metI//uhpB//dadA//sucD//metL//
CRP-cAMP	fepC//argT//torC//appA//trpL//upp//dppA//ygiC//tehB//gabT//secB//glcG//ppiD//hcr//artJ//ydeM//metK//malY//rpsP//tdcD//ydfH//kbaZ//ilvD//rbsA//priB//gspH//gltF//malY//pflB//tyrR//metJ//aidB//dcuR//hypB//sdhA//ilvD//cyaA//hlyE//livF//ugpE//fadJ//ytfE//rrfG//uhpC//iscU//creC//glgP//ccmE//ydeP//yegH//nanE//sufS//aaeR//aceK//cheB//ssrS//hybD//ileV//nrfB//tnaB//artI//creD//rutC//rcnB//nrfF//hypF//acrF//nagC//gltA//rbsA//hyfI//hyfD//ndh//iscS//casB//gnd//ilvC//hybC//flhC//hybF//fucR//sbcC//rof//rrfH//paaG//nrdE//cysA//phnO//nfuA//mhpF//nanM//fhuC//ugpC//napB//fimH//gpmA//aroM//creD//flhC//mutY//ada//cvpA//aaeR//fhuB//atoB//ydhX//psiE//nmpC//gatY//entA//ilvH//arcZ//yaiA//casE//yqaE//polA//ychH//paaH//yegH//ygiA//treB//cysG//hdeB//nupG//araJ//yhjA//ybfN//qseB//sufD//pstS//livJ//dgcZ//aceA//rbsA//psiF//iscU//yiaN//ykgM//mtlD//ybiT//rrsE//nuoF//bioC//ssuA//alkB//tap//ygeH//tyrA//artJ//dps//lsrR//xdhA//yjeF//metN//ileT//ispE//ugpQ//yfeW//lysO//spf//appX//rmf//nrfC//metR//paaD//glcF//rrfE//pncB//sdhD//phnL//cydD//tsx//crp//ykgM//rpsS//znuB//nikC//ppiD//hyaB//metI//ahpC//hisP//gcd//ybdZ//livM//glgP//nrdE//yfdV//artM//araA//hslJ//gcvP//azuC//preT//appX//yfdX//hisQ//puuD//ygiB//ilvD//hybD//lysA//gltW//yiaL//mpl//hycE//sdhA//argO//nikD//casC//fecD//hdeD//rrlC//pstS//dppC//galP//fldA//leuE//codA//rof//artP//miaA//livK//ygiB//envZ//yjiY//rrlE//cysD//ydhT//treC//argP//speC//trpB//fepB//hyfE//cusC//iscS//ptsI//metE//bcsC//moaC//cysM//phoP//csgD//ptsI//frdA//srlB//acrB//dnaN//garL//cysJ//pitB//rplT//moeA//yiaM//sxy//purB//phnC//tauC//sbmA//hypE//hycA//fadB//modB//rrlD//cpdB//mdtD//ccmA//araJ//dppD//rseA//rutG//rimM//hyaD//ampE//crp//mglC//hypE//bioA//dppF//dnaA//dmsD//nrfD//yhjC//torA//tyrA//cadB//pstA//phoE//betI//fdnI//hyfH//phoE//nlpD//csgC//dsbA//flhD//malP//nohA//rutB//ssuC//paaG//astB//qseB//gspD//ldtB//rrlG//aroF//edd//nrdH//cadC//fepA//cyoA//dapD//ebgC//cyaR//gntX//mhpE//feoC//rhaD//ansB//hyaD//artI//recF//yeiL//ssrS//rrfC//nanS//sodB//treB//ugpQ//uvrA//mntP//gatD//uof//guaA//tam//cysW//chbB//rpsO//nrdF//gnd//caiE//trg//yecR//gatZ//nuoL//hycD//ppiD//glpD//norV//argT//nuoF//rplW//srlR//araF//phnC//rseA//glgP//rrsH//guaA//phnM//cheB//nadC//adiC//soxS//hyaC//dps//argI//bcsB//lpxD//paaC//lsrB//ydfN//ompA//hemL//xylF//grpE//rnlA//ydhY//oppF//betA//rpsS//treC//cyaR//rplC//aroH//ydhW//dapB//entC//citF//nmpC//glpX//fucO//argO//betI//hybO//allC//sufA//betT//purA//glnK//oppC//rplS//nac//rhaT//sufE//yegZ//fumB//nusA//dppC//gntP//cysC//hyfJ//malX//dsdA//yibN//ygiA//ydbD//nlpE//puuB//acrD//cyoB//chbB//trpC//motB//aspC//pnp//rpsR//copA//tauD//rplW//ydeJ//dmsC//glpF//ydhY//infC//glnK//agaW//gspC//astB//malS//glnD//hypA//gltW//edd//nmpC//fepE//hha//cydD//flhD//rstB//ompR//rhaR//dcuC//ilvE//tap//pflB//alaS//lacA//argI//bglB//dppD//citG//galM//hybA//qseC//gspK//fecE//casB//uxaA//gspM//grxC//comR//malK//astC//rnpB//ptsH//napG//paaA//rrfF//feoA//hybC//caiD//dcuC//nuoB//livF//hybO//tdcB//narK//allE//cyoE//rpoS//hdeD//uraA//rrsB//ygaC//fimC//hybE//trpR//pagP//psiF//xapA//bglB//hcp//srlE//napF//xdhC//folE//nrfC//iscA//rbsK//codA//ulaE//ynfG//mglC//cytR//lpxD//sufD//rpsP//araG//pta//prpC//lamB//puuE//
