#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	mhpF//raiA//yegH//rpsC//
AlaS-L-alanine	malZ//
AllS-allantoin	hyfE//garR//tauB//
AraC-L-arabinose	paaA//tauC//hofB//betB//fecE//yjiY//dadX//yfdX//napC//fepC//glcD//nirC//guaA//astC//
ArcA-Phosphorylated	puuD//idnO//appY//uidC//mtlR//lpd//malE//ssuA//araC//pheS//rrlC//ppiA//tsr//ulaE//csgB//galS//hycI//hdeA//nikR//sxy//paaI//fucA//nuoN//sohB//fecB//rimM//dnaE//idnO//glnG//rbsB//mutL//rcnA//ppdD//gabT//mglB//hypB//rplM//patZ//lysA//puuA//fhuD//betI//agaW//hyaD//focB//nac//nuoH//rrfH//csiD//aroP//hycD//znuC//fadE//nanS//ygiB//ycjF//cysC//pnp//aceA//cynX//glcA//purF//ybjG//aspC//srlE//agaV//metY//gntR//nrfE//cusF//exbD//rimP//frdB//purR//cheZ//chbG//rplB//alaT//dcuA//hybG//rplP//yibN//pstS//hycG//iclR//yiaM//atoD//fliA//envZ//mzrA//purK//serA//tehB//glcE//stpA//fepA//nhaA//metB//argT//edd//hyfD//stpA//tehB//stpA//cysJ//livJ//rstB//gltV//rutD//pitB//entA//argF//gcd//ydeP//nanT//pitB//ompC//mdtD//yeiP//rplP//rseC//betT//nuoN//rpoS//moaA//aceF//fliZ//phoE//betA//malQ//yjeF//napG//ccmG//fur//hyaA//gntK//ychH//ydeN//hupB//ulaC//csgA//galT//glgS//hemL//aroG//hyfC//entF//puuR//creA//ynfF//xdhA//envZ//atoD//rrsD//aceF//chbA//fucO//iclR//yoaC//sgbE//puuR//fadJ//adiC//cspE//ccmF//hisJ//ilvD//metL//sdhD//gatA//sdaA//nanT//manA//nupG//csgB//rrfA//focA//
ArgP-L-arginine	glpD//xylA//zraS//nagC//nlpD//hyfC//cynT//uidC//purC//zraS//fadH//lsrR//nanT//gntP//nrdE//mhpR//
ArgR-L-arginine	nuoF//glgC//qseB//mhpD//glpE//xdhA//cheB//hisQ//norW//marR//codA//pgaC//gltW//rprA//dgcZ//glcF//marA//rimM//rrfA//gntU//speA//fucO//preA//tehB//paaJ//deoC//cyaR//cyoC//ydbD//ugpB//mhpD//cueO//amn//casA//casD//cpdB//hyfG//yaeP//lhgO//
AtoC-phosphorylated	cysI//cysC//sxy//nikR//
BaeR-Phosphorylated	fldA//osmY//lldR//araH//tsaE//uxuB//aldA//ebgC//
BirA-bio-5'-AMP	hyfI//glpG//amn//treB//ppdD//
CRP-cAMP	gntU//sbmA//ilvG_2//map//metE//ybiT//yhcH//xylG//fhlA//alaV//aroH//hyaD//rnhB//glnA//xylH//bhsA//moaA//nrdE//folA//bacA//livF//nhaA//nagA//hflK//mgrR//glgB//tdcF//metH//nrdD//hycG//idnK//yjeF//rimP//glmY//aaeX//miaA//ydeP//ilvG_1//galK//dpiA//rpsS//fhuC//ppdD//sucB//metY//cvpA//hflC//hslJ//csiD//uraA//purC//mtlD//phnG//rpsO//astA//uxaA//yhcH//cynT//marR//mhpE//gspH//dmsA//appY//cheY//aceK//ung//ompR//rnhB//feaB//paaB//tam//yrbL//rrfF//iraM//tehB//mtlR//ydhU//slyB//gspL//mhpR//cra//ccmH//hycI//rrfA//uidC//phoP//narI//iscA//pflB//arcZ//grxD//nanS//chbF//glmY//rhaD//hlyE//artP//thrS//ldtB//ydfH//ahpF//yfdV//ogt//caiD//motA//metK//ygeA//norW//mhpE//hycA//glnD//paaD//yegZ//phoH//lacZ//yhiD//dsdC//purH//miaA//fepD//fepA//umpH//yaiA//xylB//nirD//cysD//yjjZ//acs//hyfA//astC//rbsA//alaU//sbmC//mipA//ihfA//rrlC//tdcF//tdh//tdh//hypD//glrR//rrfH//ada//galK//purB//tomB//dcuB//nikB//ada//tfaQ//allD//caiA//tdcC//mdtA//ydeO//gatC//hycB//hyfG//pgaA//malF//fimD//fumC//ynfF//dcuA//aroF//znuA//phoQ//nuoC//glgX//melB//glcG//nirB//lpd//fimF//casA//dadA//ada//rimM//pgaC//trmD//tam//rrsE//fbaA//alkB//ybfN//kbaZ//metJ//moaD//cyoD//frdC//azuC//fecI//tnaA//envZ//pck//alaV//nmpC//rrsE//paaH//acs//gatC//paaZ//aroF//hyfB//yfiP//nirB//hycH//rrfE//ynfG//ccmA//tdh//rrfA//yfiP//raiA//casD//galM//dapB//tktB//glgS//betB//rrlA//pck//rpsS//mhpR//phnI//ulaF//yeiL//fes//hdeD//feoC//fadD//copA//ydhY//acrF//arcZ//yjeV//cueO//dcuB//ilvY//erpA//ilvY//glpE//rrlG//caiT//preT//icd//sgbU//hypF//ilvC//hybB//yjeF//nfuA//gcvT//sdhD//mntH//ndh//glcD//tsgA//ykgM//yjiY//cadB//ydhT//ugpA//flhD//tdcF//pta//rpmC//rpsS//pagP//gltT//rutG//phnN//hyaF//glgA//dps//fecR//ansB//hyaD//sufA//creA//ydhU//pgaA//yfdX//citE//rpoS//zraP//ilvC//hypC//oxc//malF//rutA//nanE//rcnB//rcnA//yiaO//xdhC//psiF//cadB//argG//dnaA//rrlB//hybD//entH//tauD//fimC//paaB//casD//lsrK//metA//argI//znuC//fimA//cysW//ydeM//dcuD//cheA//livH//ampE//cysI//aer//ygeA//rrsB//rbsA//moeB//aaeA//ycjX//gadB//cydC//ftnA//proP//fimF//ygiB//cusR//uxuB//exbB//paaF//fucK//ulaC//nuoL//ilvC//ynfK//amtB//iscU//artP//soxR//chbC//yciW//rrlE//gntR//xapB//ydhW//fucU//rnlA//nupG//cueO//fhuC//hyaA//yaeP//prpC//uidB//malQ//norW//grxC//fecI//fadE//idnO//yfdV//aroG//rrfA//phoA//lysU//artI//cpxA//sufA//phnE_2//hypF//znuC//moaB//gltA//glnK//tyrA//astC//rplW//garR//rcnA//cas2//ebgC//nuoK//paaF//fis//hycE//ybdZ//fumB//glpR//metY//hofN//nupG//fimC//nrfC//pagP//araF//rutA//stpA//yhjA//rrfF//nikE//artQ//lysA//tap//icd//phnG//serC//rbfA//gntP//livF//glpT//ugpA//fadJ//phoU//erpA//ackA//tam//garL//nac//nrdF//phnP//malI//oppA//glpT//rrfB//argB//hyfB//tcyJ//rpsO//nagC//hyaB//cra//ssuD//araF//astB//yhhY//napA//hisP//rplV//garK//abgT//paaZ//sohB//cysN//argC//znuA//acnA//carA//patZ//torC//paaK//murP//acrA//sucD//guaB//emrK//mdtA//rpsJ//gpmA//iscR//tonB//purA//aceB//mgrR//glpQ//nrdF//rhaD//bioC//rpoE//manA//hyaF//narG//osmC//nrfF//yciW//ompR//degP//ytfE//astE//narI//hyfJ//fdnG//ccmF//csgF//hupA//ompC//fimH//trxA//speA//dppF//oxyR//malQ//fliA//ahpC//entF//glgX//citE//ispE//citE//aroP//ccmE//hycG//nagC//ada//hypF//amtB//feaB//phoQ//argE//dmsC//nac//nanM//argA//betT//feoC//alaV//lacY//uhpA//dnaE//purR//
