#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	sdhB//pgaB//nagB//nirC//
AlaS-L-alanine	napB//
AllS-allantoin	tdcB//ssuE//cpdB//
AraC-L-arabinose	efeU_2//paaZ//rutG//uhpA//metY//dsbA//caiD//phnD//hpt//citX//malF//dmsD//rutB//fhuC//
ArcA-Phosphorylated	cadA//sdhC//ubiG//tdcF//fis//torR//caiD//appB//lsrC//rstB//hyaD//ygiB//galT//rpsR//cysA//sdaA//rplD//lysA//tdcG//zinT//dppD//cirA//umpH//fhuF//hisJ//uxaA//alkB//fau//nrdF//gatC//marA//galS//rseA//ebgC//pgaC//rseA//sufE//ygeA//yqaE//hycI//uraA//moaC//copA//rpmC//bioD//amtB//nagA//oppC//gspO//lyxK//argO//nfuA//yqjH//lsrC//rrsE//fepD//paaC//tdcC//garK//phnO//ynfE//fixB//mtlA//glpG//cyaR//ccmH//narG//lacY//avtA//rnlB//frdD//idnK//puuA//uhpC//yfeW//dkgB//glyA//map//napC//spf//alaU//deoB//cyoC//zinT//ubiG//ydeM//rbsA//nusA//cdd//nikE//ydfN//skp//yaiA//tauD//rrsD//narI//fucU//artM//uhpB//pepT//zraS//putP//nuoM//dmsC//yqjH//rnhB//gyrA//micF//dcuS//nrdF//sodB//tap//rplP//emrK//comR//nanM//gatZ//puuP//csgB//dppB//mgrB//fis//dcuA//glcD//hypF//hybO//nupG//sdhB//purH//nupC//livJ//trpB//rplV//ompX//gatZ//aroP//rbsC//rrlB//creC//exbD//nagA//glnA//uhpA//cpxR//deoD//ynfF//ubiG//hisQ//metK//gatY//nikE//ada//srlE//acrD//ydhT//galM//fixA//livK//cysD//mtlD//rrlB//metF//hisJ//phnI//fliZ//glnB//cynX//murQ//nrdH//emrK//carB//ybdN//mdh//ispE//bdcA//hyfB//cysN//
ArgP-L-arginine	entD//cynS//soxS//rrlB//bioD//asr//purN//agaA//sdaA//ygiB//borD//ihfA//mhpA//ompC//ilvI//bhsA//
ArgR-L-arginine	betA//alaS//yjeF//uof//paaK//casC//grpE//frdD//phnP//nikE//glgB//sucB//hybO//napA//phnD//rimP//hybC//sgbH//appX//hycF//oppB//yibN//ackA//dapD//purF//yfdE//ppiA//bglG//tdcA//sufB//fecR//grcA//narH//dsdA//frdB//ybiT//fixC//yeaE//csgE//
AtoC-phosphorylated	frc//gatA//hofN//melB//
BaeR-Phosphorylated	flhD//pitA//ugpA//fucA//fecC//alkA//cysW//narK//
BirA-bio-5'-AMP	rutG//rutC//rpoE//pepT//ansB//
CRP-cAMP	glyA//dppA//lsrR//glnK//galT//acs//serC//garR//aspC//rutD//cas2//ptsH//pdeF//casD//gatA//dsbA//uxuB//ykgO//glpR//mdh//hycF//ybjG//ftnA//moaE//caiE//mntH//gnd//pflB//ybdN//atoE//upp//rutF//gntX//soxR//gutQ//umpH//crl//nuoN//leuE//yebE//idnK//baeS//puuP//ccmB//mglC//motA//aer//fnrS//galM//rrlG//focA//gadC//rimM//gadC//alaS//rrlA//yidQ//dnaE//rimP//slyB//ydhV//avtA//fecB//hyaE//entE//tehA//aspA//uxuB//ftnA//araA//fdhF//glpD//phnP//rhaA//argH//ilvM//araG//astC//fes//alaA//gltW//nhaR//rpoE//bglG//csgC//rpoH//tsx//metY//cysH//manZ//dapD//yfeW//phnL//csgG//csgA//rybA//frdA//feoC//narH//dmsD//grcA//gabT//katE//soxS//phnM//nikC//ugpC//aroP//manZ//rnhB//hyfJ//casC//yfaE//gatA//ppiD//garP//phoA//rrsC//tyrB//ompT//cysJ//mhpF//yiaJ//ilvI//asr//rrfC//fixX//sxy//rhaT//atoA//osmY//lpd//yojI//chbG//ynfG//cadA//srlD//emrY//hyfH//gabP//gspJ//rcnB//paaA//glcG//galK//yecR//ygbA//ubiC//hycF//gspH//treB//emrY//hybG//epd//gatD//citX//mdtD//chbA//rrlA//treR//ascB//narG//metJ//chbF//rrlB//katG//deoB//treC//ilvM//yegH//nuoL//fhuC//cysC//pgaC//ebgA//ydfH//yqaE//gntU//uxaA//chbA//mgrR//pgpC//gatY//lpd//phoP//rbsC//efeU_2//phnF//caiT//mntS//ydeO//hycH//crl//paaH//tdcF//rrlC//rpmI//sufD//nhaA//sufC//lpxA//sodA//phoR//ybiT//lysU//dmsC//ilvD//metI//hyfA//ldtC//fixA//uhpC//appY//puuD//cusA//ulaF//gspI//rrlE//xapA//aroH//grcA//ynfK//gntT//fimC//nac//tnaA//rbsA//creC//moeB//mepH//puuD//rpoH//agp//cusR//pyrD//fadA//ascF//cyoC//argA//tdcF//aceB//artP//creA//tam//hybO//thrS//mntH//yfdE//purR//feaB//hofO//nrdE//modA//mhpF//rhaT//ygiB//garP//nrfB//astC//ilvM//hycH//sroD//garR//frc//ilvH//yjjZ//entB//rpsR//sbmC//fecR//bioC//fiu//ynfH//xapB//lysO//prpR//gabP//sodA//hflX//entB//gntX//idnK//nuoB//nagC//hycD//hycH//alaU//ubiX//oxc//nanK//puuP//xapB//ileV//galP//glpG//narX//ptsH//ssuA//nmpC//puuC//sgbU//nrfA//nusA//feaR//cadA//fepD//astA//narG//rrlD//rutF//pdhR//sgbE//rutD//gyrA//mscM//ynfE//allE//modC//codA//yhjA//puuP//hyaA//pgaC//rpmI//ftnA//purD//mglB//hisP//rutG//pitB//tyrR//hycI//aaeX//hyfJ//cydB//alkB//ldtB//alaV//cpxA//lacY//hycG//ilvX//hypB//ilvM//focB//mtlD//hdeB//pnp//creA//argP//sucB//speA//ydhY//hcr//cysI//uxaA//fepB//chbA//manZ//tauB//napB//mhpR//bacA//rplP//ileV//xylH//ugpQ//rrsG//mutL//sdhB//allE//cytR//speB//exbB//nfuA//hybE//alaV//putP//cusR//yjeF//cysU//xylH//pgaC//edd//fhuE//cpxA//spf//nrdA//rnhB//gspG//waaH//cspE//osmC//glgP//ubiC//citX//sdhD//caiB//adhE//stpA//rutF//cadC//safA//malZ//fumC//astE//aaeA//xapB//rbfA//trpR//hyaB//mhpE//oppB//rhaT//gspL//xylF//cyoD//hypD//glrR//ubiA//rpsP//lyxK//amn//fhuE//speA//uxaC//nrdB//ilvG_1//srlD//tomB//paaA//mdtA//csgA//puuD//argR//gatC//hisM//gspM//rpoE//osmY//rbsR//pgaB//rplP//rbsB//fecB//galM//yiaO//fecC//gcvP//cyoA//gltV//ydhW//rrfA//torC//cydA//fiu//trxA//cynS//ccmG//bamA//lacY//bglF//hypC//sufE//purN//yhiD//trg//rimP//folE//aaeX//codA//rbsB//artP//prmC//dadX//yaiA//argE//mdtB//ydhW//rutB//ccmD//citG//cheR//spf//hisJ//purC//folE//ccmE//rplS//kbaZ//nfuA//entH//moaA//ynfK//rpsP//ilvD//astD//cusS//sdaA//ydfN//cydD//frdD//aroA//yqjH//yegH//paaB//dsdX//yeaE//mdh//hyfR//torA//purF//sufE//gspD//ubiA//nrdH//betB//cysH//yqjA//infB//ygiB//glcC//bioD//hycB//gyrA//
ChbR-Monoacetylchitobiose-6P	caiE//xdhC//dpiB//arcZ//sdhC//artP//
CpxR-Phosphorylated	citD//alaT//hcp//entB//dcuB//oppA//trmD//hofO//gcvH//lysU//uidC//lrp//gntR//yhjA//argD//dpiA//dnaN//modC//ampE//cysP//prmC//fimC//comR//uxuA//pgpC//hofN//ydeN//ychO//fdnH//marR//ychO//yfbR//uidA//rpmC//aspC//efeU_1//nuoN//actP//yiaJ//psd//hypC//appC//gatZ//gspL//thrV//nuoM//cirA//argG//hypE//umpH//narG//dmsC//dmsB//malZ//tonB//glnK//rrsB//citF//mutL//ppiA//soxS//rpoS//cysW//hypB//yojI//rybA//napC//rpoE//mdtB//
CreB-Phosphorylated	xylG//allE//glcF//entE//ydbD//mutY//nanC//hybA//paaA//
CueR-Ag	lysP//phoB//fes//yqaE//appX//ascB//hofP//
CueR-Cu+	speB//fhuE//ascF//arcZ//glpR//pstS//aspA//
CuerR-Au	sodA//betB//pitB//rpoH//arfB//metA//araH//
CusR-Pasp	rutG//uidC//rrsH//pstA//prpD//ompW//pgaD//lsrR//folE//hyfC//sodB//tdcF//
CynR-Cyanate	hycH//cysI//hflK//mhpC//
CysB-N-acetyl-L-serine	hyfB//purM//oxc//fixC//gatC//torA//xapA//ppdD//hisJ//sgbE//tolC//araC//fhuC//hybC//ascF//rhaT//metN//cheA//gltU//argI//yhjC//pheM//ynfG//baeR//cyoB//rrlG//sbmC//mgtA//garR//gltW//
CysB-O-acetyl-L-serine	hybG//raiA//chiP//nrdF//sdhD//yjcH//puuC//sdhC//glcF//garR//mdh//cysM//preA//gatZ//iscR//nrfB//dppC//deoA//sucA//slt//hyfG//cusR//araJ//serC//glpX//rbfA//fepD//raiA//ppiA//mdtA//infC//
DcuR-Phosphorylated	tauD//tadA//hycE//ydeJ//alaA//xdhC//stpA//purB//appB//
DnaA-ATP	rpmI//yegR//hflC//ykgO//exuT//rhaR//phoU//hisQ//lpxD//ilvG_2//ilvA//alaA//
DpiA-Pasp	oppF//rrfC//mntS//tsx//rplI//xseA//hycH//nrfG//motA//csiD//nrdH//
DsdC-D-serine	lysO//ilvG_2//rhaA//
EvgA-Phosphorylated	yjeV//hypC//preA//proP//nrdI//metA//srlA//yfaE//ompR//hcp//exbD//hycA//cyoA//phoA//yhfA//
