#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	eda//hpt//idnD//ynfE//
AlaS-L-alanine	fadI//
AllS-allantoin	ebgC//nrdA//rhaD//
AraC-L-arabinose	ycjF//arcZ//ugpB//cvpA//spy//astC//rhaT//aroF//guaB//mdh//frc//astD//glmY//glgS//
ArcA-Phosphorylated	crr//rbsB//fucU//citG//iscU//glpF//rrfD//bamE//rutE//glgB//rbsD//mtr//trpB//cysM//entF//fhuD//ompX//purH//avtA//yeiP//hycI//fumC//bioB//frdA//ydhX//lldP//sucA//umpH//lsrC//rof//hslJ//lysC//nuoE//rseC//artI//araH//grpE//sufB//fhuB//cbl//uhpA//tdcD//chiP//manY//lsrA//fadA//ybdN//nuoG//fadL//cirA//eda//acs//dcuB//pdeF//ydfN//hybD//dmsA//araB//ydeP//micF//atoD//soxS//pheS//fis//bcsB//deoB//ebgA//xdhA//gpmA//ynfG//garP//bamA//gntK//rrfA//yiaO//gltD//rplT//psiE//bamE//ynfF//nuoE//xylF//ccmF//nikR//fbaA//cydB//dadX//lysO//malI//phoU//srlB//speB//gspM//feaB//glpF//manZ//cheA//ilvX//dpiA//pyrD//puuB//uhpT//cynS//argI//nuoK//fhuC//yegZ//nagE//yeaE//nanA//lysA//metF//nuoF//napH//talA//ada//gatD//glpK//hcr//gabT//mipA//gltF//bcsA//aaeB//lldD//yhhY//hybC//glgA//dppA//ompW//gspI//tam//lsrF//aidB//nrfG//ompA//flhC//motA//ydfH//mgrR//napG//crr//amiB//nikR//mipA//yfiP//fecA//nlpD//dadA//mglC//hemL//ilvL//cdd//atoA//lamB//uidC//hyfE//glcE//aroM//tsaE//ssrS//yibN//gltU//rrfF//avtA//astD//azuC//tsgA//napD//iscA//dnaN//glcB//sohB//glcE//mgrR//feoC//guaB//
ArgP-L-arginine	fadL//erpA//zraS//nhaR//lacA//sufS//dnaN//nanE//creC//ynfE//argB//copA//metQ//mhpD//ynfE//ulaC//
ArgR-L-arginine	fdnH//osmC//mgrB//aspA//rplW//ulaC//ynfF//purE//hofM//hybE//glcF//rrsB//sdhB//nrdB//fadB//rhaB//paaZ//hypC//fnrS//yedX//metL//caiF//aspA//iraD//zinT//nanA//argO//gpmA//phnM//hybF//chbC//phnP//thrV//arfB//oppC//gabT//cysG//fimE//nagC//
AtoC-phosphorylated	fecC//ychH//tcyJ//citX//
BaeR-Phosphorylated	nuoN//lysO//rbsK//dppC//rpmC//mutY//fhuE//katE//
BirA-bio-5'-AMP	nupG//nrfB//ynfG//cysN//mhpR//
CRP-cAMP	hycA//pagP//entH//tam//aroH//creB//zraR//fucK//glpG//ybiT//hybA//ompC//grcA//aceA//crl//dadX//cysW//chbF//galP//modB//ugpC//tsr//argE//cysW//moaA//argH//xylF//sohB//lsrA//narG//ugpA//csgF//dnaE//cadB//trpD//uidB//ansB//aaeR//ygiC//aldB//tauD//dsdC//folA//argA//chbR//fixX//yjeF//ilvL//rrlD//lpxD//oxc//ogt//dgcZ//rpsQ//astA//rbsC//appY//betI//tolC//pyrD//moeA//mtlD//phnG//alaA//thrV//fucK//dusB//nuoH//yoaG//ubiC//yhjA//preT//ubiA//csgF//fucO//ebgA//gntR//nanC//astE//hyaC//ihfA//aceA//rplD//csgA//nagE//degP//metI//pgpC//uxuA//nikA//araF//nrdI//prpD//iscU//ansB//xylA//gltD//galE//cysJ//cadB//dpiB//oppF//fixX//paaJ//csgG//galK//tolC//argO//fimH//ydhW//iraD//cyoE//bioB//dadX//dnaA//ppiA//feaB//lysU//appB//amtB//glnG//hypB//cheA//gntU//rnlB//phnJ//trpA//entH//ydiU//marA//mtr//gspG//cspE//artM//rrlA//phnJ//xylG//ileU//entH//osmC//mntH//treB//garR//yeiW//paaH//ycjF//folE//glnL//dcuA//adhE//cynR//frc//araC//ulaF//napF//argH//malK//ugpA//fadL//pncB//rhaR//aroH//rrlA//phnM//hofC//pagP//yhjA//nlpD//lsrA//slyB//ahpC//feoB//gltU//srlD//ompF//lsrR//metK//glpR//paaK//ycjX//bcsC//aroM//csgE//yegH//feaR//chbF//rhaS//ycjX//fdnI//cysN//ynfK//gntT//nuoL//rpsF//flhD//glpD//aaeX//uxaC//caiC//cdd//caiT//ssuE//feaR//cspD//cynT//metF//udp//appA//tadA//codA//aroL//melB//ygiC//srlD//rhaB//lacA//ycdZ//ydhU//rof//metY//narI//yeiL//pgaD//hyfJ//nirB//abgA//ulaB//sohB//codB//trpR//prpB//acrE//guaA//spy//acrF//fhuB//torC//trpB//rbsD//casC//napH//arfB//yjiY//rrfD//zinT//glpD//aroF//glnD//purK//fucI//hycI//alkB//sufD//bamE//gpmA//cyoE//uraA//fau//yiaO//araJ//copA//araA//nuoL//xdhA//exbD//modB//adiC//trmD//fadH//aceF//malX//nrdE//rplT//hyfB//mipA//prpC//glgC//trmD//araD//livG//agaW//gapA//sgbH//gapA//nfuA//yeaD//gutQ//nikE//puuB//hyfC//pgpC//mdh//nusA//slt//lpxA//malF//rrlA//nuoJ//fucU//sdhD//glnL//phnC//pgk//trxA//soxR//ydfN//fadA//gatA//glmY//betT//acnA//phnF//stpA//ycdZ//ybjG//rutB//glpT//pagP//hyfE//nrfC//yfbR//rstB//glpT//gatD//cysN//napC//cheZ//abgT//zraP//fucP//pflB//puuE//nrfF//lysO//dapD//oxyR//torA//deoC//glpD//preA//rutA//lacA//ybjG//xdhC//trpR//nuoJ//lpxB//fhuA//qseB//ompT//purL//rpsJ//rdoA//hycE//aroA//fadE//tnaA//murQ//yeaR//ompC//lacY//motB//cysU//tdcE//phnJ//pck//efeU_2//lsrK//fepC//livK//modB//ccmA//garL//yeiP//nirC//cra//nanM//cbl//tauD//yoaG//ilvB//ugpB//lldP//fdnG//trpB//acs//yebE//gspJ//prpR//tcyJ//cheR//fabZ//rbsC//dctA//yeiB//fepB//narK//hofC//fhuC//fis//qseC//yjeV//trpL//citF//hdeD//araD//infB//motB//ilvH//manX//ilvL//fnr//hyfE//ydhY//nuoK//hycB//uraA//citD//rutD//cusR//proP//oppD//ppdD//infB//cysK//uof//agaA//gutQ//metH//hybO//hflC//yqaE//ldtB//gltF//nupC//gpmA//yccA//rrfC//cdd//sufS//phoP//gdhA//yiaJ//xapB//narQ//yfeW//hcp//rutC//gcvT//malI//ppiD//rbsB//yaiA//waaH//glpF//ydhT//cheY//rhaR//metY//gutQ//bglG//yedX//rrfA//ileT//mhpA//speB//rbsD//trpL//tyrB//lysC//tfaQ//appA//oppC//bhsA//ompA//cspE//yfiP//ilvG_1//exuT//idnD//nupG//phoH//xseA//dapD//pheS//cusR//phnK//trpE//nrdE//hlyE//nuoF//prpB//gntU//appY//talA//focA//hycA//rpsC//gntR//tfaQ//ssrS//ycjX//mhpR//ilvH//napB//tdcF//cydC//cysM//dapB//pheS//mhpT//hypA//rutB//hybE//ileU//lpd//ompR//speB//yfaE//mglB//puuR//malQ//creA//serC//gpmA//
