#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	lysU//trpL//aceA//metQ//
AlaS-L-alanine	nikD//
AllS-allantoin	lolB//ulaE//tauB//
AraC-L-arabinose	livF//phnN//livG//tauC//ogt//grxC//yiaN//dusB//artJ//iscS//modB//ampE//trpA//nrdI//
ArcA-Phosphorylated	phnF//lsrA//tam//envZ//nuoH//rrlD//rpmI//yfdX//phnK//yaiW//ilvI//ebgA//bamA//mgrR//codA//moaE//dapD//dnaE//idnR//gnd//sufB//cpxR//alkA//yhiD//oppD//torR//hybF//acrE//fucK//lsrC//sgbE//ompF//pncB//oppA//fadB//rrfD//rseB//nrdF//hyfA//rof//araD//metH//tsaE//fnrS//fnrS//csiE//rrfC//tsr//tdcB//idnT//hdeA//tap//dcuC//srlA//purF//ilvY//ulaC//dmsD//cvpA//iscU//ssb//ivbL//dsdC//phoB//rplM//pdeF//betA//gntK//nuoB//uhpC//mhpR//ssuA//trpR//yeaD//uidB//proP//fixB//fucK//cadA//nanA//rhaD//mzrA//lysA//rplV//cyoB//ompX//cra//icd//grxD//rbfA//yaeQ//nupG//oppA//alkB//tsx//rpsF//qseB//glcA//phoQ//ychH//pheT//nikA//cusC//hfq//nhaR//cysK//dppB//xapA//trpR//nrdH//sroD//pagP//focB//cysP//yecR//metH//pgaA//cheR//rimM//hisM//frdA//dcuS//narL//phnN//mglB//nanE//cusC//grxC//sgbH//moaD//talA//lysO//acrD//gspJ//yfdX//nrdA//ccmB//sbcC//hyfG//livM//nrdA//ilvL//cynS//glcE//lacZ//nmpC//rybA//gspF//uxaA//atoD//mglB//alaS//fhuA//bglB//hflC//sdhB//preA//fes//ydfH//rpsI//trpR//lysP//gntU//nuoL//gcvP//ydeN//ompC//rhaR//aroP//argE//fecR//carB//trmD//hyfI//tdcC//gntT//paaB//
ArgP-L-arginine	rrsA//fadH//murP//xapA//gltU//dctA//soxR//galT//glcD//cadC//allC//ygeA//actP//cysD//ftnA//tfaQ//
ArgR-L-arginine	livK//chbG//safA//avtA//paaD//rof//malM//dps//nrdB//fadE//rimM//fdnH//nanE//prpE//gcvH//exuT//tdh//ydeM//idnT//fadE//tap//fadJ//gspC//talA//pgaD//idnK//citX//ycdZ//artM//ulaD//napB//hypE//csgD//ompF//chiP//glnG//malY//raiA//metH//
AtoC-phosphorylated	csgC//citD//fucR//dnaA//
BaeR-Phosphorylated	tsr//rhaB//malT//arfB//gatC//rimM//glpC//caiC//
BirA-bio-5'-AMP	rbsA//purM//alaT//phnD//sucC//
CRP-cAMP	rutC//hflK//ykgR//rpsS//rcnB//fimF//dapD//fepA//citC//hlyE//folE//purM//yciW//ydiU//nadC//tnaA//hofC//yedX//eda//uxaA//sdaA//fimF//fhuA//uidB//ung//ilvM//waaH//ilvM//fhuC//ndh//casE//paaE//rbsA//tnaC//focB//marR//betT//fnr//gadB//nmpC//phnJ//ssuB//yeiW//hlyE//yfbR//gcd//norW//modB//sbmA//nuoE//argF//ilvY//tomB//tehA//ydeN//citF//entE//rpsF//mglC//ccmH//lsrC//slyB//napH//rutA//phnP//dcuC//artJ//bioC//thrV//evgA//dppC//tauA//rnlA//phnE_2//bioC//csiE//yjeV//paaF//rhaR//hha//cyoD//ulaD//ung//soxS//mscM//argR//rmf//garP//glpA//tsx//nadC//prpD//moaA//nfuA//xylH//srlA//paaA//metC//uidA//yqjI//ydeA//hyfH//katG//fadH//trpR//modB//caiT//alkB//aroH//bioA//nuoK//sxy//ykgO//rnlA//yjiY//lsrB//cstA//yqjI//chbG//torA//ccmC//glmY//entC//nanT//fumC//prpD//rrlG//ydeP//guaA//lldP//cspD//uxaC//trxA//rrlG//cydC//ydiU//paaB//uxaB//ccmA//lsrD//araA//gntU//phnJ//bglB//ynfF//gntR//grcA//nagA//ccmG//fucR//nuoF//ulaB//trpB//cdd//yiaJ//gcd//tpx//cusS//ulaC//norW//iraD//betA//fucI//fau//paaZ//lldP//ogt//fdnI//miaA//evgA//cytR//rplS//aspA//metE//fucK//zraS//gspO//gspO//aceF//glmY//gspO//hypE//ansB//yeaR//cueO//garR//tsaE//pgaC//yiaL//livG//hisQ//cysU//paaH//alaS//nikB//fixB//amtB//rpsC//lpxB//mgrR//argF//sxy//xylR//speB//nuoK//nikA//narK//nrfC//cysH//mgtL//hlyE//pyrD//prpR//cyoE//hyaC//artJ//casB//phnH//tehB//torA//cynX//mdtD//glcA//ppiA//cheZ//yjjZ//hofM//lysC//pheS//nfuA//paaC//ydeA//metY//ugpB//csiD//treR//malQ//csiE//ptsG//narX//rseB//znuC//ccmF//hycD//deoD//glnD//hemA//torR//xylH//rplM//tnaA//pepT//atoD//ldtB//nanM//bioB//hycC//gspL//rpsQ//fecD//ychH//entH//fnr//hyfB//rrlC//acnA//yegR//ilvB//phnP//pgaA//tauD//cynR//cpdB//speA//araB//paaE//prs//artJ//fimC//gspL//garP//hycA//crr//nagE//yoaG//lysA//phoU//evgS//acrA//mpl//hyaA//lysO//rrfA//deoA//yegZ//ndh//aroL//uvrA//cydD//ydfH//grpE//degP//ilvG_1//entE//fucA//ilvM//srlE//galT//purK//moeB//ygiA//bglG//soxR//glcC//fecE//hofC//dcuC//citE//leuE//nanT//fiu//puuR//yjeV//livH//purN//aroP//nrfG//dmsC//nuoA//purB//fepG//phnJ//gltV//yjiY//aaeB//fepB//mutL//hisJ//glnD//soxR//baeS//gspO//glgB//paaD//sufD//yjiY//emrK//phoA//hybF//glcF//phoA//ydeP//puuB//nuoG//fucU//rimM//gspK//xdhA//ychO//puuC//purK//entF//bioC//abgA//rseC//deoA//hpt//cysB//rplV//rrfB//fimD//cheA//rhaS//atoB//yjjZ//focA//bacA//lacY//bhsA//dsdC//paaH//chbR//acrB//cirA//purR//fumB//paaE//bamA//prpC//oppA//aroL//paaZ//glcG//sdhA//xseA//motA//ydhY//tfaQ//rhaD//ccmC//glpX//deoA//iraM//srlE//prpB//ppdD//pstA//feoC//phnG//cadC//patZ//grcA//pstC//hflX//frdD//ompR//creC//patZ//rimM//sgbH//uvrA//tomB//treR//glpR//proP//lsrR//gltD//fixB//rhaD//modC//icd//araJ//tomB//glpD//paaA//csgG//sbcD//paaE//ynfE//rrlH//dkgB//hybB//narQ//dcuD//hybE//fucI//yaeQ//dsdA//glcA//bglB//slt//yggX//garK//fadJ//ssuE//yeiL//ynfE//rpsO//aceK//dppC//xseA//aroP//napH//mgtA//oppB//pgk//alaA//cueO//hfq//rnhB//nhaA//cysC//tktB//cyoB//hyfR//gatD//rhaD//hdeD//trpB//cadB//chbA//ispE//ampD//dcuR//gspF//uvrA//phoQ//cusF//fiu//purK//dusB//rhaT//preT//phnN//lacI//xdhA//glpT//glyA//nrfC//tdh//frdB//mlc//hlyE//modB//speB//trpE//xapA//csiE//ykgO//ynfK//ugpE//ispE//rplB//murQ//rplM//ftnA//cirA//ileT//exuT//casD//uhpB//yedX//hycA//hybC//rrfH//
ChbR-Monoacetylchitobiose-6P	agp//ychO//deoD//crp//gspF//livG//
CpxR-Phosphorylated	glcF//glpC//rcnA//malF//spf//ilvB//csgD//frdB//glnB//gspD//trpA//betB//galM//dadA//ccmE//ppiA//betT//ygeH//aroA//gpmA//tonB//abgT//uxaC//ccmC//ascF//hisQ//dctA//hyfI//dcuS//ahpF//yidQ//cheA//dpiA//ynfF//mscM//uxuA//purD//ptsI//hisP//xylH//aaeA//hycI//livG//idnT//rhaB//dgcZ//nadC//cusS//puuB//malF//rpsS//lacY//astD//mdh//oxc//nrdD//astC//purF//rnlA//uxaA//ilvB//yhiD//caiD//sgbH//nrfD//ccmH//malF//fepB//uhpA//
CreB-Phosphorylated	rplT//lsrK//psd//tauA//ulaA//oxc//acrB//ivbL//metR//
CueR-Ag	rhaT//arcA//fepD//creB//purF//paaB//cyoE//
CueR-Cu+	nagE//moaB//melR//malP//bcsZ//norW//hyfG//
CuerR-Au	srlD//fadJ//hyaA//ilvH//pyrC//dsdC//fiu//
CusR-Pasp	mhpA//puuE//malZ//citG//gapA//puuD//sdhB//ssuD//cpxR//paaH//comR//cirA//
CynR-Cyanate	ykgO//glcC//csgD//narJ//
CysB-N-acetyl-L-serine	adiC//lsrC//ynfF//livG//pyrC//hisQ//lpxA//idnT//hyfR//preA//cysA//dusB//aroL//gntK//gdhA//xylH//ydhX//argH//aaeR//acrB//hybG//pdhR//lsrF//ssuA//stpA//rnlB//kbl//mgtL//nrdE//tauD//
CysB-O-acetyl-L-serine	fimG//dpiA//gspG//yecR//gntP//infC//malQ//rplM//pitA//entE//rrsG//eda//narG//entD//ccmB//iclR//mlc//cheZ//ygiA//ssuD//envY//lsrG//micF//amiB//ppdD//ftnB//gatA//ahpF//hycF//aceF//xylF//
DcuR-Phosphorylated	puuA//hyfD//yecR//ccmH//flhD//ydhU//tsgA//paaK//rhaR//
DnaA-ATP	lpxA//zraP//phnG//napB//tsgA//ppdD//cysP//phoA//metI//argO//gcvT//puuP//
DpiA-Pasp	ulaE//trpL//purR//dsdX//dmsD//cbl//paaB//aaeX//fadB//hdeA//qseB//
DsdC-D-serine	gcd//cas1//nhaA//
EvgA-Phosphorylated	glnL//alaV//gltA//safA//rstA//iscR//alaA//hyfJ//caiD//cynS//speB//gltV//puuB//pitB//rrlA//
FNR-[4Fe-4S]2+ reduced	hyfD//argF//ivbL//tfaQ//rutG//rrfB//nlpE//fixX//ygiB//hflC//ykgO//bdcA//nikB//ugpA//tauB//rbsA//entE//xdhB//purC//fucK//narX//frc//yfdV//fdhF//ygiB//narH//rplV//nagC//hofO//tnaB//hisJ//yfaE//phnE_1//dapD//infB//livK//mhpB//mtlD//miaA//fumC//appC//atoE//trpL//yneM//fecA//ydhU//lpd//ybdZ//glgB//gspF//sdhB//hofM//adhE//hofM//tdcF//nikR//tadA//cpxR//rhaD//ahpC//gltA//malY//hyfG//agaW//uxuB//fepD//sufA//znuA//ldtC//fadA//argO//zraS//caiT//ssuD//trpL//nupG//lysO//glpB//melA//araE//nuoN//dmsA//patZ//tcyJ//hyaD//erpA//prpE//rrfD//csgD//tehB//puuA//sdhC//gabD//phnN//bcsC//rhaA//cusB//metL//mhpA//cusC//tyrR//ynfF//rcnA//torR//guaA//talA//mgrB//fhuA//appB//prpD//amtB//gntR//fhuE//hybF//ilvX//glcA//yrbL//ispE//rbfA//yeiB//cpxR//dapB//nuoH//cueO//azuC//crl//casD//glcC//ulaD//glpD//psiF//gntR//upp//pnp//deoA//puuD//ydeP//dppA//grxD//rrsA//modB//yiaJ//mhpE//fhlA//tnaC//mgtA//phnG//ftnB//rbfA//folE//rhaR//zraR//modA//ychH//ulaE//ydfN//bamE//gntX//glpT//yfdV//prmC//glpG//uhpC//moaB//malQ//mltC//puuD//nfuA//ileV//ygbA//cyoA//metR//lhgO//evgS//avtA//fumC//aroA//ccmB//tonB//mutY//cysH//feaR//yqaE//cvpA//pstB//puuD//cynR//cyoC//rof//sbmA//rrfA//fhlA//nuoC//paaI//atoD//bcsZ//sodB//rbsK//cusC//paaA//nanT//yegZ//cpxR//sgbU//appA//puuB//bioF//psd//sdhA//acs//acrF//mutL//ulaC//rnlA//ydhV//yfiP//tnaA//rnlA//fldA//cynT//rutB//napB//sbmC//gyrA//yfdX//phnK//rdoA//glpF//copA//caiD//hflK//fdnH//gltT//gltW//puuE//sohB//dgcZ//nuoF//argO//glrR//argG//fepE//zraP//sufA//yhcH//bioF//carA//baeS//rpsC//paaZ//glcC//yqjA//avtA//ynfG//fliA//ynfE//mhpR//cadC//sroD//lysA//mgrR//fepD//yhcH//hofM//nrdF//gpsA//idnK//hyaD//ydeA//gutM//tdh//rpoE//dnaE//sufS//adhE//acnB//katE//rrsA//nikR//purA//proP//pdeF//gatB//livF//mglB//yqjA//dusB//bglF//priB//narK//srlR//rstB//yiaN//fixA//gltT//infC//argO//fadI//hyaB//ilvB//cysG//ydeA//iscA//alaS//ugpB//
FhlA-Formate	hisJ//nanE//manA//sufS//pstC//yeiP//rplW//rrfG//hyfC//fimC//phnD//hlyE//treR//csgD//ydeP//fixX//cas2//metR//ydhT//fumA//yhjA//hflC//xylA//gspO//lsrC//ahpC//manX//fdnH//asr//norW//
FucR-L-fuculose-1-phosphate	nuoH//hisP//nuoC//ydfN//argA//entA//ubiC//
Fur-Fe2+	rrlB//gltU//rnlA//bamE//fdnI//comR//psiF//trmD//yidQ//ubiG//tdcC//ydhY//dusB//ynfH//puuR//hybG//sdhC//thrS//borD//focA//fixC//sodA//lpxD//zraR//srlA//rimP//purL//uxuA//cydA//fepA//phnO//ytfE//ompR//kbaZ//motB//atoB//tdcG//fimE//cysD//aidB//pyrD//sdhB//oppB//hybG//nuoB//yiaJ//caiB//sdhA//torA//pyrC//gspF//fadH//mglA//dppF//hyfH//artJ//pck//infC//murP//paaH//hyaB//rhaD//gltA//purH//tsr//cysA//ycjF//fimC//uhpB//garR//preA//cspE//yjeF//umpH//acs//ilvX//rseA//rcnA//galT//fixC//glcB//csgB//ulaE//cadA//hybE//yfbR//ptsH//skp//rutA//araJ//phoR//cadC//nirC//nuoE//mipA//rrsC//glcE//ftnB//metI//puuA//ilvM//sroD//ilvX//rrlD//fadI//bioA//cadB//rseB//metB//nikD//cynT//bcsA//rplT//tcyJ//fimD//manX//cynX//fdnH//astA//tomB//proP//rpsP//fadB//zraP//pdeF//rnlA//rplB//sucC//prpC//dsdX//nagA//xdhA//yiaM//feoC//livM//fiu//glpF//yiaO//adhE//ilvC//
Fur-Mn2+	speA//moaB//lsrB//ykgM//glcC//tsaE//ykgO//uvrA//lpxD//nrfG//cysC//xseA//caiA//flhC//lpd//paaK//hdeB//edd//ulaD//csgG//entF//nlpE//grpE//moeB//znuA//yneM//metL//hha//fhuA//phoQ//metI//hybG//nrfB//yqjI//trpB//dadA//yhfA//hmp//dmsD//appX//ispE//deoA//ndh//norR//purA//fadD//aceE//lsrC//paaD//ssrS//rrsH//bioB//acrE//uxuA//pdeF//flhD//ppiA//argP//rhaT//yeaE//prpD//alaA//rpsF//ascB//paaF//lamB//araJ//prmC//yoaG//ansB//glnD//citE//phnE_2//ssb//sdhD//crp//tyrP//dapD//ilvM//phoA//soxS//cysK//hybO//gatY//ptsH//dadX//emrY//tap//acrD//chbC//rpsS//rplS//lpxD//nuoF//prpC//bhsA//uidC//mscM//sdaA//rplT//nac//spf//patZ//betB//hydN//serC//lacZ//tktB//ssuB//fimG//gspM//nuoC//osmC//cheY//hflD//phnD//dmsB//rrsH//ilvX//allD//idnK//pitA//fes//soxR//rrsH//phnM//alkA//preT//ybdN//nrdD//melB//tehA//rutG//hisQ//fadE//fepE//fecI//rutE//yiaO//fepC//
GlcC-Acetate	galM//argI//pagP//cyaA//lysP//hyaB//gabP//
GlcC-Glycolate	galK//codB//alkB//uxuA//ydiU//gpmA//lamB//
GlrR-Pasp56	fixC//
IclR-pyruvate	dnaA//cdd//ygeH//yjeF//
IdnR-5-ketogluconate	nuoJ//prpB//lpxA//ykgR//hlyE//fdnG//csgC//phoU//
IdnR-Idonate	chbA//argC//sdhC//nrfG//frdD//yqjA//mdh//hyfI//
IlvY-2-acetolactate	mcaS//rpsR//
IlvY-Alfa-acetohydroxybutirate	phnL//deoB//
IscR-[2Fe-2S]1+	argD//hemA//rutD//fbaA//nuoL//rbsA//katG//purB//cyaR//dmsD//tehB//gltW//ydhW//tktB//glnB//efeU_2//nrfE//ompR//lsrF//rseA//livF//acnB//lacZ//aroF//iraM//dnaE//cyaR//cysD//sdhB//cusF//livJ//cra//qseB//rrfA//lhgO//livF//ykgR//lacI//dsdX//paaI//mgrB//
LldR-L-lactate	rof//rplW//rpmI//
Lrp-Leucine	emrY//xapA//putP//preT//ychO//hypA//pgaB//fadB//sbmA//yhjA//yaeQ//hycC//ygiC//malS//rpsP//mntH//phnN//fumC//tfaQ//fecA//rrfD//cstA//fhuD//narJ//uidC//soxR//tadA//nrfB//tap//dppB//napD//ynfK//gltA//metQ//hypB//csgE//paaA//tolC//pyrC//fadA//rpsO//purM//fecB//nohA//aroA//rdoA//metJ//ccmD//trpB//ryhB//napF//ydhU//bglG//bacA//micF//cynT//sroD//tdcE//bamA//cdd//znuB//gltU//fimI//nmpC//trg//kbaZ//serA//fadH//pck//yhfA//csgB//deoC//bcsA//tam//hycB//katG//crp//argF//napF//bglF//tdcD//lsrB//qseB//mglA//csiD//malK//fhlA//tktB//rbsC//iscS//srlA//pheS//chbB//phnM//slyB//raiA//tehB//nirD//putP//gdhA//ugpC//tomB//bcsA//uxuA//appC//nrfE//
LsrR	metY//recF//malY//tap//yqjH//amn//fadI//argP//serC//
MalT-ADP-Maltotriose	exbD//nrdF//fimD//hfq//glcF//rrfB//fucU//citE//prs//trpL//
MalT-Maltotriose-ATP	rpoH//ydhV//narK//caiD//citG//aceK//gntP//trpC//purL//glcC//
MelR-Melibiose	rplB//dapD//katG//
MetJ-S-adenosylmethionine	rrsG//rplW//nanA//aceA//acrD//cusF//nrdF//rplV//araA//phnP//csgC//yfdX//yeaE//epd//ilvY//
MetR-L-homocysteine	lysP//aaeB//focA//ccmG//ynfF//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	hyfA//rbsD//glgA//glpF//ppiA//hypE//
MhpR-3HPP	miaA//ulaB//cadA//manZ//sufS//hisQ//
MntR-Cd2+	spy//mglC//cbl//norR//rpsJ//
ModE-MoO42-	hybE//sufB//phnG//cra//citX//nanS//bcsB//nagE//fhuA//gadB//pstB//purN//gpmA//lysC//argO//yeiW//nagA//mtr//fecB//rstB//nupG//sucC//umpH//lhgO//hyfC//psd//phoA//hisQ//nrfG//araF//folE//tsx//folA//prpC//rnhB//safA//pck//lsrR//priB//rpmI//trxA//artI//pstS//moaE//yqaE//xapB//
NarL-Phosphorylated	cra//codB//phnN//csiD//metE//ompR//abgA//fadE//csgD//tauB//lamB//soxR//purD//feoB//cusS//yfdE//srlA//yegH//hypB//hypD//nuoA//cyoA//narG//polA//ampD//glgS//idnO//malG//sgbE//cynX//pgaC//mntS//ilvE//erpA//lamB//baeS//malY//araA//prpB//narG//nrdA//cusF//argC//tauA//malK//sgbH//fdnG//ilvX//ilvA//nanC//argR//ampE//astA//hyaE//deoD//yjeF//dcuC//ilvH//chbG//hdeA//yojI//allD//nrdG//rbsK//rpsQ//ykgO//yhcH//ydhV//lhgO//napH//feaR//cyoA//yeaE//dmsB//nuoK//cysW//aceB//baeR//nikE//ilvI//glpX//garP//yebE//phnE_1//aceA//moaE//narI//aaeA//katE//cheY//ygiB//cas1//fimD//phnD//entA//allC//fecE//sufE//rrfC//nohA//artJ//entA//atoB//gatA//xylR//sucB//ccmA//ilvX//ccmH//fur//carB//ssuD//xapA//rseB//phoQ//rrsC//nlpD//ssuB//creC//moeB//hofB//kbl//purF//yeiP//metI//
NarP-Phosphorylated	pheM//puuA//sdhB//fau//moaD//modC//gltA//umpH//rrsG//artI//dps//mipA//rpsF//garL//rof//gspC//cytR//rcnB//grpE//araE//tnaC//mntS//glcB//cysW//entF//hyaD//ydhU//aldB//cyaA//uxaA//caiT//hcr//hyfG//yfbR//dsbA//aroG//tyrA//kbaZ//efeU_1//atoE//pstB//citD//puuA//bcsC//pstS//casE//frdA//ileV//astB//paaJ//
NhaR-Na+	dcuB//glpE//patZ//uxuA//chbG//ppiD//talA//
NikR-Cd2+	paaE//garK//glpD//prpC//yneM//ulaE//
NikR-Co2+	cusS//prpB//ydfH//yfdX//tauB//yqaE//
NikR-Cu2+	nrfA//sohB//yiaM//prpR//ppiA//prpD//
NikR-Ni2+	entB//phnN//pyrD//hyaA//mltC//aceF//
NikR-Zn2+	yeaE//purN//hyfR//cadA//gadB//znuC//
NrdR-ATP	phnL//cusB//nrdA//galM//fimF//nrfG//csgG//puuP//iscA//
NrdR-Zn2+	metC//micF//aer//grcA//gatZ//motB//glpK//hyfH//hfq//
NrdR-dATP	ydiU//hcp//prpE//nikE//ysgA//casC//ydiU//feoA//ftnA//
NsrR-[2Fe-2S]reduced	dcuA//norR//hycE//livH//ynfE//lpd//hdeD//araG//tyrR//hcr//metA//dcuD//pgaD//betB//nac//tdcB//entF//glpB//gspJ//rimP//malY//ydhV//aceA//ygiB//ycdZ//hybF//melR//csgF//ppiA//ilvM//paaE//malP//caiE//arcZ//mscM//rrlC//fucI//narK//deoB//yjiY//fepE//phnN//purH//znuC//idnK//xylH//folA//cheW//atoD//glyA//glcC//mhpE//zraR//tar//mhpR//uhpB//hdeA//aidB//pyrC//purD//serA//hfq//metK//dnaN//galM//srlD//iscS//rplT//napD//lysA//livG//fixC//metF//
