#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	cusS//aaeX//xdhA//ssrS//
AlaS-L-alanine	argT//
AllS-allantoin	puuE//bioD//rnlA//
AraC-L-arabinose	cdd//agaA//gspI//fdnI//yegZ//rbsK//mepH//ilvH//artQ//cysI//narL//comR//katG//malI//
ArcA-Phosphorylated	dadX//araC//entF//araG//deoD//rbsR//hycC//glpC//sucA//zraS//yjjZ//sbmA//caiB//pflB//adhE//ugpB//lldP//recF//hycD//crr//malF//kbl//fumB//yqaE//rpsI//narL//dadX//lyxK//ada//acs//fimE//emrY//xylA//ilvN//rstA//nanM//nmpC//aaeB//paaF//sufB//astB//frdD//torR//nuoE//amn//fucO//aer//ppdD//uidA//patZ//tdcB//comR//gltU//nrfD//ileT//yhjC//cynR//frdA//carB//xdhA//nanA//ilvH//rcnB//marR//fliZ//hofB//aldA//arcA//yfiP//tpx//malM//hyfR//metI//fucU//dusB//narI//argI//fadB//yiaL//flhC//frdC//gltA//oppB//stpA//mhpD//yeiB//yeaR//dkgB//trpL//folE//entD//garL//cysI//dapB//oxc//hcp//rrfE//phnN//ygiC//znuA//alaV//rutC//rseA//uhpT//feoB//phnE_2//infC//ccmB//ydhY//avtA//focA//aaeX//phnG//ssb//yiaN//sgbE//phoE//yciW//artP//ulaC//sbcC//entA//hcp//gspM//ysgA//fimE//tsr//yoaG//hlyE//copA//fhuB//ilvB//mzrA//acrB//rrfE//glpT//hupB//hyaD//ilvN//cysB//caiF//araC//yeiW//yaeP//gntX//ugpE//ldtB//mgrB//dgcZ//ccmA//ytfE//tar//hflD//fepE//malK//mglB//gspL//ilvH//citE//abgT//hycE//puuC//rhaT//purE//bioB//srlR//glcF//gutQ//mtlA//pgpC//pnp//cueO//ulaF//metF//exuT//mhpB//garP//
ArgP-L-arginine	lsrR//astE//xylR//focB//livH//zraS//csgC//ulaD//aceK//phoE//hflD//livM//bcsC//rplB//glgB//sohB//
ArgR-L-arginine	fdnI//murP//hpt//fucA//guaA//araH//iraD//nrdF//yegR//uhpC//dcuB//ugpC//ackA//ilvG_2//tauD//hofO//yjeV//phoB//pepT//gapA//tnaB//prs//oppF//nohA//argT//fadE//leuE//qseC//atoE//argI//malT//pgaA//citX//fabZ//yhjA//yhhY//csiD//glgA//glpK//
AtoC-phosphorylated	aaeB//rrlD//nmpC//atoB//
BaeR-Phosphorylated	zinT//chiP//glpX//melA//arfB//hypA//garR//grxD//
BirA-bio-5'-AMP	araA//hflC//caiD//nlpE//gyrA//
CRP-cAMP	cheB//ydeN//rimP//iraD//tpx//dnaA//bglF//lsrA//cusS//ccmE//ydeA//phnD//tauC//phoE//pstB//dctA//entH//mhpT//miaA//prpE//gntK//ydeM//glpT//lacI//idnD//murQ//dcuS//agaA//rplS//entE//hypF//metA//rplS//tsaE//tam//tap//hha//bacA//uxaB//garP//fimD//caiD//gabD//purM//glcE//dsdC//casC//citE//rpoE//fadJ//ydfN//pgaC//oxyR//argP//yeaE//feaB//phnP//ftnA//hyfG//galK//chbG//csgD//alaS//fixA//gntT//fucA//tyrA//skp//sdaA//galE//glgP//cyoC//ydeM//phnN//sbcC//gpsA//yqjA//glpD//mhpF//yqjH//gadB//nanK//hypD//glgA//rutG//treR//metI//aroM//recF//paaZ//lysP//alaA//cstA//cirA//rcnB//fumB//phoE//nikC//aaeR//nrdH//tsx//yggX//creC//uidC//cynX//tsaE//rybB//rrlB//yjeV//fepE//yfdE//cysD//gntR//rhaA//glgC//lacA//metY//uxuA//prfA//atoD//aceE//xseA//araJ//aceK//appB//atoE//rseB//tsx//gspK//mutL//mlc//gntT//modC//gspL//gabT//amiB//nanS//rimM//tam//fepC//feoA//patZ//fixX//umpH//malT//chbC//pepT//bglF//cirA//ascF//adiC//ftnA//dcuD//iscA//feoC//ebgA//lacZ//oppB//dnaA//gutQ//tdcB//hycG//ygiB//ilvH//guaB//hofN//ldtB//cusA//gspJ//hycD//araF//nuoC//bcsC//ycjX//srlA//yqaE//fepD//nanM//mhpF//rbsD//tyrR//phoA//mglA//fimG//mipA//melR//argD//rstB//nrfG//dcuR//gntX//mglC//ygeA//cheB//ebgA//soxS//hdeA//hypD//agaA//hybO//gatB//agaV//yeaR//cirA//gspH//gspF//rpsF//xapA//rpsF//glgX//mhpC//narL//phoQ//cyoC//ptsH//cysP//pgk//grxC//fucI//gabD//ubiA//lpxD//fepD//ybiT//acs//entE//epd//iraD//nikA//moaE//ilvG_2//grpE//atoB//rpmI//hybD//cysD//serC//tsaE//cysB//gspF//hyaE//cydA//yiaJ//ssuC//tsaE//hcp//fimE//soxS//ilvB//mgtA//tnaB//malK//tktB//slyB//grxC//mltC//phoH//ydeA//argH//phnE_2//rstA//aspC//livM//ugpB//rpsR//sroD//rrfB//phoQ//nanA//lsrD//phnK//narX//priB//trpA//uraA//rrsA//sucA//xdhB//nirC//hisJ//adhE//gatD//bcsB//phnK//amn//metL//cbl//yiaK//ascB//gspD//waaH//nrfF//glcB//hemL//purK//sodB//lsrR//nuoB//rutB//trpL//frdA//aroA//qseB//mdtA//ilvX//deoC//tsgA//chbR//nuoN//glgX//rpsS//nrdG//phnP//mdtA//ihfA//melB//ugpB//phnE_1//infB//narG//hisQ//xdhB//ccmE//malF//hyfR//nanM//grxD//crl//deoD//rcnB//rprA//trpB//ascB//tauC//ubiX//cynS//ccmC//fumB//purA//ilvH//puuA//fixC//puuE//nlpE//ygeH//caiB//hycF//cyoE//psd//cirA//yiaJ//rstA//gcvH//ilvD//paaB//metK//metC//pyrC//livF//ryhB//araJ//araC//glgP//xylB//iraM//fepB//pstA//rutB//phnE_2//hlyE//appA//envZ//gltW//rbsD//epd//glcF//ygaC//argP//yaeQ//glpT//entC//iclR//grpE//nusA//phoE//cyoC//ulaF//emrK//livG//fixC//ygeH//psiF//hyfH//bdcA//uidB//aldB//moaA//citG//ileV//atoB//appX//astB//srlR//gspD//glpX//fhuA//dgcZ//fur//proP//ychH//katE//ulaA//sgbE//yiaN//fimF//metQ//hycB//ygeA//nrfE//nrfE//gspD//yfdV//rrsB//iclR//alkA//lldD//iscR//rplB//fadL//yhjA//dadX//malQ//fumB//glpX//hisP//idnT//fimD//ssuA//pgk//codA//yegH//phnE_1//gspO//yjeF//rbsD//psd//moeB//cstA//mgtA//gntU//malG//fliZ//araA//norV//casD//creD//lsrR//hisJ//phnC//astA//cpxR//kbl//uidA//putP//lldP//ubiC//ydeJ//tpx//pitA//alaV//dadA//purA//yggX//ileU//betI//rof//marB//hemL//cydA//borD//rof//ilvG_2//amiB//uhpC//ugpC//gltA//fepG//ydhV//glgB//emrK//ssrS//pflB//ygeH//yhjA//ydhU//dppA//artI//chbA//bioA//entH//metK//ygiB//bacA//astE//ndh//lysO//bacA//galT//livK//rseB//ynfK//tnaB//metL//fepC//araB//rnpB//lsrC//aer//nrfE//feoC//oxyR//gadC//uhpB//moaC//nrfD//
