#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	lsrB//ccmD//tdcE//trg//
AlaS-L-alanine	cpxA//
AllS-allantoin	ykgR//fldA//yjcH//
AraC-L-arabinose	trxA//artQ//cusR//argI//trpA//udp//lsrF//mgrR//arcZ//hfq//manY//phnI//csgE//sucC//
ArcA-Phosphorylated	dcuR//tyrR//mhpA//tar//exbB//rpsR//acrD//idnR//preA//rpoS//lsrC//purA//ssuB//actP//ydeM//ydfH//preA//hyaB//trxA//hycF//metJ//aroP//lamB//glpG//micF//fepG//nrfC//tdcF//recF//frdB//metR//cysW//hcr//sufS//cspE//mcaS//fimD//caiF//ykgR//bglF//ynfE//metQ//appA//gltB//phnE_1//narH//acrD//rrfE//napH//pncB//sodA//argO//gcd//casB//bhsA//tdcA//gatZ//puuP//glgA//aroF//iraM//yjeF//nhaR//glpD//trpA//pdhR//nanS//zraS//ubiA//nupC//hlyE//napD//nikB//manZ//avtA//narH//sbcD//cysM//rhaB//phnM//creC//mscM//yiaJ//dctA//gltB//hycE//fldA//mntH//mpl//bioC//pyrD//baeR//ybdZ//pflB//xylB//nupC//serA//uxuB//ilvX//flhD//nohA//azuC//deoC//uhpT//fbaA//glnB//sdhB//ampD//melR//ykgR//rpsP//nuoK//aspC//fimA//dmsA//csgC//bglG//yeiB//ygiB//pta//entC//entH//pnp//betI//paaA//yqjA//lsrC//fucR//tauD//argH//malM//phoR//ppiA//argH//dgcZ//ptsH//manY//rbsC//rrlC//mhpB//prpE//gspI//nuoN//fadH//codB//uvrA//glpD//gutM//yeiL//allE//zwf//glpQ//atoE//pheM//rplT//rplW//bamE//lacY//recF//dsdC//cynT//ygiA//fhuC//mgrR//sdaA//ihfA//csgG//glcC//citC//cynR//gspJ//tsx//fadA//allC//caiA//marB//astB//
ArgP-L-arginine	alaT//rrlE//treR//prpR//aroA//pgpC//gltD//ulaE//sucB//entE//fecB//hflX//fldA//yfiP//ydfN//purF//
ArgR-L-arginine	creD//nikC//deoB//gltF//ygiB//creB//ascF//lsrR//bioD//lrp//gcvP//metK//hyaF//rnhB//ydhT//tap//tauB//livJ//dadA//hfq//pstC//fnrS//garL//rpsS//lysU//xapB//manA//entF//lldR//yibN//rpsQ//rrlE//glcB//osmC//nlpD//argH//norV//chbB//thrV//
AtoC-phosphorylated	purM//atoA//stpA//puuP//
BaeR-Phosphorylated	rrlE//ccmB//torD//hycI//nrfF//fimF//cyoA//hycB//
BirA-bio-5'-AMP	citE//dppC//rpmC//nagE//cysI//
CRP-cAMP	avtA//prpB//phnJ//glcD//cspE//cydB//rplC//nuoJ//nrdH//ccmA//fumB//rpsF//moaE//ygbA//patZ//nikE//aer//gutM//exbB//yaiW//ssuC//ilvC//glpA//cysC//ileV//yqaE//metY//fixA//rbsA//ampD//pheT//carA//rnpB//ryhB//aspC//acnB//nrfE//ompF//phnC//glnK//lysO//sgbH//ydeJ//hupA//ilvX//cydA//fucI//cheR//xdhB//torA//zwf//cusS//pheT//rseA//xdhB//alaU//aroF//rpsC//nanC//lysP//tyrB//fnr//moeA//manY//hyaD//malS//nrfB//uhpC//glpF//yaeQ//spf//sucA//gadC//guaB//lrp//lpxA//mhpD//hofO//cdd//malG//fadB//araA//fliA//ansB//sgbE//citX//grxC//csgE//argT//ydfN//ndh//gltD//ygeA//hycA//raiA//ynfF//rpsS//ilvN//dsdX//fucP//hyfG//ybjG//yfdX//nhaA//rutF//cheR//katG//cueO//sbcC//nuoK//rrsG//nrfB//bcsC//cyaR//envZ//gyrA//pstA//nanS//pheS//csgE//hyaE//fucI//ygeH//tap//efeU_1//pgpC//dsdC//bcsC//nrfA//cynR//dcuA//rhaS//metI//grcA//cra//ygeA//nrdG//nanE//citD//yqaE//nfuA//alaV//hybO//cysU//nrfE//sohB//yeaE//nrdB//csgB//cysH//fadE//rpoS//cysH//nrdA//yhjC//uxaB//glpE//mutL//nikC//priB//cspE//caiT//speC//fimD//yfaE//csgE//citG//tktB//tdcA//galK//fixB//nlpD//araE//trg//araH//lamB//ileU//narH//zraR//yfiP//uxuR//abgA//yfbR//uxuR//fucR//artI//phnE_1//efeU_2//oppC//nanA//aaeR//cpxR//pgaA//ugpA//rpsR//dapB//nupC//hyaB//phnH//soxS//bioC//metF//entC//nrfF//fimC//rpmI//deoC//fimF//fucU//raiA//kbl//trpR//katG//dmsD//slt//focB//trpC//ytfE//torR//codB//fliZ//xdhA//emrY//folA//dcuC//purK//abgB//icd//ydeP//mntH//trpA//dnaN//xylA//astC//fadI//moeB//hdeD//azuC//rhaR//nuoC//metY//nrfA//araJ//betI//hycE//cysH//phnM//tolC//cheB//gabD//gnd//araD//gcd//acrA//bamE//pflB//gabP//gntU//hybA//evgS//glcG//betT//yaiW//hypD//rrfE//yegR//nanE//trpR//cas1//ilvB//moeA//ilvG_2//prpD//bioF//ccmB//ycdZ//garK//bamE//acrE//ydhV//sufB//bcsA//nikB//bioD//lacA//paaK//fdnH//mglB//map//fucI//narX//amn//chbC//moaA//rhaS//gcvH//caiF//trxA//azuC//fucI//folE//emrK//moaB//napH//purK//nuoG//sufB//fau//agaV//ppdD//cysJ//ydiU//cadB//focA//csiE//yeiW//yqjH//phnO//ugpB//nanS//nuoE//hpt//abgB//nrdF//fes//oppC//cra//zwf//uhpT//tdcG//fixX//dcuA//gdhA//fhlA//xdhA//baeR//gadC//trpA//psd//ccmD//atoA//glcF//phnI//rutC//moaE//tfaQ//moaA//baeS//dadX//oxyR//agaW//glnL//fepE//cdd//rrfH//argA//trpE//hyfB//rutF//ptsH//gntU//gltA//oppD//eda//fucA//fucO//acnA//narX//gltT//cusR//hdeD//bhsA//dpiA//rplD//ebgA//cusR//rof//livF//metQ//yhiD//cusB//rstB//yfeW//yecR//ileV//puuD//gltT//acrA//pgaB//appB//fepD//nanT//rutE//cpdB//araH//nirC//yggX//prpC//casA//purN//paaC//arcZ//ubiC//fadL//tsr//sbmC//hisJ//ubiC//paaB//cusF//cpdB//dppA//hyfH//lsrA//cytR//fadD//yeiP//fadD//metR//artI//rrsC//csgC//metB//tauC//edd//livK//dpiA//yrbL//phoR//gdhA//phnM//cusS//gltA//hisQ//ydhX//efeU_1//codA//dppD//moaA//araF//fabZ//hycD//fabZ//rpsF//marR//iscU//rhaS//asr//sgbE//cynT//glpK//rnhB//fhuF//dppB//rrsB//metB//livM//pdhR//fdnG//adhE//entH//garK//gspL//mdh//bcsB//hyaB//torC//oxc//glpA//pta//zraP//hofO//ilvH//serA//tolC//cysU//secB//folA//cadB//purM//fes//ybdN//rrlC//fecD//paaK//fimA//glpX//pitA//ycjX//trpC//purH//qseB//yecR//dcuB//aaeB//fepC//yhfA//miaA//sufA//yegR//hslJ//ompT//upp//ilvG_2//livM//ychO//yhjC//cusF//hyfJ//nagE//dmsC//hycI//tsaE//glgX//fdnG//edd//lacI//glpE//aspA//purR//speA//ygeA//purM//cusC//gspF//
