#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	uhpA//paaE//phoE//tsaE//
AlaS-L-alanine	tpx//
AllS-allantoin	slt//yfdE//sbmA//
AraC-L-arabinose	ssuA//gabP//metQ//polA//tomB//gabD//ssuE//ilvX//pagP//caiC//acrF//nupC//mepH//exbB//
ArcA-Phosphorylated	raiA//trpD//mhpF//mutY//hyaB//sgbH//cheY//mhpE//pgaB//glnB//oppB//fucA//ahpC//manY//sdaA//trpE//glcC//epd//puuC//xdhC//gspO//yqjH//oppA//znuA//glcF//psd//malT//dmsB//fadA//malM//gspE//grpE//agaV//ydfH//ptsH//nuoL//livK//ldtB//ydfN//dppF//ssuC//entE//ubiG//flhD//napF//pitB//fepC//fhlA//ssuA//nagA//aidB//cyaR//cysU//yegZ//ccmF//hfq//glcE//gatZ//rpsC//artP//rseB//yjjZ//ppiD//glyA//degP//degP//frdA//katE//puuP//yqjH//bamE//csgC//nuoE//nuoN//dkgB//allE//yqjH//lsrG//fhuF//hofB//lpd//rbsB//truB//csgE//aspA//argR//phnJ//hflX//yeiW//cas1//umpH//rdoA//nohA//glpD//araF//leuE//recF//exbB//rrsC//ptsI//ccmB//fdhF//treB//aroG//fhuB//cydD//ackA//trpD//tadA//fdhF//glpK//cra//srlD//ydhT//nuoE//qseC//lacZ//sdhB//puuB//ssuD//yojI//pta//yeaE//tadA//garR//csiE//fadI//caiC//ynfE//rrsB//purC//glcA//hypB//nuoN//tdh//rprA//yedX//carB//ygiC//mutL//soxR//phnD//trpC//hisJ//hfq//rplC//tonB//uhpC//csgD//nuoL//metQ//hyaA//moaD//tdh//nac//lsrB//cadB//alkA//cyoC//pdeF//yaeP//speB//ynfK//pstS//deoC//cusS//fhuD//ssuB//manY//prpB//cyoD//xylF//gltW//glpX//entS//entS//nohA//
ArgP-L-arginine	torD//cysA//mntH//gutQ//aceB//metQ//bioA//chbR//gatA//cheY//nuoH//glpB//acrF//ulaC//rrfF//cdd//
ArgR-L-arginine	ackA//srlB//pgpC//pstC//sucC//atoE//yqjA//fadJ//lysC//ccmE//purD//hisP//yfdE//rof//speC//nuoB//znuB//ydhW//rnpB//uxuA//chbA//mgrB//ackA//ompW//codB//comR//rrlH//uof//galT//entA//narI//metA//citC//glyA//mtr//hupA//sdhA//flhD//yeiL//
AtoC-phosphorylated	rrfD//trpB//metL//gltD//
BaeR-Phosphorylated	frdB//pheS//csiE//rstB//entD//adhE//hyfA//lsrC//
BirA-bio-5'-AMP	glcC//sbmC//ndh//preA//nagA//
CRP-cAMP	puuP//artQ//rpoS//entC//citE//narJ//infB//ebgC//norW//fadH//rutD//dnaA//ubiC//csiE//ugpE//speA//idnD//alaV//argR//fecD//bioA//livJ//cysN//hisP//purC//gltA//acnB//ilvM//zinT//rstB//ulaF//gntK//edd//hybF//ynfK//hha//appY//prpB//cstA//gltT//ispE//yegZ//cusA//gabD//pstS//ilvM//norW//cynR//fhuE//cvpA//hycG//rrfH//trxA//argT//fimI//ugpE//gspJ//dctA//ulaB//rpsO//artP//hupA//fnrS//preT//nanE//sgbE//mtlA//moaE//rplS//rcnB//yibN//mglA//marA//spf//ydeM//mhpC//grpE//livG//fimC//bcsZ//csiD//rbsD//sbmA//glcF//hyfJ//ydbD//mglA//dppC//fhlA//gcd//nuoL//mepH//rpmC//glcD//psiE//mglC//hypB//yggX//ydfH//narH//mdtC//oppC//tdcE//dctA//melB//yegH//fhuA//ansB//rpmI//nuoI//mglB//atoB//ykgM//sdhA//ssuD//cra//ydeP//artJ//mhpC//nrdI//phnD//phoE//hybF//ilvB//citF//rrlB//hemA//ykgM//csgE//aaeA//yeaE//iscS//nrdD//nagE//znuB//iscR//fadL//motB//actP//glcG//tauC//ompR//grxC//cysG//bioD//cydC//gatZ//gadC//gntU//focA//phnN//grcA//osmC//ftnA//hycE//abgB//tdcA//amn//lysC//cysB//ydhV//frdD//galK//aceE//cueO//ilvL//nirC//uhpT//gltV//oxc//codA//nrfF//cadC//galM//rplC//gspF//murP//ydeP//ulaB//mscM//iclR//cadA//rpsP//caiF//cysN//rplP//astA//cynR//hycI//dps//ydeM//adhE//lacI//zraP//argD//lpd//hslJ//hyaF//gspJ//purD//creA//ftnA//rrlC//fixC//lpxB//ubiC//nikA//uidA//puuE//metE//hycB//lsrG//gltT//pstS//yaiW//rpsF//nuoH//agp//mtlD//phnI//dpiA//phnD//aspA//araJ//bcsB//crr//tnaB//qseC//hflK//secB//narX//lamB//gltB//mlc//appA//upp//astC//metF//galK//hypF//tomB//nirB//fadE//hyaA//lldR//flhC//ugpQ//gltF//malI//rbsC//ivbL//ulaE//yjiY//gltF//ssuC//yiaJ//yqjI//paaB//arcZ//feaR//xylA//nuoJ//arcZ//fbaA//yiaL//ytfE//fucI//glgA//yjeV//ydeO//envZ//abgT//rutD//bcsA//nuoI//ydhY//pncB//argF//rseA//rutA//fhuC//rrfA//galS//manZ//citX//feoA//nanA//icd//artM//motB//ascF//csiE//glnL//mgtA//metB//argP//folE//sgbH//gatY//borD//ydhY//dcuD//patZ//fhuC//prmC//mdtA//raiA//nrfB//fes//phnC//serA//cysU//hycC//dapB//melB//rhaD//treB//galE//rstB//ileV//ssuD//mgrB//phnP//hyaF//nanA//mdh//fimD//creA//rutA//puuR//erpA//mzrA//tdcD//nagE//aspC//rbsR//talA//gcvT//cynT//nac//fucO//tdcG//norW//hyaA//torA//glpA//hycF//casB//manY//lldR//grxD//phnC//zntA//bioD//recF//cydA//lsrC//gspD//phnO//xdhB//cysP//argF//ydeJ//hmp//mcaS//yqjH//livG//yoaG//ugpC//tktB//preA//pgaC//gspD//ileT//tyrB//ugpQ//rrsB//gltB//deoD//mltC//rpoH//fecC//rhaD//yebE//yjjZ//atoA//ygaC//cpxA//rpoE//purB//marB//rrsH//narG//metQ//gcvH//atoE//ascF//gltV//gltW//xdhB//pitA//yccA//argB//rrlB//yiaN//aspA//marR//rbsC//fadB//napG//puuR//casA//nuoL//sucA//yqjI//cydC//rplM//araF//yeiB//ydeM//glpE//yhcH//rnhB//aaeB//ydhU//mgrR//yjeV//alkA//fadJ//iraM//gatB//tdh//rplP//speB//yfdX//tnaB//phnO//ynfK//creA//cysA//yedX//gspG//yegZ//rpsR//gspF//dkgB//cbl//hofC//hyfJ//miaA//artP//dcuR//sbcC//leuE//glgX//emrK//putP//feoB//hcr//hcp//ulaC//hyaA//fucI//fhlA//caiB//nrdG//mltC//pck//nrfC//miaA//glcC//nuoJ//katE//hybO//ydhT//dppA//phnE_2//rutC//hybB//uraA//soxS//mutL//napA//gltW//nuoN//cynT//iscR//xseA//tap//cusA//rstA//rpmC//nusA//srlB//gcd//hycB//trxA//motA//kbaZ//lysC//rrsD//araG//xapA//pheM//yaiW//aceF//napA//hcr//ung//fimI//lacY//artP//rpsJ//rplB//argP//hypD//dapD//malS//cadA//envY//fepC//ilvD//yhcH//nikD//hisP//
