#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	malI//fdnI//hyaA//infB//
AlaS-L-alanine	fimI//
AllS-allantoin	ssb//yiaL//bioF//
AraC-L-arabinose	araJ//sufS//ydeM//uhpT//paaJ//pheT//paaD//napA//gntP//iraD//ppiD//yjiY//hycG//preA//
ArcA-Phosphorylated	mhpA//tdcG//acnB//glpT//talA//hisM//livG//metQ//alaS//ugpQ//ugpB//nfuA//srlD//metI//phnC//paaH//znuC//ybdZ//rpmI//sufE//argH//rpoH//hdeA//purH//araC//nrdE//xdhA//uxaC//yfdE//putP//betI//motA//astC//rnlB//prpR//phnF//tsx//rbsD//oppA//puuP//ulaB//garP//hyaC//nupC//ccmE//ompC//malX//livJ//rhaD//norR//yjjZ//metQ//lldP//bcsC//gadB//dnaN//lamB//purK//nirB//agaW//aroL//narL//nanS//yhcH//trpC//paaZ//trmD//yiaL//caiB//ileV//fadB//rplD//allC//nuoA//ssuE//tyrA//sodA//codB//folE//dadX//gabP//lpxB//gabP//fepD//zinT//rplC//casA//yeiP//rnpB//nuoF//mntP//ada//phnI//pgaC//nlpD//uhpT//rhaA//glcG//caiE//cvpA//gspO//talA//aaeB//prfA//fdnI//hisP//nrdH//dadX//ycjX//gnd//metE//zntA//aroA//borD//rplI//pheS//pnp//pstA//gspG//mdtD//hofM//glgA//dcuS//udp//aroP//ascB//rhaB//hybO//rrlH//fnr//treR//ccmE//fimH//ugpQ//hofO//mutY//sgbH//artM//hflD//znuB//idnD//nikA//malE//paaI//cysK//hycC//yiaJ//torA//yjcH//cas1//znuC//nrdA//rrlB//lsrA//pitA//dcuR//gabT//exbD//rplS//entF//nanM//azuC//caiD//entB//dsdA//napF//norW//casE//hyaB//cydB//erpA//garR//bcsZ//mntS//truB//yfdE//umpH//
ArgP-L-arginine	yccA//lamB//uxaC//glgX//lysO//mglB//talA//hisJ//uxaB//yfaE//rpoE//csiD//evgA//gltT//ldtC//guaA//
ArgR-L-arginine	hflC//dcuC//argR//rrfB//nikR//fldA//ulaF//cysI//murQ//gltA//norW//mgrB//yciW//yhjA//nrfB//lhgO//metQ//yfdX//cirA//lsrA//spf//phoH//fhuF//argA//uxuR//mlc//ppiD//feoA//ilvA//sucC//mhpA//hisJ//trpE//katE//ccmG//cysD//lolB//oxyR//ygiA//
AtoC-phosphorylated	rrfC//psiE//nikC//ydiU//
BaeR-Phosphorylated	aroL//rutA//dppA//glpG//chbB//fimF//marA//purE//
BirA-bio-5'-AMP	dnaN//pstA//yhfA//yoaG//pgpC//
CRP-cAMP	gpmA//ssuC//treB//tdcA//mhpE//acnA//rrfF//cpxR//dpiB//rplW//ampE//malF//cyoA//uxaC//borD//gspE//baeS//moaD//pgk//cyoB//mzrA//hisQ//gspO//cysC//hyfC//phoQ//carA//rplC//uhpA//mscM//hfq//lysO//pheT//fhuE//nuoM//astB//rpsJ//yeaE//ccmF//lpd//ydhW//fnrS//hflC//kbl//glnK//xdhB//tdcA//melA//garL//gltB//gspC//gcvT//actP//fau//xapB//dctA//prpB//serA//uraA//garL//bcsB//pstS//malG//garP//gspL//fadH//moeA//ompR//ccmC//hydN//tdcA//cstA//envZ//hofP//nrfA//rybB//yciW//ccmB//gabP//avtA//allE//nrdD//ileV//aroG//purC//ykgO//torR//ascF//cueO//thrV//ygiB//srlB//lsrA//acrD//rpoH//betI//sufB//metR//cheY//rrfA//leuE//fadJ//yhfA//gatA//glrR//abgA//thrS//miaA//hybO//chbB//nlpE//dnaA//sdhA//cyaA//ubiA//tolC//exuT//ascB//yaiW//mcaS//sufA//lsrD//hyaF//argI//cysG//iscA//glgP//zinT//ybjG//cysN//rpsR//tdcA//glpA//cdd//gatB//recF//phnO//phnF//yfeW//glrR//ascB//phoR//aspA//nrdF//pitA//cpxA//fes//yeiB//lpxB//cyaA//cusB//fepE//ychH//fecD//dppF//melR//glpR//phoR//glgP//melA//ahpF//feaR//ebgA//cyoE//nuoF//tfaQ//aspA//ldtC//dgcZ//mglA//mgrR//napB//yoaC//manZ//iscA//ung//cysW//yoaC//talA//allD//raiA//mhpE//aspC//rrlB//ilvI//yeaE//lrp//malI//dadX//modB//ygeA//ydeP//motA//gadB//phnP//hdeA//rrsE//nrfE//bglB//fimG//hemA//ascF//tyrA//mtlD//paaK//purC//torA//yqaE//yfeW//hofN//ygaC//narH//mtr//livG//casE//pstS//garP//ilvG_2//narJ//codA//rrlC//glyA//hybG//prpC//nirD//lpxA//araG//garR//yidQ//artQ//hha//csgF//znuC//hybG//nanS//ulaC//pgaD//pheM//rutD//gltA//creA//folA//uidA//yqjH//entA//nikB//ileT//ilvI//chbR//emrK//araC//chbR//sucB//cusR//rrlC//norV//rnpB//mltC//lpxA//pgaD//pgaA//actP//citD//yccA//rhaT//prmC//ybdZ//tolC//phoA//tonB//cstA//citX//hisP//glpT//aroH//garR//mntP//psiF//psd//cysU//lsrA//yiaN//soxS//glcD//gspJ//dnaE//rnlB//crr//gltU//paaI//gltA//azuC//xylF//araA//ychH//csgG//nuoE//metC//entC//ppdD//nanM//argB//hycI//abgA//ilvI//baeS//fecR//mhpC//aceF//csgE//guaA//rpsC//yhhY//zraR//gntX//yiaM//rrlC//rmf//ung//ygbA//idnO//mutL//yjeF//xdhB//nrdD//glyA//yneM//rrfH//ubiC//infB//yiaM//fes//hyfR//fecD//tnaB//mpl//mgrB//yggX//ugpC//glpR//cysC//rnpB//casE//sucB//gabT//nmpC//dapD//yeaE//nanM//lysP//phnG//entS//lamB//lsrD//cvpA//artM//aroL//gltF//puuA//gltV//paaC//rnlA//fixX//rpoS//hofN//yqjA//rbsA//tonB//narJ//malS//ybdZ//rrlG//napG//yhiD//putP//nupC//rutC//zntA//citD//ilvN//iscS//ebgC//yebE//arcZ//mdtC//hycC//yfdV//aroP//aceE//mipA//narK//safA//katE//sdhD//glpQ//uof//ygbA//nikD//cheA//gltV//nrdF//prpE//yiaK//ileT//lamB//yeaR//hlyE//hypA//feoA//grpE//ubiG//mtlA//udp//phoE//ilvL//dcuC//guaA//yfdX//gabD//narI//yeaR//nuoH//priB//livF//nuoJ//mgrB//creB//prpR//ssuE//glpC//yeiP//aroM//narI//rplW//tehB//chbC//glpQ//sdhD//cysB//malZ//cheW//ydeM//chiP//prfA//tsx//mlc//grxC//rnlA//tauA//abgA//rpsI//ydeJ//melB//rplT//melA//tnaC//osmY//yrbL//manA//bioA//alkA//araG//rutA//fucI//pstA//uidB//tfaQ//alaS//fucA//preA//ccmC//argG//ydhU//ydeN//ryhB//yccA//cydD//glgX//ccmE//yiaJ//tdcF//astE//dsdA//lrp//cheB//artM//cusS//nrfE//hypF//znuB//frdD//hyaA//tdcE//nupC//malQ//purC//rpsS//dapD//ulaD//rpsO//ascF//cheA//rrlD//sufC//fhlA//cdd//cheA//flhC//gatA//iscU//cueO//fecE//gcvP//ynfK//ykgM//nanE//trg//tdh//glcC//ubiC//rpsP//dnaN//tap//cvpA//uidB//
ChbR-Monoacetylchitobiose-6P	hisQ//aceK//ytfE//cpdB//entE//gspC//
CpxR-Phosphorylated	glgP//fepD//nfuA//aer//yiaJ//dkgB//ydhY//nikD//bhsA//tehB//katE//dcuA//ascB//hybD//gutQ//ppiA//agaA//metN//lrp//rseB//ubiX//hisQ//nuoA//ulaF//oppF//nohA//galS//pheS//thrS//puuA//malP//rutF//ynfK//rcnB//nrdH//glpX//glpR//agaW//glpB//gntR//rhaB//fucU//rnhB//yqjH//fliA//ldtC//rplB//araH//zinT//sbmA//csgD//hyfC//mgrR//sufS//hycA//rrsG//allD//tam//astB//rpoH//trpL//aroM//paaK//mdtA//nrfD//fadD//rpsS//gnd//cysG//
CreB-Phosphorylated	narI//ydhV//fhuA//rutA//actP//phnL//purL//nusA//glcG//
CueR-Ag	phoA//paaE//aldA//dsdX//infB//hfq//folE//
CueR-Cu+	yneM//lsrR//mhpR//citF//rrfG//agaV//metL//
CuerR-Au	gatB//soxR//cysK//erpA//hycI//idnT//bglB//
CusR-Pasp	tdcA//yojI//torC//astD//flhD//dkgB//glpC//paaE//nikE//arcA//soxR//xylR//
CynR-Cyanate	ebgA//yiaK//ssb//srlB//
CysB-N-acetyl-L-serine	ydfN//glgB//uxaB//mcaS//rutF//mgrR//dgcZ//cheB//carB//dppF//pyrC//map//focA//cpxR//phoR//metE//rpsJ//tktB//zntA//hybB//fecA//ulaE//pstS//idnK//trpB//tdcE//nagA//xdhA//ssb//nirB//
CysB-O-acetyl-L-serine	yibN//nirB//ynfE//hofB//modA//pstB//lacY//ompA//fnrS//frdC//glgS//rnlB//tam//ynfE//fimI//prpD//ascB//argF//fiu//fhuE//chiP//ulaC//rrsH//csiE//dppC//mdh//hybD//cadA//pstS//fumB//chbC//
DcuR-Phosphorylated	sodA//glgP//yhcH//cadB//yjeF//cvpA//rrlH//dapD//deoC//
DnaA-ATP	oppB//dsdC//gyrA//ydeJ//glcG//araD//lacI//aspC//metC//dusB//nagA//nadC//
DpiA-Pasp	yeaD//gadB//ompT//yegR//cusC//pncB//garK//hcp//ybiT//rpmI//malP//
DsdC-D-serine	aroH//aroL//tcyJ//
