#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	uhpA//napB//betT//gatA//
AlaS-L-alanine	cysD//
AllS-allantoin	yqaE//betI//glcA//
AraC-L-arabinose	pstA//zwf//cynX//rrlE//gltD//cynX//pyrD//araE//tolC//paaB//fis//idnD//hyfC//tdcC//
ArcA-Phosphorylated	hyaA//yoaG//slyB//puuE//betB//narX//tdcA//nuoK//cheA//ldtB//dcuD//aidB//rdoA//narL//dcuB//nirC//motA//rrlG//srlA//gltT//iraM//glgA//trpL//rseB//yedX//uhpT//creA//yiaN//torA//yiaJ//gspM//ulaB//cas2//gadC//lsrK//cysD//gspL//mgtA//yeiP//paaF//emrY//gabP//gltV//hyfB//lsrR//alaV//cas1//glnK//cheA//yciW//cspD//narQ//phoA//livK//malF//citC//yjjZ//nuoF//entD//waaH//xylB//yeaD//nirB//phnE_2//glgC//metC//metA//codB//rbsB//hyaE//zntA//argA//ynfG//ygiB//hisM//hyfJ//uraA//glnB//ydiU//argD//nlpE//fixA//ysgA//glpD//zraP//acrD//gspE//aldA//zinT//yhjA//marA//ilvB//yiaK//alaU//ugpA//casE//metE//tauD//narQ//torA//nanC//ydiU//mntP//pyrD//glpR//sufS//nrfA//ydhY//idnT//argI//yhjA//ygbA//nrfE//betA//gltV//xylB//gatB//yoaG//ssuE//dppB//yiaL//fdhF//fliA//gatC//cusC//ydhT//dsdC//alkB//fldA//ldtB//yhjA//nuoL//mpl//ompF//hlyE//ilvA//mhpE//yfeW//tam//dctA//malS//xdhB//uxaA//pitA//rrsD//tnaA//nanM//lsrK//gltF//ung//fepG//creA//znuC//rseA//rhaB//copA//tnaC//ygeH//tdh//yeiW//purL//ugpE//phnD//nrdE//nanE//nikB//pgk//cheR//entH//rplT//gatB//yjiY//nuoL//ndh//hupB//envY//mdtA//
ArgP-L-arginine	uxuA//fecE//metY//fecR//trpA//appC//bhsA//betA//glyA//rbsB//pheM//phoP//amn//metQ//efeU_2//rrlC//
ArgR-L-arginine	moeA//dcuR//sbmA//tdh//xylG//napG//cvpA//rrlA//cusA//frdC//yfdV//nrfA//garR//lolB//araG//betA//lsrR//proP//nanS//adhE//rimP//gltF//yidQ//thrS//mutY//uxuR//xdhC//pgaD//soxS//ilvE//fadA//lpxB//trpB//livM//rplV//sufC//nrdG//abgA//nagA//
AtoC-phosphorylated	murQ//ygiC//flhC//arcA//
BaeR-Phosphorylated	tauB//metH//galT//hyaF//pncB//mhpR//citC//ampD//
BirA-bio-5'-AMP	cynX//aaeA//ydhU//dcuB//hyfF//
CRP-cAMP	cas2//bglB//iscA//rbsD//iraM//rutE//fixB//fucR//tehB//nuoI//truB//torR//mntP//guaB//oppA//uxuB//hypE//cynT//slyB//dcuB//phnH//hybF//marR//emrK//araC//appC//appX//malE//moaB//hyaD//ndh//aidB//rpsR//glgP//citF//purF//fadD//atoD//gltF//rpoH//pgk//nrdH//raiA//dpiB//aroH//idnO//ccmC//yaiA//gltA//malY//xseA//sdhA//ssrS//rstB//ilvX//caiE//ompC//rhaS//speB//bglF//nagB//uxuA//frdA//mgrR//purA//iscR//napB//hycC//lrp//flhC//yiaJ//hycD//ryhB//nuoA//srlR//glnL//aaeB//lrp//xdhB//cyoB//sucB//rpsS//bioA//gspF//ilvY//rutC//appB//caiB//rplP//rutC//pstA//yeaR//proP//erpA//glgC//hycF//nhaA//rstB//norW//cysA//srlD//rpsF//puuD//moaA//ybdN//pheS//modB//tsx//hpt//paaZ//araJ//sohB//argI//hypE//aceE//chbF//alaS//ccmC//argB//mhpF//creD//yjiY//emrK//ndh//nuoG//fhuE//hycA//ubiX//gcvP//nadC//lacA//bcsC//srlA//lpxA//hyaC//hyfF//idnR//aldB//arcZ//ilvD//ssrS//tsgA//yeiL//nupG//uidB//fur//betI//nupG//lsrD//xseA//agaW//hflX//hofO//yeaD//rplP//nhaR//ycdZ//cdd//lpxB//dppA//yojI//nrdD//hyfE//hdeA//araB//nikB//cpdB//ilvC//cyoD//cbl//xseA//ybdN//fdnI//hha//cusA//dapB//ihfA//mhpF//gspH//prs//safA//entS//yqjA//cyoC//cydA//cyoB//sufB//rpsC//mscM//araB//focA//lacZ//ulaA//mdtC//tdcE//fur//hisJ//dctA//feoA//qseB//chiP//gltT//rplM//rybB//purB//malG//gapA//rpsO//betT//fimE//hyfE//yhhY//rrfB//mgtA//pncB//fepB//hyaD//galM//sufS//hisJ//cvpA//gabD//gspL//rutF//hybD//uraA//lpxA//artM//yfiP//phnI//dkgB//ackA//fixC//mgrB//iscS//tsr//fadJ//lacA//nagC//nrdG//mhpT//avtA//hmp//dcuA//borD//zraR//tar//galK//fepC//ulaE//phnH//adiC//betI//dcuS//ybiT//torC//dps//deoC//xapA//ilvD//pck//paaH//ydeJ//gpmA//ilvG_1//tsaE//nuoC//ilvX//infB//znuB//yaiW//tehA//ldtC//xylG//mntH//rrsG//yqjA//purF//cusB//znuC//yfdE//rutB//cra//aroA//lysU//hybD//chbC//araA//borD//fadJ//grcA//tsr//rhaA//focA//betA//phnH//aceB//ynfH//cysW//ssb//prfA//nanS//yegH//trpA//nupG//hfq//oppB//ychH//ahpF//manY//tsr//deoC//fhlA//paaJ//alaV//tomB//alaV//pitA//metB//slt//norV//leuE//ileU//yecR//lpxB//hcp//puuC//agp//ackA//metF//aldA//mhpC//uidA//mpl//cyoB//fucR//yeiP//mtr//cyoA//pgaB//ilvM//treR//trpE//xylB//nuoL//ampE//ugpC//fliZ//mhpR//oppF//rrlH//metA//hycA//cysU//napB//oxyR//hycA//gltF//uhpT//cysN//puuE//dadX//bioA//paaH//patZ//cysA//entH//bhsA//sucC//nrfG//ybiT//creA//dapD//mntP//rpsJ//ilvD//tonB//hycG//rplV//skp//cyoC//nohA//ahpC//ebgC//paaG//dcuA//rpsJ//rprA//lacY//fhuA//rcnA//gatZ//cpxA//tolC//hycA//gadB//ccmC//gspL//cheZ//ascF//frdC//dadX//tnaB//argT//iclR//tnaB//hycH//cyoB//uxaB//rprA//rpsC//tnaA//waaH//lpxD//mhpD//fis//ychO//aceK//fhuA//moaA//preA//argH//cadB//entA//malE//nikR//ahpC//moaC//aceF//tehA//purH//phnN//tnaB//narJ//gspD//dmsD//ugpB//ynfF//metF//micF//fhuC//phoA//chbF//ssrS//nuoI//nanA//nrdI//dsdA//hofB//metY//xylB//mgrB//yggX//hybF//glpA//rybB//ykgM//glpD//sdaA//znuA//tonB//mdtB//paaI//arcZ//phoE//cusB//amtB//hofP//rrlA//glpA//rrsC//napF//rrfG//rprA//hyaD//caiB//ascF//sufE//entD//gntU//fimG//cydC//trpC//nac//dppC//mutY//phnL//ung//napB//nrdI//speB//rrlG//tnaB//phnG//amn//ydeO//sbmC//carA//glmY//dkgB//tpx//manZ//astB//rnlA//aceF//sdhC//alaU//cpdB//ygaC//fumB//gspI//torR//rseA//paaH//yjjZ//preA//yqaE//rdoA//gltF//borD//yfiP//ompA//trpE//zraS//hycH//
ChbR-Monoacetylchitobiose-6P	iscR//uxuR//paaD//mdh//rpmC//skp//
CpxR-Phosphorylated	fixC//waaH//phoH//rrlA//metR//glgB//cyoA//rrlG//caiT//tonB//purL//gadB//fldA//fhlA//ilvL//fimG//dmsD//torR//mhpR//metK//artP//yeaE//ilvX//phoA//fhuB//nikE//baeR//amtB//fecC//aroF//yaiW//nrdG//gutM//metN//ompC//cynR//marR//talA//crr//yhfA//fbaA//codA//rimP//tadA//malF//fabZ//gltB//hemL//dmsA//grxC//ulaB//ccmD//ivbL//cheA//caiT//rcnA//ogt//deoB//gspM//rutG//hybF//trpL//nanA//motB//rhaS//casB//galM//sodA//napG//
CreB-Phosphorylated	trpA//gatY//rplT//murQ//hybD//ulaD//nuoK//yhhY//sdaA//
CueR-Ag	livG//hypA//rseC//rof//metR//waaH//argI//
CueR-Cu+	phoR//borD//cvpA//gabD//nikD//lpxA//rplV//
CuerR-Au	ynfF//fumC//paaZ//yegR//ilvG_2//dnaA//fimD//
CusR-Pasp	gdhA//dps//sdhC//caiE//melA//phnO//lysA//nac//nagB//spy//idnO//frdD//
CynR-Cyanate	rbfA//exbB//ybdN//cyoD//
CysB-N-acetyl-L-serine	tnaB//chbC//caiA//uidA//puuC//chbB//cysB//cysK//glcG//paaD//fhuB//aaeA//rplT//casB//ugpC//glpG//srlD//nrdA//oxyR//bioF//napG//abgA//aroM//tonB//puuP//ydeN//guaA//malS//hofC//amn//
CysB-O-acetyl-L-serine	miaA//aceE//csgE//rplS//ydfH//cydB//nrdH//pstA//dctA//phnG//acrF//cysG//fecR//ydbD//cydD//marR//gspG//yegH//ssuA//yaeP//malX//oxyR//tfaQ//purD//patZ//tcyJ//lldR//nuoM//uhpC//trpE//murQ//
DcuR-Phosphorylated	fadI//cbl//hycC//yegR//phnL//gntP//gspF//chbR//caiE//
DnaA-ATP	yojI//pyrD//modA//torA//acs//ygbA//rplW//edd//livK//ccmH//pepT//tcyJ//
DpiA-Pasp	ycjX//creA//deoA//phnC//melA//xylG//rhaT//fecE//yciW//yfbR//oppB//
DsdC-D-serine	nadC//nuoE//argF//
EvgA-Phosphorylated	rrlC//argC//dadX//xylF//ydeO//hyfI//bioC//rplD//gspK//uhpA//gabP//rnlB//fucP//gcd//rpoS//
FNR-[4Fe-4S]2+ reduced	mhpC//tnaB//lsrB//dmsB//gspH//mhpB//pstB//hyfH//zraR//mntH//sbmA//nhaR//mhpD//priB//fadA//hyaA//cadB//psiF//moaE//argT//rplI//fixA//phoP//fecA//phoH//purL//nrdH//dcuR//psd//gltV//ynfG//zraP//cspD//mglB//hycI//pyrD//fecD//purL//sroD//bhsA//ompF//metJ//rnpB//norR//ldtB//ftnA//sufA//citX//entH//zntA//acrB//paaF//acrF//rybA//pitB//nirD//artJ//nrdB//ldtC//kbl//creA//yebE//yeaR//argO//nupC//bioD//chbA//cydA//icd//acrD//ompW//srlD//hcp//uvrA//fixA//ybfN//hyfI//uraA//ychH//metY//prpD//fecI//phnD//narH//dps//fur//aaeX//crr//agp//chbC//mdtC//norR//ptsH//dppC//cbl//yegZ//crr//rplV//mgtL//nrdH//ogt//phnE_1//marA//napC//ssb//ydhX//hflK//ccmG//rrlB//ssuC//malI//narI//yjcH//casD//paaG//sgbE//fecA//ldtB//slyB//nuoC//gltF//zraS//ompA//hybB//ivbL//proP//fucA//astC//fliA//chbR//lamB//ileU//dsbA//spy//mzrA//aroH//gntK//tcyJ//araH//malX//hybG//hycA//rpsR//exbD//cra//abgT//yrbL//adiC//adhE//hisQ//mzrA//creD//araE//glpB//deoC//aroH//araA//rrfC//rhaR//ilvN//cyoC//zntA//hypC//ansB//betI//yfdV//modB//napB//malF//fucR//hflK//ugpE//chbF//ascF//codB//nac//glpK//phnK//yfdE//yccA//prfA//yeiB//argT//speB//ydbD//yhcH//udp//appA//fimF//aspC//nuoG//zwf//hmp//gabP//bcsA//norV//nrdH//oppC//hyfH//dsdC//iclR//nuoF//gatC//lamB//nirD//paaK//ydfH//gltF//glrR//dadX//pdhR//feoA//lacA//ileU//hofO//fecD//uxaB//ykgR//rutG//fixB//dcuS//stpA//ptsG//lsrR//cueO//slyB//fucR//oppF//hypA//hlyE//sroD//dnaN//mhpE//cadA//yeiW//thrS//cytR//mhpD//ygeH//yrbL//ccmA//dnaE//yaiA//ssuB//xylF//iclR//efeU_2//sbcC//fhuD//paaE//mntP//yhhY//tauA//rplM//csgF//idnD//ftnB//ldtC//nuoH//alkB//gntK//mglA//prpC//sodB//nrdA//aceE//dpiA//napG//yhjC//tsx//astA//bcsC//metK//stpA//rplV//ilvY//torC//argI//gapA//hofO//trxA//hdeA//glpB//gntT//phoR//casC//phoE//melA//rplV//hybB//fadD//appX//aspC//yaeQ//nrfA//yaiA//paaF//nuoN//gntU//serC//udp//alaU//nupC//hybF//zinT//
FhlA-Formate	entS//carA//gntU//araE//ybdN//srlR//phnG//hypE//fimG//polA//uhpC//rutB//fecD//motA//mntP//argE//dppA//ivbL//dkgB//fabZ//cheR//aer//sucB//gspG//frdA//hycD//qseB//hupB//fur//cysN//
FucR-L-fuculose-1-phosphate	gspG//purC//aceA//fecR//pgk//aroM//amtB//
Fur-Fe2+	argH//tnaA//ybiT//bamA//hydN//metQ//nagC//pepT//betT//miaA//preA//torR//fadJ//rbsC//yrbL//rrsG//ssb//phnC//rplP//cysU//ssrS//flhD//soxR//cysN//ascF//mhpF//hflC//mglA//metN//bcsZ//carA//paaE//rutD//gatY//kbl//bioC//hyfF//csgE//tyrP//fes//argO//dpiA//ynfE//tnaA//tnaC//tauC//cheW//grpE//fucI//xylB//lsrC//tyrP//moeB//paaA//fadI//nuoM//phnJ//truB//rimP//mpl//glgX//hybG//cusF//mhpB//hisJ//mntP//fimH//gyrA//ebgC//cbl//chbB//yeaD//gspI//gltU//fadD//livF//cyoE//yeaR//hcp//sucA//cyoD//rpmI//cysB//cstA//icd//hha//rrfH//livF//casA//puuD//fdnG//oppF//ydhT//gatD//iraM//nrfD//gspE//fucR//oxyR//chbB//creD//metY//nupC//rbsK//phnH//xylB//phoE//fau//dcuC//sodB//fadL//tehB//dapD//nuoH//yhjA//livM//mdtA//evgS//araB//xylA//sufE//phnG//sgbH//gspG//cydB//ybdN//yeaR//lrp//artP//mlc//yhfA//entB//mltC//pepT//astE//yjeV//ileV//paaJ//metI//rrfA//
Fur-Mn2+	mgtL//ryhB//trpL//glcD//nrdG//manX//fecR//malT//hyfI//nuoE//paaE//fhuB//gpsA//edd//aaeX//ompR//pflB//livG//xdhB//manY//aroP//xylH//tomB//truB//hybC//oppC//cheA//lysO//fumB//ilvX//treC//dpiA//ybiT//caiA//gatA//fimE//nikE//mtlD//nrdE//artI//ssuD//hcr//entC//pstB//ybjG//rpsR//iscU//fumC//baeR//gntU//xdhA//ydhW//hmp//miaA//abgA//gatY//ileV//ada//yaiA//feoB//entE//ompX//ssuE//rrlB//epd//glpQ//tktB//lpxA//napA//caiC//ccmF//narI//fhuE//fhuC//cyaA//rutC//arcZ//ygaC//xylR//xdhC//rpsP//oxyR//phoR//yaeP//gutM//exuT//arcZ//glcA//tdcE//ygeA//hybF//ascF//ygaC//amtB//argR//fumC//acnA//tdh//gltW//rcnA//xdhC//pyrC//fimG//pagP//nupC//tnaB//ytfE//gspM//yaeP//mgtL//hpt//hslJ//torA//pgaA//glpQ//ychO//nirB//hycF//fadH//cynS//yqjI//guaA//gabD//astA//treB//fadH//csiE//nrfG//sdhB//iscU//malP//araH//rrlE//hofP//csgC//lysC//agaW//chbC//tktB//lacZ//
GlcC-Acetate	yoaG//raiA//fis//tsr//mtlA//sodB//uxuB//
GlcC-Glycolate	ftnB//gspO//hofM//phoH//appB//araB//glcG//
GlrR-Pasp56	gspC//
IclR-pyruvate	ynfF//yfdX//rrlE//phnH//
IdnR-5-ketogluconate	aaeA//norW//rnlB//soxS//hisQ//dgcZ//cysM//fecE//
IdnR-Idonate	phoU//ugpE//malK//emrK//hypE//glpG//rhaD//ccmA//
IlvY-2-acetolactate	phnG//pgk//
IlvY-Alfa-acetohydroxybutirate	alkA//carA//
IscR-[2Fe-2S]1+	prs//fucA//mglC//grxD//lsrR//purC//ydhW//paaH//mhpC//hfq//tnaC//nuoA//nrfD//rpoS//moaB//nikE//aceA//astA//ccmE//fimG//ileT//uraA//fepA//napF//garP//rprA//tauA//rrfG//phnM//trxA//hybA//dsdA//norR//nrdE//tdcD//hyfC//abgA//ftnB//casA//ftnB//envY//
LldR-L-lactate	paaJ//fadD//hyfH//
Lrp-Leucine	entF//ftnB//entD//cbl//mntH//ygiA//uxaA//phnL//fabZ//dcuS//yaiA//ygiC//soxR//napD//tomB//slt//grpE//gutQ//sufA//dctA//puuR//dnaA//yhjA//aldB//cysC//infB//yeiP//cydA//ydeP//rutF//nanA//fadJ//argC//fadH//glgB//sucD//gltT//yiaM//ydfN//gltD//ccmF//ileU//mglB//glcC//nrdD//argA//nuoH//purE//malY//ybdN//tadA//fixB//atoB//ydhX//dsdA//iscU//marB//lysP//psiE//chbF//rpoS//hdeD//agaW//ycjF//pyrD//erpA//fdnI//ygiC//waaH//pstS//zwf//fhuB//yjcH//ybiT//nhaR//bioC//rplW//folA//sgbU//fecR//yiaK//zraP//iscU//ilvI//envZ//lrp//yibN//gatA//tdcE//rstB//slyB//ampE//fumB//rbsB//murQ//mutL//fadL//fumC//nlpD//narL//lacA//nlpD//hdeB//efeU_1//glcB//leuE//
LsrR	ccmA//narH//fucU//dctA//bioC//phnO//glpA//ccmE//ccmA//
MalT-ADP-Maltotriose	ompT//csgC//gltT//prs//hybC//cheA//malF//nuoN//casD//rrsH//
MalT-Maltotriose-ATP	idnK//yhjA//livG//aroF//caiF//fixB//lsrG//treC//fumC//ompA//
MelR-Melibiose	uof//malP//atoB//
MetJ-S-adenosylmethionine	gatY//dsdC//glpG//cheW//fbaA//fadD//mhpA//flhC//lldD//napA//nanS//prmC//cpxA//fumC//talA//
MetR-L-homocysteine	idnR//dkgB//napD//mhpC//xdhB//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	nanE//gspC//ynfF//prfA//gltA//narI//
MhpR-3HPP	glpX//nagA//trpR//xdhC//ubiG//fucU//
MntR-Cd2+	mhpE//araF//araJ//epd//nikA//
ModE-MoO42-	patZ//entA//metN//hlyE//araC//sufB//modB//rmf//argE//purN//tar//fimI//araF//fixA//cbl//moaB//manA//ysgA//ccmD//rplM//tdcB//cynX//hupB//crr//mdh//yiaK//csgE//ansB//agaA//lacY//rrlA//atoA//paaF//nrfF//yeiP//yidQ//gltT//ydeM//cheB//tdcG//glcC//napC//ascB//nmpC//exuT//lpxB//
NarL-Phosphorylated	mglC//hycF//sufD//paaG//yoaG//tsgA//nrdE//znuB//caiD//hdeA//yqjA//dppF//araC//torR//aceK//nadC//iscU//cyoC//melA//ybiT//araE//mglB//tsgA//rpoS//narJ//argR//gcd//uhpA//nikC//rof//lacZ//nrdH//tdh//mdtA//iscS//micF//yjiY//alaV//dpiA//bglF//lrp//nuoH//mhpB//ansB//nagA//glgP//metN//livH//pgaD//dadA//ilvM//cusF//moeB//nrdH//creA//mhpD//tolC//xylH//oxyR//rplM//tadA//infC//nuoG//flhD//lysA//atoE//ilvN//ykgM//arcZ//hyaD//creD//nrdG//hyaE//avtA//rhaR//ompR//mglB//rrsA//ompT//ompX//yaeP//lsrR//fecE//moaC//yhcH//soxS//ykgR//fhuA//znuC//frdC//tdh//mtlA//fimA//rpsI//hdeD//znuB//gpmA//feaR//bioF//ccmE//ompX//lsrB//hypB//amtB//ssuC//nrfC//abgB//narX//hofC//dcuA//rhaB//rpsP//eda//trpC//ilvL//casC//hpt//ilvG_1//sucA//chbC//nuoN//tauD//tauD//chbR//fhuA//
NarP-Phosphorylated	amtB//iclR//gltW//atoA//evgA//phoA//oxc//eda//znuC//yojI//rutD//rutB//uof//pgpC//oppF//bcsC//zraS//lysU//ptsG//mhpE//yeaR//citG//rpoH//garP//chiP//ybjG//hypB//lpd//ompW//ybdZ//fumB//phnK//ynfG//tktB//phoR//glpE//modC//rhaR//araE//ulaB//manY//kbaZ//fau//idnO//ygeH//atoE//yfaE//hycB//astD//fepB//
NhaR-Na+	fhuA//tdcF//hypD//mhpB//purD//srlR//guaA//
NikR-Cd2+	tdcF//glrR//sbmC//rhaR//ugpB//nanT//
NikR-Co2+	hisM//yciW//dppC//nupG//galP//uraA//
NikR-Cu2+	glgX//glmY//nagB//rbsA//rnhB//fecE//
NikR-Ni2+	aroL//gntR//pgaC//hyfC//gapA//pnp//
NikR-Zn2+	gdhA//srlD//casC//sdhD//ubiA//yiaN//
NrdR-ATP	fhuE//rimM//livJ//puuE//umpH//nanK//citE//gspC//psiF//
NrdR-Zn2+	tyrR//rrlA//livJ//grcA//glpG//grcA//dmsA//zraR//gltB//
NrdR-dATP	cynX//torR//stpA//ndh//zraS//ndh//argT//ptsI//purA//
NsrR-[2Fe-2S]reduced	fadL//ogt//rpoH//mhpD//lsrD//miaA//pgaD//hyfF//rmf//pstA//csgA//srlA//caiD//azuC//micF//yaeQ//iraM//gspM//zraP//nrdI//ubiA//efeU_2//hyfC//gcvT//phnG//rrlC//cheR//cyaA//ulaC//malX//lrp//glgS//rnhB//ugpQ//rybB//abgA//fepE//gatB//pta//prpB//bglG//iscS//paaD//ulaC//evgS//fhuE//xylB//xdhA//moaC//ssuD//lldR//acrD//ung//ydhV//cysH//uxuA//oxyR//hybF//uvrA//hybD//tsx//araD//chiP//yfdE//torR//nlpE//recF//aroM//paaC//ompX//chbC//yiaM//manX//
