#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	nupC//artI//yfeW//treR//
AlaS-L-alanine	speB//
AllS-allantoin	cynR//metN//fixX//
AraC-L-arabinose	dapB//cydD//gltW//ybdN//nagA//appY//rpsI//dcuS//ilvA//fimF//dcuD//ybiT//nrdH//hofN//
ArcA-Phosphorylated	hupA//patZ//cheW//glcE//yfbR//paaA//qseC//frdC//bcsB//pitA//nagA//rrlB//hybB//ascF//napB//citG//mhpC//gutQ//rnlA//astC//frdA//oxyR//fecC//phoH//napA//ycjX//rhaT//metN//galE//marB//cysH//mcaS//rplC//gspJ//metF//hofO//ydhV//tdcB//cirA//ynfH//infC//prpB//glcB//hyfI//fimG//mntP//tyrP//baeR//metJ//tyrP//yqjI//metE//rrsD//bcsC//marA//napD//gspE//baeR//melA//fumB//yiaJ//ccmG//pheM//torA//fau//yecR//crr//rutA//cysA//phnD//rrsD//frc//nuoB//phnG//agp//baeS//rplD//argR//tolC//bioB//nirB//betT//ogt//fepD//hyaE//glpD//prpB//lldP//tdcF//uidC//nanM//nagE//pck//hcr//fecC//phoU//sohB//manA//iraD//ompC//tolC//cspE//ccmE//idnD//paaG//lldP//ilvG_2//dmsC//hisJ//cysA//mdtB//ilvN//cynT//rpoS//treC//yidQ//nrdA//yeiB//napD//crl//rnlA//mgrB//hybB//sodA//rnpB//mhpB//glnK//fdhF//entF//idnD//betB//artJ//fadJ//yciW//torD//pck//azuC//gspI//astD//cadA//dppF//rrlB//oppD//cyaA//ydeM//nuoN//slt//epd//pheM//livF//ilvX//alkB//gcvH//dgcZ//gntK//rhaA//mdtD//yiaL//uidB//purH//aceE//iscA//argF//rhaD//bcsA//leuE//fadH//dps//gspE//ygeA//hyaA//gatA//emrK//atoD//torD//lpd//udp//
ArgP-L-arginine	ydiU//rpsS//cynX//galP//csgA//cysG//csgE//preT//gspG//napC//rbsK//norW//spy//hflD//fucO//paaB//
ArgR-L-arginine	gatC//rrlH//ccmC//rpoH//alaT//csgA//epd//purN//aroP//fhuE//yeaD//cheY//fecD//trpR//flhC//mglC//nanS//glpF//zraP//gntX//narI//ileT//aldA//tpx//fadD//hyfI//galK//pgaC//tktB//flhC//paaE//hha//uidB//katG//folA//rplT//livM//motB//glpF//
AtoC-phosphorylated	mdtC//paaZ//aidB//nupC//
BaeR-Phosphorylated	yiaO//rbsR//lpd//lacA//abgB//tauA//malZ//nagA//
BirA-bio-5'-AMP	mutY//ydeN//paaI//uraA//fepC//
CRP-cAMP	lsrR//yegR//micF//cysP//metF//rstA//cysB//dkgB//rplS//dnaE//tcyJ//dcuC//ssuE//rbsC//creC//rpsP//oppD//lacI//dcuD//sxy//ugpB//zraR//rnpB//acrA//csiD//ydfH//yiaJ//malM//tomB//appX//metR//hybF//rrlG//oppD//alkA//uxaC//cydB//ysgA//fhuE//yeaR//betB//rbsA//phnF//ynfE//yeaR//uhpB//ispE//gadC//caiB//efeU_2//ampE//manA//rrlD//sgbE//hypA//xdhA//psiF//fumA//uraA//cheB//gntP//entH//pyrC//hha//rbsC//hybC//hycH//appC//citD//gntX//paaD//secB//paaJ//cyoC//zwf//trpL//acrD//katE//glpG//phnL//gspO//nanM//mhpE//mcaS//udp//araC//fbaA//aceA//hypF//rdoA//lamB//mhpC//rrfD//yoaG//fadL//ilvE//melA//slyB//pdeF//uidC//katG//arcA//fecA//ybfN//ilvC//srlA//lacY//dgcZ//livH//fabZ//rpsF//astD//napD//ybfN//cheY//sodB//agaA//ykgM//rrlB//rrfC//chiP//mlc//yhjC//sodB//malX//nfuA//fumA//hycA//dkgB//fecI//purB//oxyR//glgB//metE//priB//rpoH//uxaC//srlD//efeU_2//malQ//pgaB//fepE//zwf//baeS//exbD//hupB//prpE//mntH//feoA//purC//yegZ//cusB//atoD//phoA//ynfH//trpC//aaeR//yidQ//csiD//bcsB//fucP//appB//grxD//prpR//hflX//cysU//rseB//abgT//fdnG//creD//kbaZ//zraR//kbl//iscA//yaiW//nirD//fucI//ydhW//artQ//nrfA//nupC//gltT//ndh//ebgC//pflB//nfuA//metF//tyrP//rplM//psiE//cyoB//gntP//yiaL//mhpC//speA//sbcD//ilvG_1//gadC//norV//araE//gatY//fepC//pnp//cyoA//pdeF//pstS//glpD//grpE//argB//mcaS//ssuB//appX//tcyJ//fecE//yhjA//pstA//ilvM//lyxK//crl//mgtA//bdcA//gpsA//rnpB//allC//fepD//proP//nirC//frdC//puuA//feaR//yfdX//sucA//cysH//cpxA//ydiU//rpsI//mgtL//ychH//cpxA//tyrA//hybO//rplM//ulaF//mdh//dpiB//nuoF//ilvA//gcvP//rnhB//acnA//gcvH//glcB//nrfA//speC//fepA//sbmA//phnE_2//ssuC//cheR//tsx//creC//trpL//yqaE//rrfH//yeiB//citD//pstS//nac//map//cysB//sufB//gltA//astC//fepE//hyfR//rrlC//gspH//sufD//sgbU//lldP//aaeX//bglF//citG//alaA//hisQ//yjeV//uvrA//chiP//araC//nirB//hyfA//fnrS//metK//mglB//glpX//ynfG//glcG//amtB//ryhB//mntS//hyfA//rbsR//nikE//aroA//nirB//cyoC//crl//argA//allC//mtlD//garR//narK//ychO//metJ//yggX//ldtB//napB//marR//artQ//pgpC//feoA//leuE//rbsD//xylG//cysG//glpC//ybiT//dmsD//gcvH//allE//ompR//epd//nupG//tauD//fucP//paaK//fixB//uidB//hisQ//rutC//fixC//psiF//fadA//xapA//sdaA//yeiB//csgF//nohA//nrdE//hyfD//ydhY//purF//nirC//tfaQ//rrsH//tyrP//hycA//cysC//sbmA//pheT//purH//entS//priB//yaiA//ssuD//casE//glrR//rrlE//mhpR//rnlB//argR//gltA//arfB//artQ//ulaE//mepH//fimI//torC//waaH//ynfG//phnO//narQ//creA//mepH//phnE_2//dppC//yiaM//acnB//aroF//galK//malQ//bioA//ssuB//ydeN//tdh//tonB//yhfA//dpiA//rplD//ydeO//sohB//motA//fdhF//narK//uxaB//hlyE//fimF//nuoM//ygeH//hydN//malG//ulaF//ogt//nrdF//manY//dppA//nanS//aceA//xylR//glpT//fecR//csgB//prfA//ygeH//trpC//paaC//glcA//norW//sbcD//phnC//crr//moaE//dnaN//uxuB//argF//rhaD//mtlR//atoE//dctA//tdcE//pnp//alkB//rplM//rstB//cadC//mgrB//baeS//hisQ//ubiA//hyfI//oppB//tar//entF//galT//dppF//miaA//yoaC//exbD//sdaA//napD//fucP//hycG//rrfB//trpB//rcnB//gatD//raiA//agaA//malF//nuoA//lpxB//yqjA//mdh//malF//yegR//chbG//dcuS//lsrC//ydhT//csiD//serC//frc//mgrB//rstA//ilvN//speC//aceK//nuoN//nanK//rpsS//alkA//nanK//norV//sodA//sgbH//ssuE//bioA//cydC//mgrB//mhpA//aaeA//hcp//entB//edd//appB//gcvP//phoP//gntK//ydeO//envY//gntX//moaC//rrlD//tnaB//cadB//rrfB//tyrR//betI//ssrS//aaeA//betT//ydiU//ilvG_1//hyaC//sucA//
