#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	rbsD//nanC//gntU//fixA//
AlaS-L-alanine	oppF//
AllS-allantoin	phnI//citG//allD//
AraC-L-arabinose	mlc//hycB//yaiW//nrdI//aer//phoU//atoE//araG//rpsQ//rdoA//fnrS//rplS//hdeD//marR//
ArcA-Phosphorylated	trpR//fdnI//argO//psiE//tolC//fhuD//hybE//glrR//grpE//ulaD//prs//dmsD//sufE//rutD//trxA//grcA//paaJ//ygiA//tadA//hycG//argG//dppA//nanE//prmC//cysI//hycG//iraM//ilvN//nrdB//mglC//kbaZ//tomB//iraM//srlR//araE//paaA//rutF//atoD//ftnA//aldB//nuoA//truB//frdA//aceK//cysB//nuoI//glcD//cysW//torC//fecR//ilvG_2//sodB//ilvA//phoP//tyrP//fimD//modA//gabP//fepC//tehA//modB//fdhF//hycC//phnI//epd//dmsB//astD//ynfH//qseB//ykgM//bcsC//hdeD//ycdZ//rpsI//fecR//xdhB//glnB//rrlC//ubiA//glpE//rnlA//phnI//ilvY//erpA//nuoN//gadC//pstS//gntR//tnaA//rrfE//betI//grxD//ansB//ubiG//hpt//gadC//aidB//fhuD//sdhA//glrR//ybfN//uhpB//lamB//puuR//iraM//rhaB//pgaC//rmf//ldtC//metY//lacZ//creC//rrsG//glpX//rrfF//hpt//ygiC//casB//araJ//gspK//ycdZ//ilvA//agaA//citE//fis//actP//lysO//alkB//cheZ//folE//rrsG//rplT//cyoC//ilvC//yqaE//ftnB//proP//fdhF//ybiT//agaA//glpF//uxuR//tdcB//xylR//ahpF//cusC//mepH//pgaD//mdtA//psiF//glyA//ilvA//glcB//hyfB//efeU_1//actP//mgtL//purA//ubiX//hofB//creA//crp//rnlA//araA//rrlE//manZ//prpE//metI//ssuA//rof//hycI//rpsQ//exbD//ydhX//lysC//pstA//gltU//
ArgP-L-arginine	stpA//cysJ//glgP//soxR//dppD//uxaA//moaA//lpxB//citF//hypD//cysW//ssrS//dppD//nrdA//pitB//purF//
ArgR-L-arginine	mdtA//ansB//ccmC//fepC//argC//glpA//hybO//znuC//secB//csgG//ybdZ//alaU//guaB//dps//manA//mntP//exbD//ydhY//ampD//lrp//yeaR//fadA//ilvC//phoP//infB//glpD//fhuD//creB//rpsI//crp//ssuC//psiF//nuoC//alaS//gspD//nusA//umpH//gatA//aroH//
AtoC-phosphorylated	glpT//glnB//bdcA//ynfG//
BaeR-Phosphorylated	pdhR//cynS//entC//bhsA//ilvD//allC//aaeA//garR//
BirA-bio-5'-AMP	hycG//nmpC//hyaA//tyrB//rrfF//
CRP-cAMP	fadL//yqjI//ilvH//citF//murQ//icd//cysH//phnE_2//dnaE//ynfK//rrlD//ilvB//tfaQ//yoaC//recF//hypB//rutC//yciW//fepG//exbB//ompA//fepG//rutB//nrfB//nrdB//gntK//dppD//kbaZ//bamA//paaI//creC//yeiB//rybA//copA//yfdV//ugpB//trpR//ybdN//hmp//fepB//dps//fecA//fadJ//rplV//zraR//cas2//dpiA//tdcE//metQ//paaB//hdeD//hupB//rseA//rrfC//glpT//speC//hyfH//araG//tolC//ileU//metE//tcyJ//rstB//hisJ//tar//rrlB//nlpD//fadH//uxaA//sucD//mtlD//rrlC//puuR//hofB//ynfH//emrK//ydeJ//znuA//hycF//yaeP//gspI//ulaC//mpl//ccmB//kbl//bacA//xylA//ccmH//ileU//nagB//rplS//phnO//sucD//fumB//fimI//nikD//yeaE//bioD//spf//nusA//uhpT//mcaS//rrsG//phnG//paaD//mglB//putP//trg//adiC//phnI//puuE//acrD//tyrR//rnhB//nlpE//metH//cydC//nanM//hyaA//narL//rplB//ycjF//sohB//erpA//abgA//malP//nupG//nrdA//mhpA//entE//malE//gadB//fucO//alkA//marB//frc//betI//napB//idnT//zraR//focA//nanM//sucD//pagP//gspF//mltC//nrdA//exbB//proP//ubiG//chiP//gntT//mpl//rybB//ydfN//glnG//fixX//gutQ//yfdV//sucD//rrsA//fhuE//frdB//ileV//spf//sufB//metE//fepE//idnD//citD//ugpC//mdh//ascF//dcuR//mntH//atoA//paaK//yiaN//manA//preA//hycG//ulaD//metK//fur//modC//dcuR//oppF//ptsG//cpxR//glnG//fadE//sucA//prpR//cadB//narL//lsrC//cra//cheA//hflX//rstA//acrD//leuE//sucB//rrlC//aroF//rplV//oxc//paaE//oppB//citD//nuoI//ihfA//glpT//zwf//purB//uhpB//glcG//kbaZ//rhaA//phoU//yiaK//guaB//rutF//pck//grpE//iclR//puuC//rrfG//hybE//ivbL//rhaR//nanM//sdaA//chbG//infB//lpxA//flhD//hisQ//dmsC//rhaT//fadA//glnB//rseB//puuA//dpiA//prs//yjjZ//allE//deoD//cspD//cra//ygaC//ybiT//nrfA//trpR//rutE//ascF//secB//ycjF//nuoG//dusB//alaS//cirA//cysP//stpA//rpsP//tnaC//udp//aceF//ydhU//nusA//ykgO//hlyE//ygaC//yeiP//dcuB//aceK//livM//glgC//rplM//lacZ//glgS//nhaR//asr//nuoK//cusS//kbaZ//nirD//hyfC//fixA//tsgA//galS//allE//nanA//rhaR//gabT//yiaJ//yqaE//sufE//zinT//ydeO//rrlG//nuoK//cyoA//mlc//gspO//ykgM//cheA//yfbR//gspE//paaA//argI//hyaC//hemL//citG//nhaR//hycD//mglC//mscM//ygiA//ybjG//feaR//fixA//mglA//hybO//glpG//actP//glpX//entD//citD//sodA//folA//fecE//sufS//fadE//csgA//phnD//ilvG_2//ssuE//moaB//purA//trxA//dsbA//caiF//pitB//nikA//tnaC//ssuD//pheS//avtA//ompT//phoP//gltU//glpA//cadB//hybG//ldtB//rpsP//fepD//purF//gltA//glgB//fucK//dps//tadA//hisJ//csiD//pheT//tauB//rutA//bioA//ogt//nuoI//mgtL//metJ//csgC//infC//gatZ//arcA//yegH//yfdE//yiaJ//modA//mltC//aroF//fhlA//livJ//rrlH//sufD//artQ//aaeA//sucD//gnd//hyfB//nhaA//cyoA//ftnB//yfiP//prpC//sbcC//qseB//astB//psiE//ompC//mhpT//ptsH//pyrC//frdD//ilvA//rybB//cheW//sodA//soxS//ilvA//mhpF//metH//focA//ccmA//hflK//caiF//phoQ//cra//mlc//gntX//livM//dcuS//rpsR//moeA//hupA//feoA//glnB//ileU//ybdZ//sufD//phoP//manZ//yoaC//moaE//nfuA//rutG//psd//dppD//glcF//kbaZ//treC//rhaB//hofC//cysG//ftnA//hyfE//yojI//rrlA//appC//cheB//nuoG//moeB//paaZ//nrdB//prpB//yiaO//cysP//tdh//ygeA//fiu//hyfE//nupC//gltF//pgpC//casE//araE//hlyE//melB//srlA//emrY//livG//lysC//osmC//paaE//sodA//metF//xdhA//phnH//phnL//fecB//grpE//nrfD//galS//malP//pagP//fliA//rseC//nohA//marA//pyrC//rnpB//sbmC//yedX//moaB//puuD//hyfD//purA//rhaD//pck//speC//pstS//glcD//lldD//fhuE//focB//fhuB//mlc//hycF//uof//lolB//ulaE//cas1//ilvE//astD//deoD//citX//osmY//nuoM//cysG//ybfN//fhuC//
