#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	umpH//sxy//dadA//marA//
AlaS-L-alanine	grpE//
AllS-allantoin	moaC//mhpD//copA//
AraC-L-arabinose	gpsA//exuT//ilvB//narX//rutG//dcuC//gpsA//oppB//hdeA//atoA//yneM//entC//pheT//cysA//
ArcA-Phosphorylated	nuoA//cydA//hyfF//hypA//tdcD//gutQ//gntP//srlD//appX//bglF//recF//chbA//hycE//fixA//codB//rybB//frdC//yqaE//rpsS//ygiC//bcsC//uhpC//sucC//hypF//abgB//adhE//rplC//nuoJ//puuD//glgC//astC//yaiA//sodA//yaiA//rrlC//rrsG//gspO//ugpB//gcd//acnA//manY//ydhU//dnaN//hflK//ldtB//kbl//slyB//oppC//pstC//aroP//artQ//gcd//garK//xylB//fiu//lysA//bcsB//qseB//fdnG//ompA//cysI//galM//glgB//rdoA//bamE//yggX//hyaA//hyfE//paaG//feaB//lsrG//phnK//miaA//rprA//hyfR//nuoN//ydfH//astB//fadE//sbcC//narJ//mipA//psiE//ykgM//rpsF//tyrR//sufD//lsrG//livF//paaI//sodA//xylF//pdhR//yoaC//cpxA//atoD//nuoE//araG//malS//feaB//cueO//purR//nmpC//yfdX//yaiW//cyaA//acs//sucB//gatD//ompR//fhuD//proP//trpL//aroM//azuC//dadA//fumC//rbsR//livG//glcG//livG//glpT//fimA//cyoE//cysW//rrfE//glcC//mntP//citG//nagB//paaE//lysP//phoR//cheR//gspL//map//ydhU//dmsC//uxaA//rhaT//mtlR//purE//ubiC//ccmB//exbD//pstA//nuoN//dusB//glnL//tsx//focB//mlc//xdhB//appY//rbsR//trg//nanM//cusS//nrfB//cvpA//carB//mglA//rpsF//nrdE//argI//rstB//mlc//cytR//lsrR//yeaR//ulaF//ansB//ssuB//talA//fimE//nrdD//hyaF//
ArgP-L-arginine	tdcB//tauD//ydhW//acrE//ygeH//dadX//torC//argD//hypB//tsgA//yfeW//ivbL//bioC//chiP//glcA//trpE//
ArgR-L-arginine	rbsR//araB//cysN//betA//astB//ptsH//yhfA//dppC//hofM//lysO//gcvP//araF//pflB//dcuC//fadA//uhpT//dppF//rprA//hybC//yeaD//dcuA//azuC//xdhB//rutC//yfiP//narJ//rpoS//citD//fbaA//rrlG//cyoD//ilvM//srlR//mglA//phnP//rrfG//ycjF//acnB//tnaC//
AtoC-phosphorylated	gatZ//ygeH//cyoE//sucC//
BaeR-Phosphorylated	fabZ//fucO//dppA//purC//focA//rbsR//glpR//rpsI//
BirA-bio-5'-AMP	exuT//idnD//cadA//dmsC//hyaD//
CRP-cAMP	tdcC//phnD//csgG//norW//sxy//sbmC//cdd//tdcE//tfaQ//fucI//araH//rplM//gspH//yaiA//paaD//oppB//zinT//cysP//cheR//pstA//lsrC//hyaF//nanM//emrY//infB//gapA//garP//rpsJ//ilvN//entH//lsrC//sxy//cadC//preT//entH//tsx//mtlR//metN//entS//uhpA//sucB//tnaA//hyfB//sgbH//glnG//metK//mntH//deoA//xylR//phnJ//ykgO//deoD//tauA//ynfE//feaR//fur//fepB//malM//ssuA//fucU//hofP//evgA//mhpD//mhpA//moaB//napD//tdcG//mhpC//purL//nrfA//paaC//upp//rplM//gutM//yjeV//glgC//frc//yfbR//ydeN//dnaA//ygiB//sodA//metJ//nrdG//galT//nupC//alkB//moeB//moeB//appX//betI//ompF//pgaB//avtA//ilvX//hycB//ompT//oppC//appC//mntP//napG//moeA//ftnA//csgB//ydeP//fimA//dmsA//fucA//mhpE//abgA//hemL//safA//hflK//hisM//edd//appY//hofC//nikE//hycB//ysgA//nusA//amtB//hycD//mzrA//ccmF//gntX//rbsB//yeiW//aer//cpdB//ulaA//ybiT//gabD//malG//kbaZ//fucI//hycC//yiaN//uxuR//rbsR//rrlE//dmsB//yedX//lldR//hofN//lsrR//artQ//envZ//prmC//cysK//yjcH//hybE//emrK//ebgA//yjiY//cysW//cpxR//tdh//fhuC//aroA//crp//ilvX//fnr//nanM//sucD//metC//pgaB//pdeF//mntP//feaR//hdeD//ndh//rrfE//chbC//manZ//hycH//amtB//ycjX//dsbA//grcA//ydeJ//ydeA//aspC//astD//nanE//metC//csgC//agaV//araJ//gcvP//metH//rpsF//lysC//acnA//ydhX//acs//dsdC//fes//fadI//cheA//fhuA//yegZ//dppF//prpE//yeaD//fepB//hyfH//fes//lsrF//dctA//fepC//aroP//nanT//rutF//chbB//yjcH//rbsC//fepA//thrS//fucR//malF//nhaR//gadC//ileT//livK//purN//atoD//argI//glmY//mlc//malP//sdhC//tnaC//ptsH//yqaE//appY//argF//hybG//phnI//dgcZ//artJ//livK//hyaD//purB//trpB//metF//bamE//nanA//hisP//norV//pgaD//dppF//nrdB//caiT//csgB//rrsE//dcuA//iscS//glpF//lsrD//bdcA//ybjG//purH//hypC//rbsA//metN//rplW//amtB//ldtB//malY//ilvI//fepG//yiaK//hofM//ldtC//hybD//narQ//paaE//carA//narK//hisJ//ybdN//ebgC//srlR//yegH//phoP//nikB//cyoE//phoP//glnD//hcp//gcd//metF//rybA//aaeX//cas1//nanA//nanC//mdh//ykgO//yegR//udp//moeB//ybdN//lacA//paaH//malE//yfiP//idnO//hypD//rutA//prpC//casA//cpxR//arcA//bcsZ//trg//ebgC//cyoE//argR//chbG//hupB//yegZ//marA//zinT//cyoE//ftnB//yjjZ//bioB//argD//ugpB//rrlB//nuoH//nanS//crr//allC//puuB//cytR//iscU//fes//cadA//tnaA//gspG//gspC//aceK//fecB//gltD//glcG//slt//torD//garL//hemL//fadD//ahpC//hypC//rhaA//osmY//gltD//hflX//cdd//chbR//zraP//hflX//hypB//fixX//betI//fepB//bcsA//glpQ//yeiL//rcnA//oppB//dcuD//rplM//alaU//bamA//fecE//livJ//pgaB//appC//xdhB//dapB//nmpC//dadX//trpR//napH//yqjI//hyaB//glgS//tdcG//hyaC//deoC//fucK//nanM//nhaR//yeaD//rrfE//ccmC//yciW//cyaR//baeS//ulaB//fucR//lldD//yibN//xylR//ydhV//mtlA//nmpC//rhaD//ileU//sdhB//prpD//lyxK//hyfR//ykgO//glpK//osmY//hcp//gntP//nac//ccmA//garK//nrfC//fixX//mltC//fepB//norW//tdcG//nrdG//ompW//cusB//trpL//adiC//ileU//moaD//dsdC//phoQ//tsgA//hisP//ccmE//cusA//ccmC//lsrB//fhuC//acnB//hpt//rof//entD//chbC//sufA//treR//uhpB//emrK//cysB//fliZ//feoB//yjcH//napB//lysP//amtB//uraA//rpsO//ppiD//gcvH//ahpF//zinT//lysO//yibN//yjcH//miaA//rhaD//uidA//hflC//fadJ//aroG//mcaS//hemA//gntT//malX//purN//tap//phoB//tdcD//tktB//tap//cysG//rrlA//feaR//entH//dusB//motB//puuC//glgP//ldtC//purF//fiu//feoC//ssuA//betA//narI//rplV//ulaE//argA//gatY//dsdC//nanA//nanS//tcyJ//slt//agaV//hyfE//argH//aroM//argD//chbA//metB//cysN//nagE//talA//dppB//nrdH//araD//allC//gntT//
