#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	rbsK//cysD//phoA//aroF//
AlaS-L-alanine	zwf//
AllS-allantoin	cysP//aaeA//dmsB//
AraC-L-arabinose	xylR//lacI//mhpD//sroD//ompA//hofC//yqjA//rplP//gspF//ubiA//evgS//aidB//glpQ//rnlA//
ArcA-Phosphorylated	ccmG//argD//galE//oppA//idnD//gltA//eda//glcF//citX//paaD//ynfF//srlE//speB//napB//mglA//araC//srlR//yhcH//leuE//hyfE//iscA//lysU//lacY//torD//yciW//hyfC//fhuD//cadA//aceB//glpX//garP//phoH//dsdA//ogt//hypF//polA//cadC//bglF//cueO//dnaA//cytR//rhaT//sbmA//sohB//fecR//glnB//livH//nanK//osmY//pstA//argR//grxC//acrD//idnO//hybO//tktB//upp//uxuB//ilvL//nrfF//dadA//nanE//glgB//lacZ//rbsA//ulaC//envY//ccmB//hofB//phoE//yfbR//nrfC//ygeA//fadJ//fecR//paaD//casB//lysC//slyB//slyB//astC//sdhA//ilvY//gspK//metI//yeaE//metY//pflB//caiC//cadB//feaR//yaiA//rrlH//ubiA//preT//gspH//dnaA//frdA//hflD//cysK//tdcG//hdeB//cyoB//mhpT//pdeF//purK//ydfN//ccmE//araB//yeaE//araJ//katG//hypD//hha//hypA//yeiW//glpD//rybB//pnp//envZ//ssuA//pagP//tdcC//yaiW//artJ//hyfJ//rnlA//mltC//atoE//ilvL//yhfA//hypE//rdoA//mtlA//casA//lacI//manX//rrsD//phnF//bglF//rseB//moaD//nanE//acnB//puuA//srlB//caiB//serA//fixB//pstA//purD//fepA//yqjA//glnA//rpoS//citE//rprA//hycF//hisJ//dpiB//lsrK//argR//uidB//hycA//hyfB//creC//fes//lsrC//mhpC//ynfH//idnD//udp//narG//norW//ppdD//nikB//dsdA//
ArgP-L-arginine	yedX//sufB//metE//astC//uxuR//dsdC//astD//evgS//malF//sdhD//xylH//dadX//nikC//entE//baeS//alaU//
ArgR-L-arginine	nlpE//glgA//feoB//dgcZ//ydeM//ppiA//kbl//hydN//livJ//mgrB//pck//arcZ//feoB//hycC//gutQ//umpH//oxc//aroA//ydhW//amtB//fadB//hcr//phnE_1//lysP//lysC//slt//puuC//cas2//ulaA//gatY//rrsB//bcsB//nuoJ//livK//nagE//manZ//hyfE//hlyE//deoD//
AtoC-phosphorylated	mltC//ccmH//rpmI//rrlH//
BaeR-Phosphorylated	cynR//rplD//ubiC//alaV//tam//hfq//aaeX//mhpA//
BirA-bio-5'-AMP	bcsB//dppB//purF//citE//phoE//
CRP-cAMP	aspC//aroL//hofM//ynfG//caiE//torD//nuoA//psiE//pdhR//lysA//ssuC//cytR//glnB//phoR//puuR//hybG//hisP//glnA//ung//bioB//znuA//rutG//hydN//hofM//proP//nanT//yaiW//nikD//hybE//artQ//xylA//dcuC//tomB//argP//hyaD//ampD//nanS//nrfF//glnL//mhpA//lsrK//dnaA//artI//ilvL//ilvM//ssrS//glnA//citE//yeiL//mtlD//moaC//nuoE//lpxA//yhjC//rplS//rplP//copA//rimP//priB//dapB//lsrF//bglG//malG//flhC//phoB//hyfC//galP//ptsH//rrsG//hycC//pgpC//idnT//dpiB//ygaC//gltB//nusA//fadD//prpR//tdcD//ada//rrlC//purR//ampE//tolC//ryhB//tsgA//yhiD//amtB//guaA//yiaJ//oppF//aroL//ysgA//ssuC//fimD//nhaR//csiD//hybO//modC//nuoM//cheA//casA//mtlD//hisP//ydeJ//hybG//nrfB//cpdB//metK//moaA//ilvG_1//fdnI//ascF//ydeP//envZ//tpx//napA//fimF//bioF//lsrA//cirA//ccmB//aroG//trpR//aldA//ygiC//serA//zntA//ilvA//ybdZ//manY//ydhT//fadE//hyfD//paaH//ptsH//yneM//dsdA//serA//caiE//aceF//idnT//rutF//miaA//slyB//rrfE//nusA//acrD//ndh//fimH//psiF//lpxD//rrsG//mepH//xapB//rrfD//rimM//cysG//sdaA//iscU//manX//fucO//infB//nirD//glnD//livJ//glcE//entA//carB//bioC//aceK//metJ//hupB//xseA//yojI//ilvA//nrfA//xdhA//oppA//malE//purC//baeS//cyaR//napC//galM//ompW//ompA//uxuB//ybfN//aroH//tam//sohB//lysU//tyrA//rnhB//ihfA//ebgC//safA//mutY//tyrB//hupB//ascB//gatB//dppC//napG//speB//adhE//sdhB//rutB//oppA//acs//fucO//mgtL//lolB//arcZ//purA//artI//alaS//srlD//nac//ebgC//dkgB//murP//lysO//ahpC//rrfE//fimC//prs//ysgA//dppD//efeU_1//torR//appC//prpR//arcA//bglF//gspI//yeiW//glpD//rpsO//ccmG//metL//caiF//ilvM//ftnB//preT//casE//glpD//garL//tyrB//metI//cydA//fbaA//crp//preT//rseC//tnaA//mdh//ubiA//proP//malT//mhpC//nuoF//priB//yfaE//lldD//trpB//preA//phoU//dpiB//nohA//ihfA//ebgA//purB//priB//tap//oxc//sbmA//ssrS//hycD//sufS//phnF//pstB//tdcD//mhpA//dadX//caiC//phnI//sdhB//hybD//ybjG//alkA//srlB//glcE//hypC//hofM//nrdB//tomB//ssrS//epd//cusC//ybdN//argC//gntX//rplW//sbmC//nhaR//ssuE//cysN//fucU//rrfH//yhcH//ydiU//pheS//mtlD//glcE//ogt//rbfA//rprA//cadA//tomB//sucC//prmC//ilvG_2//lldD//purM//tfaQ//gatC//hha//purB//mntH//amiB//manY//pheS//lsrK//cra//hybG//emrY//srlB//feoC//yegZ//hycI//hslJ//mhpF//rrfB//arcA//trpR//araF//pstA//malX//lysU//frdB//araC//fixA//phnN//dusB//nikD//oxc//cirA//rbsB//mglC//sufC//betT//ptsI//pdeF//mhpC//fliA//rplV//casB//treC//lsrC//dadA//moaB//lsrA//ssuA//hslJ//spy//motB//nanT//pyrC//azuC//speB//yqaE//fimE//betT//rpsR//rrfB//mtlR//ynfE//fhlA//rnhB//cysN//rplC//hofB//nrfE//fimC//ung//cspD//mdh//motB//metL//ubiA//entS//gntT//lsrC//livH//bioA//paaF//hycF//argC//exuT//atoB//creC//hycA//nuoG//fepA//ssb//mutY//metR//exuT//sufA//ydeP//galM//rpsC//edd//rhaS//rrlH//araA//cynR//sufA//xylA//agp//feaB//rutG//murQ//fadE//hypF//allD//lpxB//arcA//ytfE//ccmF//phnI//puuP//recF//ydeN//entC//artM//zinT//dps//fadD//hybF//phnH//bamA//bamE//gcd//agaA//chbC//yaeP//manA//puuR//trmD//mhpR//manA//sohB//fdnI//pgk//rhaD//ugpB//pyrD//speA//fliA//arcZ//zraS//xylB//citC//flhC//oppF//nanE//ptsH//carA//tdcA//hyfD//gapA//tfaQ//cyoB//cas1//feaB//sodB//astB//bglF//appY//yfeW//ybjG//ascF//glpD//rpsQ//lyxK//fur//ychO//hyfD//rbsR//uxuR//lldR//rhaS//cysJ//pdhR//fecB//bhsA//amn//yjeF//tadA//oxc//ahpF//yggX//malY//recF//ccmC//tyrA//manY//purD//atoE//dmsC//zraR//puuD//
ChbR-Monoacetylchitobiose-6P	comR//lpxA//pgaA//nac//yaeQ//acs//
CpxR-Phosphorylated	prpD//rpsR//exbD//argG//araE//rutA//napF//yiaJ//rrsE//puuP//osmC//cydB//nrdI//napG//rpsP//idnO//malI//codA//metF//yjcH//rseC//prpE//focB//yqjI//fucA//ygiB//ulaD//metA//rpoS//modC//argF//cheY//rutE//yaeP//nadC//paaD//idnR//casD//glgP//pyrC//ppiD//gntR//rrlE//napD//serC//bhsA//dctA//fadD//rseB//ygeA//psiF//cheY//tolC//waaH//sdhB//iscR//cueO//edd//cyaA//hisM//fimF//grxC//fecI//gdhA//acrF//aroP//trmD//yeiP//uof//
CreB-Phosphorylated	paaK//cusB//rbsK//glpA//lldD//argO//gspF//aroL//uof//
CueR-Ag	sdhC//yjcH//gltT//ugpC//sufC//paaB//yaeP//
CueR-Cu+	rrfF//agaW//rrlC//erpA//raiA//metI//ompT//
CuerR-Au	sufD//psiF//ompR//talA//glrR//entB//hyfI//
CusR-Pasp	hybD//tpx//csgG//cynT//bcsC//glgX//fumA//ogt//rpsO//tktB//tam//slyB//
CynR-Cyanate	phoR//prpD//modC//sodB//
CysB-N-acetyl-L-serine	rybB//ihfA//amiB//rrfE//phnE_2//lpd//yhhY//moaC//rbsB//oppF//xseA//entF//ppdD//tsr//aroA//gspD//chbC//pgpC//ilvH//ykgM//cynT//caiE//uxuB//alaT//paaI//pitB//nupG//ssuD//lysO//garR//
CysB-O-acetyl-L-serine	preA//uhpT//psd//rhaT//phnG//rrfD//glnG//fucO//aroM//psiE//envZ//argH//ulaF//glgA//puuR//prfA//priB//nrdI//epd//phnD//ccmF//yidQ//fumA//gspI//caiB//hflX//mpl//tnaB//rpmI//deoC//fecR//
DcuR-Phosphorylated	rutG//rrlG//trpB//gcvP//gpmA//ftnA//rpsQ//glcG//mtlR//
DnaA-ATP	gltB//rhaT//rpoH//entE//atoB//adhE//marR//cheY//rrsH//nuoL//fldA//yfiP//
DpiA-Pasp	hflX//acrF//aaeB//yfdE//paaJ//cysW//glyA//ydhY//phnL//amn//hdeA//
DsdC-D-serine	pta//sgbH//asr//
EvgA-Phosphorylated	pagP//mcaS//glpK//ihfA//rdoA//cyaR//artJ//uxaC//rbsR//rcnA//srlD//fecA//pstB//appC//ptsG//
