#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	hflX//putP//gntT//cysG//
AlaS-L-alanine	appC//
AllS-allantoin	cadB//gltW//mdh//
AraC-L-arabinose	actP//nuoC//phnN//rpmC//modC//gntP//nrdF//yhhY//livG//hyfJ//lsrR//pgaA//ccmF//ygeH//
ArcA-Phosphorylated	hyfH//creD//gspH//torC//aidB//phoB//hycE//fadE//nuoE//rnlB//azuC//lldP//cheR//dsbA//gntX//puuR//lolB//argE//mhpC//lysP//rrfF//tdcD//feaB//raiA//preA//glnA//metR//ysgA//modA//fepD//sdaA//gntX//hyfC//argB//nanT//ycdZ//ydhV//mglB//ynfK//thrV//ycjX//abgT//glrR//rnhB//rbsB//ccmG//gltA//uidA//ileV//trg//dusB//tdcG//malT//bioC//ybiT//mutY//aceB//ilvC//adiC//chiP//yegR//ychO//nirD//mglB//bioC//livF//icd//folA//hyfR//phoB//cra//pstA//gpmA//treR//yiaN//casB//ygeH//xylH//yfdX//mhpR//chbB//gspF//purF//ppdD//rpsC//ulaB//gapA//ydhV//oppA//rstA//adhE//ompR//feoB//tar//hybE//hofM//trpB//hisJ//zraP//rrfD//appA//cyoC//phnM//citC//nrdH//mhpR//ptsH//codA//hofP//manZ//allC//cusA//fimF//argE//fucP//idnK//glcG//sohB//nusA//slt//yeaD//glgC//ydhY//tauB//iscR//glcA//fliZ//ompA//pheM//yaeQ//ptsG//fiu//tolC//gntX//mhpB//sodB//hemL//rplS//aroG//uidC//fabZ//cysG//fumA//dcuS//sdhC//gyrA//cydC//phnO//alaA//tdcC//motA//pgaC//narQ//cadC//rhaT//nanS//yiaJ//garL//metH//aroG//puuB//cynS//prpD//cysP//sufS//purB//rprA//nhaA//fimF//arcA//gdhA//bioA//tehB//cusA//rrfG//ispE//bioA//
ArgP-L-arginine	motA//sbcD//rbsR//yqjI//ung//glgX//gltV//gspC//csgE//yccA//modA//yiaK//dadX//melB//hyaC//mtlA//
ArgR-L-arginine	melR//livH//bdcA//hyfH//fadB//iscU//glnB//fdnI//ilvD//rrsC//rpsC//aldA//rhaS//livJ//nrdF//nagC//metQ//idnK//hyfA//bcsB//glgP//dpiA//argT//ygiA//purB//argT//garP//garP//nuoM//hycA//aroA//mhpE//nuoM//paaG//hflC//gatA//dsbA//glpD//guaA//
AtoC-phosphorylated	alaU//yhjA//ychO//focA//
BaeR-Phosphorylated	yaeQ//treC//emrK//fadD//map//phoU//malY//moeA//
BirA-bio-5'-AMP	trpB//mutY//ompF//adiC//xdhC//
CRP-cAMP	trxA//uidA//folA//yoaC//galE//csgB//cynT//edd//tcyJ//ydhT//argT//cysC//yqjA//sgbH//mgrR//trpE//ascF//gatZ//preT//paaJ//hcr//degP//osmY//mgrR//yiaN//glcD//skp//dppD//dnaN//metE//ftnA//yciW//gltF//gdhA//lacA//aceB//aroP//glpG//fadH//mhpE//puuR//napC//cyoE//ycjF//gltU//dnaE//modA//allC//ulaF//gntP//feoA//cvpA//kbaZ//rrlH//manZ//hofC//livM//sufE//fbaA//pck//prs//citE//creB//fdnG//ilvD//fliA//ppiD//bdcA//uxaA//lysU//yeaD//nagC//casE//exbB//napG//osmC//fnrS//rrlC//infB//acrD//bcsZ//napF//nrfA//nanT//hyfA//yiaO//hofN//aroG//yiaL//ldtC//nupG//cysP//oxc//dmsC//fliZ//acrA//yedX//ilvC//ccmA//srlD//ydeP//miaA//glpA//araA//aspC//malQ//norR//gcvT//flhC//citG//araJ//polA//nuoH//tdcD//crp//hyfE//chbB//abgT//ada//purN//aceE//hemL//fdnH//borD//paaG//moaD//tauB//tnaB//cas1//pdhR//nikR//grxD//abgA//yrbL//rrsB//oxc//argP//chbG//ilvH//uhpB//deoA//prpC//yqjH//ygiB//fixC//sucC//fldA//gutQ//fixA//ilvG_1//tdcB//nagB//fau//entS//phnC//pgaD//bcsB//gspK//cdd//deoC//hycF//csgE//mglC//gadC//cheW//yiaO//yhcH//ysgA//nhaA//dsdA//yibN//manA//tar//rnlA//rhaT//nuoJ//grxC//nusA//skp//hypC//dgcZ//lsrG//rrsD//rnlB//mhpA//yggX//icd//argC//nupG//ansB//dnaA//mpl//tdcB//mscM//srlD//dnaN//efeU_2//tyrA//yiaJ//phnP//envZ//srlB//galT//aspC//rmf//paaG//pncB//casE//glrR//appX//iscA//artJ//rof//dsdC//pagP//hdeB//uxuA//srlB//deoB//glgB//malE//tonB//mglB//nuoB//emrK//ydeA//trxA//uxuA//ilvY//mhpC//gspM//yegZ//oppD//sufD//garL//lacY//argF//mhpE//rplV//ppiA//glcG//ascF//tdcB//ompA//serC//creD//torC//sgbU//sbmC//epd//metL//marR//hofM//rpsP//nrdD//xapB//yegR//secB//napF//gltW//phnL//alkB//gutM//rpsP//aroM//hycI//hyfD//nmpC//atoA//cas2//narL//gspH//hofC//pstS//xylA//lsrD//yeaE//ycdZ//araF//cspE//cysW//glcE//raiA//rmf//rpsF//rnhB//prpC//metA//phoU//dsbA//fucP//araA//pnp//glcC//qseB//ykgO//rnhB//fumB//yqjH//murP//rpoH//alkB//actP//rybB//folA//entF//lsrB//acrE//cheB//phnH//artM//rutF//idnK//aceE//oppB//argB//narJ//cyoB//cvpA//livH//fliZ//ssuE//hcr//ydeJ//ssuD//aaeR//ybfN//dnaA//motA//rpsJ//osmY//sdhB//ccmA//mlc//mntS//envY//mhpC//infC//mhpT//nirC//cyoE//ilvI//yaiW//rrfD//bglF//sucD//aceK//dnaN//ilvD//metA//hofC//tauA//prs//gapA//rof//focA//atoA//ynfK//cydB//ybfN//torR//cusB//glpR//ryhB//dppB//ompC//glpD//mutL//gcvT//trpL//cadB//mtlD//metJ//cpxR//pyrC//uxaC//creA//prpD//dmsB//ubiG//rrlE//ygaC//fnrS//tauD//tnaB//srlR//phoR//pgk//tonB//metH//ykgR//qseC//argH//ulaB//dadX//cusR//nikR//manZ//codB//rpsI//rpoE//citC//ydhU//pstC//fbaA//modA//gspC//metE//pitA//gatD//ada//fadH//pflB//cysD//rbsK//sodA//fucO//rbfA//rybA//dcuR//aspC//ydhY//ycjF//lysC//cvpA//bacA//cusR//cytR//ygaC//yhfA//entA//mglA//cadB//metB//acnB//argE//chbC//gabP//patZ//paaG//metJ//secB//ivbL//lsrG//fecC//gnd//nrfB//hofC//hofP//mepH//ygaC//lpxD//dsdA//entB//argB//gspH//nanA//sucB//cysK//hfq//thrV//ptsH//sbmC//yebE//hyfJ//envZ//gspJ//fucU//sbcC//yjcH//glpF//tomB//tomB//astD//cusS//nrfA//cspE//sufE//carA//rprA//rrsH//upp//sbmC//lsrR//metY//pta//hlyE//metR//ileT//adiC//slt//tdcE//ftnB//puuA//udp//hyfR//ispE//araD//frdC//rbsD//araD//pheS//cusB//iraM//cadC//leuE//lhgO//hha//aceF//casC//ahpF//argE//gnd//abgB//rutG//creA//baeS//moaE//pdeF//manZ//bglG//kbaZ//cpdB//purK//lacI//
