#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	cusF//ydfH//malZ//gcvP//
AlaS-L-alanine	glcD//
AllS-allantoin	rbsB//casC//sufE//
AraC-L-arabinose	fumB//yccA//fimI//paaG//torA//ynfF//puuD//hybO//rrlE//tomB//rpoE//sufE//dusB//yegR//
ArcA-Phosphorylated	ampD//rybB//yeaE//sdhC//nanC//ccmG//agaA//cysP//ydhY//tolC//casB//ydhV//phoP//trpD//rmf//gspG//appB//ulaA//araJ//oppF//crp//araB//ydiU//mepH//xdhA//speA//dmsA//argR//zraR//rrfC//hybC//tonB//prpE//envY//uidA//dapD//raiA//gltT//araD//chbF//tdcF//glyA//aceE//aroA//nanE//phoQ//ugpE//yqjI//yfiP//rbsK//fucI//tdcB//tomB//hofB//metQ//fucK//pnp//glrR//zinT//norR//napC//nanC//gspL//hdeB//norW//tar//rutB//yjjZ//pyrD//aroH//chbF//cysM//emrK//cysW//hupA//lpd//garK//tauC//phoU//ung//nuoH//motA//cbl//feoA//hyfI//asr//lldP//paaC//gntX//rcnA//narG//yggX//rhaD//gpmA//gatY//emrK//glnD//yeiL//aspC//feoB//tehA//norW//mepH//thrS//ynfK//xseA//hupB//nuoB//sufS//tnaB//glpF//ppiA//guaA//ptsI//yiaL//glpG//ilvN//ygiC//gdhA//prpB//rutA//sodA//alkB//fdnG//mhpT//galT//lsrB//uhpB//uidB//fepA//cheA//dcuD//gntP//nagB//aroG//prpC//ileU//glcF//phnE_2//creC//cbl//aaeA//nuoG//ugpE//ulaE//yeiL//nikR//yiaO//oppC//uhpA//ampE//exbB//zraS//grxC//cusC//yaeQ//nikD//pagP//xdhC//alaA//tsgA//yibN//preT//trpB//ilvE//tsr//lsrF//hfq//ompC//paaI//fadA//yiaN//pflB//ybiT//lacA//lsrG//mhpE//
ArgP-L-arginine	acrF//yaeQ//cstA//ssuD//fimF//udp//bioA//secB//rrsC//ldtC//ptsG//nuoI//preT//moaC//metN//katE//
ArgR-L-arginine	glnB//rhaD//entF//galE//patZ//dcuD//srlA//nirB//fbaA//fadJ//cstA//yebE//ccmH//ccmH//ubiC//malM//mhpB//atoB//secB//rbsA//paaB//modC//atoA//nikC//ampE//hslJ//purH//rrlC//aceE//gnd//gatZ//lysU//ptsH//arcZ//ftnB//fimI//rutE//prpB//amtB//
AtoC-phosphorylated	casC//ivbL//trpL//araD//
BaeR-Phosphorylated	envY//hycB//astE//rbsB//ptsH//frdA//cysJ//miaA//
BirA-bio-5'-AMP	cadB//rrlG//hydN//murQ//crr//
CRP-cAMP	glgP//ysgA//glcA//purD//yoaG//artQ//galE//argG//slyB//uvrA//araJ//hyaE//borD//nagA//ydfH//rpmI//hha//yfdV//tdcE//cheZ//ydfH//nohA//ompW//pstA//iclR//srlE//rhaT//mscM//araE//crl//nrdA//yiaM//grxC//astB//hycA//pheS//hyfH//fldA//yhjA//dkgB//lamB//hofN//gntK//glcC//ilvI//hdeA//csgA//gdhA//patZ//rutF//tomB//yhiD//yhiD//hyaF//slt//ompF//bioB//bhsA//fabZ//tyrA//cydA//cheB//paaB//dmsA//agp//metH//fhuC//fimD//mtlD//melB//bcsC//paaE//nhaR//argO//appX//rmf//skp//hydN//rutF//agp//modA//ompT//nirB//hofN//metF//tpx//caiA//carA//acnB//alaA//evgA//cytR//purR//rplS//yeiB//rutB//ydeO//purB//entA//gutQ//rbsD//glyA//cysI//glcE//tdcA//cas2//caiC//tauA//agaV//entC//cysW//nikD//puuP//rpsC//ynfF//sdhD//xylB//ccmD//idnD//rpsF//oppD//dcuR//rrsH//hofN//rnlB//cas2//malY//ybjG//ada//moaB//malP//mdtB//fimF//cheZ//aceF//hyfJ//astE//cysU//galP//abgA//paaB//hpt//priB//phoR//patZ//erpA//caiC//feaR//araF//srlA//yaiW//yqaE//cydC//cra//araD//xylR//fabZ//appC//alaU//mtlD//gntP//chbG//nrdI//rpmI//raiA//phnE_2//tdcB//fabZ//caiC//prmC//agp//ycjX//frdB//fdnI//codA//fixB//betA//melA//dppA//sohB//rpsI//atoB//allC//glpE//cadA//rbsB//tyrA//pflB//ompA//alkA//xylH//yiaJ//tktB//yeaE//metK//hupA//lsrC//hlyE//araD//glpB//mgtA//gntT//fnr//glgA//fadH//fdnG//nhaR//comR//srlR//paaI//rplP//ilvG_1//iscS//ebgA//metB//gltF//yiaJ//rplW//nikC//acrD//ompX//bioB//nuoE//glcE//purF//ygaC//yqjI//mhpT//arfB//entF//ydhU//emrK//nuoN//asr//hdeA//hofO//yfaE//pdhR//gatB//gcd//fabZ//nikB//bdcA//tdcG//melB//lsrF//trpD//ynfE//rrsE//pflB//tar//udp//citE//spy//sbmA//ynfK//artI//aaeR//araH//purK//fixC//pncB//astE//phnP//pstS//moaE//rpoH//hofM//rbsD//hflC//ugpA//preA//rpsR//ccmB//ilvI//trxA//fixA//melR//lhgO//manA//glpG//galS//fucI//rbsA//gcd//degP//lpxA//iscS//mdtB//dppD//frdA//prpC//yqjA//cvpA//abgA//creC//rpsC//yjeV//grpE//acnA//srlR//ompX//oxyR//hflK//ccmH//ybfN//mglB//nlpE//fnrS//yegZ//cyoD//hisJ//glpT//phnN//hybO//rybA//cysA//araC//hycC//tktB//yeiB//uhpB//pheM//rpmI//gspC//avtA//dcuB//gspD//nmpC//hyfF//cheR//tcyJ//hybA//ugpE//ydfH//gltF//thrV//rplC//hupA//entD//rplM//ilvN//fecA//tdcE//rnpB//hofP//acrB//pitB//fucA//rrlA//gltA//ssuD//fepE//narI//yfdE//xseA//cusA//hyaA//fixA//yfaE//ybiT//gatZ//tnaC//nanM//grxD//spf//tar//hycB//gltF//ilvI//fadI//malZ//fimH//uidA//rplW//uhpB//purA//dppB//oxyR//uxuR//iscU//glrR//ssrS//paaG//dcuB//ompF//gabD//glnK//epd//citG//trpR//gspC//cyoA//yqjI//malY//hycA//rpoH//ynfF//gutQ//uhpB//hisM//ebgC//ykgM//galK//mzrA//sbcC//puuB//metL//fimH//lhgO//rplW//lysU//tcyJ//zinT//pgk//fecA//ubiG//hyfC//tauB//ubiG//abgA//lsrD//ydhY//xylG//sdaA//ssb//araE//livK//treR//sufD//galE//phnO//infB//ydiU//ppdD//uxuB//nrfF//phoQ//deoD//fnrS//emrY//phnK//udp//sufC//uhpT//dcuB//uxuR//secB//sbmC//efeU_2//moaB//pflB//ccmF//uvrA//acrA//gspO//argP//zinT//nrdB//acrB//rbsD//yccA//hydN//citG//nikE//icd//cyoB//yrbL//rplT//mzrA//rstA//entD//appA//hyfE//hyfR//leuE//rcnA//nrdG//citF//gspJ//gspJ//yecR//chbR//rrlA//nrdD//mdtD//pitB//pgaC//glcE//fucI//ryhB//uidA//rpmI//cadC//agp//yiaJ//polA//fau//paaJ//degP//pncB//ryhB//dadA//exuT//sbmA//allC//trxA//guaB//betT//hycC//deoB//motA//glmY//narI//sodA//rplI//gspE//bioC//yhhY//cusS//glcE//psiF//zntA//marR//rrsE//
