#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	yqaE//serA//uxuR//rrsC//
AlaS-L-alanine	ydhX//
AllS-allantoin	cysB//malM//truB//
AraC-L-arabinose	rplT//nuoL//aaeX//araA//fbaA//ulaA//cynT//glgX//fucK//guaA//sbcC//dppD//dadA//dnaN//
ArcA-Phosphorylated	pgaA//uxaC//lpxA//yhfA//znuB//gatZ//yhjA//lpxD//artM//ugpC//gltF//entD//ppdD//hybO//rbsB//uxuB//rrlG//phoE//cysG//atoA//glpQ//citC//fimA//uxuB//yedX//csiE//tdcB//galM//modB//nirD//ybiT//epd//acrD//hypD//manA//cspD//oppC//patZ//ppdD//torD//qseC//betT//ydeJ//hofB//bcsB//aceB//rplI//argB//aceA//guaA//rhaR//prpD//rhaT//sbmA//nuoA//mtlR//glnG//malF//nrfC//alaS//ptsH//phnJ//ompA//ilvD//rseA//uxaA//rnhB//frdB//yccA//ybdZ//rrsC//metK//rutF//tdcB//hupA//malP//hofO//ydeN//avtA//hcr//ydbD//nagE//ompC//gabT//dcuC//napD//cysG//mntH//paaK//citD//atoD//narK//yeiP//rhaT//hypD//tdcG//ilvD//napD//cadA//hypB//glgX//fimC//tomB//casC//katE//yiaM//ilvI//yfdE//slt//livJ//puuE//hisM//glcA//sroD//malX//ileU//aspA//asr//ykgR//metR//glgA//sucB//araF//fdnH//alaA//pyrC//cysC//hybD//argO//hemL//tap//ulaC//lysO//ybiT//exbB//glgS//glcA//hyaE//cysP//cadB//nrdB//dmsC//uxaA//casD//cspE//recF//stpA//nirB//mcaS//yqjA//argC//argA//guaB//manA//paaZ//priB//aidB//zwf//yfiP//rrlH//csiE//prpR//cheY//fhuF//aidB//creD//bioB//lsrB//ptsH//mutY//rrfC//glgP//csgA//tdcG//acnA//yaeQ//alaS//
ArgP-L-arginine	folA//dkgB//ubiG//artQ//iscS//ydhU//creA//hypE//rbsK//cusA//astA//tdh//paaH//atoE//manX//idnR//
ArgR-L-arginine	phnC//nrdI//lldR//purR//puuA//rrlG//motA//ihfA//cpxR//icd//ompA//rbfA//nrfB//ubiG//ynfF//envY//fixX//argO//moaC//fucR//pta//phoA//folA//paaD//mdtC//fhuF//gatA//dcuA//entS//dadA//metK//mlc//cysP//caiB//ykgM//amn//fepG//malK//hyfR//
AtoC-phosphorylated	caiC//prpR//tdcE//nrfE//
BaeR-Phosphorylated	agaW//exuT//aaeR//abgA//ilvB//tnaB//fau//cheZ//
BirA-bio-5'-AMP	pgpC//cstA//atoD//ydeN//hyaB//
CRP-cAMP	yfeW//rplI//fiu//yaiW//fhuE//ubiA//gnd//fucK//yfdX//paaF//hcr//marB//ssuC//mntS//atoA//narI//mgrB//paaD//ilvI//gutQ//melB//ahpF//fnr//feaR//tar//pck//artI//araC//hyaB//betA//lsrF//cspE//nuoN//ykgM//tsr//trpD//hmp//rpsS//entE//rrlB//ompX//mdtC//araE//edd//hemL//cysN//cheB//dppD//ilvL//phnE_2//fabZ//fucU//dppD//xdhB//preA//hyfC//hha//aidB//lldR//mtlR//ftnA//ilvI//dcuB//lacY//trg//prpC//paaZ//ogt//ilvG_2//argG//nirD//creB//bdcA//gpmA//entD//yiaL//ilvE//frdC//glnL//chiP//tolC//ssuD//csgF//gutQ//rrfD//gntU//glgS//amn//rhaA//mdh//fau//feaR//pgpC//exbD//livG//cyaA//ugpC//bioA//fimH//ampD//phnK//gutM//aroL//frdD//fdnI//uidC//cbl//glnK//phnF//glpQ//phnF//trmD//fdnH//dusB//argG//cdd//emrK//galS//fadB//cyoA//thrS//dsdX//hyfC//hha//nanT//cynX//abgA//yfdX//ynfH//nhaA//tyrA//cusA//bamE//casD//gspD//allD//aceB//ydeJ//iraM//ompF//prmC//cydC//speB//ilvY//araA//speB//nupC//hybB//mutY//malG//garK//fbaA//oxc//evgS//gspH//garP//ilvY//metI//rrsB//rplV//hyfC//uxuR//glgA//aaeR//ynfH//ccmC//hybB//creB//gspE//glpK//galK//sodA//gatC//dppA//paaZ//borD//hypB//caiB//yidQ//alaV//dgcZ//azuC//murQ//fecD//sodB//zwf//fhlA//degP//yggX//dusB//lsrB//yaeQ//appY//nac//moaD//trmD//rrlH//folA//rrsG//pstC//frdC//fumB//ldtC//ydhV//ptsI//nuoB//mtlR//pyrD//uxaC//lysA//envY//murQ//phnL//ubiA//frdA//paaC//ssuA//yiaL//sdhD//cysU//sdaA//hyfF//rrlD//nrdH//comR//gntK//pitA//ilvA//cydC//alkA//rrlD//ulaD//ascF//zwf//ilvD//glpC//tam//alkB//srlB//rbsC//trpC//mdtC//caiB//hupB//fliA//yojI//ygeH//nanS//fimI//gltT//marR//tap//yaiA//livF//yhcH//ilvL//yciW//glrR//ytfE//paaJ//mntH//entB//ebgA//cysG//paaC//galS//cvpA//paaG//cspE//ppdD//glrR//phnL//rrsC//gntX//caiF//bioC//thrS//fliA//glmY//hofO//rseA//gspI//gntU//yeaE//cydC//gntX//napA//rbsD//cynX//nlpD//narI//ahpF//acnB//malM//glpR//gatY//hypE//nanE//artM//pstC//ydeP//rhaR//aaeR//cydB//hycF//purD//nrdI//lsrG//rstB//hyaF//rutF//ycdZ//malT//yoaG//frdD//yaeQ//napF//flhC//pyrC//pgpC//ubiC//hycA//cysU//fur//mglA//ydfN//exbD//ubiX//zwf//hycB//trpR//moeB//puuP//ygaC//rbsB//gspE//ycdZ//argF//rpoE//appA//cyoD//yeiB//malT//malF//malK//acrD//norW//lsrB//oppD//argT//glnD//cas2//ulaC//ileV//hisJ//rrlH//glgP//phoQ//frc//grxD//tauA//lsrR//nirD//betT//caiA//safA//aceB//phoP//hyfD//lacI//cbl//yeiB//pnp//pyrC//fur//dppD//pitA//cspD//pgaC//rplW//rutA//uof//gutQ//katG//artI//yfeW//cysA//glpC//ytfE//grxC//alaU//glpE//gltD//glgS//tauD//serA//paaH//lsrF//pgaB//fucK//nrfA//fadD//hpt//aceF//envY//iraM//malE//ydhU//trmD//yfdV//nikD//cheY//evgA//glpR//uidB//chbC//fhuD//alkA//lpd//rrsC//glnK//gatC//cysB//dcuA//fimI//metL//fadL//glpB//fimF//fadD//mhpR//tauA//mpl//srlE//entC//tsaE//aaeX//hycI//sgbE//cpxA//mutL//azuC//purF//tktB//casC//rcnB//pflB//phnH//metB//argE//oxyR//yaeQ//paaC//dapD//cusB//fadI//caiT//gspE//gltV//xseA//pstS//puuA//pgaD//fadE//nikA//bcsZ//cynX//dsdA//sdhC//sufB//lacZ//csgB//torR//manY//nuoG//zraR//thrV//nanK//mhpC//lpd//rutB//frdD//garR//bacA//hyfB//lamB//lsrD//nagA//fumA//yqjA//ugpA//hybC//metC//aldA//glcG//ilvB//argP//hypC//xylG//metE//idnD//chbR//metN//actP//pgaD//nuoG//araA//mtr//dmsB//hyfD//gdhA//fadL//nikD//rof//chbC//nuoH//uhpT//ulaC//nirC//glgA//idnK//nmpC//fadJ//glcF//mtr//
