#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	garL//livJ//metE//paaA//
AlaS-L-alanine	nadC//
AllS-allantoin	treB//ilvX//codA//
AraC-L-arabinose	uxuA//tktB//hisM//lysP//frdA//cusS//glmY//yeiP//ompA//aspA//amtB//ryhB//astB//aroP//
ArcA-Phosphorylated	malK//waaH//marA//yebE//cysM//paaF//nrdG//dcuR//appY//aaeR//gapA//nirC//rutE//pta//marB//lacI//srlE//ydhU//astD//feoA//argD//acrE//hha//hyfH//rpsQ//proP//asr//oxyR//ompR//copA//polA//ygiC//rplW//ilvH//cyaR//narQ//argR//ycjF//xylR//garR//bcsZ//metF//mscM//ugpQ//rbfA//gapA//cysG//cheY//purA//ptsI//sbmA//glgS//dcuB//gltT//xylB//spy//manZ//cydC//gspK//sgbE//uxaC//pck//csgE//araC//fecE//glgP//tauB//hyaD//aceA//lsrA//treR//caiE//ybfN//gspL//hyaA//rhaD//chbB//nrdG//gutM//hybB//lsrF//cysD//hemA//hyaA//yfdV//ilvG_1//rplW//trpB//mhpD//gntK//bcsA//uhpA//gabD//phoP//fldA//trxA//yiaN//gdhA//flhD//frdA//yrbL//yaeP//mpl//araE//tsgA//sdaA//marA//napD//osmY//glgA//mlc//preT//cusC//cyoB//gpmA//yaeQ//purN//hdeB//rplP//ptsI//truB//creB//gspG//gltF//tktB//rrlA//abgT//modC//dcuS//malY//fdhF//sbcD//rhaR//hybC//aceF//gcvP//nirC//ubiA//alaV//acrF//metE//fiu//fis//acrF//osmC//hyfR//rrsD//cusB//malI//yhjC//agaA//metF//appA//amiB//uidA//gntX//galS//lyxK//lacZ//gabT//glpK//metJ//grxD//crp//paaK//sufA//hyaD//ychO//exbD//gspH//glpG//srlA//uidC//emrY//ssuC//yneM//hflD//
ArgP-L-arginine	ugpE//araG//deoC//cas1//fimC//iscS//hflX//alaS//ubiX//argG//rplI//gadC//fimA//glgC//sgbE//galP//
ArgR-L-arginine	ampD//katG//yaiA//ileV//glcE//rutD//rutC//rrfA//mgtA//hybA//bcsZ//malQ//grxD//nrfC//fadE//phoA//fadA//frdB//uhpT//bamE//micF//gabD//metK//fliZ//rbsD//pflB//ynfG//sdaA//yegZ//malY//fhuF//cydD//dapD//glyA//cynX//ompA//amiB//xylR//uof//
AtoC-phosphorylated	bhsA//yeiW//artM//uraA//
BaeR-Phosphorylated	feaB//fumB//rrsH//xylF//dctA//gspL//ispE//glnL//
BirA-bio-5'-AMP	rdoA//dsdA//eda//rhaA//nikB//
CRP-cAMP	speC//grxC//ulaC//crp//paaG//dusB//malQ//mzrA//fixA//rrfF//infC//qseB//ugpQ//hemA//dpiB//purF//argH//hyaB//uxuB//nrdG//csgC//bcsZ//purN//carA//rstB//arcZ//rrsC//cspE//gcd//tdcF//napD//ugpC//tam//aceA//znuC//paaZ//rseB//cysD//ccmE//ispE//gpsA//fixA//rpmC//sufB//rrsH//rbfA//chbB//cysG//trxA//chbF//hycH//marA//glcE//rpmC//nagB//codA//cydB//tap//yoaG//napC//gadC//metF//pgaB//lamB//oxc//nrfC//xdhB//ileU//phnF//codB//pgaD//rstB//ycdZ//csgE//gcvT//ompC//hycB//idnD//cadA//hyfC//mutL//comR//hslJ//aceB//caiE//uof//lpxB//gatD//mutL//glpB//yeaE//gatA//pgaC//ybfN//rrfD//cydB//glpQ//pitA//moaC//gspM//moaD//purR//lldD//glpC//nuoM//ynfE//amn//metH//ascF//yedX//ydhU//cstA//gspI//casE//galS//ahpF//eda//nohA//yfdX//ebgC//pyrD//creC//purF//mtlA//rpmC//pgpC//fucP//fabZ//purH//asr//garP//tyrP//napD//phnI//yneM//serA//ydeA//uxuR//csgF//xylR//hyfA//mtlR//nhaR//chbA//amiB//rimP//frc//betT//citC//yhfA//dmsB//ebgC//lpxB//dadA//cyoB//cysA//ompX//hyaC//hemA//allD//manX//xylG//uidA//hydN//dnaE//xapA//malM//deoB//ybdN//ynfH//argH//sucC//rpsP//yggX//osmC//ydfN//hybF//metL//moeA//treB//nuoH//entE//srlD//paaJ//ydhV//ytfE//fadJ//ompR//atoA//rrlH//cyaA//purR//aaeB//hupA//hyfR//ubiX//dnaA//cheY//ynfE//dcuC//sroD//yoaC//katE//mgtL//mdh//ulaC//manX//yaeP//moaA//nupG//prfA//astA//caiC//rbsK//slyB//fur//garL//glrR//ptsH//ilvG_1//stpA//yeaE//pncB//prmC//ubiX//emrK//galE//gcvP//csgA//napF//zraR//nlpE//dmsA//malY//mgrB//aspA//pgaC//dgcZ//ccmC//mhpA//ydeO//fecI//tdcA//purR//rrsA//phnE_1//entA//mutL//flhD//fepA//atoD//iclR//araB//bcsA//rrfE//glgB//adhE//nmpC//rseB//ryhB//ada//baeS//gltT//ydeA//glgC//aceK//ugpE//dppB//ccmB//tfaQ//sucC//prpC//xylH//tdcD//tdcD//hflK//nuoA//nuoM//azuC//cas2//metL//hcr//metI//cydD//ydhV//yoaG//ydeN//ptsH//pgpC//tehB//gnd//rbsA//rrlC//dadX//gltA//yhfA//sucC//oppD//hybC//glgC//ydeP//metL//betT//prs//nfuA//bacA//phnE_2//aceB//dcuB//nuoI//ilvX//ndh//sodA//leuE//uidC//nac//lpxD//aceF//ydhW//ilvG_1//cvpA//hflX//ugpB//patZ//aceA//bglG//csgG//citC//glpF//tap//ppiA//frc//abgT//fecC//moaC//caiA//rstA//gpmA//hycA//hyfJ//aceF//ccmE//phnM//gcd//fepG//yaiA//cadA//dgcZ//thrS//ileU//arfB//galK//moaE//tdh//exbB//hyfI//tdcD//fepD//entH//yecR//fucR//mtlD//envZ//galE//aceE//lrp//gspO//fixB//ugpE//caiE//gspL//yqaE//fhuE//rpsJ//rbsD//pitA//livM//hofC//hypA//aer//treR//gapA//hofB//focB//acrD//skp//ackA//cydA//focA//truB//casD//glgC//rhaD//cysC//phnO//degP//asr//aaeB//sohB//rutE//malM//uhpT//srlD//hslJ//mgtL//tsr//gspE//hyaB//gltB//nuoA//sbcC//ydeP//nrfG//mhpA//pitB//rplW//casC//gcd//prpR//trxA//rplW//rcnB//bacA//phnK//ssrS//casC//glnD//patZ//cra//tyrA//ansB//mglC//paaJ//artI//lsrR//paaZ//ugpA//trpD//dsdA//yjjZ//yqjH//phnP//livH//argB//yfdE//argC//sucD//purK//tnaA//torD//argA//nfuA//rbsB//idnT//yaeP//trpC//chbF//ackA//fabZ//prpB//hybC//livK//agaA//abgT//galK//nmpC//fecI//sdhC//yfiP//ileT//glgS//hyfI//cysH//argF//gcvH//lldR//fadB//argG//rpsF//ygiA//mhpB//malG//nagC//efeU_2//hflX//livK//ilvY//uxaB//pgaD//tpx//tap//hfq//ydhT//ompT//acrD//nrfD//dapB//frdD//fepA//phoA//prpD//fepD//paaD//appA//modB//moeA//feaB//dsdC//aspC//alaA//cadA//ptsH//fdnI//arfB//folE//rimP//galP//idnK//livJ//aceE//oppA//modC//trpE//crp//fecE//
ChbR-Monoacetylchitobiose-6P	pdeF//nusA//aldB//pflB//mdtA//ompT//
