#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	ompF//aaeR//raiA//yojI//
AlaS-L-alanine	thrV//
AllS-allantoin	osmY//pstC//iscR//
AraC-L-arabinose	csgB//phnM//ompF//hha//soxS//cheR//cysH//hypA//tonB//rpmI//chbF//sufA//rpsP//uxaB//
ArcA-Phosphorylated	hyaA//metA//phnH//gltU//focA//mutL//cstA//yiaM//phnP//modC//cusA//dppC//glnG//yeaE//ampE//puuB//putP//hemL//feoB//galP//phnI//ynfG//mgtA//melB//fepG//srlD//yiaL//yneM//ilvG_2//mhpF//gspH//chbA//raiA//mgrB//fucO//cysK//argI//paaG//uof//glnD//fadB//ugpQ//livK//cdd//soxS//rutC//gltA//ompW//uxaA//gspF//fnrS//phnN//asr//carA//ydhY//metR//phnH//ilvL//fecR//pgk//mntP//cynS//feoB//ulaB//ryhB//nagB//fadE//ydbD//srlR//sdhA//nac//yaiA//creD//abgB//dgcZ//fimA//ycjF//metF//znuA//gspC//alaS//oppB//tdcG//motA//dnaN//glpF//citE//phnG//baeR//hycI//glmY//hypC//phnF//ppiA//metL//yfdE//agp//nikD//lpd//yoaC//nikE//sgbU//nanM//hycC//cysB//phnK//pheT//epd//dnaA//glpK//lsrR//tnaC//fucA//hemL//speC//gatZ//phnD//acrB//phnN//nupC//uvrA//phoU//purF//trxA//rnhB//puuR//appA//priB//pnp//flhC//nuoM//abgB//glpC//mhpR//astD//prpD//ycdZ//bamA//dppC//sdhD//rimM//glnL//puuR//cadB//ivbL//tyrA//aaeX//yeiB//mhpA//hycC//edd//hypC//cadA//cspD//fucK//ldtC//ugpB//mdtA//glcG//ndh//acrB//mpl//comR//gutM//cysN//znuC//qseB//creA//hflC//aidB//amiB//srlB//xdhB//rhaR//yeaE//gntX//yneM//
ArgP-L-arginine	lsrR//cysG//bcsZ//pstS//purE//ccmB//fecA//cysA//edd//gyrA//uraA//phnO//cysH//nanA//dusB//tdcG//
ArgR-L-arginine	mscM//citG//cyoD//marA//manA//manX//malI//fimD//glpG//miaA//ileU//lsrK//ahpC//ftnB//nrdH//hypA//yiaJ//allE//gltB//mutL//rrfE//hisP//gcvT//cydC//katE//tdcE//codB//cynR//pnp//dctA//malM//betI//ydeA//ydbD//gspL//iscU//oppA//dctA//acrB//
AtoC-phosphorylated	gltF//sgbE//frdD//astD//
BaeR-Phosphorylated	yaiW//nupC//metA//rpoE//nuoM//rplC//yjeV//tauC//
BirA-bio-5'-AMP	phoQ//rrfE//patZ//manY//betI//
CRP-cAMP	aidB//xapB//mdtC//aceF//fadB//fucI//dctA//oppB//rplD//frdA//moaE//yqjH//sdhD//fixA//ilvX//mtlA//allD//fucU//nikR//hypB//metC//carB//tdcG//rpsJ//oppB//slt//pstC//rrfH//tolC//oppC//yneM//hflK//pgaC//ugpA//ugpA//yfeW//metK//polA//caiD//appC//speB//caiD//cpdB//hycF//rhaT//fdnH//yfaE//ybdZ//melR//galP//puuR//ssuC//sdhC//rpsS//sbcD//chbF//nrdE//ppiD//cyoB//yjeV//fimA//infC//fadI//lsrD//argC//glcG//purC//ompA//dadA//hycE//cueO//araJ//ygaC//tadA//livG//bdcA//envY//fecD//casA//melB//aceA//torA//chbG//purA//livK//yneM//trg//mntS//yaeQ//fldA//fumC//mdtA//artM//fixC//fimG//adiC//cas1//recF//pdhR//yfeW//cyoD//yjeV//phnF//aroA//yqjI//mglB//rnpB//gabT//glcF//ydhX//treR//rrlD//gabD//malZ//xylB//cysD//acnA//malZ//gspI//ykgR//hybC//purN//xseA//yojI//ccmG//nrdF//lldR//betB//rbsC//nikB//gatY//fdnH//feoB//csgF//abgB//tonB//metK//rrsH//hofB//fimI//nrdI//lpd//dnaE//ynfK//gspL//casD//ccmH//uhpC//tyrP//lrp//phnE_2//ydhY//ftnB//hybO//artQ//allE//araJ//mipA//narQ//envY//speA//focB//prpC//infB//tolC//nagA//ydhV//rutG//crp//glcF//ulaA//ybfN//treB//allE//modA//trpB//idnK//fhuB//ilvH//ubiA//lsrB//bcsB//ilvC//trmD//pdhR//astA//artM//uxaA//csgA//xapB//ppiD//tsx//mlc//astC//ydeM//astC//yqjI//hyfE//frdA//motA//tehA//fimC//envZ//rpsF//ccmC//phnE_2//artJ//yjjZ//sucC//uxaA//efeU_1//dppC//comR//nanE//cysU//tdcB//miaA//aroG//hyfA//mgrR//acrD//cysN//nrfD//rcnB//nrdI//malZ//csgF//oppC//bioB//araD//cadC//aaeX//rplP//rbsB//casD//cpxA//tsaE//cydB//ahpC//cheY//melR//ytfE//hisJ//nuoF//agaW//yeiP//bacA//ykgR//bioD//fhuC//dps//ilvI//caiT//cbl//hisM//rrlH//csgG//creC//ccmD//hyfD//mgtA//yebE//cas1//comR//glyA//lsrG//tsgA//rplM//micF//mtr//paaF//azuC//flhC//motA//rpsF//rutD//citX//entD//guaB//rrlA//moaA//yfdV//yebE//bamA//tauB//tdh//nikR//cpdB//yjiY//fucO//argD//rrfD//sdaA//gntT//infC//slt//dmsC//gatY//araB//ulaA//citF//nanE//srlD//yqaE//ilvA//ycdZ//yfdE//ulaF//phnI//sufD//phnN//aroP//tonB//nirD//hupB//glnK//uidB//rrfG//livM//map//rpmI//gatB//nrfA//ulaA//avtA//ilvI//atoE//yiaM//hycH//modC//zntA//cyoE//araF//hyfG//lsrC//ycjF//melR//sucC//hypE//adiC//hofB//acnA//lldD//nuoI//paaI//psiF//folA//yfdV//hybA//gspH//metY//nrfC//infB//qseB//ycdZ//focA//purB//cadB//argT//uxuR//crl//lsrG//appA//cynT//puuE//ilvN//metE//ihfA//nuoG//grxD//ilvC//ykgR//gspL//fepC//focA//bdcA//moaC//mdh//waaH//nmpC//dmsB//hybB//mhpE//csiE//zntA//pyrD//oppD//cusB//artJ//udp//puuP//dcuD//lacI//tdcA//napG//argD//pstB//rplC//lacA//csgA//ssb//malP//uxuR//nagA//ileU//citG//cysK//citE//nanS//yeiP//casA//baeR//hcr//uidA//cynS//glcA//acrB//yaiW//ssuC//idnO//fepG//rbsB//uhpT//sdaA//aroP//fhuA//argD//gdhA//hflX//bcsZ//dpiA//hofO//tdcA//lhgO//gspK//fepA//fadL//ugpC//mcaS//avtA//ynfE//ygiC//paaF//xylG//fhuA//gdhA//uhpB//aroH//gltA//rpsO//sgbH//idnR//entC//deoB//tsgA//arfB//entC//lldP//dapD//fepD//copA//bcsZ//gspI//rrfB//glcC//uof//glgC//puuB//metL//lysC//glcD//fumC//uxuB//aaeB//mhpF//hybO//fimE//speC//fur//nrfD//malI//bglG//rpsF//preT//pncB//astE//tadA//fliA//glpB//moaC//napA//sucC//gspD//manA//allD//glcB//cirA//bcsC//cyaA//tsx//cadA//atoE//fecR//puuD//phoQ//zinT//entH//chbG//speB//gltB//ackA//ychH//puuD//tap//gpmA//aroM//rof//livF//paaE//nirB//fumB//creB//casB//tehA//lacY//
