#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	gpsA//tnaA//iscR//glgC//
AlaS-L-alanine	arcA//
AllS-allantoin	deoA//patZ//zinT//
AraC-L-arabinose	ileT//nagA//galE//yojI//paaA//malZ//nrdH//csiD//rmf//ydbD//preA//ynfE//tauD//napA//
ArcA-Phosphorylated	ygaC//tauD//citE//marR//phoH//skp//puuE//galP//entF//rrfG//nrdE//ompT//alaU//sxy//mhpF//lpxB//ychH//tsaE//soxS//moaE//ada//hisJ//grpE//lacY//yoaG//preA//galE//ycdZ//garR//bacA//fucO//ileU//dnaN//fepA//nikE//glcC//idnR//aroL//efeU_2//pstB//gyrA//ppdD//emrY//galM//acnB//ychH//glcB//frdB//sdhB//codA//xylR//hypB//fimC//treB//hmp//phnM//yegH//talA//pnp//rseA//bcsC//ynfG//yaiA//agaW//malM//phoQ//dnaA//lhgO//tauC//talA//rbsK//yhfA//phnG//yiaN//nuoB//aaeR//srlR//phnL//ychO//rutE//phoR//ftnA//puuP//ilvM//idnR//mutL//glcB//hflK//upp//nrfG//xapB//oppA//fixC//yfeW//napC//citE//nrfC//pgaD//narK//mhpD//hyaB//argR//hdeD//dgcZ//uhpA//nfuA//appB//cyoA//yjeV//ompR//yjiY//ydbD//hdeA//torR//xylF//ahpC//lacY//paaE//alkB//uxaA//fbaA//trpD//rseB//mglB//nirC//betT//aaeA//adhE//ilvA//ugpC//glgB//yiaJ//tadA//lrp//rpsS//dcuR//ompF//uof//yfdX//glgX//garP//rrsG//dcuC//mtr//malK//mtlR//yjiY//rpsS//cas2//qseB//napH//puuC//yhjC//envZ//rseA//paaJ//hofP//livK//nrfD//ydeA//purL//udp//cas2//glrR//dmsA//hyfD//grxD//ilvG_2//ccmC//prpR//uidA//dppB//phnM//tyrA//ytfE//pstS//phnN//
ArgP-L-arginine	araE//ydhU//feoA//folE//ygiB//dapB//entH//crr//ilvH//amiB//spy//baeR//rpmI//mgtA//paaA//ydhU//
ArgR-L-arginine	narH//puuB//degP//zraP//ugpE//nohA//hyaA//lacA//napF//argH//rrlG//ugpB//ydeM//cyaA//glyA//ftnB//gspL//fucR//priB//hyfC//tyrA//citE//citE//aroG//rrsD//yciW//yegH//lacZ//nrfE//gltA//yoaC//csiE//codA//fepG//garR//livF//pitA//rrsA//gabT//
AtoC-phosphorylated	ubiC//umpH//rof//mdtB//
BaeR-Phosphorylated	argA//hmp//ilvA//degP//ybdN//hyfF//betA//dsbA//
BirA-bio-5'-AMP	hcp//argA//yidQ//hyfA//dnaA//
CRP-cAMP	rrlB//garP//napH//araJ//sgbU//yjeF//yfdX//mtlD//yidQ//fixX//araE//tauC//ydeM//phnJ//atoB//phnJ//nanC//cusA//pepT//cynT//lacA//marB//glpD//creD//cyoE//argH//metE//fimH//gspI//glcC//yfdX//pnp//ynfG//fliZ//dsbA//bglF//ascF//artI//purN//glcD//dsdC//rbfA//cspD//livK//dcuA//purH//mutY//caiB//evgA//oppB//moaE//ssuA//gltA//efeU_1//rrlB//napA//nirC//nanE//pitA//yiaO//ompW//cheB//yojI//murP//rpsO//phnE_1//fadE//garL//alaS//cysC//araD//azuC//hycE//tktB//bcsA//gpmA//ydbD//fhlA//pepT//ubiX//metC//prpE//gltW//amtB//uxuB//nohA//cydC//thrS//rpsI//nuoG//cysU//idnK//lacA//ydhY//cysN//trpR//mntS//rstB//hycE//yfdV//ubiX//phoP//nrfD//hflD//rhaS//ulaD//aaeR//alkA//yjcH//yibN//citE//metB//ilvG_2//gabP//mlc//nohA//map//grcA//priB//ascF//trpA//hflK//gltU//rplT//tnaA//idnR//degP//astE//atoB//rybA//ssb//rutF//aidB//dcuA//csgG//ldtC//fur//rrlH//creC//rpmI//yeiW//rseB//yqjH//dsdA//mhpC//rrlG//hyaF//fimH//entF//caiE//crr//feoB//udp//ydeA//tdcF//nuoE//cysK//nuoA//folA//fabZ//gntK//purR//ydhW//phnJ//nagE//gatD//pgaC//paaG//cysH//glpC//frdB//adiC//yfeW//dmsB//ompC//speC//malY//ftnA//napC//nrdH//phnJ//yiaM//nrdD//metK//yeiP//nrfA//prpB//hypD//sdaA//gcvT//bhsA//yeaR//epd//ssuE//ryhB//fnr//fau//bioA//envZ//metH//hyaF//glyA//argF//grxD//ryhB//ygbA//moaA//tdcG//hybA//rrsC//metH//acrB//mhpT//tsaE//znuA//yedX//osmC//mtlR//rrsC//zinT//metA//sgbU//fepA//folA//fecI//metY//purB//csiD//csgG//ompX//dmsA//efeU_2//tehA//efeU_2//csgA//hcr//sodA//casE//uxuA//csgB//ilvC//pnp//nrdA//tsr//cysW//cas2//rrsG//cheR//nuoI//uxaA//entF//hybG//pstS//speC//cysJ//hofO//pgk//fucO//nlpE//fixB//hofO//argF//gabP//sufD//aroP//oppD//fadA//ebgA//acrA//paaE//yibN//mntS//ccmC//metE//hybC//artP//cynT//dppF//xylG//hupB//rrlG//lysP//csgD//alaU//yfdE//alaU//ubiC//aaeX//gltV//oppC//dusB//gspO//dcuS//hflD//frdA//fucI//bioA//manA//aldB//fnr//aceF//hofP//raiA//cusB//ydeA//fecI//paaK//dcuB//rrlE//phnC//ilvE//araH//rpsS//ppdD//hyaF//hyaB//aroG//gapA//fadL//nanT//yfdE//lysU//citG//alaV//katE//nagE//appX//preA//hofO//fdnH//psd//fdhF//hybA//ada//amiB//fadB//cyoB//argC//casB//caiD//bamA//acrF//gadB//yedX//appA//gcvP//deoD//aspC//fepE//fixA//gntP//sodA//fimA//alaT//cpdB//nuoB//gspC//sbcD//artM//tdcD//hdeB//nanK//phnH//hflD//ygeH//cysG//pyrD//ileT//gntK//mhpF//glyA//hyfF//ulaD//citX//xylA//hslJ//dmsD//fumC//yeaE//fbaA//sxy//yibN//cysB//fimG//treC//phoE//ydeN//ulaF//serC//rbsD//trpB//rbsD//argI//torC//gltA//ryhB//hybG//rbfA//glpX//atoA//rdoA//yebE//hybE//nanE//znuA//iclR//ccmA//lacI//purC//melB//moeA//fadI//metC//manY//csgE//sdhA//uxaB//cueO//argP//puuR//nirB//hflD//hemA//yciW//agaW//pgpC//ygeH//sucA//feoB//ychO//nuoA//sbcD//fnrS//nuoH//artQ//casE//yaiW//sufS//malX//xapB//hyaA//hisP//creC//mdtA//pheT//astB//betT//mdtC//rplP//araA//mdtB//metK//paaB//nikC//yidQ//rhaB//argG//nuoN//pheT//prs//pgaD//focA//malX//nrdE//rnlA//manX//puuE//prpB//yfdV//rplD//galT//sohB//yjiY//ccmH//aspC//mepH//efeU_1//purC//allD//tehB//rplB//hycB//mdh//nagE//grpE//glpX//sbmC//rplS//galE//argT//hycA//srlA//dcuA//rimP//rnpB//ilvL//acrF//sgbE//torA//sohB//glcG//livM//chbB//hyaA//astE//hyfI//chbF//gatA//dmsB//trpL//lsrC//frdB//fes//sbcD//mtlA//ccmB//acs//metN//rpsI//sucA//moaA//argG//nikA//yojI//trpB//
