#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	mdh//lsrR//ompT//dppF//
AlaS-L-alanine	cadB//
AllS-allantoin	atoD//ccmC//pyrC//
AraC-L-arabinose	cadB//sufB//rpmI//idnO//qseC//glgX//azuC//hyaB//paaG//tdcF//ychH//fixX//lamB//sufS//
ArcA-Phosphorylated	mltC//mntH//aceB//znuA//cysI//hypB//cstA//nuoA//cysB//tdcA//bamA//pagP//yeiL//ssrS//cpxR//hisJ//astE//hyfF//nuoK//pgaB//yhfA//soxS//exbD//mcaS//gspG//folE//nupC//ileT//napD//moeB//rplV//glgP//gabP//mipA//alaT//nrdA//hofC//rrsD//metN//tehB//yiaL//galE//nuoK//artQ//uhpA//malF//creA//cysA//tsgA//ydeM//fhlA//nirB//nuoB//ydbD//glcG//bcsA//avtA//ldtB//adhE//ldtC//ybiT//sucD//alkA//dapD//fhuC//paaC//ispE//fucK//mgtL//thrV//prpD//purH//cynR//iscA//trxA//ccmH//gspJ//feoA//hflD//preT//azuC//glpA//phnO//fepC//rutF//phoP//prfA//ygbA//trmD//ung//cysG//napH//manY//caiA//hupA//ivbL//crl//ilvX//tsx//tyrA//puuB//mscM//srlB//phoB//cusA//yeiP//cyoE//purH//ssuC//purL//aceK//lacZ//acrE//rplV//gspM//ppiA//glrR//csgG//lsrB//ileU//nuoK//fes//yiaO//mdtD//fadL//qseB//lacI//uidA//rrfB//ybiT//ilvD//glgX//fabZ//hypB//nikA//uxuR//astC//chbG//ycdZ//dppC//yeiL//fhlA//ilvB//nuoI//xylF//livH//metK//cpdB//ackA//motA//hupB//phnE_2//feoA//efeU_2//citX//cpxA//hmp//dcuC//hflD//hypB//citX//bioD//trg//rplW//metJ//hmp//dcuB//glcE//metQ//hofB//tdcC//puuE//yfbR//glpG//fimF//yeiP//purA//
ArgP-L-arginine	argT//ccmH//codB//arcA//ydhY//yeaR//arcA//argB//spf//rplS//rbsD//uidB//trpD//glyA//udp//marR//
ArgR-L-arginine	argG//entC//malP//hyfG//idnO//hofM//lpxD//sucA//sdhD//yggX//speC//infB//bcsA//rbsR//ldtC//trpD//ampE//ampD//cheW//metQ//metY//phnL//rpoE//csgF//znuA//micF//envY//cirA//abgT//narJ//pepT//tehB//ilvD//lldD//mipA//napG//chbC//cytR//phoQ//
AtoC-phosphorylated	uxaC//galE//uidB//yhjC//
BaeR-Phosphorylated	nuoF//ilvY//gspC//zraP//nagB//cpxA//ugpE//nirD//
BirA-bio-5'-AMP	fimG//motA//trpB//caiB//aldA//
CRP-cAMP	yggX//purH//zwf//rdoA//ascF//nirC//fumB//pflB//cynS//glgX//dps//gutQ//xseA//ugpQ//nrdH//metB//gatB//rpsC//rbsB//nanT//ydeP//ileV//hofP//gadC//yjeV//entS//ygbA//slt//ydhT//cynT//fucO//feaR//secB//fadE//fecE//ahpC//dppD//prs//rybB//ompT//ydeN//mhpT//ilvI//lolB//caiB//csgE//napF//ileU//ompA//ychH//yiaK//spf//dapD//nuoH//bcsA//gabD//bcsB//frc//aroF//yjeF//araD//icd//dcuA//cheZ//tolC//feoB//nuoG//cirA//cysN//dnaA//cysC//ycjF//dppD//ompW//rbsD//map//ubiX//mcaS//xdhB//melR//soxS//dapD//ccmH//ccmH//ssb//frdD//hycE//astA//paaI//yaeP//rbsC//glpT//nohA//sdhA//appC//citF//fnr//dppF//rseA//argH//rpoH//trpE//idnO//yibN//glgB//pdeF//nrdH//folE//ydeM//carB//xylR//ugpA//araG//glnB//betA//sroD//frdD//cueO//phnJ//fucI//cas1//frdA//bglB//fimE//fliZ//ydhT//glpQ//hypB//aldB//rpsP//appA//abgA//ydeA//aspC//rbsC//chbC//csgE//cusR//cra//rnlB//casD//purH//betI//phoU//gspC//ydeP//agaW//phoH//katG//ahpF//ydhX//treB//guaB//ilvI//nagB//lysO//gabP//malF//hybC//frc//gntR//lsrB//rplW//ppdD//sxy//nuoC//fhuB//rrlA//rrlH//aroG//appX//ygeH//ydhW//lolB//gspI//pitB//oppA//idnD//ychH//frdD//folE//ilvM//rbfA//gltV//phoB//sroD//pgpC//pstA//galP//hcr//rplP//uxuB//ubiX//cysW//gntU//entD//yhhY//sucA//nagA//lolB//ogt//tomB//narQ//napA//feoA//malI//rmf//phoB//gntP//glcD//rrlC//nuoN//hybB//aspC//livJ//pyrD//cusS//lldD//sbcC//pgaB//narH//nuoF//rbsD//guaA//gltA//malP//puuE//mglC//alkA//allC//casA//paaC//thrV//mntP//paaG//gspC//cadC//motB//nuoE//hcr//tyrB//galS//map//tolC//ilvY//fhuE//aldA//fimE//sohB//tdcB//frc//proP//hycE//guaA//ptsI//caiE//zraS//yecR//guaA//hisQ//lsrR//cysW//ugpQ//phoB//hofM//fiu//rrlH//fadJ//rrsH//aceK//phoH//fecE//gadB//phoU//glcD//epd//erpA//mhpC//pstB//tyrP//yibN//phoH//actP//lhgO//pgaB//degP//tauB//aroL//ydeM//cydC//feoA//casE//purE//ccmE//prpB//allE//yiaL//ydeO//gatD//chbA//sucA//rrfB//focB//ung//rplW//hybF//bcsC//aidB//mutY//proP//cas2//srlA//pnp//acnB//sufA//yhhY//cyaA//nhaA//lsrK//norR//purH//fhuA//hofB//ileT//nuoB//arfB//fecI//cynR//hypB//rutA//appY//frdC//malE//cydB//ldtB//oppC//nrfE//dcuD//srlD//hdeB//zntA//purR//xylR//fixB//ivbL//rplW//eda//argA//rbsC//cadB//napB//lsrC//fadE//evgA//caiT//gapA//yeiL//galK//rbsB//entA//arcA//purF//pgk//fes//trpB//sxy//cadA//leuE//folE//yqaE//ubiA//pta//rbsB//rpsS//appC//oxyR//cspD//gatZ//rpsR//yiaK//torC//hyaE//iraM//cytR//rrfF//agp//astA//phnP//glpT//moeB//treC//priB//phoE//gcvH//ccmD//appX//puuR//moeB//lysA//hyaF//lsrC//hycH//nagA//ccmE//dsbA//agaW//xapA//ycjF//malP//hemA//lsrG//dppC//ychH//allD//envZ//dcuC//dpiB//galM//malG//ulaF//paaB//phoU//fucR//fadB//chbB//rrsG//napA//cspD//erpA//baeR//narL//malG//sgbU//tpx//moaC//zntA//sgbU//hybE//garL//gspD//ccmG//nanM//hlyE//phnE_1//ispE//hdeB//hycB//micF//yiaK//ulaD//icd//sxy//yaeQ//ugpE//pstB//paaE//iscA//ssuD//purR//nrdI//moaE//fumC//iclR//tsgA//rhaA//napC//cyaR//rof//codA//creA//fecD//paaJ//dadA//fepB//mhpR//acnA//melB//ydiU//ompA//phnI//ynfF//mepH//rpoH//glnL//cysK//allD//ybdN//napD//baeR//hypD//cdd//fiu//ccmE//purH//pgaC//fes//bamE//yaeP//slt//fecB//fdhF//citG//ubiC//yfaE//rhaD//cysM//rrlA//caiT//livK//hyfC//dkgB//cspD//cbl//tyrB//bioF//cusB//pitB//rhaB//moaC//iscS//fucO//uhpA//dsdX//nagE//cyoD//
ChbR-Monoacetylchitobiose-6P	glgX//uidA//rplB//fau//soxS//hemL//
CpxR-Phosphorylated	uxaC//nrdG//lldR//cusR//ykgO//yoaC//fdnI//tdcF//zraR//yeiB//fimH//artJ//glnB//bioD//purC//fimG//allC//gcvT//gutM//csgF//argE//fepD//ugpA//rimM//rrsH//cysU//sdhB//fdhF//ldtC//preA//aceK//fadD//hflK//yfdE//sohB//mtlR//dcuB//ilvI//phoB//dnaA//nirC//caiT//hflK//yqjA//dsdA//lacY//zraS//tdcD//nanC//caiB//phnP//oxc//tyrP//phoA//narG//argH//artM//cusS//fucK//rplP//araB//deoB//citF//rrlH//narH//ycjX//moeA//tyrB//hyfD//
CreB-Phosphorylated	nanK//slyB//ybfN//ilvG_1//pstS//mglA//entE//rplB//zraS//
CueR-Ag	purK//glnD//mglC//ilvY//hlyE//dcuC//lhgO//
CueR-Cu+	xdhB//srlB//rcnA//gspJ//tomB//yojI//preT//
CuerR-Au	nac//hybF//osmY//cdd//cpxR//cpdB//pstA//
CusR-Pasp	aaeA//rstA//tar//gntK//cynS//rhaR//crp//fimD//araB//xylH//rrfG//glcE//
CynR-Cyanate	cysA//pgaD//yfiP//zraR//
CysB-N-acetyl-L-serine	bdcA//hybB//ycjF//ydhX//aaeX//cydD//narG//hybO//nuoN//ssuB//uxuA//yaiA//hha//napC//ilvG_2//rmf//fixA//tdcD//lacI//focA//aspC//cas2//gpsA//ssuB//argI//narI//rpmC//cytR//exbB//sdhB//
CysB-O-acetyl-L-serine	tyrA//iscA//aaeX//fhuB//appC//ulaB//rpsR//bcsA//ykgR//pflB//feaR//sodA//fumB//acnA//glpK//gpmA//qseC//ydfN//fadH//evgA//sufS//mhpF//rbsC//adiC//gcvP//ybdN//hyfI//hypC//lrp//dnaN//gntR//
DcuR-Phosphorylated	hofP//dcuA//napH//fimC//mhpB//norR//tdcF//soxR//zraR//
DnaA-ATP	truB//yaiA//cysJ//cydB//dsdX//ompT//fadI//rimM//gspC//fixX//ftnB//napH//
DpiA-Pasp	tehA//gspK//phnK//fimF//astD//gdhA//casD//betA//fecD//sufA//casD//
DsdC-D-serine	argR//gltV//hypE//
EvgA-Phosphorylated	cbl//ysgA//cpxR//yfeW//nirC//agaA//phnL//speB//gspM//phnE_1//livH//dcuC//lsrR//zraP//nuoG//
FNR-[4Fe-4S]2+ reduced	argA//trpL//yedX//gspG//sufD//katG//fhuF//oppC//ugpA//rrsE//moaA//narJ//csiE//qseC//hypE//zntA//soxR//glnG//dcuR//yfbR//yciW//zntA//chbF//fumB//ydbD//astE//lamB//malQ//moeB//gspH//flhC//rseA//nrdD//ppiD//caiT//deoB//tauA//ygiB//hypF//ubiA//metB//cysA//rpsP//yaiA//narH//yhjA//tolC//gltA//araA//glgC//rrfE//acrA//lsrK//narL//mcaS//katE//lhgO//gntX//mdtD//cydC//hemL//cynX//hisQ//pgaB//phoQ//rhaS//tdcC//rrfG//spy//aroL//artM//rrlA//mutY//cpxR//ebgA//cysI//rrfH//bioD//paaA//fnrS//nrfD//lldD//kbaZ//glcC//rrfH//uxaC//yiaN//ryhB//idnD//atoE//folE//ydhU//nhaR//yeiL//ung//tdcE//zraP//feaB//glgA//mutY//napA//gutQ//astE//bioD//ldtC//ptsH//mhpB//tauB//ilvG_1//hyfR//cheA//entD//mhpA//fis//mscM//ilvN//paaA//hyaE//map//yfdX//metI//ung//gatB//betA//glcB//glnG//nuoJ//polA//glcG//moaE//entE//bglF//dmsC//copA//appY//xdhC//hybB//ssuC//caiB//ilvH//entB//rseA//polA//ilvN//ung//lysA//ycdZ//mntP//thrS//hyaE//cydA//fimH//rpsJ//hyfH//glgX//grxD//ebgA//cydD//livH//gatB//hemA//aroL//phoQ//ydhW//glcB//aroP//narX//csiE//citF//galK//psd//hyfF//ilvA//exbB//ybdZ//uxuA//ysgA//yneM//iraD//galS//norR//lpxB//infB//creD//amiB//entA//trpB//rimM//pgaC//polA//mntH//cas1//tdcB//nac//tnaB//ygiC//yecR//cysG//qseC//sdhA//puuA//raiA//dppD//phnM//hycA//livM//motA//nrdI//murP//rpsS//nuoE//araB//uxuA//ysgA//cydA//nuoE//cas1//nirB//nhaA//cirA//ada//fimC//ubiX//gcvP//aspA//pitB//nuoI//amn//ilvY//idnD//frc//putP//csiE//ascF//hycG//marR//cadB//dcuB//udp//yidQ//idnT//rutG//tdcF//rutA//cheY//ispE//hyaB//prmC//rnlB//yfbR//gadC//lsrF//paaA//tfaQ//paaC//pncB//baeR//phnJ//fadB//hofM//caiF//ileT//yaeQ//entA//ascB//purC//malP//xapB//artP//aaeR//yiaL//hyfJ//caiE//preA//cysI//entA//lolB//nfuA//agaV//preA//nagB//argP//glyA//narJ//moaE//hflX//paaD//cvpA//casC//sxy//frdB//hyaA//deoD//yegZ//uhpC//glcA//glpC//ulaE//purH//nrfC//cusC//ugpB//cheR//sufD//emrK//
FhlA-Formate	pncB//gutQ//hybA//glpT//fucR//tsaE//glpF//nagC//dkgB//rrlG//exbD//aroL//mepH//deoA//fadL//glcE//ydfN//miaA//cyaR//cusS//cyoA//dpiB//ssuA//aceK//uhpT//oppC//aldA//yeiP//dsdC//ileV//
FucR-L-fuculose-1-phosphate	narI//astE//napC//ccmF//kbl//rpoS//rplV//
Fur-Fe2+	fixB//carA//gatD//yiaJ//ynfK//gspE//ampD//rrsB//tolC//iclR//hisM//hdeA//allC//hisJ//appX//ubiA//paaZ//phoQ//yaiW//speA//phnE_1//cspE//hycI//ychO//cspD//ebgA//narQ//moaC//nuoA//puuE//ydiU//phnD//pepT//nuoL//focA//gutQ//iraD//mtlR//aldA//nrdA//rmf//agp//appX//mgtA//phoH//argC//gntX//modA//fhlA//cysA//nrfF//gcvH//sxy//rutE//asr//fimD//rplT//ilvC//gntT//agaV//yeiB//dppA//yibN//cra//nuoC//hofO//uof//rpsP//ssuB//hlyE//galK//rnlA//acs//rrsE//lysC//napF//fucP//cspD//malI//phnN//astA//gltT//yiaM//codB//rhaD//phoR//cyoC//nrfE//ptsG//pgpC//stpA//rbsD//ynfK//rrfF//livK//oppD//feoC//hfq//rrsH//hycI//cyoE//rbsA//hybE//cusB//malP//yqjH//ynfE//ahpC//mhpB//gntR//fadD//fimI//moaD//phoQ//cysG//ynfK//metC//caiD//fdnG//znuC//nadC//ispE//bglB//argE//ugpB//citD//hyfE//secB//mepH//phoA//sdhC//carA//ogt//uxuA//dppB//bamA//ccmF//yiaM//hdeA//gpmA//
