#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	fepD//alaA//rseC//rseB//
AlaS-L-alanine	crr//
AllS-allantoin	uxaC//ssuB//exbB//
AraC-L-arabinose	gatC//cydC//sohB//puuR//pgaD//rrlC//cysN//glcE//hybA//cyoC//appX//fixA//ykgR//ilvI//
ArcA-Phosphorylated	nikR//cusS//rpsS//ldtC//yneM//ulaE//gltT//glpG//dmsD//hyaE//ugpE//pdhR//yeiW//ppdD//nagC//betA//gyrA//ynfG//cysG//aroM//astD//galS//astD//moeA//glcB//mgtL//ybiT//purD//sodA//xylR//yfeW//yecR//melA//mgrB//metC//fiu//tar//purH//rimP//rplS//creA//xapB//ygeH//icd//rutG//moeA//hybO//uhpA//ydfH//acrE//pheT//ydhY//ptsH//paaD//infC//gltF//gntP//hybF//fepC//bcsZ//fucK//ulaC//yccA//xseA//chbR//nupC//thrS//lacZ//comR//gltU//napB//rpsJ//cheZ//fepD//tyrB//yhjC//psd//sufS//cpxA//yiaK//hdeA//bcsC//ynfF//gcvT//sodB//ryhB//phoE//dcuD//aroF//napB//ptsH//dadA//tauC//soxR//frdC//hyaD//caiT//sohB//fhuA//oxc//nadC//dps//arfB//upp//fadI//iraD//glpB//hflC//rrlA//sbcC//rpsI//entE//melB//gatB//nikR//trpC//napG//rutC//ada//araD//glgA//rpmC//ilvI//chbC//yneM//fucU//purH//cstA//srlA//fdnG//crl//pncB//nikD//ulaD//ygiA//fis//nanK//mgtL//aroP//melB//frdB//nuoM//cas2//rof//yaeP//hycA//dgcZ//folA//pepT//pheT//mltC//stpA//rplM//napG//bioB//abgA//gntX//frdC//araE//rnlB//srlB//aldB//hycG//ampE//yqjI//pgaD//oppF//srlR//dapD//gltT//metL//melA//xylA//nagC//yoaG//tdcA//mhpE//
ArgP-L-arginine	fucK//cysA//paaD//hdeD//motA//ydhT//efeU_2//chbF//murQ//pflB//oppA//livK//oxc//srlA//dgcZ//uraA//
ArgR-L-arginine	tdcD//purM//adhE//fhuA//hofN//bglB//dnaA//mntS//pheS//ilvG_1//torA//nac//xylG//ispE//abgT//citF//yaiA//rseA//mgrB//cyoA//rplV//motA//metH//umpH//glgA//glpR//hyfC//fes//uhpB//metR//cheA//yrbL//rrlH//adiC//amn//psd//betI//nuoH//ubiG//
AtoC-phosphorylated	yhjC//purE//yibN//alaT//
BaeR-Phosphorylated	entS//rutC//ompA//grpE//ydeM//astD//mpl//phnH//
BirA-bio-5'-AMP	dsdC//nrfA//qseC//phnN//yidQ//
CRP-cAMP	yiaM//folA//fucR//lsrA//yfbR//focA//rdoA//fumA//uxaB//sdhA//csgC//nuoN//yciW//carB//oxc//yccA//proP//csgG//frdC//allC//cadB//lldD//betI//qseB//dadX//ydiU//fiu//dadA//gcvT//ykgR//feoB//garR//ygiA//cpdB//hycH//dcuC//folA//znuA//bglF//nanT//aceA//napA//tdcB//hybO//ugpE//tdh//prmC//cytR//pgaB//tpx//nrdD//tdcC//moeA//abgA//treB//bcsA//argO//glgP//osmY//cysM//tyrP//dcuS//araF//napD//metJ//thrV//cheW//ykgO//pstC//acnA//fucI//fbaA//uidA//dusB//xylG//nagC//nrfG//fbaA//yoaC//sdhB//rplP//hha//ychO//phnO//yfdV//napA//grcA//nrdD//cyoB//cusB//yjcH//mepH//prpE//ilvE//artP//nhaR//arcA//proP//astC//sdhA//glcF//mdtB//mgrR//gatZ//hha//gatY//yeiL//pnp//ycjF//oxyR//pgaB//exbD//purB//oxc//tyrB//fdnH//hemA//feoC//trpE//pflB//qseB//crr//fixA//lldD//fimE//hyfA//uraA//rbsR//yidQ//hlyE//pck//rrlA//uof//napD//purM//purR//purH//lsrA//dnaE//puuC//nrfC//nuoI//ahpF//nuoB//entS//malP//fbaA//feaB//rrsC//lsrG//murP//uxuB//cydC//rhaB//mntP//ryhB//fadL//malY//cheZ//lsrB//yiaL//cheW//codB//feaR//sufS//argA//metF//glpA//adhE//gspF//srlA//tdcC//cydC//ygiC//cusS//ampE//tar//agaV//rnlB//pnp//hslJ//paaE//idnO//yfeW//bacA//cysM//ileT//yiaO//araB//iraD//baeS//dppA//mutL//fnr//feoA//rbfA//icd//ubiG//yfdX//uidC//casD//hofP//leuE//galP//hypF//mutY//pgaD//puuC//nanC//agaV//rpsR//glrR//gatC//flhD//hslJ//norV//glpG//tdcG//gatY//deoA//uhpA//ccmG//codA//nrfA//dppC//phnG//ygbA//pheT//rpmC//manY//narJ//oppB//rrfA//rstB//argI//evgS//trxA//acrD//mtlA//bglB//hybO//feaB//gspE//paaZ//gatY//aroL//citE//csgG//nrdG//napH//caiF//nagB//hofN//dkgB//paaK//bglB//nanC//cyoE//moeB//galM//dppB//gspE//putP//fau//adhE//upp//cysK//sodB//sbmA//putP//safA//hybB//fucI//ackA//hupB//cynR//modC//ilvE//aer//ssuD//rrsE//sdhB//rprA//nirB//araH//hypA//talA//modA//preA//yfdE//fimH//rrfF//ynfG//sbcD//guaA//araD//cysA//malE//ilvM//chbB//gabT//cas2//yebE//rplI//fhuB//rrsD//yfbR//yfeW//yoaC//gntU//tauB//rnhB//fimG//rutA//agaV//ilvC//ptsI//araC//casC//phnI//zntA//agaW//aceK//hyaB//hycE//lysU//modC//mhpB//spf//deoA//rseA//pgk//adiC//rplT//hycD//frdC//ugpC//argE//puuP//pitB//fucP//hybC//yiaK//aaeB//nikA//paaF//yoaG//lacZ//malQ//livF//feoB//mntH//rpsF//yhhY//ydhT//malM//grcA//creC//hycH//aroL//gspK//exbD//dmsB//modB//ygeH//soxS//trpD//hyaF//fdnG//cysU//ynfE//moaA//aaeR//agaA//rpsS//tauB//bcsC//ftnB//aceK//aer//glnL//norR//mhpE//ndh//ptsI//glgB//ccmF//fau//prs//ilvH//ivbL//yidQ//nanS//sbmA//sucD//rplS//manZ//yjjZ//cysW//glmY//feaR//uhpC//ilvL//sohB//cheR//cyaR//ccmD//nrdA//alaS//nrdA//ydeA//iraM//erpA//lldP//thrS//sbmA//purE//hofN//tdcA//nagA//fes//astC//ydeO//dcuA//polA//napB//yjiY//fepE//ssrS//asr//purH//paaZ//tdcD//dppB//rrfE//ampD//hycD//hybC//ychO//yfdV//nuoI//metK//fixC//pgpC//cusB//acrF//hycH//iscU//ssb//rrlH//fimH//ilvN//mntP//sodB//yeaE//napB//ileT//rrlC//motA//nrfA//ackA//citX//nrfD//spf//ompA//lolB//nuoC//rbsR//yaeQ//tauD//phnP//exbB//dgcZ//glpR//purL//argT//bglG//fadB//nikE//fes//glrR//dppF//yhjC//hyfI//sufS//cyaR//rcnA//lacZ//glpB//ung//aaeR//nrfG//mgrR//ugpC//paaE//rbsA//murQ//trg//phoE//rbsK//yhcH//fucI//cydD//oppF//astD//ssb//cysH//glnK//cydC//argE//gabT//csgB//cheA//cysG//preT//srlA//fimG//glcE//bglG//tap//nrdE//rrsB//gntK//rpsJ//hybD//
